ancestor_concept_code,descendant_concept_code,level_of_separation
D020228,D020228,0
D020228,D045505,1
D020228,D012102,2
D020228,D000019,3
D020228,D000020,4
D045505,D045505,0
D045505,D012102,1
D045505,D000019,2
D045505,D000020,3
D012102,D012102,0
D012102,D000019,1
D012102,D000020,2
D000019,D000019,0
D000019,D000020,1
D000020,D000020,0
D020228,D000021,4
D045505,D000021,3
D012102,D000021,2
D000019,D000021,1
D000021,D000021,0
D020228,D003270,3
D020228,D000080066,4
D020228,D003278,5
D045505,D003270,2
D045505,D000080066,3
D045505,D003278,4
D012102,D003270,1
D012102,D000080066,2
D012102,D003278,3
D003270,D003270,0
D003270,D000080066,1
D003270,D003278,2
D000080066,D000080066,0
D000080066,D003278,1
D003278,D003278,0
D020228,D003282,5
D045505,D003282,4
D012102,D003282,3
D003270,D003282,2
D000080066,D003282,1
D003282,D003282,0
D020228,D008186,5
D045505,D008186,4
D012102,D008186,3
D003270,D008186,2
D000080066,D008186,1
D008186,D008186,0
D020228,D008600,5
D045505,D008600,4
D012102,D008600,3
D003270,D008600,2
D000080066,D008600,1
D008600,D008600,0
D020228,D003271,4
D020228,D003276,5
D020228,D003278,6
D045505,D003271,3
D045505,D003276,4
D045505,D003278,5
D012102,D003271,2
D012102,D003276,3
D012102,D003278,4
D003270,D003271,1
D003270,D003276,2
D003270,D003278,3
D003271,D003271,0
D003271,D003276,1
D003271,D003278,2
D003276,D003276,0
D003276,D003278,1
D020228,D003279,6
D045505,D003279,5
D012102,D003279,4
D003270,D003279,3
D003271,D003279,2
D003276,D003279,1
D003279,D003279,0
D020228,D003280,6
D045505,D003280,5
D012102,D003280,4
D003270,D003280,3
D003271,D003280,2
D003276,D003280,1
D003280,D003280,0
D020228,D003281,5
D020228,D003282,6
D045505,D003281,4
D045505,D003282,5
D012102,D003281,3
D012102,D003282,4
D003270,D003281,2
D003270,D003282,3
D003271,D003281,1
D003271,D003282,2
D003281,D003281,0
D003281,D003282,1
D020228,D003283,6
D045505,D003283,5
D012102,D003283,4
D003270,D003283,3
D003271,D003283,2
D003281,D003283,1
D003283,D003283,0
D003271,D008186,1
D003271,D008600,1
D020228,D003272,4
D045505,D003272,3
D012102,D003272,2
D003270,D003272,1
D003272,D003272,0
D020228,D005299,3
D020228,D005300,4
D045505,D005299,2
D045505,D005300,3
D012102,D005299,1
D012102,D005300,2
D005299,D005299,0
D005299,D005300,1
D005300,D005300,0
D020228,D005303,4
D045505,D005303,3
D012102,D005303,2
D005299,D005303,1
D005303,D005303,0
D020228,D008186,3
D045505,D008186,2
D012102,D008186,1
D020228,D008600,3
D045505,D008600,2
D012102,D008600,1
D020228,D010120,3
D045505,D010120,2
D012102,D010120,1
D010120,D010120,0
D020228,D015149,3
D045505,D015149,2
D012102,D015149,1
D015149,D015149,0
D020228,D018377,2
D020228,D014179,3
D020228,D000068760,4
D045505,D018377,1
D045505,D014179,2
D045505,D000068760,3
D018377,D018377,0
D018377,D014179,1
D018377,D000068760,2
D014179,D014179,0
D014179,D000068760,1
D000068760,D000068760,0
D020228,D017367,4
D045505,D017367,3
D018377,D017367,2
D014179,D017367,1
D017367,D017367,0
D020228,D018759,4
D045505,D018759,3
D018377,D018759,2
D014179,D018759,1
D018759,D018759,0
D020228,D018765,4
D045505,D018765,3
D018377,D018765,2
D014179,D018765,1
D018765,D018765,0
D020228,D058805,4
D045505,D058805,3
D018377,D058805,2
D014179,D058805,1
D058805,D058805,0
D020228,D000068796,3
D045505,D000068796,2
D018377,D000068796,1
D000068796,D000068796,0
D020228,D000081227,3
D045505,D000081227,2
D018377,D000081227,1
D000081227,D000081227,0
D020228,D018663,3
D020228,D000322,4
D020228,D000316,5
D020228,D058646,6
D045505,D018663,2
D045505,D000322,3
D045505,D000316,4
D045505,D058646,5
D018377,D018663,1
D018377,D000322,2
D018377,D000316,3
D018377,D058646,4
D018663,D018663,0
D018663,D000322,1
D018663,D000316,2
D018663,D058646,3
D000322,D000322,0
D000322,D000316,1
D000322,D058646,2
D000316,D000316,0
D000316,D058646,1
D058646,D058646,0
D020228,D058647,6
D045505,D058647,5
D018377,D058647,4
D018663,D058647,3
D000322,D058647,2
D000316,D058647,1
D058647,D058647,0
D020228,D000318,5
D020228,D058665,6
D045505,D000318,4
D045505,D058665,5
D018377,D000318,3
D018377,D058665,4
D018663,D000318,2
D018663,D058665,3
D000322,D000318,1
D000322,D058665,2
D000318,D000318,0
D000318,D058665,1
D058665,D058665,0
D020228,D058666,6
D045505,D058666,5
D018377,D058666,4
D018663,D058666,3
D000322,D058666,2
D000318,D058666,1
D058666,D058666,0
D020228,D058667,6
D045505,D058667,5
D018377,D058667,4
D018663,D058667,3
D000322,D058667,2
D000318,D058667,1
D058667,D058667,0
D020228,D018674,4
D020228,D000317,5
D020228,D058668,6
D045505,D018674,3
D045505,D000317,4
D045505,D058668,5
D018377,D018674,2
D018377,D000317,3
D018377,D058668,4
D018663,D018674,1
D018663,D000317,2
D018663,D058668,3
D018674,D018674,0
D018674,D000317,1
D018674,D058668,2
D000317,D000317,0
D000317,D058668,1
D058668,D058668,0
D020228,D058669,6
D045505,D058669,5
D018377,D058669,4
D018663,D058669,3
D018674,D058669,2
D000317,D058669,1
D058669,D058669,0
D020228,D000319,5
D020228,D058671,6
D045505,D000319,4
D045505,D058671,5
D018377,D000319,3
D018377,D058671,4
D018663,D000319,2
D018663,D058671,3
D018674,D000319,1
D018674,D058671,2
D000319,D000319,0
D000319,D058671,1
D058671,D058671,0
D020228,D058672,6
D045505,D058672,5
D018377,D058672,4
D018663,D058672,3
D018674,D058672,2
D000319,D058672,1
D058672,D058672,0
D020228,D058673,6
D045505,D058673,5
D018377,D058673,4
D018663,D058673,3
D018674,D058673,2
D000319,D058673,1
D058673,D058673,0
D018663,D018759,1
D020228,D018678,3
D020228,D002800,4
D045505,D018678,2
D045505,D002800,3
D018377,D018678,1
D018377,D002800,2
D018678,D018678,0
D018678,D002800,1
D002800,D002800,0
D020228,D002801,4
D045505,D002801,3
D018377,D002801,2
D018678,D002801,1
D002801,D002801,0
D020228,D018679,4
D020228,D018721,5
D045505,D018679,3
D045505,D018721,4
D018377,D018679,2
D018377,D018721,3
D018678,D018679,1
D018678,D018721,2
D018679,D018679,0
D018679,D018721,1
D018721,D018721,0
D020228,D018722,5
D045505,D018722,4
D018377,D018722,3
D018678,D018722,2
D018679,D018722,1
D018722,D018722,0
D020228,D018680,4
D020228,D018727,5
D045505,D018680,3
D045505,D018727,4
D018377,D018680,2
D018377,D018727,3
D018678,D018680,1
D018678,D018727,2
D018680,D018680,0
D018680,D018727,1
D018727,D018727,0
D020228,D018733,5
D045505,D018733,4
D018377,D018733,3
D018678,D018733,2
D018680,D018733,1
D018733,D018733,0
D020228,D065087,4
D045505,D065087,3
D018377,D065087,2
D018678,D065087,1
D065087,D065087,0
D020228,D018494,3
D020228,D006633,4
D020228,D006634,5
D020228,D039563,6
