classId,className,classType
D000019,Abortifacient Agents,MESHPA
D012102,Reproductive Control Agents,MESHPA
D020228,MeSH Pharmacologic Actions (MESHPA),MESHPA
D045505,Physiological Effects of Drugs,MESHPA
D045506,Therapeutic Uses,MESHPA
D000019,Abortifacient Agents,MESHPA
D000020,"Abortifacient Agents, Nonsteroidal",MESHPA
D012102,Reproductive Control Agents,MESHPA
D020228,MeSH Pharmacologic Actions (MESHPA),MESHPA
D045505,Physiological Effects of Drugs,MESHPA
D045506,Therapeutic Uses,MESHPA
D000019,Abortifacient Agents,MESHPA
D000021,"Abortifacient Agents, Steroidal",MESHPA
D012102,Reproductive Control Agents,MESHPA
D020228,MeSH Pharmacologic Actions (MESHPA),MESHPA
D045505,Physiological Effects of Drugs,MESHPA
D045506,Therapeutic Uses,MESHPA
D000067856,Poly(ADP-ribose) Polymerase Inhibitors,MESHPA
D000970,Antineoplastic Agents,MESHPA
D004791,Enzyme Inhibitors,MESHPA
D020228,MeSH Pharmacologic Actions (MESHPA),MESHPA
D045504,Molecular Mechanisms of Pharmacological Action,MESHPA
D045506,Therapeutic Uses,MESHPA
D000067956,Adenylyl Cyclase Inhibitors,MESHPA
D004791,Enzyme Inhibitors,MESHPA
D020228,MeSH Pharmacologic Actions (MESHPA),MESHPA
D045504,Molecular Mechanisms of Pharmacological Action,MESHPA
D000068338,Everolimus,CHEM
D007783,Lactones,CHEM
D009930,Organic Chemicals,CHEM
D011083,Polycyclic Compounds,CHEM
D018942,Macrolides,CHEM
D020123,Sirolimus,CHEM
D047028,Macrocyclic Compounds,CHEM
D061065,Polyketides,CHEM
Z1,Substances and Cells (CHEM),CHEM
Z2,Substances,CHEM
D000068760,Serotonin and Noradrenaline Reuptake Inhibitors,MESHPA
D014179,Neurotransmitter Uptake Inhibitors,MESHPA
D018377,Neurotransmitter Agents,MESHPA
D020228,MeSH Pharmacologic Actions (MESHPA),MESHPA
D045504,Molecular Mechanisms of Pharmacological Action,MESHPA
D045505,Physiological Effects of Drugs,MESHPA
D049990,Membrane Transport Modulators,MESHPA
D000068776,"Sleep Aids, Pharmaceutical",MESHPA
D002491,Central Nervous System Agents,MESHPA
D002492,Central Nervous System Depressants,MESHPA
D006993,Hypnotics and Sedatives,MESHPA
D020228,MeSH Pharmacologic Actions (MESHPA),MESHPA
D045505,Physiological Effects of Drugs,MESHPA
D045506,Therapeutic Uses,MESHPA
D000068776,"Sleep Aids, Pharmaceutical",MESHPA
D000068796,Orexin Receptor Antagonists,MESHPA
D002491,Central Nervous System Agents,MESHPA
D002492,Central Nervous System Depressants,MESHPA
D006993,Hypnotics and Sedatives,MESHPA
D018377,Neurotransmitter Agents,MESHPA
D020228,MeSH Pharmacologic Actions (MESHPA),MESHPA
D045504,Molecular Mechanisms of Pharmacological Action,MESHPA
D045505,Physiological Effects of Drugs,MESHPA
D045506,Therapeutic Uses,MESHPA
D000072664,Provitamins,MESHPA
D014815,Vitamins,MESHPA
D018977,Micronutrients,MESHPA
D020228,MeSH Pharmacologic Actions (MESHPA),MESHPA
D045505,Physiological Effects of Drugs,MESHPA
D000074162,"Serine Peptidase Inhibitors, Kazal Type",CHEM
D000602,"Amino Acids, Peptides, and Proteins",CHEM
D010455,Peptides,CHEM
D011506,Proteins,CHEM
D053491,"Proteinase Inhibitory Proteins, Secretory",CHEM
Z1,Substances and Cells (CHEM),CHEM
Z2,Substances,CHEM
D000074268,Guanylyl Cyclase C Agonists,MESHPA
D005765,Gastrointestinal Agents,MESHPA
D020228,MeSH Pharmacologic Actions (MESHPA),MESHPA
D020536,Enzyme Activators,MESHPA
D045504,Molecular Mechanisms of Pharmacological Action,MESHPA
D045506,Therapeutic Uses,MESHPA
D000074322,"Antineoplastic Agents, Immunological",MESHPA
D000970,Antineoplastic Agents,MESHPA
D020228,MeSH Pharmacologic Actions (MESHPA),MESHPA
D045506,Therapeutic Uses,MESHPA
D000075162,Abuse-Deterrent Formulations,CHEM
D004304,Dosage Forms,CHEM
D004364,Pharmaceutical Preparations,CHEM
Z1,Substances and Cells (CHEM),CHEM
