ancestor_concept_code,descendant_concept_code,level_of_separation
N0000000223,N0000000223,0
N0000000223,N0000000065,1
N0000000223,N0000010288,2
N0000000223,N0000000075,3
N0000000065,N0000000065,0
N0000000065,N0000010288,1
N0000000065,N0000000075,2
N0000010288,N0000010288,0
N0000010288,N0000000075,1
N0000000075,N0000000075,0
N0000000223,N0000000079,2
N0000000065,N0000000079,1
N0000000079,N0000000079,0
N0000000223,N0000175355,2
N0000000223,N0000000087,3
N0000000223,N0000175472,4
N0000000223,N0000000144,5
N0000000223,N0000181001,6
N0000000065,N0000175355,1
N0000000065,N0000000087,2
N0000000065,N0000175472,3
N0000000065,N0000000144,4
N0000000065,N0000181001,5
N0000175355,N0000175355,0
N0000175355,N0000000087,1
N0000175355,N0000175472,2
N0000175355,N0000000144,3
N0000175355,N0000181001,4
N0000000087,N0000000087,0
N0000000087,N0000175472,1
N0000000087,N0000000144,2
N0000000087,N0000181001,3
N0000175472,N0000175472,0
N0000175472,N0000000144,1
N0000175472,N0000181001,2
N0000000144,N0000000144,0
N0000000144,N0000181001,1
N0000181001,N0000181001,0
N0000000223,N0000020075,5
N0000000065,N0000020075,4
N0000175355,N0000020075,3
N0000000087,N0000020075,2
N0000175472,N0000020075,1
N0000020075,N0000020075,0
N0000000223,N0000020076,5
N0000000065,N0000020076,4
N0000175355,N0000020076,3
N0000000087,N0000020076,2
N0000175472,N0000020076,1
N0000020076,N0000020076,0
N0000000223,N0000175089,5
N0000000065,N0000175089,4
N0000175355,N0000175089,3
N0000000087,N0000175089,2
N0000175472,N0000175089,1
N0000175089,N0000175089,0
N0000000223,N0000175962,5
N0000000065,N0000175962,4
N0000175355,N0000175962,3
N0000000087,N0000175962,2
N0000175472,N0000175962,1
N0000175962,N0000175962,0
N0000000223,N0000020074,4
N0000000065,N0000020074,3
N0000175355,N0000020074,2
N0000000087,N0000020074,1
N0000020074,N0000020074,0
N0000000223,N0000175356,3
N0000000223,N0000175357,4
N0000000065,N0000175356,2
N0000000065,N0000175357,3
N0000175355,N0000175356,1
N0000175355,N0000175357,2
N0000175356,N0000175356,0
N0000175356,N0000175357,1
N0000175357,N0000175357,0
N0000000223,N0000175834,4
N0000000065,N0000175834,3
N0000175355,N0000175834,2
N0000175356,N0000175834,1
N0000175834,N0000175834,0
N0000000223,N0000175365,3
N0000000065,N0000175365,2
N0000175355,N0000175365,1
N0000175365,N0000175365,0
N0000000223,N0000175806,3
N0000000065,N0000175806,2
N0000175355,N0000175806,1
N0000175806,N0000175806,0
N0000000223,N0000175981,3
N0000000065,N0000175981,2
N0000175355,N0000175981,1
N0000175981,N0000175981,0
N0000000223,N0000178377,3
N0000000065,N0000178377,2
N0000175355,N0000178377,1
N0000178377,N0000178377,0
N0000000223,N0000184150,3
N0000000065,N0000184150,2
N0000175355,N0000184150,1
N0000184150,N0000184150,0
N0000000223,N0000000120,2
N0000000065,N0000000120,1
N0000000120,N0000000120,0
N0000000223,N0000175545,2
N0000000223,N0000175547,3
N0000000223,N0000000170,4
N0000000065,N0000175545,1
N0000000065,N0000175547,2
N0000000065,N0000000170,3
N0000175545,N0000175545,0
N0000175545,N0000175547,1
N0000175545,N0000000170,2
N0000175547,N0000175547,0
N0000175547,N0000000170,1
N0000000170,N0000000170,0
N0000000223,N0000175548,4
N0000000223,N0000175549,5
N0000000065,N0000175548,3
N0000000065,N0000175549,4
N0000175545,N0000175548,2
N0000175545,N0000175549,3
N0000175547,N0000175548,1
N0000175547,N0000175549,2
N0000175548,N0000175548,0
N0000175548,N0000175549,1
N0000175549,N0000175549,0
N0000000223,N0000175546,3
N0000000065,N0000175546,2
N0000175545,N0000175546,1
N0000175546,N0000175546,0
N0000000223,N0000000205,2
N0000000223,N0000175868,3
N0000000065,N0000000205,1
N0000000065,N0000175868,2
N0000000205,N0000000205,0
N0000000205,N0000175868,1
N0000175868,N0000175868,0
N0000000223,N0000175869,3
N0000000065,N0000175869,2
N0000000205,N0000175869,1
N0000175869,N0000175869,0
N0000000223,N0000187052,3
N0000000065,N0000187052,2
N0000000205,N0000187052,1
N0000187052,N0000187052,0
N0000000223,N0000000220,2
N0000000065,N0000000220,1
N0000000220,N0000000220,0
N0000000223,N0000000226,2
N0000000223,N0000009986,3
N0000000065,N0000000226,1
N0000000065,N0000009986,2
N0000000226,N0000000226,0
N0000000226,N0000009986,1
N0000009986,N0000009986,0
N0000000223,N0000175833,3
N0000000065,N0000175833,2
N0000000226,N0000175833,1
N0000175833,N0000175833,0
N0000000223,N0000000236,2
N0000000065,N0000000236,1
N0000000236,N0000000236,0
N0000000223,N0000009983,2
N0000000065,N0000009983,1
N0000009983,N0000009983,0
N0000000223,N0000010217,2
N0000000223,N0000010218,3
N0000000065,N0000010217,1
N0000000065,N0000010218,2
N0000010217,N0000010217,0
N0000010217,N0000010218,1
N0000010218,N0000010218,0
N0000000223,N0000010219,3
N0000000065,N0000010219,2
N0000010217,N0000010219,1
N0000010219,N0000010219,0
N0000000223,N0000010257,2
N0000000223,N0000010258,3
N0000000065,N0000010257,1
N0000000065,N0000010258,2
N0000010257,N0000010257,0
N0000010257,N0000010258,1
N0000010258,N0000010258,0
N0000000223,N0000010259,3
N0000000065,N0000010259,2
N0000010257,N0000010259,1
N0000010259,N0000010259,0
N0000000223,N0000175862,3
N0000000065,N0000175862,2
N0000010257,N0000175862,1
N0000175862,N0000175862,0
N0000000223,N0000020024,2
N0000000065,N0000020024,1
N0000020024,N0000020024,0
N0000000223,N0000175532,2
N0000000065,N0000175532,1
N0000175532,N0000175532,0
N0000000223,N0000175533,2
N0000000065,N0000175533,1
N0000175533,N0000175533,0
N0000000223,N0000175534,2
N0000000065,N0000175534,1
N0000175534,N0000175534,0
N0000000223,N0000175804,2
N0000000065,N0000175804,1
N0000175804,N0000175804,0
N0000000223,N0000181010,2
