ancestor_concept_code,descendant_concept_code,level_of_separation
N0000009802,N0000009802,0
N0000009802,N0000009770,1
N0000009802,N0000009759,2
N0000009802,N0000009761,3
N0000009802,N0000008290,4
N0000009802,N0000008383,5
N0000009802,N0000008802,6
N0000009802,N0000008394,7
N0000009802,N0000008779,8
N0000009770,N0000009770,0
N0000009770,N0000009759,1
N0000009770,N0000009761,2
N0000009770,N0000008290,3
N0000009770,N0000008383,4
N0000009770,N0000008802,5
N0000009770,N0000008394,6
N0000009770,N0000008779,7
N0000009759,N0000009759,0
N0000009759,N0000009761,1
N0000009759,N0000008290,2
N0000009759,N0000008383,3
N0000009759,N0000008802,4
N0000009759,N0000008394,5
N0000009759,N0000008779,6
N0000009761,N0000009761,0
N0000009761,N0000008290,1
N0000009761,N0000008383,2
N0000009761,N0000008802,3
N0000009761,N0000008394,4
N0000009761,N0000008779,5
N0000008290,N0000008290,0
N0000008290,N0000008383,1
N0000008290,N0000008802,2
N0000008290,N0000008394,3
N0000008290,N0000008779,4
N0000008383,N0000008383,0
N0000008383,N0000008802,1
N0000008383,N0000008394,2
N0000008383,N0000008779,3
N0000008802,N0000008802,0
N0000008802,N0000008394,1
N0000008802,N0000008779,2
N0000008394,N0000008394,0
N0000008394,N0000008779,1
N0000008779,N0000008779,0
N0000009802,N0000008974,8
N0000009770,N0000008974,7
N0000009759,N0000008974,6
N0000009761,N0000008974,5
N0000008290,N0000008974,4
N0000008383,N0000008974,3
N0000008802,N0000008974,2
N0000008394,N0000008974,1
N0000008974,N0000008974,0
N0000009802,N0000008600,7
N0000009770,N0000008600,6
N0000009759,N0000008600,5
N0000009761,N0000008600,4
N0000008290,N0000008600,3
N0000008383,N0000008600,2
N0000008802,N0000008600,1
N0000008600,N0000008600,0
N0000009802,N0000008870,7
N0000009770,N0000008870,6
N0000009759,N0000008870,5
N0000009761,N0000008870,4
N0000008290,N0000008870,3
N0000008383,N0000008870,2
N0000008802,N0000008870,1
N0000008870,N0000008870,0
N0000009802,N0000008482,6
N0000009802,N0000008426,7
N0000009770,N0000008482,5
N0000009770,N0000008426,6
N0000009759,N0000008482,4
N0000009759,N0000008426,5
N0000009761,N0000008482,3
N0000009761,N0000008426,4
N0000008290,N0000008482,2
N0000008290,N0000008426,3
N0000008383,N0000008482,1
N0000008383,N0000008426,2
N0000008482,N0000008482,0
N0000008482,N0000008426,1
N0000008426,N0000008426,0
N0000009802,N0000008505,7
N0000009770,N0000008505,6
N0000009759,N0000008505,5
N0000009761,N0000008505,4
N0000008290,N0000008505,3
N0000008383,N0000008505,2
N0000008482,N0000008505,1
N0000008505,N0000008505,0
N0000009802,N0000008528,7
N0000009770,N0000008528,6
N0000009759,N0000008528,5
N0000009761,N0000008528,4
N0000008290,N0000008528,3
N0000008383,N0000008528,2
N0000008482,N0000008528,1
N0000008528,N0000008528,0
N0000009802,N0000008708,7
N0000009770,N0000008708,6
N0000009759,N0000008708,5
N0000009761,N0000008708,4
N0000008290,N0000008708,3
N0000008383,N0000008708,2
N0000008482,N0000008708,1
N0000008708,N0000008708,0
N0000009802,N0000008926,7
N0000009770,N0000008926,6
N0000009759,N0000008926,5
N0000009761,N0000008926,4
N0000008290,N0000008926,3
N0000008383,N0000008926,2
N0000008482,N0000008926,1
N0000008926,N0000008926,0
N0000009802,N0000008735,6
N0000009802,N0000008453,7
N0000009770,N0000008735,5
N0000009770,N0000008453,6
N0000009759,N0000008735,4
N0000009759,N0000008453,5
N0000009761,N0000008735,3
N0000009761,N0000008453,4
N0000008290,N0000008735,2
N0000008290,N0000008453,3
N0000008383,N0000008735,1
N0000008383,N0000008453,2
N0000008735,N0000008735,0
N0000008735,N0000008453,1
N0000008453,N0000008453,0
N0000009802,N0000008899,7
N0000009770,N0000008899,6
N0000009759,N0000008899,5
N0000009761,N0000008899,4
N0000008290,N0000008899,3
N0000008383,N0000008899,2
N0000008735,N0000008899,1
N0000008899,N0000008899,0
N0000009802,N0000008949,7
N0000009770,N0000008949,6
N0000009759,N0000008949,5
N0000009761,N0000008949,4
N0000008290,N0000008949,3
N0000008383,N0000008949,2
N0000008735,N0000008949,1
N0000008949,N0000008949,0
N0000009802,N0000009079,5
N0000009802,N0000009494,6
N0000009802,N0000009090,7
N0000009802,N0000009471,8
N0000009770,N0000009079,4
N0000009770,N0000009494,5
N0000009770,N0000009090,6
N0000009770,N0000009471,7
N0000009759,N0000009079,3
N0000009759,N0000009494,4
N0000009759,N0000009090,5
N0000009759,N0000009471,6
N0000009761,N0000009079,2
N0000009761,N0000009494,3
N0000009761,N0000009090,4
N0000009761,N0000009471,5
N0000008290,N0000009079,1
N0000008290,N0000009494,2
N0000008290,N0000009090,3
N0000008290,N0000009471,4
N0000009079,N0000009079,0
N0000009079,N0000009494,1
N0000009079,N0000009090,2
N0000009079,N0000009471,3
N0000009494,N0000009494,0
N0000009494,N0000009090,1
N0000009494,N0000009471,2
N0000009090,N0000009090,0
N0000009090,N0000009471,1
N0000009471,N0000009471,0
N0000009802,N0000009666,8
N0000009770,N0000009666,7
N0000009759,N0000009666,6
N0000009761,N0000009666,5
N0000008290,N0000009666,4
N0000009079,N0000009666,3
N0000009494,N0000009666,2
N0000009090,N0000009666,1
N0000009666,N0000009666,0
N0000009802,N0000009294,7
N0000009770,N0000009294,6
N0000009759,N0000009294,5
N0000009761,N0000009294,4
N0000008290,N0000009294,3
N0000009079,N0000009294,2
N0000009494,N0000009294,1
N0000009294,N0000009294,0
N0000009802,N0000009563,7
N0000009770,N0000009563,6
N0000009759,N0000009563,5
N0000009761,N0000009563,4
N0000008290,N0000009563,3
N0000009079,N0000009563,2
N0000009494,N0000009563,1
N0000009563,N0000009563,0
N0000009802,N0000009178,6
N0000009802,N0000009122,7
N0000009770,N0000009178,5
N0000009770,N0000009122,6
N0000009759,N0000009178,4
N0000009759,N0000009122,5
N0000009761,N0000009178,3
N0000009761,N0000009122,4
N0000008290,N0000009178,2
N0000008290,N0000009122,3
N0000009079,N0000009178,1
N0000009079,N0000009122,2
N0000009178,N0000009178,0
N0000009178,N0000009122,1
N0000009122,N0000009122,0
N0000009802,N0000009201,7
N0000009770,N0000009201,6
N0000009759,N0000009201,5
N0000009761,N0000009201,4
N0000008290,N0000009201,3
N0000009079,N0000009201,2
N0000009178,N0000009201,1
N0000009201,N0000009201,0
N0000009802,N0000009224,7
N0000009770,N0000009224,6
N0000009759,N0000009224,5
N0000009761,N0000009224,4
N0000008290,N0000009224,3
N0000009079,N0000009224,2
N0000009178,N0000009224,1
N0000009224,N0000009224,0
N0000009802,N0000009400,7
N0000009770,N0000009400,6
N0000009759,N0000009400,5
N0000009761,N0000009400,4
N0000008290,N0000009400,3
N0000009079,N0000009400,2
N0000009178,N0000009400,1
N0000009400,N0000009400,0
N0000009802,N0000009618,7
N0000009770,N0000009618,6
N0000009759,N0000009618,5
N0000009761,N0000009618,4
N0000008290,N0000009618,3
N0000009079,N0000009618,2
N0000009178,N0000009618,1
N0000009618,N0000009618,0
N0000009802,N0000009427,6
N0000009802,N0000009149,7
N0000009770,N0000009427,5
N0000009770,N0000009149,6
N0000009759,N0000009427,4
N0000009759,N0000009149,5
N0000009761,N0000009427,3
N0000009761,N0000009149,4
N0000008290,N0000009427,2
N0000008290,N0000009149,3
N0000009079,N0000009427,1
N0000009079,N0000009149,2
N0000009427,N0000009427,0
N0000009427,N0000009149,1
N0000009149,N0000009149,0
N0000009802,N0000009591,7
N0000009770,N0000009591,6
N0000009759,N0000009591,5
N0000009761,N0000009591,4
N0000008290,N0000009591,3
N0000009079,N0000009591,2
N0000009427,N0000009591,1
N0000009591,N0000009591,0
N0000009802,N0000009641,7
N0000009770,N0000009641,6
N0000009759,N0000009641,5
N0000009761,N0000009641,4
N0000008290,N0000009641,3
N0000009079,N0000009641,2
N0000009427,N0000009641,1
N0000009641,N0000009641,0
N0000009802,N0000008300,4
N0000009802,N0000008393,5
N0000009802,N0000008803,6
N0000009802,N0000008395,7
N0000009802,N0000008780,8
N0000009770,N0000008300,3
N0000009770,N0000008393,4
N0000009770,N0000008803,5
N0000009770,N0000008395,6
N0000009770,N0000008780,7
N0000009759,N0000008300,2
N0000009759,N0000008393,3
N0000009759,N0000008803,4
N0000009759,N0000008395,5
N0000009759,N0000008780,6
N0000009761,N0000008300,1
N0000009761,N0000008393,2
N0000009761,N0000008803,3
N0000009761,N0000008395,4
N0000009761,N0000008780,5
N0000008300,N0000008300,0
N0000008300,N0000008393,1
N0000008300,N0000008803,2
N0000008300,N0000008395,3
N0000008300,N0000008780,4
N0000008393,N0000008393,0
N0000008393,N0000008803,1
N0000008393,N0000008395,2
N0000008393,N0000008780,3
N0000008803,N0000008803,0
N0000008803,N0000008395,1
N0000008803,N0000008780,2
N0000008395,N0000008395,0
N0000008395,N0000008780,1
N0000008780,N0000008780,0
N0000009802,N0000008975,8
N0000009770,N0000008975,7
N0000009759,N0000008975,6
N0000009761,N0000008975,5
N0000008300,N0000008975,4
N0000008393,N0000008975,3
N0000008803,N0000008975,2
N0000008395,N0000008975,1
N0000008975,N0000008975,0
N0000009802,N0000008601,7
N0000009770,N0000008601,6
N0000009759,N0000008601,5
N0000009761,N0000008601,4
N0000008300,N0000008601,3
N0000008393,N0000008601,2
N0000008803,N0000008601,1
N0000008601,N0000008601,0
N0000009802,N0000008871,7
N0000009770,N0000008871,6
N0000009759,N0000008871,5
N0000009761,N0000008871,4
N0000008300,N0000008871,3
N0000008393,N0000008871,2
N0000008803,N0000008871,1
N0000008871,N0000008871,0
N0000009802,N0000008483,6
N0000009802,N0000008427,7
N0000009770,N0000008483,5
N0000009770,N0000008427,6
N0000009759,N0000008483,4
N0000009759,N0000008427,5
N0000009761,N0000008483,3
N0000009761,N0000008427,4
N0000008300,N0000008483,2
N0000008300,N0000008427,3
N0000008393,N0000008483,1
N0000008393,N0000008427,2
N0000008483,N0000008483,0
N0000008483,N0000008427,1
N0000008427,N0000008427,0
N0000009802,N0000008506,7
N0000009770,N0000008506,6
N0000009759,N0000008506,5
N0000009761,N0000008506,4
N0000008300,N0000008506,3
N0000008393,N0000008506,2
N0000008483,N0000008506,1
N0000008506,N0000008506,0
N0000009802,N0000008529,7
N0000009770,N0000008529,6
N0000009759,N0000008529,5
N0000009761,N0000008529,4
N0000008300,N0000008529,3
N0000008393,N0000008529,2
N0000008483,N0000008529,1
N0000008529,N0000008529,0
N0000009802,N0000008709,7
N0000009770,N0000008709,6
N0000009759,N0000008709,5
N0000009761,N0000008709,4
N0000008300,N0000008709,3
N0000008393,N0000008709,2
N0000008483,N0000008709,1
N0000008709,N0000008709,0
N0000009802,N0000008927,7
N0000009770,N0000008927,6
N0000009759,N0000008927,5
N0000009761,N0000008927,4
N0000008300,N0000008927,3
N0000008393,N0000008927,2
N0000008483,N0000008927,1
N0000008927,N0000008927,0
N0000009802,N0000008736,6
N0000009802,N0000008454,7
N0000009770,N0000008736,5
N0000009770,N0000008454,6
N0000009759,N0000008736,4
N0000009759,N0000008454,5
N0000009761,N0000008736,3
N0000009761,N0000008454,4
N0000008300,N0000008736,2
N0000008300,N0000008454,3
N0000008393,N0000008736,1
N0000008393,N0000008454,2
N0000008736,N0000008736,0
N0000008736,N0000008454,1
N0000008454,N0000008454,0
N0000009802,N0000008900,7
N0000009770,N0000008900,6
N0000009759,N0000008900,5
N0000009761,N0000008900,4
N0000008300,N0000008900,3
N0000008393,N0000008900,2
N0000008736,N0000008900,1
N0000008900,N0000008900,0
N0000009802,N0000008950,7
N0000009770,N0000008950,6
N0000009759,N0000008950,5
N0000009761,N0000008950,4
N0000008300,N0000008950,3
N0000008393,N0000008950,2
N0000008736,N0000008950,1
N0000008950,N0000008950,0
N0000009802,N0000009089,5
N0000009802,N0000009495,6
N0000009802,N0000009091,7
N0000009802,N0000009472,8
N0000009770,N0000009089,4
N0000009770,N0000009495,5
N0000009770,N0000009091,6
N0000009770,N0000009472,7
N0000009759,N0000009089,3
N0000009759,N0000009495,4
N0000009759,N0000009091,5
N0000009759,N0000009472,6
N0000009761,N0000009089,2
N0000009761,N0000009495,3
N0000009761,N0000009091,4
N0000009761,N0000009472,5
N0000008300,N0000009089,1
N0000008300,N0000009495,2
N0000008300,N0000009091,3
N0000008300,N0000009472,4
N0000009089,N0000009089,0
N0000009089,N0000009495,1
N0000009089,N0000009091,2
N0000009089,N0000009472,3
N0000009495,N0000009495,0
N0000009495,N0000009091,1
N0000009495,N0000009472,2
N0000009091,N0000009091,0
N0000009091,N0000009472,1
N0000009472,N0000009472,0
N0000009802,N0000009667,8
N0000009770,N0000009667,7
N0000009759,N0000009667,6
N0000009761,N0000009667,5
N0000008300,N0000009667,4
N0000009089,N0000009667,3
N0000009495,N0000009667,2
N0000009091,N0000009667,1
N0000009667,N0000009667,0
N0000009802,N0000009295,7
N0000009770,N0000009295,6
N0000009759,N0000009295,5
N0000009761,N0000009295,4
N0000008300,N0000009295,3
N0000009089,N0000009295,2
N0000009495,N0000009295,1
