classId1,rela,classId2
N0000008290,isa,N0000009761
N0000009759,isa,N0000009770
N0000009761,isa,N0000009759
N0000009770,isa,N0000009802
N0000008291,isa,N0000009036
N0000009036,isa,N0000009770
N0000009770,isa,N0000009802
N0000008292,isa,N0000009036
N0000009036,isa,N0000009770
N0000009770,isa,N0000009802
N0000008293,isa,N0000009839
N0000009770,isa,N0000009802
N0000009839,isa,N0000009770
N0000008293,isa,N0000009839
N0000008294,isa,N0000008293
N0000009770,isa,N0000009802
N0000009839,isa,N0000009770
N0000008295,isa,N0000009054
N0000009022,isa,N0000009770
N0000009054,isa,N0000009022
N0000009770,isa,N0000009802
N0000008296,isa,N0000009020
N0000009020,isa,N0000009770
N0000009770,isa,N0000009802
N0000008297,isa,N0000009020
N0000009020,isa,N0000009770
N0000009770,isa,N0000009802
N0000008298,isa,N0000009908
N0000008331,isa,N0000009770
N0000009770,isa,N0000009802
N0000009906,isa,N0000020002
N0000009908,isa,N0000009906
N0000020002,isa,N0000008331
N0000008299,isa,N0000009909
N0000008331,isa,N0000009770
N0000009770,isa,N0000009802
N0000009906,isa,N0000020002
N0000009909,isa,N0000009906
N0000020002,isa,N0000008331
N0000008300,isa,N0000009761
N0000009759,isa,N0000009770
N0000009761,isa,N0000009759
N0000009770,isa,N0000009802
N0000008301,isa,N0000009020
N0000009020,isa,N0000009770
N0000009770,isa,N0000009802
N0000008302,isa,N0000008330
N0000008330,isa,N0000008331
N0000008331,isa,N0000009770
N0000009770,isa,N0000009802
N0000008303,isa,N0000008330
N0000008330,isa,N0000008331
N0000008331,isa,N0000009770
N0000009770,isa,N0000009802
N0000008304,isa,N0000009022
N0000009022,isa,N0000009770
N0000009770,isa,N0000009802
N0000008305,isa,N0000009832
N0000009770,isa,N0000009802
N0000009832,isa,N0000009770
N0000008306,isa,N0000009832
N0000009770,isa,N0000009802
N0000009832,isa,N0000009770
N0000008307,isa,N0000009065
N0000009065,isa,N0000009069
N0000009069,isa,N0000009770
N0000009770,isa,N0000009802
N0000008308,isa,N0000009755
N0000009755,isa,N0000009770
N0000009770,isa,N0000009802
N0000008308,isa,N0000009755
N0000008309,isa,N0000008308
N0000009755,isa,N0000009770
N0000009770,isa,N0000009802
N0000008308,isa,N0000009755
N0000008309,isa,N0000008308
N0000008310,isa,N0000008309
N0000009755,isa,N0000009770
N0000009770,isa,N0000009802
N0000008308,isa,N0000009755
N0000008309,isa,N0000008308
N0000008311,isa,N0000008309
N0000009755,isa,N0000009770
N0000009770,isa,N0000009802
N0000008308,isa,N0000009755
N0000008312,isa,N0000008308
N0000009755,isa,N0000009770
N0000009770,isa,N0000009802
N0000008308,isa,N0000009755
N0000008312,isa,N0000008308
N0000008313,isa,N0000008312
N0000009755,isa,N0000009770
N0000009770,isa,N0000009802
N0000008308,isa,N0000009755
N0000008312,isa,N0000008308
N0000008314,isa,N0000008312
N0000009755,isa,N0000009770
N0000009770,isa,N0000009802
N0000008315,isa,N0000009761
N0000009759,isa,N0000009770
N0000009761,isa,N0000009759
N0000009770,isa,N0000009802
N0000008316,isa,N0000009044
N0000009044,isa,N0000009833
N0000009770,isa,N0000009802
N0000009833,isa,N0000009770
N0000008316,isa,N0000009044
N0000008317,isa,N0000008316
N0000009044,isa,N0000009833
N0000009770,isa,N0000009802
N0000009833,isa,N0000009770
N0000008316,isa,N0000009044
N0000008318,isa,N0000008316
N0000009044,isa,N0000009833
N0000009770,isa,N0000009802
N0000009833,isa,N0000009770
N0000008316,isa,N0000009044
N0000008319,isa,N0000008316
N0000009044,isa,N0000009833
N0000009770,isa,N0000009802
N0000009833,isa,N0000009770
N0000008320,isa,N0000009838
N0000009755,isa,N0000009770
N0000009759,isa,N0000009770
N0000009770,isa,N0000009802
N0000009838,isa,N0000009839
N0000009838,isa,N0000010268
N0000009839,isa,N0000009770
N0000010268,isa,N0000009755
N0000010268,isa,N0000175642
N0000175642,isa,N0000175725
N0000175725,isa,N0000009759
N0000008320,isa,N0000009838
N0000008321,isa,N0000008320
N0000009755,isa,N0000009770
N0000009759,isa,N0000009770
N0000009770,isa,N0000009802
N0000009838,isa,N0000009839
N0000009838,isa,N0000010268
N0000009839,isa,N0000009770
N0000010268,isa,N0000009755
N0000010268,isa,N0000175642
N0000175642,isa,N0000175725
N0000175725,isa,N0000009759
N0000008320,isa,N0000009838
N0000008322,isa,N0000008320
N0000009755,isa,N0000009770
N0000009759,isa,N0000009770
N0000009770,isa,N0000009802
N0000009838,isa,N0000009839
N0000009838,isa,N0000010268
N0000009839,isa,N0000009770
N0000010268,isa,N0000009755
N0000010268,isa,N0000175642
N0000175642,isa,N0000175725
N0000175725,isa,N0000009759
N0000008323,isa,N0000009761
N0000009759,isa,N0000009770
N0000009761,isa,N0000009759
N0000009770,isa,N0000009802
N0000008324,isa,N0000008325
N0000008325,isa,N0000009072
N0000009036,isa,N0000009770
N0000009072,isa,N0000009036
N0000009770,isa,N0000009802
N0000008325,isa,N0000009072
N0000009036,isa,N0000009770
N0000009072,isa,N0000009036
N0000009770,isa,N0000009802
N0000008325,isa,N0000009072
N0000008326,isa,N0000008325
N0000009036,isa,N0000009770
N0000009072,isa,N0000009036
N0000009770,isa,N0000009802
N0000008327,isa,N0000009748
