ancestor_concept_code,descendant_concept_code,level_of_separation
N0000000003,N0000000003,0
N0000000003,N0000000008,1
N0000000003,N0000000009,2
N0000000003,N0000000010,3
N0000000008,N0000000008,0
N0000000008,N0000000009,1
N0000000008,N0000000010,2
N0000000009,N0000000009,0
N0000000009,N0000000010,1
N0000000010,N0000000010,0
N0000000003,N0000000011,3
N0000000008,N0000000011,2
N0000000009,N0000000011,1
N0000000011,N0000000011,0
N0000000003,N0000000012,2
N0000000003,N0000000013,3
N0000000008,N0000000012,1
N0000000008,N0000000013,2
N0000000012,N0000000012,0
N0000000012,N0000000013,1
N0000000013,N0000000013,0
N0000000003,N0000000014,3
N0000000008,N0000000014,2
N0000000012,N0000000014,1
N0000000014,N0000000014,0
N0000000003,N0000000015,2
N0000000008,N0000000015,1
N0000000015,N0000000015,0
N0000000003,N0000000016,2
N0000000008,N0000000016,1
N0000000016,N0000000016,0
N0000000003,N0000000017,2
N0000000008,N0000000017,1
N0000000017,N0000000017,0
N0000000003,N0000000018,1
N0000000003,N0000000019,2
N0000000018,N0000000018,0
N0000000018,N0000000019,1
N0000000019,N0000000019,0
N0000000003,N0000000020,2
N0000000018,N0000000020,1
N0000000020,N0000000020,0
N0000000003,N0000000021,2
N0000000018,N0000000021,1
N0000000021,N0000000021,0
N0000000003,N0000000022,1
N0000000003,N0000000023,2
N0000000003,N0000000024,3
N0000000003,N0000000025,4
N0000000022,N0000000022,0
N0000000022,N0000000023,1
N0000000022,N0000000024,2
N0000000022,N0000000025,3
N0000000023,N0000000023,0
N0000000023,N0000000024,1
N0000000023,N0000000025,2
N0000000024,N0000000024,0
N0000000024,N0000000025,1
N0000000025,N0000000025,0
N0000000003,N0000000026,4
N0000000022,N0000000026,3
N0000000023,N0000000026,2
N0000000024,N0000000026,1
N0000000026,N0000000026,0
N0000000003,N0000000027,4
N0000000022,N0000000027,3
N0000000023,N0000000027,2
N0000000024,N0000000027,1
N0000000027,N0000000027,0
N0000000003,N0000000028,4
N0000000022,N0000000028,3
N0000000023,N0000000028,2
N0000000024,N0000000028,1
N0000000028,N0000000028,0
N0000000003,N0000000029,4
N0000000022,N0000000029,3
N0000000023,N0000000029,2
N0000000024,N0000000029,1
N0000000029,N0000000029,0
N0000000003,N0000000030,3
N0000000003,N0000000031,4
N0000000022,N0000000030,2
N0000000022,N0000000031,3
N0000000023,N0000000030,1
N0000000023,N0000000031,2
N0000000030,N0000000030,0
N0000000030,N0000000031,1
N0000000031,N0000000031,0
N0000000003,N0000000032,4
N0000000022,N0000000032,3
N0000000023,N0000000032,2
N0000000030,N0000000032,1
N0000000032,N0000000032,0
N0000000003,N0000000033,4
N0000000022,N0000000033,3
N0000000023,N0000000033,2
N0000000030,N0000000033,1
N0000000033,N0000000033,0
N0000000003,N0000000034,4
N0000000022,N0000000034,3
N0000000023,N0000000034,2
N0000000030,N0000000034,1
N0000000034,N0000000034,0
N0000000003,N0000000035,4
N0000000022,N0000000035,3
N0000000023,N0000000035,2
N0000000030,N0000000035,1
N0000000035,N0000000035,0
