ancestor_concept_code,descendant_concept_code,level_of_separation
N0000178293,N0000178293,0
N0000178293,N0000178294,1
N0000178294,N0000178294,0
N0000178293,N0000178295,1
N0000178293,N0000178296,2
N0000178295,N0000178295,0
N0000178295,N0000178296,1
N0000178296,N0000178296,0
N0000178293,N0000178297,2
N0000178295,N0000178297,1
N0000178297,N0000178297,0
N0000178293,N0000178298,2
N0000178295,N0000178298,1
N0000178298,N0000178298,0
N0000178293,N0000178299,2
N0000178295,N0000178299,1
N0000178299,N0000178299,0
N0000178293,N0000178300,2
N0000178295,N0000178300,1
N0000178300,N0000178300,0
N0000178293,N0000178301,2
N0000178295,N0000178301,1
N0000178301,N0000178301,0
N0000178293,N0000178302,2
N0000178295,N0000178302,1
N0000178302,N0000178302,0
N0000178293,N0000178303,2
N0000178295,N0000178303,1
N0000178303,N0000178303,0
N0000178293,N0000178304,2
N0000178295,N0000178304,1
N0000178304,N0000178304,0
N0000178293,N0000178305,2
N0000178295,N0000178305,1
N0000178305,N0000178305,0
N0000178293,N0000178306,1
N0000178306,N0000178306,0
N0000178293,N0000178307,1
N0000178307,N0000178307,0
N0000178293,N0000178308,1
N0000178308,N0000178308,0
N0000178293,N0000178309,1
N0000178293,N0000178310,2
N0000178309,N0000178309,0
N0000178309,N0000178310,1
N0000178310,N0000178310,0
N0000178293,N0000178311,2
N0000178309,N0000178311,1
N0000178311,N0000178311,0
N0000178293,N0000178312,1
N0000178293,N0000178313,2
N0000178312,N0000178312,0
N0000178312,N0000178313,1
N0000178313,N0000178313,0
N0000178293,N0000178314,2
N0000178312,N0000178314,1
N0000178314,N0000178314,0
N0000178293,N0000178315,2
N0000178312,N0000178315,1
N0000178315,N0000178315,0
N0000178293,N0000178316,2
N0000178312,N0000178316,1
N0000178316,N0000178316,0
N0000178293,N0000178371,2
N0000178312,N0000178371,1
N0000178371,N0000178371,0
N0000178293,N0000178317,1
N0000178317,N0000178317,0
N0000178293,N0000178318,1
N0000178293,N0000178319,2
N0000178318,N0000178318,0
N0000178318,N0000178319,1
N0000178319,N0000178319,0
N0000178293,N0000178370,1
N0000178370,N0000178370,0
N0000178370,N0000178371,1
N0000178293,N0000178373,2
N0000178370,N0000178373,1
N0000178373,N0000178373,0
N0000178293,N0000193809,1
N0000193809,N0000193809,0
N0000178293,N0000193810,1
N0000193810,N0000193810,0
N0000178293,N0000193811,1
N0000193811,N0000193811,0
N0000178293,N0000193812,1
N0000193812,N0000193812,0
N0000178293,N0000193813,1
N0000193813,N0000193813,0
N0000178293,N0000193814,1
N0000193814,N0000193814,0
N0000178293,N0000193815,1
N0000193815,N0000193815,0
N0000178293,N0000193816,1
N0000193816,N0000193816,0
N0000178293,N0000193817,1
N0000193817,N0000193817,0
N0000178293,N0000193818,1
N0000193818,N0000193818,0
N0000178293,N0000193819,1
N0000193819,N0000193819,0
N0000178293,N0000193820,1
N0000193820,N0000193820,0
N0000178293,N0000193821,1
N0000193821,N0000193821,0
N0000178293,N0000193822,1
N0000193822,N0000193822,0
N0000178293,N0000193823,1
N0000193823,N0000193823,0
N0000178293,N0000193824,1
N0000193824,N0000193824,0
N0000178293,N0000193825,1
N0000193825,N0000193825,0
N0000178293,N0000193826,1
N0000178293,N0000193827,2
N0000193826,N0000193826,0
N0000193826,N0000193827,1
N0000193827,N0000193827,0
N0000178293,N0000193828,2
N0000193826,N0000193828,1
N0000193828,N0000193828,0
N0000178293,N0000193829,2
N0000193826,N0000193829,1
N0000193829,N0000193829,0
N0000178293,N0000193830,2
N0000193826,N0000193830,1
N0000193830,N0000193830,0
N0000178293,N0000193831,2
N0000193826,N0000193831,1
N0000193831,N0000193831,0
N0000178293,N0000193836,1
N0000178293,N0000193832,2
N0000193836,N0000193836,0
N0000193836,N0000193832,1
N0000193832,N0000193832,0
N0000178293,N0000193833,2
N0000193836,N0000193833,1
N0000193833,N0000193833,0
N0000178293,N0000193834,2
N0000193836,N0000193834,1
N0000193834,N0000193834,0
N0000178293,N0000193835,2
N0000193836,N0000193835,1
N0000193835,N0000193835,0
N0000178293,N0000193837,1
N0000193837,N0000193837,0
N0000178293,N0000193838,1
N0000193838,N0000193838,0
N0000178293,N0000193839,1
N0000193839,N0000193839,0
N0000178293,N0000193840,1
N0000193840,N0000193840,0
N0000178293,N0000193841,1
N0000193841,N0000193841,0
N0000178293,N0000193842,1
N0000193842,N0000193842,0
N0000178293,N0000193843,1
N0000193843,N0000193843,0
N0000178293,N0000193844,1
N0000193844,N0000193844,0
