ancestor_concept_code,descendant_concept_code,level_of_separation
VA000,VA000,0
VA000,AA000,1
AA000,AA000,0
VA000,AD000,1
VA000,AD100,2
AD000,AD000,0
AD000,AD100,1
AD100,AD100,0
VA000,AD200,2
AD000,AD200,1
AD200,AD200,0
VA000,AD300,2
AD000,AD300,1
AD300,AD300,0
VA000,AD400,2
AD000,AD400,1
AD400,AD400,0
VA000,AD900,2
AD000,AD900,1
AD900,AD900,0
VA000,AH000,1
VA000,AH100,2
AH000,AH000,0
AH000,AH100,1
AH100,AH100,0
VA000,AH102,2
AH000,AH102,1
AH102,AH102,0
VA000,AH103,2
AH000,AH103,1
AH103,AH103,0
VA000,AH104,2
AH000,AH104,1
AH104,AH104,0
VA000,AH105,2
AH000,AH105,1
AH105,AH105,0
VA000,AH106,2
AH000,AH106,1
AH106,AH106,0
VA000,AH107,2
AH000,AH107,1
AH107,AH107,0
VA000,AH109,2
AH000,AH109,1
AH109,AH109,0
VA000,AM000,1
VA000,AM114,2
VA000,AM110,3
AM000,AM000,0
AM000,AM114,1
AM000,AM110,2
AM114,AM114,0
AM114,AM110,1
AM110,AM110,0
VA000,AM111,3
AM000,AM111,2
AM114,AM111,1
AM111,AM111,0
VA000,AM112,3
AM000,AM112,2
AM114,AM112,1
AM112,AM112,0
VA000,AM113,3
AM000,AM113,2
AM114,AM113,1
AM113,AM113,0
VA000,AM115,3
AM000,AM115,2
AM114,AM115,1
AM115,AM115,0
VA000,AM116,3
AM000,AM116,2
AM114,AM116,1
AM116,AM116,0
VA000,AM117,3
AM000,AM117,2
AM114,AM117,1
AM117,AM117,0
VA000,AM118,3
AM000,AM118,2
AM114,AM118,1
AM118,AM118,0
VA000,AM119,3
AM000,AM119,2
AM114,AM119,1
AM119,AM119,0
VA000,AM150,2
AM000,AM150,1
AM150,AM150,0
VA000,AM200,2
AM000,AM200,1
AM200,AM200,0
VA000,AM250,2
AM000,AM250,1
AM250,AM250,0
VA000,AM300,2
AM000,AM300,1
AM300,AM300,0
VA000,AM350,2
AM000,AM350,1
AM350,AM350,0
VA000,AM400,2
AM000,AM400,1
AM400,AM400,0
VA000,AM500,2
AM000,AM500,1
AM500,AM500,0
VA000,AM550,2
AM000,AM550,1
AM550,AM550,0
VA000,AM600,2
AM000,AM600,1
AM600,AM600,0
VA000,AM650,2
AM000,AM650,1
AM650,AM650,0
VA000,AM700,2
AM000,AM700,1
AM700,AM700,0
VA000,AM800,2
AM000,AM800,1
AM800,AM800,0
VA000,AM900,2
AM000,AM900,1
AM900,AM900,0
VA000,AN000,1
VA000,AN100,2
AN000,AN000,0
AN000,AN100,1
AN100,AN100,0
VA000,AN200,2
AN000,AN200,1
AN200,AN200,0
VA000,AN300,2
AN000,AN300,1
AN300,AN300,0
VA000,AN400,2
AN000,AN400,1
AN400,AN400,0
VA000,AN500,2
AN000,AN500,1
AN500,AN500,0
VA000,AN600,2
AN000,AN600,1
AN600,AN600,0
VA000,AN700,2
AN000,AN700,1
AN700,AN700,0
VA000,AN900,2
AN000,AN900,1
AN900,AN900,0
VA000,AP000,1
VA000,AP100,2
VA000,AP101,3
AP000,AP000,0
AP000,AP100,1
AP000,AP101,2
AP100,AP100,0
AP100,AP101,1
AP101,AP101,0
VA000,AP109,3
AP000,AP109,2
AP100,AP109,1
AP109,AP109,0
VA000,AP200,2
AP000,AP200,1
AP200,AP200,0
VA000,AP300,2
AP000,AP300,1
AP300,AP300,0
VA000,AP900,2
AP000,AP900,1
AP900,AP900,0
VA000,AS000,1
AS000,AS000,0
VA000,AU000,1
VA000,AU100,2
AU000,AU000,0
AU000,AU100,1
AU100,AU100,0
VA000,AU200,2
AU000,AU200,1
