classId1,rela,classId2
AA000,isa,VA000
AD000,isa,VA000
AD000,isa,VA000
AD100,isa,AD000
AD000,isa,VA000
AD200,isa,AD000
AD000,isa,VA000
AD300,isa,AD000
AD000,isa,VA000
AD400,isa,AD000
AD000,isa,VA000
AD900,isa,AD000
AH000,isa,VA000
AH000,isa,VA000
AH100,isa,AH000
AH000,isa,VA000
AH102,isa,AH000
AH000,isa,VA000
AH103,isa,AH000
AH000,isa,VA000
AH104,isa,AH000
AH000,isa,VA000
AH105,isa,AH000
AH000,isa,VA000
AH106,isa,AH000
AH000,isa,VA000
AH107,isa,AH000
AH000,isa,VA000
AH109,isa,AH000
AM000,isa,VA000
AM000,isa,VA000
AM110,isa,AM114
AM114,isa,AM000
AM000,isa,VA000
AM111,isa,AM114
AM114,isa,AM000
AM000,isa,VA000
AM112,isa,AM114
AM114,isa,AM000
AM000,isa,VA000
AM113,isa,AM114
AM114,isa,AM000
AM000,isa,VA000
AM114,isa,AM000
AM000,isa,VA000
AM114,isa,AM000
AM115,isa,AM114
AM000,isa,VA000
AM114,isa,AM000
AM116,isa,AM114
AM000,isa,VA000
AM114,isa,AM000
AM117,isa,AM114
AM000,isa,VA000
AM114,isa,AM000
AM118,isa,AM114
AM000,isa,VA000
AM114,isa,AM000
AM119,isa,AM114
AM000,isa,VA000
AM150,isa,AM000
AM000,isa,VA000
AM200,isa,AM000
AM000,isa,VA000
AM250,isa,AM000
AM000,isa,VA000
AM300,isa,AM000
AM000,isa,VA000
AM350,isa,AM000
AM000,isa,VA000
AM400,isa,AM000
AM000,isa,VA000
AM500,isa,AM000
AM000,isa,VA000
AM550,isa,AM000
AM000,isa,VA000
AM600,isa,AM000
AM000,isa,VA000
AM650,isa,AM000
AM000,isa,VA000
AM700,isa,AM000
AM000,isa,VA000
AM800,isa,AM000
AM000,isa,VA000
AM900,isa,AM000
AN000,isa,VA000
AN000,isa,VA000
AN100,isa,AN000
AN000,isa,VA000
AN200,isa,AN000
AN000,isa,VA000
AN300,isa,AN000
AN000,isa,VA000
AN400,isa,AN000
AN000,isa,VA000
AN500,isa,AN000
AN000,isa,VA000
AN600,isa,AN000
AN000,isa,VA000
AN700,isa,AN000
AN000,isa,VA000
AN900,isa,AN000
AP000,isa,VA000
AP000,isa,VA000
AP100,isa,AP000
AP000,isa,VA000
AP100,isa,AP000
AP101,isa,AP100
AP000,isa,VA000
AP100,isa,AP000
AP109,isa,AP100
AP000,isa,VA000
AP200,isa,AP000
AP000,isa,VA000
AP300,isa,AP000
AP000,isa,VA000
AP900,isa,AP000
AS000,isa,VA000
AU000,isa,VA000
AU000,isa,VA000
AU100,isa,AU000
AU000,isa,VA000
AU200,isa,AU000
AU000,isa,VA000
AU300,isa,AU000
AU000,isa,VA000
AU350,isa,AU000
AU000,isa,VA000
AU900,isa,AU000
BL000,isa,VA000
BL000,isa,VA000
BL110,isa,BL000
BL000,isa,VA000
BL115,isa,BL000
BL000,isa,VA000
BL116,isa,BL000
BL000,isa,VA000
BL117,isa,BL000
BL000,isa,VA000
BL118,isa,BL000
BL000,isa,VA000
BL400,isa,BL000
BL000,isa,VA000
BL500,isa,BL000
BL000,isa,VA000
BL800,isa,BL000
BL000,isa,VA000
BL900,isa,BL000
CN000,isa,VA000
CN000,isa,VA000
CN100,isa,CN000
CN000,isa,VA000
CN100,isa,CN000
CN101,isa,CN100
CN000,isa,VA000
CN100,isa,CN000
CN102,isa,CN100
CN000,isa,VA000
CN100,isa,CN000
CN103,isa,CN100
CN000,isa,VA000
CN100,isa,CN000
CN104,isa,CN100
CN000,isa,VA000
CN100,isa,CN000
CN105,isa,CN100
CN000,isa,VA000
CN200,isa,CN000
CN000,isa,VA000
CN200,isa,CN000
CN201,isa,CN200
CN000,isa,VA000
CN200,isa,CN000
CN202,isa,CN200
CN000,isa,VA000
CN200,isa,CN000
CN203,isa,CN200
CN000,isa,VA000
CN200,isa,CN000
CN204,isa,CN200
CN000,isa,VA000
CN200,isa,CN000
CN205,isa,CN200
CN000,isa,VA000
CN300,isa,CN000
CN000,isa,VA000
CN300,isa,CN000
CN301,isa,CN300
CN000,isa,VA000
CN300,isa,CN000
CN302,isa,CN300
CN000,isa,VA000
CN300,isa,CN000
CN309,isa,CN300
CN000,isa,VA000
CN400,isa,CN000
CN000,isa,VA000
CN500,isa,CN000
CN000,isa,VA000
CN550,isa,CN000
CN000,isa,VA000
CN600,isa,CN000
CN000,isa,VA000
CN600,isa,CN000
CN601,isa,CN600
CN000,isa,VA000
CN600,isa,CN000
CN602,isa,CN600
CN000,isa,VA000
CN600,isa,CN000
CN609,isa,CN600
CN000,isa,VA000
CN700,isa,CN000
CN000,isa,VA000
CN700,isa,CN000
CN701,isa,CN700
CN000,isa,VA000
CN700,isa,CN000
CN709,isa,CN700
CN000,isa,VA000
CN750,isa,CN000
CN000,isa,VA000
CN800,isa,CN000
CN000,isa,VA000
CN800,isa,CN000
CN801,isa,CN800
CN000,isa,VA000
CN800,isa,CN000
CN802,isa,CN800
CN000,isa,VA000
CN800,isa,CN000
CN809,isa,CN800
CN000,isa,VA000
CN850,isa,CN000
CN000,isa,VA000
CN900,isa,CN000
CV000,isa,VA000
CV000,isa,VA000
CV050,isa,CV000
CV000,isa,VA000
CV100,isa,CV000
CV000,isa,VA000
CV150,isa,CV000
CV000,isa,VA000
CV200,isa,CV000
CV000,isa,VA000
CV250,isa,CV000
CV000,isa,VA000
CV300,isa,CV000
CV000,isa,VA000
CV350,isa,CV000
CV000,isa,VA000
CV400,isa,CV000
CV000,isa,VA000
CV490,isa,CV000
CV000,isa,VA000
CV500,isa,CV000
