ancestor_concept_code,descendant_concept_code,min_levels_of_separation,max_levels_of_separation
C030516,C030516,0,0
C045213,C045213,0,0
C045781,C045781,0,0
C072379,C072379,0,0
D000001,D000001,0,0
D000002,D000002,0,0
D000017,D000017,0,0
D000036,D000036,0,0
D000040,D000040,0,0
D000066970,D000066970,0,0
D000067048,D000067048,0,0
D000067397,D000067397,0,0
D000067401,D000067401,0,0
D000067528,D000067528,0,0
D000067528,D000067696,1,1
D000067528,D000067698,1,1
D000067528,D000067699,1,1
D000067528,D000067719,1,1
D000067528,D000067736,1,1
D000067531,D000067531,0,0
D000067548,D000067548,0,0
D000067556,D000067556,0,0
D000067596,D000067596,0,0
D000067616,D000067616,0,0
D000067696,D000067696,0,0
D000067698,D000067698,0,0
D000067699,D000067699,0,0
D000067719,D000067719,0,0
D000067736,D000067736,0,0
D000067756,D000067756,0,0
D000067756,D000067757,1,1
D000067756,D000067758,1,1
D000067757,D000067757,0,0
D000067758,D000067758,0,0
D000067759,D000067759,0,0
D000067776,D000067776,0,0
D000067776,D000067777,2,2
D000067776,D000067778,2,2
D000067776,D000067779,2,2
D000067776,D000067780,2,2
D000067776,D000067878,1,1
D000067776,D000067879,2,2
D000067776,D000071248,1,1
D000067776,D000074019,1,1
D000067776,D000075364,1,1
D000067776,D000076245,3,3
D000067776,D000081035,3,3
D000067776,D034441,1,1
D000067776,D034481,2,2
D000067776,D034482,2,2
D000067776,D034502,2,2
D000067776,D034541,2,2
D000067776,D034641,2,2
D000067776,D034664,2,2
D000067776,D034702,2,2
D000067776,D034722,2,2
D000067776,D034761,2,2
D000067776,D034802,2,2
D000067776,D051959,1,1
D000067777,D000067777,0,0
D000067778,D000067778,0,0
D000067779,D000067779,0,0
D000067780,D000067780,0,0
D000067816,D000067816,0,0
D000067816,D007768,1,1
D000067816,D007781,2,2
D000067816,D007782,1,1
D000067878,D000067878,0,0
D000067878,D000067879,1,1
D000067879,D000067879,0,0
D000068103,D000068103,0,0
D000068180,D000068180,0,0
D000068196,D000068196,0,0
D000068238,D000068238,0,0
D000068256,D000068256,0,0
D000068257,D000068257,0,0
D000068258,D000068258,0,0
D000068296,D000068296,0,0
D000068297,D000068297,0,0
D000068298,D000068297,1,1
D000068298,D000068298,0,0
D000068299,D000068297,1,1
D000068299,D000068299,0,0
D000068338,D000068338,0,0
D000068342,D000068342,0,0
D000068437,D000068437,0,0
D000068438,D000068438,0,0
D000068438,D000068599,1,1
D000068538,D000068538,0,0
D000068556,D000068556,0,0
D000068557,D000068557,0,0
D000068557,D000068558,1,1
D000068558,D000068558,0,0
D000068576,D000068576,0,0
D000068577,D000068577,0,0
D000068579,D000068579,0,0
D000068580,D000068580,0,0
D000068581,D000068581,0,0
D000068582,D000068582,0,0
D000068599,D000068599,0,0
D000068600,D000068600,0,0
D000068656,D000068656,0,0
D000068656,D000068758,1,1
D000068677,D000068677,0,0
D000068678,D000068678,0,0
D000068679,D000068257,1,1
D000068679,D000068678,1,1
D000068679,D000068679,0,0
D000068679,D000069480,1,1
D000068679,D000069545,1,1
D000068696,D000068678,1,1
D000068696,D000068696,0,0
D000068698,D000068257,1,1
D000068698,D000068678,1,1
D000068698,D000068698,0,0
D000068698,D000069480,1,1
D000068698,D000069545,1,1
D000068717,D000068717,0,0
D000068718,D000068718,0,0
D000068736,D000068736,0,0
D000068737,D000068737,0,0
D000068756,D000068756,0,0
D000068756,D000068838,1,1
D000068758,D000068758,0,0
D000068759,D000068758,1,1
D000068759,D000068759,0,0
D000068759,D000069502,1,1
D000068797,D000068797,0,0
D000068799,D000068799,0,0
D000068800,D000068800,0,0
D000068801,D000068801,0,0
D000068816,D000068801,1,1
D000068816,D000068816,0,0
D000068817,D000068817,0,0
D000068818,D000068818,0,0
D000068836,D000068836,0,0
D000068838,D000068838,0,0
D000068857,D000068857,0,0
D000068858,D000068858,0,0
D000068876,D000068876,0,0
D000068877,D000068877,0,0
D000068878,D000068878,0,0
D000068878,D000080044,1,1
D000068879,D000068879,0,0
D000068880,D000068880,0,0
D000068882,D000068882,0,0
D000068896,D000068896,0,0
D000068898,D000068898,0,0
D000068899,D000068899,0,0
D000068900,D000068899,1,1
D000068900,D000068900,0,0
D000068937,D000068937,0,0
D000069036,D000069036,0,0
D000069056,D000069056,0,0
D000069057,D000069057,0,0
D000069058,D000069058,0,0
D000069059,D000069059,0,0
D000069177,D000069177,0,0
D000069178,D000069178,0,0
D000069283,D000069283,0,0
D000069284,D000069177,2,2
D000069284,D000069178,2,2
D000069284,D000069284,0,0
D000069284,D000069294,1,1
D000069284,D000069296,2,2
D000069284,D000069319,2,2
D000069284,D000069320,2,2
D000069284,D000069376,2,2
D000069284,D000069377,2,2
D000069284,D000069816,1,1
D000069284,D000090622,1,1
D000069284,D058947,1,1
D000069285,D000069285,0,0
D000069286,D000069286,0,0
D000069287,D000069287,0,0
D000069294,D000069294,0,0
D000069296,D000069296,0,0
D000069319,D000069319,0,0
D000069320,D000069320,0,0
D000069347,D000069347,0,0
D000069348,D000069348,0,0
D000069349,D000069349,0,0
D000069376,D000069376,0,0
D000069377,D000069377,0,0
D000069438,D000069438,0,0
D000069438,D000069499,1,1
D000069439,D000069439,0,0
D000069442,D000069442,0,0
D000069443,D000069443,0,0
D000069444,D000069444,0,0
D000069445,D000069445,0,0
D000069446,D000069446,0,0
D000069447,D000069447,0,0
D000069448,D000069448,0,0
D000069449,D000069449,0,0
D000069450,D000069450,0,0
D000069452,D000069452,0,0
D000069454,D000069454,0,0
D000069455,D000069455,0,0
D000069458,D000069458,0,0
D000069459,D000069459,0,0
D000069461,D000069461,0,0
D000069462,D000069462,0,0
D000069463,D000069463,0,0
D000069464,D000069464,0,0
D000069465,D000069465,0,0
D000069468,D000069468,0,0
D000069470,D000069470,0,0
D000069472,D000069472,0,0
D000069474,D000069474,0,0
D000069476,D000069476,0,0
D000069478,D000069478,0,0
D000069479,D000069479,0,0
D000069480,D000069480,0,0
D000069499,D000069499,0,0
D000069501,D000069501,0,0
D000069502,D000069502,0,0
D000069503,D000069503,0,0
D000069545,D000069545,0,0
D000069547,D000069545,1,1
D000069547,D000069547,0,0
D000069549,D000069549,0,0
D000069552,D000069552,0,0
D000069557,D000069557,0,0
D000069559,D000069559,0,0
D000069579,D000069579,0,0
D000069580,D000069580,0,0
D000069582,D000069582,0,0
D000069583,D000069583,0,0
D000069585,D000069585,0,0
D000069594,D000069594,0,0
D000069603,D000069603,0,0
D000069604,D000069604,0,0
D000069605,D000069605,0,0
D000069616,D000069616,0,0
D000069816,D000069816,0,0
D000069877,D000069877,0,0
D000069896,D000069896,0,0
D000069997,D000069997,0,0
D000070,D000070,0,0
D000070017,D000070017,0,0
D000070136,D000070136,0,0
D000070136,D000070137,1,1
D000070136,D000070778,2,2
D000070136,D000070780,2,2
D000070136,D000070796,2,2
D000070136,D000070797,2,2
D000070136,D000071229,2,2
D000070137,D000070137,0,0
D000070137,D000070778,1,1
D000070137,D000070780,1,1
D000070137,D000070796,1,1
D000070137,D000070797,1,1
D000070137,D000071229,1,1
D000070156,D000070156,0,0
D000070156,D000070816,1,1
D000070156,D000070817,1,1
D000070416,D000070416,0,0
D000070576,D000070576,0,0
D000070576,D000071199,1,1
D000070576,D053472,1,1
D000070576,D053473,2,2
D000070576,D053474,2,2
D000070579,D000070579,0,0
D000070579,D000071158,1,1
D000070579,D000071617,1,1
D000070579,D000074923,1,1
D000070579,D043222,1,1
D000070579,D051844,1,1
D000070584,D000070584,0,0
D000070584,D000071156,1,1
D000070584,D000071198,1,1
D000070584,D000076183,1,1
D000070585,D000070585,0,0
D000070585,D051096,1,1
D000070590,D000070590,0,0
D000070590,D000071245,1,1
D000070590,D000071246,2,2
D000070590,D000071247,2,2
D000070590,D000071256,2,2
D000070590,D000074011,1,1
D000070590,D000074058,2,2
D000070590,D000074082,2,2
D000070590,D000074083,2,2
D000070590,D000074542,1,1
D000070590,D000075102,2,2
D000070590,D000075703,1,1
D000070590,D000076988,1,1
D000070590,D000077003,2,2
D000070590,D000079923,2,2
D000070590,D000080083,1,1
D000070590,D000226,1,1
D000070590,D001457,3,3
D000070590,D017923,1,1
D000070590,D027182,1,1
D000070590,D027201,2,2
D000070590,D027202,2,2
D000070590,D027241,1,1
D000070590,D027261,2,2
D000070590,D027282,3,3
D000070590,D027283,4,4
D000070590,D027301,3,3
D000070590,D027322,1,1
D000070590,D027341,3,3
D000070590,D027342,3,3
D000070590,D027362,1,1
D000070590,D027381,1,1
D000070590,D027701,1,1
D000070590,D027702,2,2
D000070590,D027963,2,2
D000070590,D027982,2,2
D000070590,D028021,1,1
D000070590,D033705,1,1
D000070590,D033721,2,2
D000070590,D033722,2,2
D000070590,D033741,2,2
D000070590,D033742,2,2
D000070590,D033781,2,2
D000070590,D050483,1,1
D000070590,D050484,1,1
D000070590,D050486,1,1
D000070590,D050491,2,2
D000070590,D050580,3,3
D000070590,D050581,3,3
D000070590,D050582,3,3
D000070590,D050610,1,1
D000070590,D050611,1,1
D000070590,D050613,2,2
D000070590,D050614,2,2
D000070590,D050615,2,2
D000070590,D051246,1,1
D000070590,D051269,1,1
D000070590,D051272,2,2
D000070590,D051273,2,2
D000070590,D051274,2,2
D000070590,D051275,2,2
D000070590,D051296,2,2
D000070590,D051297,1,1
D000070590,D058978,1,1
D000070590,D058979,1,1
D000070590,D060347,1,1
D000070590,D064466,2,2
D000070590,D064486,2,2
D000070590,D064506,2,2
D000070590,D064507,2,2
D000070590,D064606,1,1
D000070778,D000070778,0,0
D000070780,D000070780,0,0
D000070796,D000070796,0,0
D000070797,D000070797,0,0
D000070798,D000070798,0,0
D000070816,D000070816,0,0
D000070817,D000070817,0,0
D000070818,D000070818,0,0
D000070818,D000070819,1,1
D000070818,D000070820,1,1
D000070819,D000070819,0,0
D000070820,D000070820,0,0
D000070821,D000070821,0,0
D000070837,D000070837,0,0
D000070837,D000074443,2,2
D000070837,D050880,2,2
D000070837,D050881,3,3
D000070837,D050882,3,3
D000070837,D051548,1,1
D000070837,D056920,2,2
D000070837,D056921,2,2
D000070837,D056926,2,2
D000070837,D063212,2,2
D000070876,D000070876,0,0
D000070956,D000070956,0,0
D000070956,D000070957,1,1
D000070956,D000070976,1,1
D000070957,D000070957,0,0
D000070976,D000070976,0,0
D000070996,D000070996,0,0
D000070996,D000070997,1,1
D000070996,D000070998,1,1
D000070996,D000071018,1,1
D000070996,D000071019,1,1
D000070997,D000070997,0,0
D000070998,D000070998,0,0
D000071018,D000071018,0,0
D000071019,D000071019,0,0
D000071020,D000071020,0,0
D000071058,D000071058,0,0
D000071063,D000071063,0,0
D000071068,D000071068,0,0
D000071096,D000071096,0,0
D000071096,D000071097,1,1
D000071096,D000071116,1,1
D000071096,D000071118,1,1
