rxcui,name,tty,SourceId,SourceName,Relation,classId
10355,temazepam,IN,CHB1QD2QSS,TEMAZEPAM,INDIRECT,D000072471
1040005,ceftaroline,IN,H36Z0FHR8K,CEFTAROLINE,INDIRECT,D000072471
10502,thioridazine,IN,N3D6TG58NI,THIORIDAZINE,INDIRECT,D000072471
10767,triazolam,IN,1HM943223R,TRIAZOLAM,INDIRECT,D000072471
10800,trifluoperazine,IN,214IZI85K3,TRIFLUOPERAZINE,INDIRECT,D000072471
11198,vinblastine,IN,5V9KLZ54CY,VINBLASTINE,INDIRECT,D000072471
11202,vincristine,IN,5J49Q6B70F,VINCRISTINE,INDIRECT,D000072471
11248,vitamin B12,IN,P6YC3EG204,CYANOCOBALAMIN,INDIRECT,D000072471
1256,azathioprine,IN,MRK240IY2L,AZATHIOPRINE,INDIRECT,D000072471
1272,aztreonam,IN,G2B4VE5GH8,AZTREONAM,INDIRECT,D000072471
1297882,amoxicillin anhydrous,PIN,9EM05410Q9,AMOXICILLIN ANHYDROUS,INDIRECT,D000072471
1299782,cephalexin anhydrous,PIN,5SFF1W6677,CEPHALEXIN ANHYDROUS,INDIRECT,D000072471
1364504,bedaquiline,IN,78846I289Y,BEDAQUILINE,INDIRECT,D000072471
138099,gemifloxacin,IN,OKR68Y0E4T,GEMIFLOXACIN,INDIRECT,D000072471
139462,moxifloxacin,IN,U188XYD42P,MOXIFLOXACIN,INDIRECT,D000072471
1450910,cefaclor anhydrous,PIN,3Z6FS3IK0K,CEFACLOR ANHYDROUS,INDIRECT,D000072471
1545975,cefadroxil anhydrous,PIN,Q525PA8JJB,CEFADROXIL ANHYDROUS,INDIRECT,D000072471
1545984,ceftazidime anhydrous,PIN,DZR1ENT301,CEFTAZIDIME ANHYDROUS,INDIRECT,D000072471
1545986,imipenem anhydrous,PIN,Q20IM7HE75,IMIPENEM ANHYDROUS,INDIRECT,D000072471
1546000,piperacillin anhydrous,PIN,9I628532GX,PIPERACILLIN ANHYDROUS,INDIRECT,D000072471
1546021,cefixime anhydrous,PIN,XZ7BG04GJX,CEFIXIME ANHYDROUS,INDIRECT,D000072471
1546025,gatifloxacin anhydrous,PIN,81485Y3A9A,GATIFLOXACIN ANHYDROUS,INDIRECT,D000072471
1546029,meropenem anhydrous,PIN,YOP6PX0BAO,MEROPENEM ANHYDROUS,INDIRECT,D000072471
