rxcui,name,tty,SourceId,SourceName,Relation,classId
10355,temazepam,IN,10355,temazepam,INDIRECT,D000072471
1040005,ceftaroline,IN,1040005,ceftaroline,INDIRECT,D000072471
10502,thioridazine,IN,10502,thioridazine,INDIRECT,D000072471
10767,triazolam,IN,10767,triazolam,INDIRECT,D000072471
10800,trifluoperazine,IN,10800,trifluoperazine,INDIRECT,D000072471
11198,vinblastine,IN,11198,vinblastine,INDIRECT,D000072471
11202,vincristine,IN,11202,vincristine,INDIRECT,D000072471
11248,vitamin B12,IN,11248,vitamin B12,INDIRECT,D000072471
1256,azathioprine,IN,1256,azathioprine,INDIRECT,D000072471
1272,aztreonam,IN,1272,aztreonam,INDIRECT,D000072471
1297882,amoxicillin anhydrous,PIN,1297882,amoxicillin anhydrous,INDIRECT,D000072471
1299782,cephalexin anhydrous,PIN,1299782,cephalexin anhydrous,INDIRECT,D000072471
1364504,bedaquiline,IN,1364504,bedaquiline,INDIRECT,D000072471
138099,gemifloxacin,IN,138099,gemifloxacin,INDIRECT,D000072471
139462,moxifloxacin,IN,139462,moxifloxacin,INDIRECT,D000072471
1450910,cefaclor anhydrous,PIN,1450910,cefaclor anhydrous,INDIRECT,D000072471
1545975,cefadroxil anhydrous,PIN,1545975,cefadroxil anhydrous,INDIRECT,D000072471
1545984,ceftazidime anhydrous,PIN,1545984,ceftazidime anhydrous,INDIRECT,D000072471
1545986,imipenem anhydrous,PIN,1545986,imipenem anhydrous,INDIRECT,D000072471
1546000,piperacillin anhydrous,PIN,1546000,piperacillin anhydrous,INDIRECT,D000072471
1546021,cefixime anhydrous,PIN,1546021,cefixime anhydrous,INDIRECT,D000072471
1546025,gatifloxacin anhydrous,PIN,1546025,gatifloxacin anhydrous,INDIRECT,D000072471
1546029,meropenem anhydrous,PIN,1546029,meropenem anhydrous,INDIRECT,D000072471
1597609,ceftolozane,IN,1597609,ceftolozane,INDIRECT,D000072471
1760,bromocriptine,IN,1760,bromocriptine,INDIRECT,D000072471
1886,caffeine,IN,1886,caffeine,INDIRECT,D000072471
