classId1,rela,classId2
N0000000008,isa,N0000000003
N0000000008,isa,N0000000003
N0000000009,isa,N0000000008
N0000000008,isa,N0000000003
N0000000009,isa,N0000000008
N0000000010,isa,N0000000009
N0000000008,isa,N0000000003
N0000000009,isa,N0000000008
N0000000011,isa,N0000000009
N0000000008,isa,N0000000003
N0000000012,isa,N0000000008
N0000000008,isa,N0000000003
N0000000012,isa,N0000000008
N0000000013,isa,N0000000012
N0000000008,isa,N0000000003
N0000000012,isa,N0000000008
N0000000014,isa,N0000000012
N0000000008,isa,N0000000003
N0000000015,isa,N0000000008
N0000000008,isa,N0000000003
N0000000016,isa,N0000000008
N0000000008,isa,N0000000003
N0000000017,isa,N0000000008
N0000000018,isa,N0000000003
N0000000018,isa,N0000000003
N0000000019,isa,N0000000018
N0000000018,isa,N0000000003
N0000000020,isa,N0000000018
N0000000018,isa,N0000000003
N0000000021,isa,N0000000018
N0000000022,isa,N0000000003
N0000000022,isa,N0000000003
N0000000023,isa,N0000000022
N0000000022,isa,N0000000003
N0000000023,isa,N0000000022
N0000000024,isa,N0000000023
N0000000022,isa,N0000000003
N0000000023,isa,N0000000022
N0000000024,isa,N0000000023
N0000000025,isa,N0000000024
N0000000022,isa,N0000000003
N0000000023,isa,N0000000022
N0000000024,isa,N0000000023
N0000000026,isa,N0000000024
N0000000022,isa,N0000000003
N0000000023,isa,N0000000022
N0000000024,isa,N0000000023
N0000000027,isa,N0000000024
N0000000022,isa,N0000000003
N0000000023,isa,N0000000022
N0000000024,isa,N0000000023
N0000000028,isa,N0000000024
N0000000022,isa,N0000000003
N0000000023,isa,N0000000022
N0000000024,isa,N0000000023
N0000000029,isa,N0000000024
N0000000022,isa,N0000000003
N0000000023,isa,N0000000022
N0000000030,isa,N0000000023
N0000000022,isa,N0000000003
N0000000023,isa,N0000000022
N0000000030,isa,N0000000023
N0000000031,isa,N0000000030
N0000000022,isa,N0000000003
N0000000023,isa,N0000000022
N0000000030,isa,N0000000023
N0000000032,isa,N0000000030
N0000000022,isa,N0000000003
N0000000023,isa,N0000000022
N0000000030,isa,N0000000023
N0000000033,isa,N0000000030
N0000000022,isa,N0000000003
N0000000023,isa,N0000000022
N0000000030,isa,N0000000023
N0000000034,isa,N0000000030
N0000000022,isa,N0000000003
N0000000023,isa,N0000000022
N0000000030,isa,N0000000023
N0000000035,isa,N0000000030
N0000000022,isa,N0000000003
N0000000023,isa,N0000000022
N0000000030,isa,N0000000023
N0000000036,isa,N0000000030
N0000000022,isa,N0000000003
N0000000023,isa,N0000000022
N0000000030,isa,N0000000023
N0000000037,isa,N0000000030
N0000000022,isa,N0000000003
N0000000023,isa,N0000000022
N0000000030,isa,N0000000023
N0000000038,isa,N0000000030
N0000000022,isa,N0000000003
N0000000023,isa,N0000000022
N0000000030,isa,N0000000023
N0000000039,isa,N0000000030
N0000000022,isa,N0000000003
N0000000023,isa,N0000000022
N0000000030,isa,N0000000023
N0000000040,isa,N0000000030
N0000000022,isa,N0000000003
N0000000041,isa,N0000000022
N0000000022,isa,N0000000003
N0000000041,isa,N0000000022
N0000000042,isa,N0000000041
N0000000022,isa,N0000000003
N0000000041,isa,N0000000022
N0000000043,isa,N0000000041
N0000000022,isa,N0000000003
N0000000041,isa,N0000000022
N0000000044,isa,N0000000041
N0000000022,isa,N0000000003
N0000000041,isa,N0000000022
N0000000045,isa,N0000000041
N0000000022,isa,N0000000003
N0000000041,isa,N0000000022
N0000000046,isa,N0000000041
N0000000022,isa,N0000000003
N0000000041,isa,N0000000022
N0000000047,isa,N0000000041
N0000000022,isa,N0000000003
N0000000041,isa,N0000000022
N0000000047,isa,N0000000041
N0000000048,isa,N0000000047
N0000000022,isa,N0000000003
N0000000041,isa,N0000000022
N0000000047,isa,N0000000041
N0000000049,isa,N0000000047
N0000000022,isa,N0000000003
N0000000041,isa,N0000000022
N0000000047,isa,N0000000041
N0000000050,isa,N0000000047
N0000000022,isa,N0000000003
N0000000041,isa,N0000000022
N0000000047,isa,N0000000041
N0000000051,isa,N0000000047
N0000000022,isa,N0000000003
N0000000041,isa,N0000000022
N0000000047,isa,N0000000041
N0000000052,isa,N0000000047
N0000000022,isa,N0000000003
N0000000041,isa,N0000000022
N0000000047,isa,N0000000041
N0000000053,isa,N0000000047
N0000000022,isa,N0000000003
N0000000041,isa,N0000000022
N0000000047,isa,N0000000041
N0000000054,isa,N0000000047
N0000000055,isa,N0000000003
N0000000055,isa,N0000000003
N0000000056,isa,N0000000055
N0000000055,isa,N0000000003
N0000000056,isa,N0000000055
N0000000057,isa,N0000000056
N0000000055,isa,N0000000003
N0000000056,isa,N0000000055
N0000000058,isa,N0000000056
N0000000055,isa,N0000000003
N0000000059,isa,N0000000055
N0000000055,isa,N0000000003
N0000000059,isa,N0000000055
N0000000060,isa,N0000000059
N0000000055,isa,N0000000003
N0000000059,isa,N0000000055
N0000000061,isa,N0000000059
N0000000055,isa,N0000000003
N0000000059,isa,N0000000055
N0000000062,isa,N0000000059
N0000000055,isa,N0000000003
N0000000063,isa,N0000000055
N0000000055,isa,N0000000003
N0000000064,isa,N0000000055
N0000000022,isa,N0000000003
N0000000023,isa,N0000000022
N0000000030,isa,N0000000023
N0000008289,isa,N0000000030
