classId,className,classType
AA000,INTRODUCTION,VA
VA000,VA CLASSES,VA
AD000,"ANTIDOTES,DETERRENTS AND POISON CONTROL",VA
VA000,VA CLASSES,VA
AD000,"ANTIDOTES,DETERRENTS AND POISON CONTROL",VA
AD100,ALCOHOL DETERRENTS,VA
VA000,VA CLASSES,VA
AD000,"ANTIDOTES,DETERRENTS AND POISON CONTROL",VA
AD200,CYANIDE ANTIDOTES,VA
VA000,VA CLASSES,VA
AD000,"ANTIDOTES,DETERRENTS AND POISON CONTROL",VA
AD300,HEAVY METAL ANTAGONISTS,VA
VA000,VA CLASSES,VA
AD000,"ANTIDOTES,DETERRENTS AND POISON CONTROL",VA
AD400,"ANTIDOTES,DETERRENTS,AND POISON CONTROL EXCHANGE RESINS",VA
VA000,VA CLASSES,VA
AD000,"ANTIDOTES,DETERRENTS AND POISON CONTROL",VA
AD900,"ANTIDOTES/DETERRENTS,OTHER",VA
VA000,VA CLASSES,VA
AH000,ANTIHISTAMINES,VA
VA000,VA CLASSES,VA
AH000,ANTIHISTAMINES,VA
AH100,"ANTIHISTAMINES,PHENOTHIAZINE",VA
VA000,VA CLASSES,VA
AH000,ANTIHISTAMINES,VA
AH102,"ANTIHISTAMINES,ETHANOLAMINE",VA
VA000,VA CLASSES,VA
AH000,ANTIHISTAMINES,VA
AH103,"ANTIHISTAMINES,ETHYLENEDIAMINE",VA
VA000,VA CLASSES,VA
AH000,ANTIHISTAMINES,VA
AH104,"ANTIHISTAMINES,ALKYLAMINE",VA
VA000,VA CLASSES,VA
AH000,ANTIHISTAMINES,VA
AH105,"ANTIHISTAMINES,PIPERAZINE",VA
VA000,VA CLASSES,VA
AH000,ANTIHISTAMINES,VA
AH106,"ANTIHISTAMINES,BUTYROPHENONE",VA
VA000,VA CLASSES,VA
AH000,ANTIHISTAMINES,VA
AH107,"ANTIHISTAMINES,PIPERIDINE",VA
VA000,VA CLASSES,VA
AH000,ANTIHISTAMINES,VA
AH109,"ANTIHISTAMINES,OTHER",VA
VA000,VA CLASSES,VA
AM000,ANTIMICROBIALS,VA
VA000,VA CLASSES,VA
AM000,ANTIMICROBIALS,VA
AM110,PENICILLIN-G RELATED PENICILLINS,VA
AM114,PENICILLINS AND BETA-LACTAM ANTIMICROBIALS,VA
VA000,VA CLASSES,VA
AM000,ANTIMICROBIALS,VA
AM111,"PENICILLINS,AMINO DERIVATIVES",VA
AM114,PENICILLINS AND BETA-LACTAM ANTIMICROBIALS,VA
VA000,VA CLASSES,VA
AM000,ANTIMICROBIALS,VA
AM112,PENICILLINASE-RESISTANT PENICILLINS,VA
AM114,PENICILLINS AND BETA-LACTAM ANTIMICROBIALS,VA
VA000,VA CLASSES,VA
AM000,ANTIMICROBIALS,VA
AM113,EXTENDED SPECTRUM PENICILLINS,VA
AM114,PENICILLINS AND BETA-LACTAM ANTIMICROBIALS,VA
