classId1,rela,classId2
C030516,isa,N0000177907
N0000177907,isa,N0000193784
N0000193784,isa,Z4
Z2,isa,Z1
Z4,isa,Z2
C045213,isa,N0000184152
N0000184152,isa,N0000193784
N0000193784,isa,Z4
Z2,isa,Z1
Z4,isa,Z2
C045781,isa,N0000184152
N0000184152,isa,N0000193784
N0000193784,isa,Z4
Z2,isa,Z1
Z4,isa,Z2
C072379,isa,N0000177907
N0000177907,isa,N0000193784
N0000193784,isa,Z4
Z2,isa,Z1
Z4,isa,Z2
D000001,isa,D001583
D000072471,isa,D006571
D001583,isa,D006574
D006571,isa,Z2
D006574,isa,D000072471
Z2,isa,Z1
D000002,isa,D063086
D007287,isa,Z2
D009930,isa,Z2
D009943,isa,D009930
D009946,isa,D009943
D009946,isa,D013457
D010755,isa,D009943
D013457,isa,D007287
D013457,isa,D009930
D063086,isa,D009946
D063086,isa,D010755
Z2,isa,Z1
D000017,isa,D001789
D000941,isa,D001685
D000954,isa,D000941
D001685,isa,Z2
D001789,isa,D000954
D001789,isa,D007519
D007519,isa,D000941
Z2,isa,Z1
D000036,isa,D037121
D000036,isa,D054790
D000602,isa,Z2
D004798,isa,D045762
D006026,isa,D006867
D006867,isa,D004798
D009699,isa,D006026
D010940,isa,D011506
D011506,isa,D000602
D037102,isa,D011506
D037121,isa,D010940
D037121,isa,D037102
D045762,isa,Z2
D054788,isa,D009699
D054788,isa,D010940
D054790,isa,D037121
D054790,isa,D054788
Z2,isa,Z1
D000040,isa,D000081222
D000040,isa,D002338
D000040,isa,D003509
D000081222,isa,D012717
D000146,isa,D002264
D000475,isa,D006839
D001685,isa,Z2
D002264,isa,D009930
D002338,isa,D010860
D002338,isa,D011090
D002338,isa,D013729
D002338,isa,D053138
D003509,isa,D000146
D003509,isa,D003510
D003510,isa,D003516
D003516,isa,D006840
D003516,isa,D047028
D006838,isa,D009930
D006839,isa,D006838
D006840,isa,D006844
D006844,isa,D006838
D009930,isa,Z2
D010860,isa,D001685
D011083,isa,Z2
D011090,isa,D000475
D012717,isa,D013729
D013729,isa,D006838
D047028,isa,D011083
D053138,isa,D003510
Z2,isa,Z1
D000066970,isa,D011506
D000602,isa,Z2
D011506,isa,D000602
Z2,isa,Z1
D000067048,isa,D002079
D002079,isa,D004041
D004041,isa,D005223
D005223,isa,D008055
D008055,isa,Z2
Z2,isa,Z1
D000067397,isa,D002619
D000067397,isa,D020313
D002619,isa,D011042
D004786,isa,D020164
D009676,isa,D004786
D011042,isa,D009676
D011042,isa,D020313
D020164,isa,Z2
D020313,isa,D020164
Z2,isa,Z1
D000067401,isa,D000431
D000431,isa,D000438
D000438,isa,D009930
D009930,isa,Z2
Z2,isa,Z1
D000067528,isa,D009419
D000067528,isa,D009687
D000602,isa,Z2
D009419,isa,D011506
D009687,isa,D011506
D011506,isa,D000602
Z2,isa,Z1
D000067531,isa,D018836
D001685,isa,Z2
D018836,isa,D001685
Z2,isa,Z1
D000067548,isa,D001697
D001697,isa,D020313
D001697,isa,Z2
D020164,isa,Z2
D020313,isa,D020164
Z2,isa,Z1
D000067556,isa,D038621
D009696,isa,D009706
D009706,isa,Z2
D012313,isa,D009696
D012333,isa,D012313
D020506,isa,D012333
D020506,isa,D022661
D022661,isa,D012313
D038621,isa,D020506
Z2,isa,Z1
D000067596,isa,D007378
D000602,isa,Z2
D001685,isa,Z2
D007378,isa,D016207
D010455,isa,D000602
D011506,isa,D000602
D016207,isa,D036341
D036341,isa,D001685
D036341,isa,D010455
D036341,isa,D011506
Z2,isa,Z1
D000067616,isa,D009418
D000602,isa,Z2
D002135,isa,D002352
D002352,isa,D011506
D009418,isa,D002135
D009418,isa,D009419
D009419,isa,D011506
D011506,isa,D000602
Z2,isa,Z1
D000067528,isa,D009419
D000067528,isa,D009687
D000067696,isa,D000067528
D000602,isa,Z2
D009419,isa,D011506
D009687,isa,D011506
D011506,isa,D000602
Z2,isa,Z1
D000067528,isa,D009419
D000067528,isa,D009687
D000067698,isa,D000067528
D000067698,isa,D039102
D000602,isa,Z2
D002352,isa,D011506
D009419,isa,D011506
D009687,isa,D011506
D009698,isa,D011506
D011506,isa,D000602
D016601,isa,D002352
D016601,isa,D009698
D039102,isa,D016601
Z2,isa,Z1
D000067528,isa,D009419
D000067528,isa,D009687
D000067699,isa,D000067528
D000067699,isa,D000072017
D000072017,isa,D004798
D000602,isa,Z2
D004798,isa,D045762
D009419,isa,D011506
D009687,isa,D011506
D011506,isa,D000602
D045762,isa,Z2
Z2,isa,Z1
D000067528,isa,D009419
D000067528,isa,D009687
D000067719,isa,D000067528
D000602,isa,Z2
D009419,isa,D011506
D009687,isa,D011506
D011506,isa,D000602
Z2,isa,Z1
D000067528,isa,D009419
D000067528,isa,D009687
D000067736,isa,D000067528
D000602,isa,Z2
D009419,isa,D011506
D009687,isa,D011506
D011506,isa,D000602
Z2,isa,Z1
D000067756,isa,D011964
D000067756,isa,D043562
D000602,isa,Z2
D008565,isa,D011506
D011506,isa,D000602
D011956,isa,D008565
D011964,isa,D018000
D018000,isa,D011956
D043562,isa,D011956
Z2,isa,Z1
D000067756,isa,D011964
D000067756,isa,D043562
D000067757,isa,D000067756
D000602,isa,Z2
D008565,isa,D011506
D011506,isa,D000602
D011956,isa,D008565
D011964,isa,D018000
D018000,isa,D011956
D043562,isa,D011956
Z2,isa,Z1
D000067756,isa,D011964
D000067756,isa,D043562
D000067758,isa,D000067756
D000602,isa,Z2
D008565,isa,D011506
D011506,isa,D000602
D011956,isa,D008565
D011964,isa,D018000
D018000,isa,D011956
D043562,isa,D011956
Z2,isa,Z1
D000067759,isa,D011956
D000602,isa,Z2
D008565,isa,D011506
D011506,isa,D000602
D011956,isa,D008565
Z2,isa,Z1
D000067776,isa,D016601
D000602,isa,Z2
D002352,isa,D011506
D009698,isa,D011506
D011506,isa,D000602
D016601,isa,D002352
D016601,isa,D009698
Z2,isa,Z1
D000067776,isa,D016601
D000067777,isa,D051959
D000602,isa,Z2
D002352,isa,D011506
D009419,isa,D011506
D009698,isa,D011506
D011506,isa,D000602
D016601,isa,D002352
D016601,isa,D009698
D051959,isa,D000067776
D051959,isa,D009419
Z2,isa,Z1
D000067776,isa,D016601
D000067778,isa,D051959
D000602,isa,Z2
D002352,isa,D011506
D009419,isa,D011506
D009698,isa,D011506
D011506,isa,D000602
D016601,isa,D002352
D016601,isa,D009698
D051959,isa,D000067776
D051959,isa,D009419
Z2,isa,Z1
D000067776,isa,D016601
D000067779,isa,D051959
D000602,isa,Z2
D002352,isa,D011506
D009419,isa,D011506
D009698,isa,D011506
D011506,isa,D000602
D016601,isa,D002352
D016601,isa,D009698
D051959,isa,D000067776
D051959,isa,D009419
Z2,isa,Z1
D000067776,isa,D016601
D000067780,isa,D051959
D000602,isa,Z2
D002352,isa,D011506
D009419,isa,D011506
D009698,isa,D011506
D011506,isa,D000602
D016601,isa,D002352
D016601,isa,D009698
D051959,isa,D000067776
D051959,isa,D009419
Z2,isa,Z1
D000067816,isa,D008894
D000080224,isa,D004044
D000602,isa,Z2
D004044,isa,D011506
D008894,isa,D000080224
D011506,isa,D000602
Z2,isa,Z1
D000067776,isa,D016601
D000067878,isa,D000067776
D000602,isa,Z2
D002352,isa,D011506
D009698,isa,D011506
D011506,isa,D000602
D016601,isa,D002352
D016601,isa,D009698
Z2,isa,Z1
D000067776,isa,D016601
D000067878,isa,D000067776
D000067879,isa,D000067878
D000602,isa,Z2
D002352,isa,D011506
D009698,isa,D011506
D011506,isa,D000602
D016601,isa,D002352
D016601,isa,D009698
Z2,isa,Z1
D000068103,isa,D000072260
D000072260,isa,D016601
D000602,isa,Z2
D002352,isa,D011506
D009698,isa,D011506
D011506,isa,D000602
D016601,isa,D002352
D016601,isa,D009698
Z2,isa,Z1
D000068180,isa,D010879
D000068180,isa,D015363
