classId1,rela,classId2
D000019,isa,D012102
D012102,isa,D045505
D012102,isa,D045506
D045505,isa,D020228
D045506,isa,D020228
D000019,isa,D012102
D000020,isa,D000019
D012102,isa,D045505
D012102,isa,D045506
D045505,isa,D020228
D045506,isa,D020228
D000019,isa,D012102
D000021,isa,D000019
D012102,isa,D045505
D012102,isa,D045506
D045505,isa,D020228
D045506,isa,D020228
D000067856,isa,D000970
D000067856,isa,D004791
D000970,isa,D045506
D004791,isa,D045504
D045504,isa,D020228
D045506,isa,D020228
D000067956,isa,D004791
D004791,isa,D045504
D045504,isa,D020228
D000068338,isa,D020123
D007783,isa,D009930
D009930,isa,Z2
D011083,isa,Z2
D018942,isa,D007783
D018942,isa,D061065
D020123,isa,D018942
D047028,isa,D011083
D061065,isa,D007783
D061065,isa,D047028
Z2,isa,Z1
D000068760,isa,D014179
D014179,isa,D018377
D014179,isa,D049990
D018377,isa,D045504
D018377,isa,D045505
D045504,isa,D020228
D045505,isa,D020228
D049990,isa,D045504
D000068776,isa,D006993
D002491,isa,D045506
D002492,isa,D002491
D002492,isa,D045505
D006993,isa,D002492
D045505,isa,D020228
D045506,isa,D020228
D000068776,isa,D006993
D000068796,isa,D000068776
D000068796,isa,D018377
D002491,isa,D045506
D002492,isa,D002491
D002492,isa,D045505
D006993,isa,D002492
D018377,isa,D045504
D018377,isa,D045505
D045504,isa,D020228
D045505,isa,D020228
D045506,isa,D020228
D000072664,isa,D014815
D014815,isa,D018977
D018977,isa,D045505
D045505,isa,D020228
D000074162,isa,D053491
D000602,isa,Z2
D010455,isa,D000602
D011506,isa,D000602
D053491,isa,D010455
D053491,isa,D011506
Z2,isa,Z1
D000074268,isa,D005765
D000074268,isa,D020536
D005765,isa,D045506
D020536,isa,D045504
D045504,isa,D020228
D045506,isa,D020228
D000074322,isa,D000970
D000970,isa,D045506
D045506,isa,D020228
D000075162,isa,D004304
D004304,isa,D004364
D004364,isa,Z2
Z2,isa,Z1
D000075242,isa,D047428
D004791,isa,D045504
D045504,isa,D020228
D047428,isa,D004791
D000075528,isa,D010592
D004364,isa,Z2
D010592,isa,D004364
D010592,isa,D020313
D020164,isa,Z2
D020313,isa,D020164
Z2,isa,Z1
D000075563,isa,D000806
D000806,isa,D011480
D004791,isa,D045504
D011480,isa,D004791
D045504,isa,D020228
D000077203,isa,D007004
D000077203,isa,D045504
D007004,isa,D045505
D045504,isa,D020228
D045505,isa,D020228
D000077221,isa,D000700
D000077221,isa,D045504
D000700,isa,D002491
D000700,isa,D018689
D002491,isa,D045506
D018373,isa,D045505
D018689,isa,D018373
D045504,isa,D020228
D045505,isa,D020228
D045506,isa,D020228
D000077264,isa,D045505
D045505,isa,D020228
D000077444,isa,D045506
D045506,isa,D020228
D000078604,isa,D045505
D045505,isa,D020228
D000079424,isa,D000893
D000893,isa,D045506
D045506,isa,D020228
D000080066,isa,D003270
D003270,isa,D012102
D012102,isa,D045505
D012102,isa,D045506
D045505,isa,D020228
D045506,isa,D020228
D000081082,isa,D004791
D004791,isa,D045504
D045504,isa,D020228
D000081227,isa,D018377
D018377,isa,D045504
D018377,isa,D045505
D045504,isa,D020228
D045505,isa,D020228
D000081243,isa,D007166
D000081243,isa,D045504
D007155,isa,D045505
D007166,isa,D007155
D045504,isa,D020228
D045505,isa,D020228
D000074322,isa,D000970
D000082082,isa,D000074322
D000082082,isa,D045504
D000970,isa,D045506
D045504,isa,D020228
D045506,isa,D020228
D000082142,isa,D000893
D000082142,isa,D007155
D000082142,isa,D018926
D000893,isa,D045506
D007155,isa,D045505
D018926,isa,D045506
D045505,isa,D020228
D045506,isa,D020228
D000084762,isa,D000998
D000084762,isa,D011480
D000890,isa,D045506
D000998,isa,D000890
D004791,isa,D045504
D011480,isa,D004791
D045504,isa,D020228
D045506,isa,D020228
D000084762,isa,D000998
D000084762,isa,D011480
D000085683,isa,D000084762
D000890,isa,D045506
D000998,isa,D000890
D004791,isa,D045504
D011480,isa,D004791
D045504,isa,D020228
D045506,isa,D020228
D000084762,isa,D000998
D000084762,isa,D011480
D000088802,isa,D000084762
D000890,isa,D045506
D000998,isa,D000890
D004791,isa,D045504
D011480,isa,D004791
D045504,isa,D020228
D045506,isa,D020228
D000088902,isa,D007166
D007155,isa,D045505
D007166,isa,D007155
D045505,isa,D020228
D000088962,isa,D000893
D000893,isa,D045506
D045506,isa,D020228
D000089162,isa,D045506
D045506,isa,D020228
D000089322,isa,D045506
D045506,isa,D020228
D000089502,isa,D045506
D045506,isa,D020228
D000089582,isa,D000277
D000277,isa,D010592
D004364,isa,Z2
D010592,isa,D004364
D010592,isa,D020313
D020164,isa,Z2
D020313,isa,D020164
Z2,isa,Z1
D000089964,isa,D006490
D003029,isa,D006401
D006401,isa,D045506
D006490,isa,D003029
D045506,isa,D020228
D000091062,isa,D004791
D004791,isa,D045504
D045504,isa,D020228
D000091203,isa,D000970
D000091203,isa,D007166
D000091203,isa,D047428
D000970,isa,D045506
D004791,isa,D045504
D007155,isa,D045505
D007166,isa,D007155
D045504,isa,D020228
D045505,isa,D020228
D045506,isa,D020228
D047428,isa,D004791
D000091362,isa,D000924
D000091362,isa,D015842
D000924,isa,D000960
D000960,isa,D000963
D000960,isa,D057847
D000963,isa,D045504
D004791,isa,D045504
D011480,isa,D004791
D015842,isa,D011480
D045504,isa,D020228
D045506,isa,D020228
D057847,isa,D045506
D000091369,isa,D007155
D007155,isa,D045505
D045505,isa,D020228
D000276,isa,D007155
D007155,isa,D045505
D045505,isa,D020228
D000316,isa,D000322
D000322,isa,D018663
D018377,isa,D045504
D018377,isa,D045505
D018663,isa,D018377
D045504,isa,D020228
D045505,isa,D020228
D000317,isa,D018674
D018377,isa,D045504
D018377,isa,D045505
D018663,isa,D018377
D018674,isa,D018663
D045504,isa,D020228
D045505,isa,D020228
D000318,isa,D000322
D000322,isa,D018663
D018377,isa,D045504
D018377,isa,D045505
D018663,isa,D018377
D045504,isa,D020228
D045505,isa,D020228
D000319,isa,D018674
D018377,isa,D045504
D018377,isa,D045505
D018663,isa,D018377
D018674,isa,D018663
D045504,isa,D020228
D045505,isa,D020228
D000322,isa,D018663
D018377,isa,D045504
D018377,isa,D045505
D018663,isa,D018377
D045504,isa,D020228
D045505,isa,D020228
D000373,isa,D003029
D000373,isa,D007155
D003029,isa,D006401
D006401,isa,D045506
D007155,isa,D045505
D045505,isa,D020228
D045506,isa,D020228
D000427,isa,D002491
D002491,isa,D045506
D045506,isa,D020228
D000451,isa,D006727
D006727,isa,D006730
D006730,isa,Z2
Z2,isa,Z1
D000477,isa,D009676
D004786,isa,D020164
D009676,isa,D004786
D020164,isa,Z2
Z2,isa,Z1
D000563,isa,D000981
D000890,isa,D045506
D000977,isa,D000890
D000981,isa,D000977
D045506,isa,D020228
D000697,isa,D002491
D000697,isa,D045505
D002491,isa,D045506
D045505,isa,D020228
D045506,isa,D020228
D000700,isa,D002491
D000700,isa,D018689
D002491,isa,D045506
D018373,isa,D045505
D018689,isa,D018373
D045505,isa,D020228
D045506,isa,D020228
D000700,isa,D002491
D000700,isa,D018689
D000701,isa,D009294
D002491,isa,D045506
D002492,isa,D002491
D002492,isa,D045505
D009294,isa,D000700
D009294,isa,D002492
D018373,isa,D045505
D018689,isa,D018373
D045505,isa,D020228
D045506,isa,D020228
D000726,isa,D006727
D006727,isa,D006730
D006730,isa,Z2
Z2,isa,Z1
D000728,isa,D006728
D006728,isa,D006730
D006730,isa,Z2
Z2,isa,Z1
D000759,isa,D002491
D002491,isa,D045506
D045506,isa,D020228
D000777,isa,D002492
D002491,isa,D045506
D002492,isa,D002491
D002492,isa,D045505
D045505,isa,D020228
D045506,isa,D020228
D000777,isa,D002492
D000778,isa,D018686
D002491,isa,D045506
D002492,isa,D002491
D002492,isa,D045505
D018681,isa,D000777
D018686,isa,D018681
D045505,isa,D020228
D045506,isa,D020228
D000777,isa,D002492
D000779,isa,D000777
D000779,isa,D018689
D002491,isa,D045506
D002492,isa,D002491
D002492,isa,D045505
D018373,isa,D045505
D018689,isa,D018373
D045505,isa,D020228
D045506,isa,D020228
D000806,isa,D011480
D004791,isa,D045504
D011480,isa,D004791
D045504,isa,D020228
D000863,isa,D005765
D000863,isa,D045504
D005765,isa,D045506
D045504,isa,D020228
D045506,isa,D020228
D000871,isa,D000977
D000890,isa,D045506
D000977,isa,D000890
D045506,isa,D020228
D000889,isa,D002317
D002317,isa,D045506
D045506,isa,D020228
D000890,isa,D045506
D045506,isa,D020228
D000890,isa,D045506
D000891,isa,D000890
D045506,isa,D020228
D000890,isa,D045506
D000892,isa,D000890
D045506,isa,D020228
D000893,isa,D045506
D045506,isa,D020228
D000700,isa,D002491
D000700,isa,D018689
D000893,isa,D045506
D000894,isa,D000893
D000894,isa,D018501
D000894,isa,D018712
D002491,isa,D045506
D018373,isa,D045505
D018501,isa,D045506
D018689,isa,D018373
D018712,isa,D000700
D045505,isa,D020228
D045506,isa,D020228
D000897,isa,D005765
D005765,isa,D045506
D045506,isa,D020228
D000890,isa,D045506
D000900,isa,D000890
D045506,isa,D020228
D000903,isa,D000970
D000970,isa,D045506
D045506,isa,D020228
D000890,isa,D045506
D000900,isa,D000890
D000904,isa,D000995
D000995,isa,D000900
D045506,isa,D020228
D000602,isa,Z2
D000906,isa,D007136
D000922,isa,D009676
D000922,isa,D018796
D001798,isa,D011506
D004786,isa,D020164
D005916,isa,D011506
D007136,isa,D007162
D007136,isa,D012712
D007162,isa,D001798
D009676,isa,D004786
D011506,isa,D000602
D012712,isa,D001798
D012712,isa,D005916
D018796,isa,D000906
D020164,isa,Z2
Z2,isa,Z1
D000871,isa,D000977
D000890,isa,D045506
D000923,isa,D000980
D000977,isa,D000890
D000980,isa,D000871
D045506,isa,D020228
D000924,isa,D000960
D000960,isa,D000963
D000960,isa,D057847
D000963,isa,D045504
D045504,isa,D020228
D045506,isa,D020228
D057847,isa,D045506
D000925,isa,D006401
D006401,isa,D045506
D045506,isa,D020228
D000927,isa,D002491
D002491,isa,D045506
D045506,isa,D020228
D000928,isa,D011619
D002491,isa,D045506
D011619,isa,D002491
D045506,isa,D020228
D000928,isa,D011619
D000929,isa,D000928
D002491,isa,D045506
D011619,isa,D002491
D045506,isa,D020228
D000930,isa,D005765
D005765,isa,D045506
D045506,isa,D020228
D000931,isa,D020011
D020011,isa,D020313
D020164,isa,Z2
D020313,isa,D020164
Z2,isa,Z1
D000932,isa,D001337
D000932,isa,D002491
D000932,isa,D005765
D001337,isa,D018373
D002491,isa,D045506
D005765,isa,D045506
D018373,isa,D045505
D045505,isa,D020228
D045506,isa,D020228
D000933,isa,D006490
D000933,isa,D050299
D003029,isa,D006401
D006401,isa,D045506
D006490,isa,D003029
D045504,isa,D020228
D045506,isa,D020228
D050299,isa,D045504
D000934,isa,D013501
D013501,isa,D020313
D020164,isa,Z2
D020313,isa,D020164
Z2,isa,Z1
D000890,isa,D045506
D000935,isa,D000890
D045506,isa,D020228
D000959,isa,D002317
D002317,isa,D045506
D045506,isa,D020228
D000960,isa,D000963
D000960,isa,D057847
D000963,isa,D045504
D045504,isa,D020228
D045506,isa,D020228
D057847,isa,D045506
D000890,isa,D045506
D000962,isa,D000981
D000977,isa,D000890
D000981,isa,D000977
D045506,isa,D020228
D000963,isa,D009676
D004786,isa,D020164
D009676,isa,D004786
D020164,isa,Z2
Z2,isa,Z1
D000963,isa,D009676
D000964,isa,D000963
D004786,isa,D020164
D009676,isa,D004786
D020164,isa,Z2
Z2,isa,Z1
D000871,isa,D000977
D000890,isa,D045506
D000969,isa,D000871
D000977,isa,D000890
D045506,isa,D020228
D000970,isa,D045506
D045506,isa,D020228
D000970,isa,D045506
D000972,isa,D000970
D045506,isa,D020228
D000975,isa,D001685
D000975,isa,D020011
D001685,isa,Z2
D020011,isa,D020313
D020164,isa,Z2
D020313,isa,D020164
Z2,isa,Z1
D000890,isa,D045506
D000977,isa,D000890
D045506,isa,D020228
D000978,isa,D018726
D002491,isa,D045506
D018726,isa,D002491
D045506,isa,D020228
D000871,isa,D000977
D000890,isa,D045506
D000977,isa,D000890
D000980,isa,D000871
D045506,isa,D020228
D000890,isa,D045506
D000977,isa,D000890
D000981,isa,D000977
D045506,isa,D020228
D000982,isa,D003879
D003879,isa,D045506
D045506,isa,D020228
D000986,isa,D006401
D006401,isa,D045506
D045506,isa,D020228
D000988,isa,D009676
D004786,isa,D020164
D009676,isa,D004786
D020164,isa,Z2
Z2,isa,Z1
D000925,isa,D006401
D000991,isa,D000925
D000991,isa,D015842
D004791,isa,D045504
D006401,isa,D045506
D011480,isa,D004791
D015842,isa,D011480
D045504,isa,D020228
D045506,isa,D020228
D000890,isa,D045506
D000900,isa,D000890
D000993,isa,D000900
D045506,isa,D020228
D000890,isa,D045506
D000977,isa,D000890
D000981,isa,D000977
D000994,isa,D000981
D045506,isa,D020228
D000890,isa,D045506
D000900,isa,D000890
D000995,isa,D000900
D045506,isa,D020228
D000996,isa,D002491
D000996,isa,D019141
D002491,isa,D045506
D019141,isa,D045506
D045506,isa,D020228
D000890,isa,D045506
D000998,isa,D000890
D045506,isa,D020228
D000697,isa,D002491
D000697,isa,D045505
D001046,isa,D000697
D002491,isa,D045506
D045505,isa,D020228
D045506,isa,D020228
D001067,isa,D019440
D019440,isa,D045506
D045506,isa,D020228
D001252,isa,D003879
D001252,isa,D045505
D003879,isa,D045506
D045505,isa,D020228
D045506,isa,D020228
D001337,isa,D018373
D018373,isa,D045505
D045505,isa,D020228
D001802,isa,D006401
D006401,isa,D045506
D045506,isa,D020228
D001337,isa,D018373
D001993,isa,D001337
D001993,isa,D018927
D018373,isa,D045505
D018927,isa,D019141
D019141,isa,D045506
D045505,isa,D020228
D045506,isa,D020228
D000077264,isa,D045505
D002120,isa,D000077264
D002120,isa,D014662
D002120,isa,D049990
D002317,isa,D045506
D014662,isa,D002317
D045504,isa,D020228
D045505,isa,D020228
D045506,isa,D020228
D049990,isa,D045504
D000077264,isa,D045505
D002121,isa,D000077264
D002121,isa,D002317
D002121,isa,D049990
D002317,isa,D045506
D045504,isa,D020228
D045505,isa,D020228
D045506,isa,D020228
D049990,isa,D045504
D002257,isa,D004791
D004791,isa,D045504
D045504,isa,D020228
D002314,isa,D019999
D004364,isa,Z2
D012996,isa,D004364
D019999,isa,D012996
D019999,isa,D020313
D020164,isa,Z2
D020313,isa,D020164
Z2,isa,Z1
D002316,isa,D020011
D020011,isa,D020313
D020164,isa,Z2
D020313,isa,D020164
Z2,isa,Z1
D002317,isa,D045506
D045506,isa,D020228
D001697,isa,D020313
D001697,isa,Z2
D002327,isa,D001697
D002327,isa,D020011
D020011,isa,D020313
D020164,isa,Z2
D020313,isa,D020164
Z2,isa,Z1
D002400,isa,D005765
D005765,isa,D045506
D045506,isa,D020228
D002491,isa,D045506
D045506,isa,D020228
D002491,isa,D045506
D002492,isa,D002491
D002492,isa,D045505
D045505,isa,D020228
D045506,isa,D020228
D002614,isa,D064449
D020164,isa,Z2
D020313,isa,D020164
D064449,isa,D020313
Z2,isa,Z1
D002756,isa,D005765
D005765,isa,D045506
D045506,isa,D020228
D002800,isa,D004791
D002800,isa,D018678
D004791,isa,D045504
D018377,isa,D045504
D018377,isa,D045505
D018678,isa,D018377
D045504,isa,D020228
D045505,isa,D020228
D002801,isa,D004793
D002801,isa,D018678
D004793,isa,D045504
D018377,isa,D045504
D018377,isa,D045505
D018678,isa,D018377
D045504,isa,D020228
D045505,isa,D020228
D003029,isa,D006401
D006401,isa,D045506
D045506,isa,D020228
D000890,isa,D045506
D000977,isa,D000890
D000981,isa,D000977
D003049,isa,D000981
D045506,isa,D020228
D003270,isa,D012102
D012102,isa,D045505
D012102,isa,D045506
D045505,isa,D020228
