rxcui,name,tty,SourceId,SourceName,Relation,classId
1000104,incobotulinumtoxinA,PIN,1000104,incobotulinumtoxinA,INDIRECT,N0000008290
10318,tacrine,IN,10318,tacrine,INDIRECT,N0000008290
106029,cyclopentolate hydrochloride,PIN,106029,cyclopentolate hydrochloride,INDIRECT,N0000008290
107771,demecarium,IN,107771,demecarium,INDIRECT,N0000008290
10811,trihexyphenidyl,IN,10811,trihexyphenidyl,INDIRECT,N0000008290
10869,tropicamide,IN,10869,tropicamide,INDIRECT,N0000008290
1115,trihexyphenidyl hydrochloride,PIN,1115,trihexyphenidyl hydrochloride,INDIRECT,N0000008290
1223,atropine,IN,1223,atropine,INDIRECT,N0000008290
1294588,olanzapine pamoate,PIN,1294588,olanzapine pamoate,INDIRECT,N0000008290
1298831,tiotropium bromide monohydrate,PIN,1298831,tiotropium bromide monohydrate,INDIRECT,N0000008290
1309404,ipratropium bromide monohydrate,PIN,1309404,ipratropium bromide monohydrate,INDIRECT,N0000008290
1311259,magnesium sulfate monohydrate,PIN,1311259,magnesium sulfate monohydrate,INDIRECT,N0000008290
1311625,magnesium sulfate anhydrous,PIN,1311625,magnesium sulfate anhydrous,INDIRECT,N0000008290
133041,yohimbine hydrochloride,PIN,133041,yohimbine hydrochloride,INDIRECT,N0000008290
135447,donepezil,IN,135447,donepezil,INDIRECT,N0000008290
1359,belladonna alkaloids,IN,1359,belladonna alkaloids,INDIRECT,N0000008290
1424,benztropine,IN,1424,benztropine,INDIRECT,N0000008290
142427,brompheniramine maleate,PIN,142427,brompheniramine maleate,INDIRECT,N0000008290
142443,procyclidine hydrochloride,PIN,142443,procyclidine hydrochloride,INDIRECT,N0000008290
1445143,ipratropium bromide anhydrous,PIN,1445143,ipratropium bromide anhydrous,INDIRECT,N0000008290
153971,atropine sulfate,PIN,153971,atropine sulfate,INDIRECT,N0000008290
1546365,pralidoxime cation,PIN,1546365,pralidoxime cation,INDIRECT,N0000008290
1546373,ipratropium cation,PIN,1546373,ipratropium cation,INDIRECT,N0000008290
1546438,glycopyrronium,IN,1546438,glycopyrronium,INDIRECT,N0000008290
155017,cyclizine hydrochloride,PIN,155017,cyclizine hydrochloride,INDIRECT,N0000008290
1552007,tiotropium bromide mono,PIN,1552007,tiotropium bromide mono,INDIRECT,N0000008290
1589,biperiden,IN,1589,biperiden,INDIRECT,N0000008290
160372,levomepromazine maleate,PIN,160372,levomepromazine maleate,INDIRECT,N0000008290
1712,botulinum toxin type A,IN,1712,botulinum toxin type A,INDIRECT,N0000008290
1767,brompheniramine,IN,1767,brompheniramine,INDIRECT,N0000008290
17945,octotropine methylbromide,PIN,17945,octotropine methylbromide,INDIRECT,N0000008290
183379,rivastigmine,IN,183379,rivastigmine,INDIRECT,N0000008290
18600,azatadine,IN,18600,azatadine,INDIRECT,N0000008290
18927,benztropine mesylate,PIN,18927,benztropine mesylate,INDIRECT,N0000008290
19041,benzquinamide,IN,19041,benzquinamide,INDIRECT,N0000008290
19377,biperiden lactate,PIN,19377,biperiden lactate,INDIRECT,N0000008290
19759,bromodiphenhydramine,IN,19759,bromodiphenhydramine,INDIRECT,N0000008290
203212,ipratropium bromide,PIN,203212,ipratropium bromide,INDIRECT,N0000008290
2052857,glycopyrronium tosylate,PIN,2052857,glycopyrronium tosylate,INDIRECT,N0000008290
2106337,amifampridine phosphate,PIN,2106337,amifampridine phosphate,INDIRECT,N0000008290
2106338,amifampridine,IN,2106338,amifampridine,INDIRECT,N0000008290
2107060,magnesium sulfate dihydrate,PIN,2107060,magnesium sulfate dihydrate,INDIRECT,N0000008290
2107309,prucalopride succinate,PIN,2107309,prucalopride succinate,INDIRECT,N0000008290
2107310,prucalopride,IN,2107310,prucalopride,INDIRECT,N0000008290
2117869,prabotulinumtoxinA-xvfs,PIN,2117869,prabotulinumtoxinA-xvfs,INDIRECT,N0000008290
21232,clidinium,IN,21232,clidinium,INDIRECT,N0000008290
2167673,botulinum toxin type B,IN,2167673,botulinum toxin type B,INDIRECT,N0000008290
2197593,pyrantel tartrate,PIN,2197593,pyrantel tartrate,INDIRECT,N0000008290
220982,yohimbine,IN,220982,yohimbine,INDIRECT,N0000008290
221077,cisapride monohydrate,PIN,221077,cisapride monohydrate,INDIRECT,N0000008290
22482,demecarium bromide,PIN,22482,demecarium bromide,INDIRECT,N0000008290
2267703,huperzine A,IN,2267703,huperzine A,INDIRECT,N0000008290
