classId1,rela,classId2
N0000178294,isa,N0000178293
N0000178295,isa,N0000178293
N0000178295,isa,N0000178293
N0000178296,isa,N0000178295
N0000178295,isa,N0000178293
N0000178297,isa,N0000178295
N0000178295,isa,N0000178293
N0000178298,isa,N0000178295
N0000178295,isa,N0000178293
N0000178299,isa,N0000178295
N0000178295,isa,N0000178293
N0000178300,isa,N0000178295
N0000178295,isa,N0000178293
N0000178301,isa,N0000178295
N0000178295,isa,N0000178293
N0000178302,isa,N0000178295
N0000178295,isa,N0000178293
N0000178303,isa,N0000178295
N0000178295,isa,N0000178293
N0000178304,isa,N0000178295
N0000178295,isa,N0000178293
N0000178305,isa,N0000178295
N0000178306,isa,N0000178293
N0000178307,isa,N0000178293
N0000178308,isa,N0000178293
N0000178309,isa,N0000178293
N0000178309,isa,N0000178293
N0000178310,isa,N0000178309
N0000178309,isa,N0000178293
N0000178311,isa,N0000178309
N0000178312,isa,N0000178293
N0000178312,isa,N0000178293
N0000178313,isa,N0000178312
N0000178312,isa,N0000178293
N0000178314,isa,N0000178312
N0000178312,isa,N0000178293
N0000178315,isa,N0000178312
N0000178312,isa,N0000178293
N0000178316,isa,N0000178312
N0000178317,isa,N0000178293
N0000178318,isa,N0000178293
N0000178318,isa,N0000178293
N0000178319,isa,N0000178318
N0000178370,isa,N0000178293
N0000178312,isa,N0000178293
N0000178370,isa,N0000178293
N0000178371,isa,N0000178312
N0000178371,isa,N0000178370
N0000178370,isa,N0000178293
N0000178373,isa,N0000178370
N0000193809,isa,N0000178293
N0000193810,isa,N0000178293
N0000193811,isa,N0000178293
N0000193812,isa,N0000178293
N0000193813,isa,N0000178293
N0000193814,isa,N0000178293
N0000193815,isa,N0000178293
N0000193816,isa,N0000178293
N0000193817,isa,N0000178293
N0000193818,isa,N0000178293
N0000193819,isa,N0000178293
N0000193820,isa,N0000178293
N0000193821,isa,N0000178293
N0000193822,isa,N0000178293
N0000193823,isa,N0000178293
N0000193824,isa,N0000178293
N0000193825,isa,N0000178293
N0000193826,isa,N0000178293
N0000193826,isa,N0000178293
N0000193827,isa,N0000193826
N0000193826,isa,N0000178293
N0000193828,isa,N0000193826
N0000193826,isa,N0000178293
N0000193829,isa,N0000193826
N0000193826,isa,N0000178293
N0000193830,isa,N0000193826
N0000193826,isa,N0000178293
N0000193831,isa,N0000193826
N0000193832,isa,N0000193836
N0000193836,isa,N0000178293
N0000193833,isa,N0000193836
N0000193836,isa,N0000178293
N0000193834,isa,N0000193836
N0000193836,isa,N0000178293
N0000193835,isa,N0000193836
N0000193836,isa,N0000178293
N0000193836,isa,N0000178293
N0000193837,isa,N0000178293
N0000193838,isa,N0000178293
N0000193839,isa,N0000178293
N0000193840,isa,N0000178293
N0000193841,isa,N0000178293
N0000193842,isa,N0000178293
N0000193843,isa,N0000178293
N0000193844,isa,N0000178293
