concept_code,concept_name,class_type,concept_class_id,standard_concept,vocabulary_id
C030516,meglitinide,CHEM,Leaf,C,MeSH
C045213,hepatitis B hyperimmune globulin,CHEM,Leaf,C,MeSH
C045781,cytomegalovirus-specific hyperimmune globulin,CHEM,Leaf,C,MeSH
C072379,repaglinide,CHEM,Leaf,C,MeSH
D000001,Calcimycin,CHEM,Leaf,C,MeSH
D000002,Temefos,CHEM,Leaf,C,MeSH
D000017,ABO Blood-Group System,CHEM,Leaf,C,MeSH
D000036,Abrin,CHEM,Leaf,C,MeSH
D000040,Abscisic Acid,CHEM,Leaf,C,MeSH
D000066970,Protein Corona,CHEM,Leaf,C,MeSH
D000067048,Ghee,CHEM,Leaf,C,MeSH
D000067397,Nerve Agents,CHEM,Leaf,C,MeSH
D000067401,Blood Alcohol Content,CHEM,Leaf,C,MeSH
D000067528,Ataxins,CHEM,SubClass,C,MeSH
D000067531,Alarmins,CHEM,Leaf,C,MeSH
D000067548,Dermal Fillers,CHEM,Leaf,C,MeSH
D000067556,Internal Ribosome Entry Sites,CHEM,Leaf,C,MeSH
D000067596,Interleukin-33,CHEM,Leaf,C,MeSH
D000067616,S100A12 Protein,CHEM,Leaf,C,MeSH
D000067696,Ataxin-1,CHEM,Leaf,C,MeSH
D000067698,Ataxin-2,CHEM,Leaf,C,MeSH
D000067699,Ataxin-3,CHEM,Leaf,C,MeSH
D000067719,Ataxin-7,CHEM,Leaf,C,MeSH
D000067736,Ataxin-10,CHEM,Leaf,C,MeSH
D000067756,Glucagon-Like Peptide Receptors,CHEM,SubClass,C,MeSH
D000067757,Glucagon-Like Peptide-1 Receptor,CHEM,Leaf,C,MeSH
D000067758,Glucagon-Like Peptide-2 Receptor,CHEM,Leaf,C,MeSH
D000067759,Receptor for Advanced Glycation End Products,CHEM,Leaf,C,MeSH
D000067776,RNA Recognition Motif Proteins,CHEM,SubClass,C,MeSH
D000067777,ELAV-Like Protein 2,CHEM,Leaf,C,MeSH
D000067778,ELAV-Like Protein 3,CHEM,Leaf,C,MeSH
D000067779,ELAV-Like Protein 4,CHEM,Leaf,C,MeSH
D000067780,ELAV-Like Protein 1,CHEM,Leaf,C,MeSH
D000067816,Whey Proteins,CHEM,SubClass,C,MeSH
D000067878,CELF Proteins,CHEM,SubClass,C,MeSH
D000067879,CELF1 Protein,CHEM,Leaf,C,MeSH
D000068103,Serine-Arginine Splicing Factors,CHEM,Leaf,C,MeSH
D000068180,Aripiprazole,CHEM,Leaf,C,MeSH
D000068196,Albumin-Bound Paclitaxel,CHEM,Leaf,C,MeSH
D000068238,Lubiprostone,CHEM,Leaf,C,MeSH
D000068256,Darbepoetin alfa,CHEM,Leaf,C,MeSH
D000068257,"Efavirenz, Emtricitabine, Tenofovir Disoproxil Fumarate Drug Combination",CHEM,Leaf,C,MeSH
D000068258,Bevacizumab,CHEM,Leaf,C,MeSH
D000068296,Risedronic Acid,CHEM,Leaf,C,MeSH
D000068297,Fluticasone-Salmeterol Drug Combination,CHEM,Leaf,C,MeSH
D000068298,Fluticasone,CHEM,SubClass,C,MeSH
D000068299,Salmeterol Xinafoate,CHEM,SubClass,C,MeSH
D000068338,Everolimus,CHEM,Leaf,C,MeSH
D000068342,"Aspirin, Dipyridamole Drug Combination",CHEM,Leaf,C,MeSH
D000068437,Pemetrexed,CHEM,Leaf,C,MeSH
D000068438,Brimonidine Tartrate,CHEM,SubClass,C,MeSH
D000068538,Dutasteride,CHEM,Leaf,C,MeSH
D000068556,Interferon beta-1a,CHEM,Leaf,C,MeSH
D000068557,Olmesartan Medoxomil,CHEM,SubClass,C,MeSH
D000068558,"Amlodipine Besylate, Olmesartan Medoxomil Drug Combination",CHEM,Leaf,C,MeSH
D000068576,Interferon beta-1b,CHEM,Leaf,C,MeSH
D000068577,Nebivolol,CHEM,Leaf,C,MeSH
D000068579,Celecoxib,CHEM,Leaf,C,MeSH
D000068580,Varenicline,CHEM,Leaf,C,MeSH
D000068581,Tadalafil,CHEM,Leaf,C,MeSH
D000068582,Certolizumab Pegol,CHEM,Leaf,C,MeSH
D000068599,"Brimonidine Tartrate, Timolol Maleate Drug Combination",CHEM,Leaf,C,MeSH
D000068600,"Albuterol, Ipratropium Drug Combination",CHEM,Leaf,C,MeSH
D000068656,Mometasone Furoate,CHEM,SubClass,C,MeSH
D000068677,Sildenafil Citrate,CHEM,Leaf,C,MeSH
D000068678,"Emtricitabine, Rilpivirine, Tenofovir Drug Combination",CHEM,Leaf,C,MeSH
D000068679,Emtricitabine,CHEM,SubClass,C,MeSH
D000068696,Rilpivirine,CHEM,SubClass,C,MeSH
D000068698,Tenofovir,CHEM,SubClass,C,MeSH
D000068717,Glatiramer Acetate,CHEM,Leaf,C,MeSH
D000068718,Rosuvastatin Calcium,CHEM,Leaf,C,MeSH
D000068736,Duloxetine Hydrochloride,CHEM,Leaf,C,MeSH
D000068737,Tolterodine Tartrate,CHEM,Leaf,C,MeSH
D000068756,Valsartan,CHEM,SubClass,C,MeSH
D000068758,"Mometasone Furoate, Formoterol Fumarate Drug Combination",CHEM,Leaf,C,MeSH
D000068759,Formoterol Fumarate,CHEM,SubClass,C,MeSH
D000068797,Orexins,CHEM,Leaf,C,MeSH
D000068799,Prasugrel Hydrochloride,CHEM,Leaf,C,MeSH
D000068800,Etanercept,CHEM,Leaf,C,MeSH
D000068801,"Adapalene, Benzoyl Peroxide Drug Combination",CHEM,Leaf,C,MeSH
D000068816,Adapalene,CHEM,SubClass,C,MeSH
D000068817,Epoetin Alfa,CHEM,Leaf,C,MeSH
D000068818,Cetuximab,CHEM,Leaf,C,MeSH
D000068836,Rivastigmine,CHEM,Leaf,C,MeSH
D000068838,"Amlodipine, Valsartan Drug Combination",CHEM,Leaf,C,MeSH
D000068857,"Human Papillomavirus Recombinant Vaccine Quadrivalent, Types 6, 11, 16, 18",CHEM,Leaf,C,MeSH
D000068858,Kombucha Tea,CHEM,Leaf,C,MeSH
D000068876,Fingolimod Hydrochloride,CHEM,Leaf,C,MeSH
D000068877,Imatinib Mesylate,CHEM,Leaf,C,MeSH
D000068878,Trastuzumab,CHEM,SubClass,C,MeSH
D000068879,Adalimumab,CHEM,Leaf,C,MeSH
D000068880,"Isophane Insulin, Human",CHEM,Leaf,C,MeSH
D000068882,Paliperidone Palmitate,CHEM,Leaf,C,MeSH
D000068896,Canagliflozin,CHEM,Leaf,C,MeSH
D000068898,Raltegravir Potassium,CHEM,Leaf,C,MeSH
