concept_code,concept_name,class_type,concept_class_id,standard_concept
C030516,meglitinide,CHEM,Leaf,C
C045213,hepatitis B hyperimmune globulin,CHEM,Leaf,C
C045781,cytomegalovirus-specific hyperimmune globulin,CHEM,Leaf,C
C072379,repaglinide,CHEM,Leaf,C
D000001,Calcimycin,CHEM,Leaf,C
D000002,Temefos,CHEM,Leaf,C
D000017,ABO Blood-Group System,CHEM,Leaf,C
D000036,Abrin,CHEM,Leaf,C
D000040,Abscisic Acid,CHEM,Leaf,C
D000066970,Protein Corona,CHEM,Leaf,C
D000067048,Ghee,CHEM,Leaf,C
D000067397,Nerve Agents,CHEM,Leaf,C
D000067401,Blood Alcohol Content,CHEM,Leaf,C
D000067528,Ataxins,CHEM,SubClass,C
D000067531,Alarmins,CHEM,Leaf,C
D000067548,Dermal Fillers,CHEM,Leaf,C
D000067556,Internal Ribosome Entry Sites,CHEM,Leaf,C
D000067596,Interleukin-33,CHEM,Leaf,C
D000067616,S100A12 Protein,CHEM,Leaf,C
D000067696,Ataxin-1,CHEM,Leaf,C
D000067698,Ataxin-2,CHEM,Leaf,C
D000067699,Ataxin-3,CHEM,Leaf,C
D000067719,Ataxin-7,CHEM,Leaf,C
D000067736,Ataxin-10,CHEM,Leaf,C
D000067756,Glucagon-Like Peptide Receptors,CHEM,SubClass,C
D000067757,Glucagon-Like Peptide-1 Receptor,CHEM,Leaf,C
D000067758,Glucagon-Like Peptide-2 Receptor,CHEM,Leaf,C
D000067759,Receptor for Advanced Glycation End Products,CHEM,Leaf,C
D000067776,RNA Recognition Motif Proteins,CHEM,SubClass,C
D000067777,ELAV-Like Protein 2,CHEM,Leaf,C
D000067778,ELAV-Like Protein 3,CHEM,Leaf,C
D000067779,ELAV-Like Protein 4,CHEM,Leaf,C
D000067780,ELAV-Like Protein 1,CHEM,Leaf,C
D000067816,Whey Proteins,CHEM,SubClass,C
D000067878,CELF Proteins,CHEM,SubClass,C
D000067879,CELF1 Protein,CHEM,Leaf,C
D000068103,Serine-Arginine Splicing Factors,CHEM,Leaf,C
D000068180,Aripiprazole,CHEM,Leaf,C
D000068196,Albumin-Bound Paclitaxel,CHEM,Leaf,C
D000068238,Lubiprostone,CHEM,Leaf,C
D000068256,Darbepoetin alfa,CHEM,Leaf,C
D000068257,"Efavirenz, Emtricitabine, Tenofovir Disoproxil Fumarate Drug Combination",CHEM,Leaf,C
D000068258,Bevacizumab,CHEM,Leaf,C
D000068296,Risedronic Acid,CHEM,Leaf,C
D000068297,Fluticasone-Salmeterol Drug Combination,CHEM,Leaf,C
D000068298,Fluticasone,CHEM,SubClass,C
