concept_code,concept_name,class_type,concept_class_id,standard_concept,vocabulary_id
D000006,"Abdomen, Acute",DISEASE,Leaf,C,MeSH
D000007,Abdominal Injuries,DISEASE,SubClass,C,MeSH
D000008,Abdominal Neoplasms,DISEASE,SubClass,C,MeSH
D000012,Abetalipoproteinemia,DISEASE,Leaf,C,MeSH
D000013,Congenital Abnormalities,DISEASE,SubClass,C,MeSH
D000014,"Abnormalities, Drug-Induced",DISEASE,Leaf,C,MeSH
D000015,"Abnormalities, Multiple",DISEASE,SubClass,C,MeSH
D000016,"Abnormalities, Radiation-Induced",DISEASE,Leaf,C,MeSH
D000022,"Abortion, Spontaneous",DISEASE,SubClass,C,MeSH
D000026,"Abortion, Habitual",DISEASE,SubClass,C,MeSH
D000027,"Abortion, Incomplete",DISEASE,Leaf,C,MeSH
D000030,"Abortion, Missed",DISEASE,Leaf,C,MeSH
D000031,"Abortion, Septic",DISEASE,Leaf,C,MeSH
D000033,"Abortion, Threatened",DISEASE,Leaf,C,MeSH
D000034,"Abortion, Veterinary",DISEASE,SubClass,C,MeSH
D000037,Abruptio Placentae,DISEASE,Leaf,C,MeSH
D000038,Abscess,DISEASE,SubClass,C,MeSH
D000039,Peritonsillar Abscess,DISEASE,Leaf,C,MeSH
D000051,Acantholysis,DISEASE,Leaf,C,MeSH
D000052,Acanthosis Nigricans,DISEASE,Leaf,C,MeSH
D000057,Accident Proneness,DISEASE,Leaf,C,MeSH
D000066448,Driving Under the Influence,DISEASE,Leaf,C,MeSH
D000066479,Criminal Behavior,DISEASE,SubClass,C,MeSH
D000066498,Emotional Adjustment,DISEASE,SubClass,C,MeSH
D000066502,Grandparents,DISEASE,Leaf,C,MeSH
D000066505,Help-Seeking Behavior,DISEASE,Leaf,C,MeSH
D000066553,Problem Behavior,DISEASE,Leaf,C,MeSH
D000066608,Underage Drinking,DISEASE,Leaf,C,MeSH
D000067010,Literacy,DISEASE,Leaf,C,MeSH
D000067011,Severe Acute Malnutrition,DISEASE,SubClass,C,MeSH
D000067073,Psychological Trauma,DISEASE,SubClass,C,MeSH
D000067074,Peer Influence,DISEASE,Leaf,C,MeSH
D000067208,Shellfish Hypersensitivity,DISEASE,Leaf,C,MeSH
D000067251,Symptom Flare Up,DISEASE,Leaf,C,MeSH
