concept_code,concept_name,class_type,concept_class_id,standard_concept
D000006,"Abdomen, Acute",DISEASE,Leaf,C
D000007,Abdominal Injuries,DISEASE,SubClass,C
D000008,Abdominal Neoplasms,DISEASE,SubClass,C
D000012,Abetalipoproteinemia,DISEASE,Leaf,C
D000013,Congenital Abnormalities,DISEASE,SubClass,C
D000014,"Abnormalities, Drug-Induced",DISEASE,Leaf,C
D000015,"Abnormalities, Multiple",DISEASE,SubClass,C
D000016,"Abnormalities, Radiation-Induced",DISEASE,Leaf,C
D000022,"Abortion, Spontaneous",DISEASE,SubClass,C
D000026,"Abortion, Habitual",DISEASE,SubClass,C
D000027,"Abortion, Incomplete",DISEASE,Leaf,C
D000030,"Abortion, Missed",DISEASE,Leaf,C
D000031,"Abortion, Septic",DISEASE,Leaf,C
D000033,"Abortion, Threatened",DISEASE,Leaf,C
D000034,"Abortion, Veterinary",DISEASE,SubClass,C
D000037,Abruptio Placentae,DISEASE,Leaf,C
D000038,Abscess,DISEASE,SubClass,C
D000039,Peritonsillar Abscess,DISEASE,Leaf,C
D000051,Acantholysis,DISEASE,Leaf,C
D000052,Acanthosis Nigricans,DISEASE,Leaf,C
D000057,Accident Proneness,DISEASE,Leaf,C
D000066448,Driving Under the Influence,DISEASE,Leaf,C
D000066479,Criminal Behavior,DISEASE,SubClass,C
D000066498,Emotional Adjustment,DISEASE,SubClass,C
D000066502,Grandparents,DISEASE,Leaf,C
D000066505,Help-Seeking Behavior,DISEASE,Leaf,C
D000066553,Problem Behavior,DISEASE,Leaf,C
D000066608,Underage Drinking,DISEASE,Leaf,C
D000067010,Literacy,DISEASE,Leaf,C
D000067011,Severe Acute Malnutrition,DISEASE,SubClass,C
D000067073,Psychological Trauma,DISEASE,SubClass,C
D000067074,Peer Influence,DISEASE,Leaf,C
D000067208,Shellfish Hypersensitivity,DISEASE,Leaf,C
D000067251,Symptom Flare Up,DISEASE,Leaf,C
D000067292,Alcohol Drinking in College,DISEASE,Leaf,C
D000067329,"Obesity, Metabolically Benign",DISEASE,Leaf,C
D000067390,Cold Injury,DISEASE,SubClass,C
D000067398,War-Related Injuries,DISEASE,Leaf,C
D000067404,Social Communication Disorder,DISEASE,Leaf,C
D000067454,Childhood-Onset Fluency Disorder,DISEASE,Leaf,C
D000067455,No-Show Patients,DISEASE,Leaf,C
D000067551,Diplomacy,DISEASE,Leaf,C
D000067559,Specific Learning Disorder,DISEASE,Leaf,C
D000067562,Late Onset Disorders,DISEASE,Leaf,C
D000067656,Optimism,DISEASE,Leaf,C
D000067657,Pessimism,DISEASE,Leaf,C
D000067836,Hoarding Disorder,DISEASE,Leaf,C
D000067877,Autism Spectrum Disorder,DISEASE,SubClass,C
D000068079,Motor Disorders,DISEASE,Leaf,C
D000068099,Trauma and Stressor Related Disorders,DISEASE,SubClass,C
D000068105,Bipolar and Related Disorders,DISEASE,SubClass,C
D000068116,Gender Dysphoria,DISEASE,Leaf,C
D000068356,Self-Control,DISEASE,SubClass,C
D000068376,Compassion Fatigue,DISEASE,Leaf,C
D000068884,Immunosenescence,DISEASE,Leaf,C
D000069076,"Fractures, Multiple",DISEASE,Leaf,C
D000069078,Seroconversion,DISEASE,Leaf,C
D000069279,Drug Resistant Epilepsy,DISEASE,Leaf,C
D000069281,Autoimmune Hypophysitis,DISEASE,Leaf,C
D000069282,Canaliculitis,DISEASE,Leaf,C
D000069290,Incisional Hernia,DISEASE,Leaf,C
D000069293,Plasmablastic Lymphoma,DISEASE,Leaf,C
D000069295,Mammary Analogue Secretory Carcinoma,DISEASE,Leaf,C
D000069316,Acne Conglobata,DISEASE,Leaf,C
D000069337,Fused Kidney,DISEASE,Leaf,C
D000069451,Long Term Adverse Effects,DISEASE,Leaf,C
D000069544,Infectious Encephalitis,DISEASE,SubClass,C
D000069578,Waterborne Diseases,DISEASE,Leaf,C
D000069584,Unilateral Breast Neoplasms,DISEASE,Leaf,C
D000069836,Degloving Injuries,DISEASE,Leaf,C
D000069856,Staghorn Calculi,DISEASE,Leaf,C
D000070263,Sleep Hygiene,DISEASE,Leaf,C
D000070497,Healthy Lifestyle,DISEASE,SubClass,C
D000070558,Talipes,DISEASE,SubClass,C
D000070589,Talipes Cavus,DISEASE,Leaf,C
D000070591,Metatarsal Valgus,DISEASE,Leaf,C
D000070592,Metatarsus Varus,DISEASE,Leaf,C
D000070598,Anterior Cruciate Ligament Injuries,DISEASE,Leaf,C
D000070599,Shoulder Injuries,DISEASE,SubClass,C
D000070600,Tibial Meniscus Injuries,DISEASE,Leaf,C
D000070603,Coxa Magna,DISEASE,Leaf,C
D000070604,Tarsal Coalition,DISEASE,Leaf,C
D000070607,Morton Neuroma,DISEASE,Leaf,C
D000070617,"Microtrauma, Physical",DISEASE,Leaf,C
D000070624,Brain Contusion,DISEASE,Leaf,C
D000070625,"Brain Injuries, Diffuse",DISEASE,SubClass,C
D000070627,Chronic Traumatic Encephalopathy,DISEASE,Leaf,C
D000070630,"Diastasis, Muscle",DISEASE,Leaf,C
D000070631,"Diastasis, Bone",DISEASE,SubClass,C
D000070636,Rotator Cuff Injuries,DISEASE,Leaf,C
D000070639,Elbow Tendinopathy,DISEASE,SubClass,C
D000070642,"Brain Injuries, Traumatic",DISEASE,SubClass,C
D000070656,Rotator Cuff Tear Arthropathy,DISEASE,Leaf,C
D000070657,Crystal Arthropathies,DISEASE,SubClass,C
D000070676,Enthesopathy,DISEASE,Leaf,C
