concept_code,concept_name,class_type,concept_class_id,standard_concept,vocabulary_id
D000019,Abortifacient Agents,MESHPA,SubClass,C,MeSH
D000020,"Abortifacient Agents, Nonsteroidal",MESHPA,Leaf,C,MeSH
D000021,"Abortifacient Agents, Steroidal",MESHPA,Leaf,C,MeSH
D000067856,Poly(ADP-ribose) Polymerase Inhibitors,MESHPA,Leaf,C,MeSH
D000067956,Adenylyl Cyclase Inhibitors,MESHPA,Leaf,C,MeSH
D000068338,Everolimus,CHEM,Leaf,C,MeSH
D000068760,Serotonin and Noradrenaline Reuptake Inhibitors,MESHPA,Leaf,C,MeSH
D000068776,"Sleep Aids, Pharmaceutical",MESHPA,SubClass,C,MeSH
D000068796,Orexin Receptor Antagonists,MESHPA,Leaf,C,MeSH
D000072664,Provitamins,MESHPA,Leaf,C,MeSH
D000074162,"Serine Peptidase Inhibitors, Kazal Type",CHEM,Leaf,C,MeSH
D000074268,Guanylyl Cyclase C Agonists,MESHPA,Leaf,C,MeSH
D000074322,"Antineoplastic Agents, Immunological",MESHPA,SubClass,C,MeSH
D000075162,Abuse-Deterrent Formulations,CHEM,Leaf,C,MeSH
D000075242,Janus Kinase Inhibitors,MESHPA,Leaf,C,MeSH
D000075528,Aversive Agents,CHEM,Leaf,C,MeSH
D000075563,Vasopeptidase Inhibitors,MESHPA,Leaf,C,MeSH
D000077203,Sodium-Glucose Transporter 2 Inhibitors,MESHPA,Leaf,C,MeSH
D000077221,Calcitonin Gene-Related Peptide Receptor Antagonists,MESHPA,Leaf,C,MeSH
D000077264,Calcium-Regulating Hormones and Agents,MESHPA,SubClass,C,MeSH
D000077444,Smoking Cessation Agents,MESHPA,Leaf,C,MeSH
D000078604,Secretagogues,MESHPA,Leaf,C,MeSH
D000079424,Tumor Necrosis Factor Inhibitors,MESHPA,Leaf,C,MeSH
D000080066,"Contraceptive Agents, Hormonal",MESHPA,SubClass,C,MeSH
D000081082,Phosphoinositide-3 Kinase Inhibitors,MESHPA,Leaf,C,MeSH
D000081227,Neurosteroids,MESHPA,Leaf,C,MeSH
D000081243,Sphingosine 1 Phosphate Receptor Modulators,MESHPA,Leaf,C,MeSH
D000082082,Immune Checkpoint Inhibitors,MESHPA,Leaf,C,MeSH
D000082142,Mast Cell Stabilizers,MESHPA,Leaf,C,MeSH
D000084762,Viral Protease Inhibitors,MESHPA,SubClass,C,MeSH
D000085683,Coronavirus Protease Inhibitors,MESHPA,Leaf,C,MeSH
D000088802,HCV NS3-4A Protease Inhibitors,MESHPA,Leaf,C,MeSH
