concept_code,concept_name,class_type,concept_class_id,standard_concept
N0000008290,Acetylcholine Activity Alteration,PE,SubClass,C
N0000008291,Adrenal Cortical Activity Alteration,PE,SubClass,C
N0000008292,Adrenal Medullary Activity Alteration,PE,SubClass,C
N0000008293,Alveolar Surface Tension Alteration,PE,SubClass,C
N0000008294,Alveolar Surface Tension Reduction,PE,Leaf,C
N0000008295,Antacid,PE,Leaf,C
N0000008296,Antiperspirant Activity,PE,Leaf,C
N0000008297,Antipruritic Activity,PE,Leaf,C
N0000008298,Arterial Vasoconstriction,PE,SubClass,C
N0000008299,Arterial Vasodilation,PE,SubClass,C
N0000008300,Aspartate Activity Alteration,PE,SubClass,C
N0000008301,Astringent Activity,PE,Leaf,C
N0000008302,Atrial Depolarization,PE,Leaf,C
N0000008303,Atrial Repolarization,PE,Leaf,C
N0000008304,Bile Secretion Alteration,PE,SubClass,C
N0000008305,Bladder Contractility Alteration,PE,SubClass,C
N0000008306,Bladder Sphincter Tone Alteration,PE,SubClass,C
N0000008307,Blood & Lymphatic Fluid Function Alteration,PE,SubClass,C
N0000008308,Bone Alteration,PE,SubClass,C
N0000008309,Bone Formation Alteration,PE,SubClass,C
N0000008310,Bone Formation Inhibition,PE,Leaf,C
N0000008311,Bone Formation Stimulation,PE,Leaf,C
N0000008312,Bone Resorption Alteration,PE,SubClass,C
N0000008313,Bone Resorption Inhibition,PE,Leaf,C
N0000008314,Bone Resorption Stimulation,PE,Leaf,C
N0000008315,Brain Derived Neurotropic Factor Activity Alteration,PE,SubClass,C
N0000008316,Breast Function Alteration,PE,SubClass,C
N0000008317,Breast Glandular Development Alteration,PE,SubClass,C
N0000008318,Breast Milk Ejection,PE,SubClass,C
N0000008319,Breast Milk Secretion,PE,SubClass,C
N0000008320,Bronchial Smooth Muscle Tone Alteration,PE,SubClass,C
N0000008321,Bronchoconstriction,PE,Leaf,C
N0000008322,Bronchodilation,PE,Leaf,C
N0000008323,CCK Activity Alteration,PE,SubClass,C
N0000008324,CRH Activity Alteration,PE,SubClass,C
N0000008325,Corticotropin Releasing Hormone Alteration,PE,SubClass,C
N0000008326,CRH Secretion Alteration,PE,SubClass,C
N0000008327,Carbohydrate Metabolism Alteration,PE,SubClass,C
N0000008328,Cardiac Contractility Alteration,PE,SubClass,C
N0000008329,Cardiac Rate Alteration,PE,SubClass,C
N0000008330,Cardiac Rhythm Alteration,PE,SubClass,C
N0000008331,Cardiovascular Activity Alteration,PE,SubClass,C
N0000008332,Cariostatic Activity,PE,Leaf,C
N0000008333,Cell Glucose Transport Alteration,PE,SubClass,C
N0000008334,Cell Membrane Alteration,PE,SubClass,C
N0000008335,Cell Organelle Alteration,PE,Leaf,C
N0000008336,Cell Wall Alteration,PE,SubClass,C
N0000008337,Cellular Activity Alteration,PE,SubClass,C
N0000008338,Cellular Communication Alteration,PE,SubClass,C
N0000008339,Cellular Cycle Alteration,PE,SubClass,C
N0000008340,Cellular Death Alteration,PE,SubClass,C
N0000008341,Cellular Degradation/Digestion Alteration,PE,SubClass,C
N0000008342,Cellular Division Phase Alteration,PE,SubClass,C
N0000008343,Cellular Growth Phase Alteration,PE,SubClass,C
N0000008344,Cellular Growth Phase Arrest,PE,Leaf,C
N0000008345,Cellular Motion Alteration,PE,SubClass,C
N0000008346,Cellular Structure Alteration,PE,SubClass,C
N0000008347,Cellular Synthetic Activity Alteration,PE,SubClass,C
N0000008348,Cellular Synthetic Phase Alteration,PE,SubClass,C
N0000008349,Cellular Synthetic Phase Arrest,PE,Leaf,C
N0000008350,Cellular Transport Alteration,PE,SubClass,C
N0000008351,Cerebral Arterial Vasoconstriction,PE,SubClass,C
N0000008352,Cerebral Arterial Vasodilation,PE,SubClass,C
N0000008353,Cervical Dilation Alteration,PE,SubClass,C
N0000008354,Cervical Function Alteration,PE,SubClass,C
N0000008355,Cervical Smooth Muscle Tone Alteration,PE,SubClass,C
N0000008356,Cholagogue Activity,PE,Leaf,C
N0000008357,Choleretic Activity,PE,Leaf,C
N0000008358,Cholesterol Absorption Alteration,PE,SubClass,C
N0000008359,Cholesterol Elimination Alteration,PE,SubClass,C
N0000008360,Cholesterol Metabolism Alteration,PE,SubClass,C
N0000008361,Cholesterol Synthesis Alteration,PE,SubClass,C
N0000008362,Coagulation Factor Activity Alteration,PE,SubClass,C
N0000008363,Coagulation Factor Alteration,PE,SubClass,C
N0000008364,Coagulation Factor Concentration Alteration,PE,SubClass,C
N0000008365,Collagen Formation Alteration,PE,SubClass,C
N0000008366,Collagen Formation Inhibition,PE,Leaf,C
N0000008367,Collagen Formation Promotion,PE,Leaf,C
N0000008368,Collecting Duct Water Permeability Alteration,PE,SubClass,C
N0000008369,Conduction System Depolarization,PE,SubClass,C
N0000008370,Conduction System Repolarization,PE,SubClass,C
N0000008371,Conjunctival Arterial Vasoconstriction,PE,SubClass,C
N0000008372,Conjunctival Arterial Vasodilation,PE,SubClass,C
N0000008373,Connective Tissue Alteration,PE,SubClass,C
N0000008374,Coronary Arterial Vasoconstriction,PE,SubClass,C
N0000008375,Coronary Arterial Vasodilation,PE,SubClass,C
N0000008376,Cutaneous Arterial Vasoconstriction,PE,SubClass,C
N0000008377,Cutaneous Arterial Vasodilation,PE,SubClass,C
N0000008378,Cytoskeleton Alteration,PE,SubClass,C
N0000008379,DNA Integrity Alteration,PE,SubClass,C
N0000008380,DNA Replication Alteration,PE,SubClass,C
N0000008381,Decrease Spermatogenesis,PE,Leaf,C
N0000008382,Decreased Adrenocorticotropic Hormone Secretion,PE,Leaf,C
N0000008383,Decreased Acetylcholine Activity,PE,SubClass,C
N0000008384,Decreased Adhesion Factor Activity,PE,Leaf,C
N0000008385,Decreased Adhesion Factor Degradation,PE,Leaf,C
N0000008386,Decreased Adhesion Factor Production,PE,Leaf,C
N0000008387,Decreased Adrenal Epinephrine Secretion,PE,Leaf,C
N0000008388,Decreased Adrenal Norepinephrine Secretion,PE,Leaf,C
N0000008389,Decreased Anal Sphincter Tone,PE,Leaf,C
N0000008390,Decreased Antibody Activity,PE,SubClass,C
N0000008391,Decreased Antibody Degradation,PE,Leaf,C
N0000008392,Decreased Antibody Production,PE,Leaf,C
N0000008393,Decreased Aspartate Activity,PE,SubClass,C
N0000008394,Decreased Autonomic Nervous System Acetylcholine Activity,PE,SubClass,C
N0000008395,Decreased Autonomic Nervous System Aspartate Activity,PE,SubClass,C
N0000008396,Decreased Autonomic Nervous System Brain Derived Neurotropic Activity,PE,SubClass,C
N0000008397,Decreased Autonomic Nervous System CCK Activity,PE,SubClass,C
N0000008398,Decreased Autonomic Nervous System Disorganized Electrical Activity,PE,SubClass,C
N0000008399,Decreased Autonomic Nervous System Dopamine Activity,PE,SubClass,C
N0000008400,Decreased Autonomic Nervous System Dynorphin Activity,PE,Leaf,C
N0000008401,Decreased Autonomic Nervous System Endorphin Activity,PE,Leaf,C
N0000008402,Decreased Autonomic Nervous System Enkephalin Activity,PE,Leaf,C
N0000008403,Decreased Autonomic Nervous System Epinephrine Activity,PE,SubClass,C
N0000008404,Decreased Autonomic Nervous System GABA Activity,PE,SubClass,C
N0000008405,Decreased Autonomic Nervous System Gastrin Activity,PE,SubClass,C
N0000008406,Decreased Autonomic Nervous System Glutamate Activity,PE,SubClass,C
N0000008407,Decreased Autonomic Nervous System Glycine Activity,PE,SubClass,C
N0000008408,Decreased Autonomic Nervous System Histamine Activity,PE,SubClass,C
N0000008409,Decreased Autonomic Nervous System Nerve Growth Factor Activity,PE,SubClass,C
N0000008410,Decreased Autonomic Nervous System Neurotensin Activity,PE,SubClass,C
N0000008411,Decreased Autonomic Nervous System Nitric Oxide Activity,PE,SubClass,C
N0000008412,Decreased Autonomic Nervous System Norepinephrine Activity,PE,SubClass,C
N0000008413,Decreased Autonomic Nervous System Organized Electrical Activity,PE,SubClass,C
N0000008414,Decreased Autonomic Nervous System Serotonin Activity,PE,SubClass,C
N0000008415,Decreased Autonomic Nervous System Substance P Activity,PE,SubClass,C
N0000008416,Decreased Autonomic Nervous System VIP Activity,PE,SubClass,C
N0000008417,Decreased B Lymphocyte Destruction,PE,Leaf,C
N0000008418,Decreased B Lymphocyte Production,PE,Leaf,C
N0000008419,Decreased Biliary Motility,PE,Leaf,C
N0000008420,Decreased Bladder Contractility,PE,Leaf,C
N0000008421,Decreased Bladder Sphincter Tone,PE,Leaf,C
N0000008422,Decreased Bradykinin Activity,PE,Leaf,C
N0000008423,Decreased Bradykinin Degradation,PE,Leaf,C
N0000008424,Decreased Bradykinin Production,PE,Leaf,C
N0000008425,Decreased Brain Derived Neurotropic Activity,PE,SubClass,C
N0000008426,Decreased Brain Stem Acetylcholine Activity,PE,Leaf,C
N0000008427,Decreased Brain Stem Aspartate Activity,PE,Leaf,C
N0000008428,Decreased Brain Stem Brain Derived Neurotropic Activity,PE,Leaf,C
N0000008429,Decreased Brain Stem CCK Activity,PE,Leaf,C
N0000008430,Decreased Brain Stem Disorganized Electrical Activity,PE,Leaf,C
N0000008431,Decreased Brain Stem Dopamine Activity,PE,Leaf,C
N0000008432,Decreased Brain Stem Dynorphin Activity,PE,Leaf,C
N0000008433,Decreased Brain Stem Endorphin Activity,PE,Leaf,C
N0000008434,Decreased Brain Stem Enkephalin Activity,PE,Leaf,C
N0000008435,Decreased Brain Stem Epinephrine Activity,PE,Leaf,C
N0000008436,Decreased Brain Stem GABA Activity,PE,Leaf,C
