ancestor_concept_code,descendant_concept_code,min_levels_of_separation,max_levels_of_separation
N0000008290,N0000008290,0,0
N0000008290,N0000008383,1,1
N0000008290,N0000008394,3,3
N0000008290,N0000008426,3,3
N0000008290,N0000008453,3,3
N0000008290,N0000008482,2,2
N0000008290,N0000008505,3,3
N0000008290,N0000008528,3,3
N0000008290,N0000008600,3,3
N0000008290,N0000008708,3,3
N0000008290,N0000008735,2,2
N0000008290,N0000008779,4,4
N0000008290,N0000008802,2,2
N0000008290,N0000008870,3,3
N0000008290,N0000008899,3,3
N0000008290,N0000008926,3,3
N0000008290,N0000008949,3,3
N0000008290,N0000008974,4,4
N0000008290,N0000009079,1,1
N0000008290,N0000009090,3,3
N0000008290,N0000009122,3,3
N0000008290,N0000009149,3,3
N0000008290,N0000009178,2,2
N0000008290,N0000009201,3,3
N0000008290,N0000009224,3,3
N0000008290,N0000009294,3,3
N0000008290,N0000009400,3,3
N0000008290,N0000009427,2,2
N0000008290,N0000009471,4,4
N0000008290,N0000009494,2,2
N0000008290,N0000009563,3,3
N0000008290,N0000009591,3,3
N0000008290,N0000009618,3,3
N0000008290,N0000009641,3,3
N0000008290,N0000009666,4,4
N0000008291,N0000008291,0,0
N0000008291,N0000008645,1,1
N0000008291,N0000008731,1,1
N0000008291,N0000009339,1,1
N0000008291,N0000009423,1,1
N0000008291,N0000009938,1,1
N0000008291,N0000009939,1,1
N0000008292,N0000008292,0,0
N0000008292,N0000008387,1,1
N0000008292,N0000008388,1,1
N0000008292,N0000009083,1,1
N0000008292,N0000009084,1,1
N0000008293,N0000008293,0,0
N0000008293,N0000008294,1,1
N0000008294,N0000008294,0,0
N0000008295,N0000008295,0,0
N0000008296,N0000008296,0,0
N0000008297,N0000008297,0,0
N0000008298,N0000008298,0,0
N0000008298,N0000008351,1,1
N0000008298,N0000008371,2,2
N0000008298,N0000008374,1,1
N0000008298,N0000008376,1,1
N0000008298,N0000009058,2,2
N0000008298,N0000009751,1,1
N0000008298,N0000009753,1,1
N0000008298,N0000009775,2,2
N0000008298,N0000009815,1,1
N0000008298,N0000009823,2,2
N0000008298,N0000009825,1,1
N0000008298,N0000009827,2,2
N0000008298,N0000009834,2,2
N0000008298,N0000009855,1,1
N0000008298,N0000009941,1,1
N0000008298,N0000175395,1,1
N0000008298,N0000175396,2,2
N0000008298,N0000175397,2,2
N0000008298,N0000175398,2,2
N0000008298,N0000175399,2,2
N0000008298,N0000175400,3,3
N0000008298,N0000175401,3,3
N0000008298,N0000175402,3,3
N0000008298,N0000175403,3,3
N0000008298,N0000175404,2,2
N0000008298,N0000175405,2,2
N0000008298,N0000175406,2,2
N0000008298,N0000175407,3,3
N0000008298,N0000175408,3,3
N0000008298,N0000175409,2,2
N0000008298,N0000175410,2,2
N0000008299,N0000008299,0,0
N0000008299,N0000008352,1,1
N0000008299,N0000008372,2,2
N0000008299,N0000008375,1,1
N0000008299,N0000008377,1,1
N0000008299,N0000009059,2,2
N0000008299,N0000009752,1,1
N0000008299,N0000009754,1,1
N0000008299,N0000009776,2,2
N0000008299,N0000009816,1,1
N0000008299,N0000009824,2,2
N0000008299,N0000009826,1,1
N0000008299,N0000009828,2,2
N0000008299,N0000009835,2,2
N0000008299,N0000009856,1,1
N0000008299,N0000009940,1,1
N0000008299,N0000175379,1,1
N0000008299,N0000175380,2,2
N0000008299,N0000175381,2,2
N0000008299,N0000175382,2,2
N0000008299,N0000175383,2,2
N0000008299,N0000175384,3,3
N0000008299,N0000175385,3,3
N0000008299,N0000175386,3,3
N0000008299,N0000175387,3,3
N0000008299,N0000175388,2,2
N0000008299,N0000175389,2,2
N0000008299,N0000175390,2,2
N0000008299,N0000175391,3,3
N0000008299,N0000175392,3,3
N0000008299,N0000175393,2,2
N0000008299,N0000175394,2,2
N0000008300,N0000008300,0,0
N0000008300,N0000008393,1,1
N0000008300,N0000008395,3,3
