concept_code,concept_name,class_type,concept_class_id,standard_concept
AA000,INTRODUCTION,VA,Leaf,C
AD000,"ANTIDOTES,DETERRENTS AND POISON CONTROL",VA,SubClass,C
AD100,ALCOHOL DETERRENTS,VA,Leaf,C
AD200,CYANIDE ANTIDOTES,VA,Leaf,C
AD300,HEAVY METAL ANTAGONISTS,VA,Leaf,C
AD400,"ANTIDOTES,DETERRENTS,AND POISON CONTROL EXCHANGE RESINS",VA,Leaf,C
AD900,"ANTIDOTES/DETERRENTS,OTHER",VA,Leaf,C
AH000,ANTIHISTAMINES,VA,SubClass,C
AH100,"ANTIHISTAMINES,PHENOTHIAZINE",VA,Leaf,C
AH102,"ANTIHISTAMINES,ETHANOLAMINE",VA,Leaf,C
AH103,"ANTIHISTAMINES,ETHYLENEDIAMINE",VA,Leaf,C
AH104,"ANTIHISTAMINES,ALKYLAMINE",VA,Leaf,C
AH105,"ANTIHISTAMINES,PIPERAZINE",VA,Leaf,C
AH106,"ANTIHISTAMINES,BUTYROPHENONE",VA,Leaf,C
AH107,"ANTIHISTAMINES,PIPERIDINE",VA,Leaf,C
AH109,"ANTIHISTAMINES,OTHER",VA,Leaf,C
AM000,ANTIMICROBIALS,VA,SubClass,C
AM110,PENICILLIN-G RELATED PENICILLINS,VA,Leaf,C
AM111,"PENICILLINS,AMINO DERIVATIVES",VA,Leaf,C
AM112,PENICILLINASE-RESISTANT PENICILLINS,VA,Leaf,C
AM113,EXTENDED SPECTRUM PENICILLINS,VA,Leaf,C
AM114,PENICILLINS AND BETA-LACTAM ANTIMICROBIALS,VA,SubClass,C
AM115,CEPHALOSPORIN 1ST GENERATION,VA,Leaf,C
AM116,CEPHALOSPORIN 2ND GENERATION,VA,Leaf,C
AM117,CEPHALOSPORIN 3RD GENERATION,VA,Leaf,C
AM118,CEPHALOSPORIN 4TH GENERATION,VA,Leaf,C
AM119,"BETA-LACTAMS ANTIMICROBIALS,OTHER",VA,Leaf,C
AM150,CHLORAMPHENICOL,VA,Leaf,C
AM200,ERYTHROMYCINS/MACROLIDES,VA,Leaf,C
AM250,TETRACYCLINES,VA,Leaf,C
AM300,AMINOGLYCOSIDES,VA,Leaf,C
AM350,LINCOMYCINS,VA,Leaf,C
AM400,QUINOLONES,VA,Leaf,C
AM500,ANTITUBERCULARS,VA,Leaf,C
AM550,METHENAMINE SALTS ANTIMICROBIALS,VA,Leaf,C
AM600,NITROFURANS ANTIMICROBIALS,VA,Leaf,C
AM650,SULFONAMIDE/RELATED ANTIMICROBIALS,VA,Leaf,C
AM700,ANTIFUNGALS,VA,Leaf,C
AM800,ANTIVIRALS,VA,Leaf,C
AM900,"ANTI-INFECTIVES,OTHER",VA,Leaf,C
AN000,ANTINEOPLASTICS,VA,SubClass,C
AN100,"ANTINEOPLASTICS,ALKYLATING AGENTS",VA,Leaf,C
AN200,ANTINEOPLASTIC ANTIBIOTICS,VA,Leaf,C
AN300,"ANTINEOPLASTICS,ANTIMETABOLITES",VA,Leaf,C
AN400,ANTINEOPLASTIC ADJUVANTS,VA,Leaf,C
AN500,ANTINEOPLASTIC HORMONES,VA,Leaf,C
AN600,ANTINEOPLASTIC RADIOPHARMACEUTICALS,VA,Leaf,C
AN700,PROTECTIVE AGENTS,VA,Leaf,C
AN900,"ANTINEOPLASTIC,OTHER",VA,Leaf,C
AP000,ANTIPARASITICS,VA,SubClass,C
AP100,ANTIPROTOZOALS,VA,SubClass,C
AP101,ANTIMALARIALS,VA,Leaf,C
AP109,"ANTIPROTOZOALS,OTHER",VA,Leaf,C
AP200,ANTHELMINTICS,VA,Leaf,C
AP300,PEDICULICIDES,VA,Leaf,C
AP900,"ANTIPARASITICS,OTHER",VA,Leaf,C
AS000,ANTISEPTICS/DISINFECTANTS,VA,Leaf,C
AU000,AUTONOMIC MEDICATIONS,VA,SubClass,C
AU100,SYMPATHOMIMETICS (ADRENERGICS),VA,Leaf,C
AU200,SYMPATHOLYTICS,VA,Leaf,C
AU300,PARASYMPATHOMIMETICS (CHOLINERGICS),VA,Leaf,C
AU350,PARASYMPATHOLYTICS,VA,Leaf,C
AU900,"AUTONOMIC AGENTS,OTHER",VA,Leaf,C
BL000,BLOOD PRODUCTS/MODIFIERS/VOLUME EXPANDERS,VA,SubClass,C
BL110,ANTICOAGULANTS,VA,Leaf,C
