classId,className,classType
D000006,"Abdomen, Acute",DISEASE
D009422,Nervous System Diseases,DISEASE
D009461,Neurologic Manifestations,DISEASE
D010146,Pain,DISEASE
D012816,Signs and Symptoms,DISEASE
D012817,"Signs and Symptoms, Digestive",DISEASE
D013568,"Pathological Conditions, Signs and Symptoms",DISEASE
D015746,Abdominal Pain,DISEASE
X1,"Diseases, Life Phases, Behavior Mechanisms and Physiologic States",DISEASE
X3,Disease,DISEASE
D000007,Abdominal Injuries,DISEASE
D014947,Wounds and Injuries,DISEASE
X1,"Diseases, Life Phases, Behavior Mechanisms and Physiologic States",DISEASE
X3,Disease,DISEASE
D000008,Abdominal Neoplasms,DISEASE
D009369,Neoplasms,DISEASE
D009371,Neoplasms by Site,DISEASE
X1,"Diseases, Life Phases, Behavior Mechanisms and Physiologic States",DISEASE
X3,Disease,DISEASE
D000012,Abetalipoproteinemia,DISEASE
D006995,Hypobetalipoproteinemias,DISEASE
D007009,Hypolipoproteinemias,DISEASE
D008052,"Lipid Metabolism, Inborn Errors",DISEASE
D008659,Metabolic Diseases,DISEASE
D008661,"Metabolism, Inborn Errors",DISEASE
D009358,"Congenital, Hereditary, and Neonatal Diseases and Abnormalities",DISEASE
D009750,Nutritional and Metabolic Diseases,DISEASE
D030342,"Genetic Diseases, Inborn",DISEASE
D050171,Dyslipidemias,DISEASE
D052439,Lipid Metabolism Disorders,DISEASE
X1,"Diseases, Life Phases, Behavior Mechanisms and Physiologic States",DISEASE
X3,Disease,DISEASE
D000013,Congenital Abnormalities,DISEASE
D009358,"Congenital, Hereditary, and Neonatal Diseases and Abnormalities",DISEASE
X1,"Diseases, Life Phases, Behavior Mechanisms and Physiologic States",DISEASE
X3,Disease,DISEASE
D000013,Congenital Abnormalities,DISEASE
D000014,"Abnormalities, Drug-Induced",DISEASE
D009358,"Congenital, Hereditary, and Neonatal Diseases and Abnormalities",DISEASE
X1,"Diseases, Life Phases, Behavior Mechanisms and Physiologic States",DISEASE
X3,Disease,DISEASE
D000013,Congenital Abnormalities,DISEASE
D000015,"Abnormalities, Multiple",DISEASE
D009358,"Congenital, Hereditary, and Neonatal Diseases and Abnormalities",DISEASE
