rxcui,name,tty,SourceId,SourceName,Relation,classId
21232,clidinium,IN,BO76JF850N,CLIDINIUM,INDIRECT,N0000008290
232539,calfactant,IN,Q4K217VGA9,CALFACTANT,INDIRECT,N0000008293
236381,poractant alfa,IN,KE3U2023NP,PORACTANT ALFA,INDIRECT,N0000008293
232539,calfactant,IN,Q4K217VGA9,CALFACTANT,DIRECT,N0000008294
236381,poractant alfa,IN,KE3U2023NP,PORACTANT ALFA,DIRECT,N0000008294
5470,hydralazine,IN,26NAK24LS8,HYDRALAZINE,INDIRECT,N0000008299
598,alprostadil,IN,F5TD010360,ALPROSTADIL,INDIRECT,N0000008299
6984,minoxidil,IN,5965120SH1,MINOXIDIL,INDIRECT,N0000008299
1363352,hydroxyethyl starch 130-0.4,IN,1GVO236S58,HYDROXYETHYL STARCH 130/0.4,INDIRECT,N0000008307
3272,dextran 40,IN,K3R6ZDH4DU,DEXTRAN 40,INDIRECT,N0000008307
3274,dextran 70,IN,7SA290YK68,DEXTRAN 70,INDIRECT,N0000008307
3275,dextran 75,IN,JY83SHX053,DEXTRAN 75,INDIRECT,N0000008307
5531,hetastarch,IN,875Y4127EA,HETASTARCH,INDIRECT,N0000008307
828529,"albumin human, USP",IN,ZIF514RVZR,ALBUMIN (HUMAN),INDIRECT,N0000008307
4832,glucagon,IN,76LA80IG2G,GLUCAGON,INDIRECT,N0000008327
9947,sotalol,IN,A6D97U294I,SOTALOL,DIRECT,N0000008330
1091643,azilsartan,IN,F9NUX55P23,AZILSARTAN,INDIRECT,N0000008331
1489913,droxidopa,IN,J7A92W69L7,DROXIDOPA,INDIRECT,N0000008331
1545989,enalaprilat anhydrous,PIN,Q508Q118JM,ENALAPRILAT ANHYDROUS,INDIRECT,N0000008331
1546196,benazeprilat,PIN,JRM708L703,BENAZEPRILAT,INDIRECT,N0000008331
18867,benazepril,IN,UDM7Q7QWP8,BENAZEPRIL,INDIRECT,N0000008331
1999003,angiotensin II,IN,M089EFU921,ANGIOTENSIN II,INDIRECT,N0000008331
24457,ethanolamine,IN,5KV86114PT,MONOETHANOLAMINE,INDIRECT,N0000008331
28004,isosorbide mononitrate,PIN,LX1OH63030,ISOSORBIDE MONONITRATE,INDIRECT,N0000008331
343048,treprostinil,IN,RUM6K67ESG,TREPROSTINIL,INDIRECT,N0000008331
3827,enalapril,IN,69PN84IO1A,ENALAPRIL,INDIRECT,N0000008331
4917,nitroglycerin,IN,G59M7S0WS3,NITROGLYCERIN,INDIRECT,N0000008331
5470,hydralazine,IN,26NAK24LS8,HYDRALAZINE,INDIRECT,N0000008331
598,alprostadil,IN,F5TD010360,ALPROSTADIL,INDIRECT,N0000008331
6058,isosorbide dinitrate,IN,IA7306519N,ISOSORBIDE DINITRATE,INDIRECT,N0000008331
6984,minoxidil,IN,5965120SH1,MINOXIDIL,INDIRECT,N0000008331
7435,nisoldipine,IN,4I8HAB65SZ,NISOLDIPINE,INDIRECT,N0000008331
7442,nitric oxide,IN,31C4KY9ESH,NITRIC OXIDE,INDIRECT,N0000008331
7476,nitroprusside,IN,169D1260KM,NITROPRUSSIDE,INDIRECT,N0000008331
7812,oxymetazoline,IN,8VLN5B44ZY,OXYMETAZOLINE,INDIRECT,N0000008331
809864,C1 esterase inhibitor (human),PIN,6KIC4BB60G,HUMAN C1-ESTERASE INHIBITOR,INDIRECT,N0000008331
8814,epoprostenol,IN,DCR9Z582X0,EPOPROSTENOL,INDIRECT,N0000008331
968170,polidocanol,IN,0AWH8BFG9A,POLIDOCANOL,INDIRECT,N0000008331
9947,sotalol,IN,A6D97U294I,SOTALOL,INDIRECT,N0000008331
3194,deoxycholic acid,PIN,005990WHZZ,DEOXYCHOLIC ACID,INDIRECT,N0000008334
1291,bacitracin,IN,58H6RWO52I,BACITRACIN,INDIRECT,N0000008336
2358,chlorhexidine,IN,R4KO0DY52L,CHLORHEXIDINE,INDIRECT,N0000008336
1045453,eribulin,IN,LR24G6354G,ERIBULIN,INDIRECT,N0000008337
1147320,brentuximab vedotin,IN,7XL5ISS668,BRENTUXIMAB VEDOTIN,INDIRECT,N0000008337
1242806,ingenol mebutate,IN,7686S50JAH,INGENOL MEBUTATE,INDIRECT,N0000008337
1291,bacitracin,IN,58H6RWO52I,BACITRACIN,INDIRECT,N0000008337
1299922,docetaxel anhydrous,PIN,699121PHCA,DOCETAXEL ANHYDROUS,INDIRECT,N0000008337
1367839,mipomersen,IN,9GJ8S4GU0M,MIPOMERSEN,INDIRECT,N0000008337
1747556,venetoclax,IN,N54AIC43PW,VENETOCLAX,INDIRECT,N0000008337
18602,azelaic acid,PIN,F2VW3D43YT,AZELAIC ACID,INDIRECT,N0000008337
1863556,nusinersen,IN,5Z9SP3X666,NUSINERSEN,INDIRECT,N0000008337
1942950,inotuzumab ozogamicin,IN,P93RUU11P7,INOTUZUMAB OZOGAMICIN,INDIRECT,N0000008337
196319,palifermin,IN,QMS40680K6,PALIFERMIN,INDIRECT,N0000008337
2099289,inotersen,IN,0IEO0F56LV,INOTERSEN,INDIRECT,N0000008337
21090,ciclopirox,IN,19W019ZDRJ,CICLOPIROX,INDIRECT,N0000008337
2358,chlorhexidine,IN,R4KO0DY52L,CHLORHEXIDINE,INDIRECT,N0000008337
3194,deoxycholic acid,PIN,005990WHZZ,DEOXYCHOLIC ACID,INDIRECT,N0000008337
337523,ixabepilone,IN,K27005NP0A,IXABEPILONE,INDIRECT,N0000008337
5021,griseofulvin,IN,32HRV3E3D5,GRISEOFULVIN,INDIRECT,N0000008337
56946,paclitaxel,IN,P88XT4IS4D,PACLITAXEL,INDIRECT,N0000008337
8463,podofilox,IN,L36H50F353,PODOFILOX,INDIRECT,N0000008337
996051,cabazitaxel,IN,51F690397J,CABAZITAXEL,INDIRECT,N0000008337
1242806,ingenol mebutate,IN,7686S50JAH,INGENOL MEBUTATE,INDIRECT,N0000008339
1367839,mipomersen,IN,9GJ8S4GU0M,MIPOMERSEN,INDIRECT,N0000008339
1747556,venetoclax,IN,N54AIC43PW,VENETOCLAX,INDIRECT,N0000008339
18602,azelaic acid,PIN,F2VW3D43YT,AZELAIC ACID,INDIRECT,N0000008339
1863556,nusinersen,IN,5Z9SP3X666,NUSINERSEN,INDIRECT,N0000008339
1942950,inotuzumab ozogamicin,IN,P93RUU11P7,INOTUZUMAB OZOGAMICIN,INDIRECT,N0000008339
2099289,inotersen,IN,0IEO0F56LV,INOTERSEN,INDIRECT,N0000008339
21090,ciclopirox,IN,19W019ZDRJ,CICLOPIROX,INDIRECT,N0000008339
5021,griseofulvin,IN,32HRV3E3D5,GRISEOFULVIN,INDIRECT,N0000008339
8463,podofilox,IN,L36H50F353,PODOFILOX,INDIRECT,N0000008339
1242806,ingenol mebutate,IN,7686S50JAH,INGENOL MEBUTATE,INDIRECT,N0000008340
1747556,venetoclax,IN,N54AIC43PW,VENETOCLAX,INDIRECT,N0000008340
1942950,inotuzumab ozogamicin,IN,P93RUU11P7,INOTUZUMAB OZOGAMICIN,INDIRECT,N0000008340
2099289,inotersen,IN,0IEO0F56LV,INOTERSEN,INDIRECT,N0000008341
5021,griseofulvin,IN,32HRV3E3D5,GRISEOFULVIN,INDIRECT,N0000008342
8463,podofilox,IN,L36H50F353,PODOFILOX,INDIRECT,N0000008342
1045453,eribulin,IN,LR24G6354G,ERIBULIN,INDIRECT,N0000008346
1147320,brentuximab vedotin,IN,7XL5ISS668,BRENTUXIMAB VEDOTIN,INDIRECT,N0000008346
1291,bacitracin,IN,58H6RWO52I,BACITRACIN,INDIRECT,N0000008346
1299922,docetaxel anhydrous,PIN,699121PHCA,DOCETAXEL ANHYDROUS,INDIRECT,N0000008346
2358,chlorhexidine,IN,R4KO0DY52L,CHLORHEXIDINE,INDIRECT,N0000008346
3194,deoxycholic acid,PIN,005990WHZZ,DEOXYCHOLIC ACID,INDIRECT,N0000008346
337523,ixabepilone,IN,K27005NP0A,IXABEPILONE,INDIRECT,N0000008346
5021,griseofulvin,IN,32HRV3E3D5,GRISEOFULVIN,INDIRECT,N0000008346
56946,paclitaxel,IN,P88XT4IS4D,PACLITAXEL,INDIRECT,N0000008346
996051,cabazitaxel,IN,51F690397J,CABAZITAXEL,INDIRECT,N0000008346
1367839,mipomersen,IN,9GJ8S4GU0M,MIPOMERSEN,INDIRECT,N0000008347
18602,azelaic acid,PIN,F2VW3D43YT,AZELAIC ACID,INDIRECT,N0000008347
1863556,nusinersen,IN,5Z9SP3X666,NUSINERSEN,INDIRECT,N0000008347
1942950,inotuzumab ozogamicin,IN,P93RUU11P7,INOTUZUMAB OZOGAMICIN,INDIRECT,N0000008347
2099289,inotersen,IN,0IEO0F56LV,INOTERSEN,INDIRECT,N0000008347
21090,ciclopirox,IN,19W019ZDRJ,CICLOPIROX,INDIRECT,N0000008347
341248,ezetimibe,IN,EOR26LQQ24,EZETIMIBE,INDIRECT,N0000008358
341248,ezetimibe,IN,EOR26LQQ24,EZETIMIBE,INDIRECT,N0000008360
10528,thrombin,IN,25ADE2236L,THROMBIN,INDIRECT,N0000008362
1091605,"factor XIII, human",PIN,F7R0FBC1XD,FACTOR XIII CONCENTRATE (HUMAN),INDIRECT,N0000008362
1316581,calcium ion,IN,2M83C4R6ZB,CALCIUM CATION,INDIRECT,N0000008362
1367075,thrombin alfa,PIN,SCK81AMR7R,THROMBIN ALFA,INDIRECT,N0000008362
1427179,antithrombin alfa,PIN,AWV6I5L6H2,ANTITHROMBIN ALFA,INDIRECT,N0000008362
