rxcui,name,tty,SourceId,SourceName,Relation,classId
21232,clidinium,IN,21232,clidinium,INDIRECT,N0000008290
232539,calfactant,IN,232539,calfactant,INDIRECT,N0000008293
236381,poractant alfa,IN,236381,poractant alfa,INDIRECT,N0000008293
46967,beractant,IN,46967,beractant,INDIRECT,N0000008293
232539,calfactant,IN,232539,calfactant,DIRECT,N0000008294
236381,poractant alfa,IN,236381,poractant alfa,DIRECT,N0000008294
46967,beractant,IN,46967,beractant,DIRECT,N0000008294
5470,hydralazine,IN,5470,hydralazine,INDIRECT,N0000008299
598,alprostadil,IN,598,alprostadil,INDIRECT,N0000008299
6984,minoxidil,IN,6984,minoxidil,INDIRECT,N0000008299
1363352,hydroxyethyl starch 130-0.4,IN,1363352,hydroxyethyl starch 130-0.4,INDIRECT,N0000008307
3272,dextran 40,IN,3272,dextran 40,INDIRECT,N0000008307
3274,dextran 70,IN,3274,dextran 70,INDIRECT,N0000008307
3275,dextran 75,IN,3275,dextran 75,INDIRECT,N0000008307
5531,hetastarch,IN,5531,hetastarch,INDIRECT,N0000008307
828529,"albumin human, USP",IN,828529,"albumin human, USP",INDIRECT,N0000008307
2535233,dasiglucagon,IN,2535233,dasiglucagon,INDIRECT,N0000008327
4832,glucagon,IN,4832,glucagon,INDIRECT,N0000008327
9947,sotalol,IN,9947,sotalol,DIRECT,N0000008330
1091643,azilsartan,IN,1091643,azilsartan,INDIRECT,N0000008331
1489913,droxidopa,IN,1489913,droxidopa,INDIRECT,N0000008331
1545989,enalaprilat anhydrous,PIN,1545989,enalaprilat anhydrous,INDIRECT,N0000008331
1546196,benazeprilat,PIN,1546196,benazeprilat,INDIRECT,N0000008331
18867,benazepril,IN,18867,benazepril,INDIRECT,N0000008331
1999003,angiotensin II,IN,1999003,angiotensin II,INDIRECT,N0000008331
24457,ethanolamine,IN,24457,ethanolamine,INDIRECT,N0000008331
28004,isosorbide mononitrate,PIN,28004,isosorbide mononitrate,INDIRECT,N0000008331
343048,treprostinil,IN,343048,treprostinil,INDIRECT,N0000008331
3827,enalapril,IN,3827,enalapril,INDIRECT,N0000008331
4917,nitroglycerin,IN,4917,nitroglycerin,INDIRECT,N0000008331
5470,hydralazine,IN,5470,hydralazine,INDIRECT,N0000008331
598,alprostadil,IN,598,alprostadil,INDIRECT,N0000008331
6058,isosorbide dinitrate,IN,6058,isosorbide dinitrate,INDIRECT,N0000008331
6984,minoxidil,IN,6984,minoxidil,INDIRECT,N0000008331
7435,nisoldipine,IN,7435,nisoldipine,INDIRECT,N0000008331
7442,nitric oxide,IN,7442,nitric oxide,INDIRECT,N0000008331
7476,nitroprusside,IN,7476,nitroprusside,INDIRECT,N0000008331
7812,oxymetazoline,IN,7812,oxymetazoline,INDIRECT,N0000008331
809864,C1 esterase inhibitor (human),PIN,809864,C1 esterase inhibitor (human),INDIRECT,N0000008331
8814,epoprostenol,IN,8814,epoprostenol,INDIRECT,N0000008331
968170,polidocanol,IN,968170,polidocanol,INDIRECT,N0000008331
9947,sotalol,IN,9947,sotalol,INDIRECT,N0000008331
3194,deoxycholic acid,PIN,3194,deoxycholic acid,INDIRECT,N0000008334
1291,bacitracin,IN,1291,bacitracin,INDIRECT,N0000008336
2358,chlorhexidine,IN,2358,chlorhexidine,INDIRECT,N0000008336
1045453,eribulin,IN,1045453,eribulin,INDIRECT,N0000008337
1147320,brentuximab vedotin,IN,1147320,brentuximab vedotin,INDIRECT,N0000008337
1242806,ingenol mebutate,IN,1242806,ingenol mebutate,INDIRECT,N0000008337
1291,bacitracin,IN,1291,bacitracin,INDIRECT,N0000008337
1299922,docetaxel anhydrous,PIN,1299922,docetaxel anhydrous,INDIRECT,N0000008337
1367839,mipomersen,IN,1367839,mipomersen,INDIRECT,N0000008337
1747556,venetoclax,IN,1747556,venetoclax,INDIRECT,N0000008337
18602,azelaic acid,PIN,18602,azelaic acid,INDIRECT,N0000008337
1863556,nusinersen,IN,1863556,nusinersen,INDIRECT,N0000008337
1942950,inotuzumab ozogamicin,IN,1942950,inotuzumab ozogamicin,INDIRECT,N0000008337
196319,palifermin,IN,196319,palifermin,INDIRECT,N0000008337
2053490,patisiran,IN,2053490,patisiran,INDIRECT,N0000008337
2099289,inotersen,IN,2099289,inotersen,INDIRECT,N0000008337
21090,ciclopirox,IN,21090,ciclopirox,INDIRECT,N0000008337
2358,chlorhexidine,IN,2358,chlorhexidine,INDIRECT,N0000008337
2480096,Casimersen,IN,2480096,Casimersen,INDIRECT,N0000008337
3194,deoxycholic acid,PIN,3194,deoxycholic acid,INDIRECT,N0000008337
337523,ixabepilone,IN,337523,ixabepilone,INDIRECT,N0000008337
5021,griseofulvin,IN,5021,griseofulvin,INDIRECT,N0000008337
56946,paclitaxel,IN,56946,paclitaxel,INDIRECT,N0000008337
