rxcui,name,tty,SourceId,SourceName,Relation,SourceUrl,classId
10223,sulfur,IN,332304007,Sulfur-containing product,DIRECT,http://snomed.info/id/332304007,1002241001
11416,zinc,IN,764877006,Zinc-containing product,DIRECT,http://snomed.info/id/764877006,1002241001
1310123,fluorine,IN,767122006,Fluorine-containing product,DIRECT,http://snomed.info/id/767122006,1002241001
1310300,cobalt,IN,767112000,Cobalt-containing product,DIRECT,http://snomed.info/id/767112000,1002241001
1895,calcium,IN,767113005,Calcium-containing product,DIRECT,http://snomed.info/id/767113005,1002241001
2837,copper,IN,422528000,Copper-containing product,DIRECT,http://snomed.info/id/422528000,1002241001
5933,iodine,IN,767115003,Iodine-containing product,DIRECT,http://snomed.info/id/767115003,1002241001
6574,magnesium,IN,767114004,Magnesium-containing product,DIRECT,http://snomed.info/id/767114004,1002241001
6623,manganese,IN,421451000,Manganese-containing product,DIRECT,http://snomed.info/id/421451000,1002241001
8263,phosphorus,IN,767120003,Phosphorus-containing product,DIRECT,http://snomed.info/id/767120003,1002241001
8588,potassium,IN,767119009,Potassium-containing product,DIRECT,http://snomed.info/id/767119009,1002241001
90176,iron,IN,30729008,Iron-containing product,DIRECT,http://snomed.info/id/30729008,1002241001
9641,selenium,IN,350057002,Selenium-containing product,DIRECT,http://snomed.info/id/350057002,1002241001
2479831,"SARS-COV-2 (COVID-19) vaccine, vector non-replicating",IN,29061000087103,COVID-19 non-replicating viral vector vaccine,DIRECT,http://snomed.info/id/29061000087103,1002249004
10528,thrombin,IN,415715002,Thrombin-containing product,DIRECT,http://snomed.info/id/415715002,1003715001
11274,von Willebrand factor,IN,346711005,von Willebrand factor-containing product,DIRECT,http://snomed.info/id/346711005,1003715001
1300485,"antihemophilic factor, human recombinant residues 743-1636 deleted",PIN,441943001,Moroctocog alfa-containing product,DIRECT,http://snomed.info/id/441943001,1003715001
1300488,nonacog alfa,PIN,415245003,Recombinant coagulation factor IX-containing product,DIRECT,http://snomed.info/id/415245003,1003715001
1543095,efmoroctocog alfa,IN,781174009,Efmoroctocog alfa-containing product,DIRECT,http://snomed.info/id/781174009,1003715001
2045114,andexanet alfa,IN,783691004,Andexanet alfa-containing product,DIRECT,http://snomed.info/id/783691004,1003715001
2264108,"fibrinogen, human",PIN,312063004,Human fibrinogen-containing product,DIRECT,http://snomed.info/id/312063004,1003715001
253149,eptacog alfa activated,PIN,428186003,Eptacog alfa-containing product,DIRECT,http://snomed.info/id/428186003,1003715001
352374,drotrecogin alfa,IN,385567007,Drotrecogin alfa-containing product,DIRECT,http://snomed.info/id/385567007,1003715001
4249,factor IX,IN,424562004,Coagulation factor IX-containing product,DIRECT,http://snomed.info/id/424562004,1003715001
4254,factor VII,IN,1003716000,Coagulation factor VII-containing product,DIRECT,http://snomed.info/id/1003716000,1003715001
4257,factor VIII,IN,416523005,Coagulation factor VIII-containing product,DIRECT,http://snomed.info/id/416523005,1003715001
4271,factor XIII,IN,319930009,Coagulation factor XIII-containing product,DIRECT,http://snomed.info/id/319930009,1003715001
8834,protein C,IN,391874000,Protein C-containing product,DIRECT,http://snomed.info/id/391874000,1003715001
1009,antithrombin III,IN,109001008,Antithrombin III-containing product,DIRECT,http://snomed.info/id/109001008,1003720001
10528,thrombin,IN,415715002,Thrombin-containing product,INDIRECT,http://snomed.info/id/415715002,1003720001
11274,von Willebrand factor,IN,346711005,von Willebrand factor-containing product,INDIRECT,http://snomed.info/id/346711005,1003720001
1300485,"antihemophilic factor, human recombinant residues 743-1636 deleted",PIN,441943001,Moroctocog alfa-containing product,INDIRECT,http://snomed.info/id/441943001,1003720001
1300488,nonacog alfa,PIN,415245003,Recombinant coagulation factor IX-containing product,INDIRECT,http://snomed.info/id/415245003,1003720001
1426381,"serum albumin, bovine",IN,420357009,Bovine serum albumin-containing product,DIRECT,http://snomed.info/id/420357009,1003720001
1426680,"immunoglobulin G, human",PIN,722198009,Human immunoglobulin G-containing product,INDIRECT,http://snomed.info/id/722198009,1003720001
1427179,antithrombin alfa,PIN,433010006,Recombinant human antithrombin III-containing product,DIRECT,http://snomed.info/id/433010006,1003720001
1543095,efmoroctocog alfa,IN,781174009,Efmoroctocog alfa-containing product,INDIRECT,http://snomed.info/id/781174009,1003720001
