concept_code,concept_name,class_type,concept_class_id,standard_concept,vocabulary_id
00CR8124AS,ENGLISH SOLE,CHEM,Concept,NA,DailyMed
00UK7646FG,CAPSICUM,CHEM,Concept,NA,DailyMed
01695YPV36,SWORDFISH,CHEM,Concept,NA,DailyMed
01G73H6H83,HOPS,CHEM,Concept,NA,DailyMed
01W430XXSQ,TETRAMETHYLTHIURAM MONOSULFIDE,CHEM,Concept,NA,DailyMed
02RVY6X9EC,QUERCUS KELLOGGII POLLEN,CHEM,Concept,NA,DailyMed
02WM57RXZJ,BLACK WALNUT,CHEM,Concept,NA,DailyMed
030R993R8E,ULMUS PUMILA POLLEN,CHEM,Concept,NA,DailyMed
033KF7V46H,TINIDAZOLE,CHEM,Concept,NA,DailyMed
039LU44I5M,FLOXURIDINE,CHEM,Concept,NA,DailyMed
042SUA2DS9,PINUS PONDEROSA POLLEN,CHEM,Concept,NA,DailyMed
046O35D44R,PRILOCAINE,CHEM,Concept,NA,DailyMed
04ZR38536J,OXALIPLATIN,CHEM,Concept,NA,DailyMed
05S7L91ZTR,CANIS LUPUS FAMILIARIS HAIR,CHEM,Concept,NA,DailyMed
05V02F2KDG,ROSIGLITAZONE,CHEM,Concept,NA,DailyMed
0619F35CGV,TETRACAINE,CHEM,Concept,NA,DailyMed
065C5D077J,SAGE,CHEM,Concept,NA,DailyMed
06LU7C9H1V,LIOTHYRONINE,CHEM,Concept,NA,DailyMed
076WHW89TW,FOLLITROPIN,CHEM,Concept,NA,DailyMed
07896928ZC,ERAVACYCLINE,CHEM,Concept,NA,DailyMed
07A108ZKW5,BASSIA SCOPARIA POLLEN,CHEM,Concept,NA,DailyMed
08GY9K1EUO,RASBURICASE,CHEM,Concept,NA,DailyMed
090IP5RV8F,OMADACYCLINE,CHEM,Concept,NA,DailyMed
098LKX5NCN,CHENOPODIUM ALBUM POLLEN,CHEM,Concept,NA,DailyMed
09N62XQ70Y,ORYCTOLAGUS CUNICULUS HAIR,CHEM,Concept,NA,DailyMed
0C50HW4FO1,ETRAVIRINE,CHEM,Concept,NA,DailyMed
0D771IS0FH,THIRAM,CHEM,Concept,NA,DailyMed
0E43V0BB57,MISOPROSTOL,CHEM,Concept,NA,DailyMed
0E5AT8T16U,OREGANO,CHEM,Concept,NA,DailyMed
0F350BVT6S,ECHOTHIOPHATE,CHEM,Concept,NA,DailyMed
0G389FZZ9M,LEVOCARNITINE,CHEM,Concept,NA,DailyMed
0G82TT8ZFY,JUNIPERUS SCOPULORUM POLLEN,CHEM,Concept,NA,DailyMed
0GTO5BR99M,KRASCHENINNIKOVIA LANATA POLLEN,CHEM,Concept,NA,DailyMed
0H1V4V5V9L,JUNIPERUS CALIFORNICA POLLEN,CHEM,Concept,NA,DailyMed
0I55128JYK,THEOPHYLLINE ANHYDROUS,CHEM,Concept,NA,DailyMed
0IEO0F56LV,INOTERSEN,CHEM,Concept,NA,DailyMed
0J0X819B3C,MUCOR CIRCINELLOIDES F. LUSITANICUS,CHEM,Concept,NA,DailyMed
0J48LPH2TH,HYDROCHLOROTHIAZIDE,CHEM,Concept,NA,DailyMed
0K0S2P98ZJ,STREPTOCOCCUS PNEUMONIAE TYPE 7F CAPSULAR POLYSACCHARIDE DIPHTHERIA CRM197 PROTEIN CONJUGATE ANTIGEN,CHEM,Concept,NA,DailyMed
0KJ2VE664U,TERCONAZOLE,CHEM,Concept,NA,DailyMed
0LVY784C09,POLIOVIRUS TYPE 1 ANTIGEN (FORMALDEHYDE INACTIVATED),CHEM,Concept,NA,DailyMed
0M7PSL4100,"N-ISOPROPYL-N'-PHENYL-1,4-PHENYLENEDIAMINE",CHEM,Concept,NA,DailyMed
0MGE63QPFJ,POPULUS NIGRA POLLEN,CHEM,Concept,NA,DailyMed
0MVO31Q3QS,CRANBERRY,CHEM,Concept,NA,DailyMed
0MZI008M96,SALMONELLA TYPHI TY21A LIVE ANTIGEN,CHEM,Concept,NA,DailyMed
0N3Z1P4B2W,PLEOSPORA HERBARUM,CHEM,Concept,NA,DailyMed
0N7609K889,SULFADIAZINE,CHEM,Concept,NA,DailyMed
0N8672707O,CORN,CHEM,Concept,NA,DailyMed
0P94UQE6SY,COAGULATION FACTOR X HUMAN,CHEM,Concept,NA,DailyMed
0Q771797PH,BUTOCONAZOLE,CHEM,Concept,NA,DailyMed
0R0008Q3JB,CHROMIUM,CHEM,Concept,NA,DailyMed
0R4AQI398X,RYE,CHEM,Concept,NA,DailyMed
0R4NLX88O4,TALIGLUCERASE ALFA,CHEM,Concept,NA,DailyMed
0RH81L854J,GLUTAMINE,CHEM,Concept,NA,DailyMed
0RK7M7IABE,METHYLNALTREXONE,CHEM,Concept,NA,DailyMed
0U790UB32K,CITRUS SINENSIS POLLEN,CHEM,Concept,NA,DailyMed
0V3J4YEX2W,USTILAGO CYNODONTIS,CHEM,Concept,NA,DailyMed
