concept_code,standard_concept,class_type
D000072471,C,CHEM
D000072473,C,CHEM
D000073999,C,CHEM
D000074385,C,CHEM
D000076203,C,CHEM
D000077427,C,CHEM
D000080224,C,CHEM
D000081004,C,CHEM
D000089882,C,CHEM
D000144,C,CHEM
D000146,C,CHEM
D000147,C,CHEM
D000217,C,CHEM
D000324,C,CHEM
D000418,C,CHEM
D000438,C,CHEM
D000469,C,CHEM
D000470,C,CHEM
D000475,C,CHEM
D000485,C,CHEM
D000498,C,CHEM
D000499,C,CHEM
D000520,C,CHEM
D000577,C,CHEM
D000578,C,CHEM
D000581,C,CHEM
D000588,C,CHEM
D000596,C,CHEM
D000598,C,CHEM
D000602,C,CHEM
D000617,C,CHEM
D000636,C,CHEM
D000642,C,CHEM
D000644,C,CHEM
D000662,C,CHEM
D000731,C,CHEM
D000838,C,CHEM
D000862,C,CHEM
D000906,C,CHEM
D000911,C,CHEM
D000941,C,CHEM
D000942,C,CHEM
D000946,C,CHEM
D000992,C,CHEM
D000997,C,CHEM
D001180,C,CHEM
D001205,C,CHEM
D001215,C,CHEM
D001393,C,CHEM
D001426,C,CHEM
D001428,C,CHEM
D001463,C,CHEM
D001500,C,CHEM
D001514,C,CHEM
D001552,C,CHEM
D001555,C,CHEM
D001565,C,CHEM
D001569,C,CHEM
D001578,C,CHEM
D001593,C,CHEM
D001596,C,CHEM
D001645,C,CHEM
D001647,C,CHEM
D001685,C,CHEM
D001688,C,CHEM
D001704,C,CHEM
D001729,C,CHEM
D001779,C,CHEM
D001798,C,CHEM
D001896,C,CHEM
D002116,C,CHEM
D002118,C,CHEM
D002186,C,CHEM
D002241,C,CHEM
D002244,C,CHEM
D002247,C,CHEM
D002250,C,CHEM
D002264,C,CHEM
D002265,C,CHEM
D002268,C,CHEM
D002297,C,CHEM
D002301,C,CHEM
D002331,C,CHEM
D002338,C,CHEM
D002364,C,CHEM
D002395,C,CHEM
D002396,C,CHEM
D002412,C,CHEM
D002413,C,CHEM
D002511,C,CHEM
D002762,C,CHEM
D002766,C,CHEM
D002776,C,CHEM
D002782,C,CHEM
D002787,C,CHEM
D003094,C,CHEM
D003115,C,CHEM
D003300,C,CHEM
D003339,C,CHEM
D003374,C,CHEM
D003505,C,CHEM
D003510,C,CHEM
D003516,C,CHEM
D003603,C,CHEM
D003850,C,CHEM
D003851,C,CHEM
D003853,C,CHEM
D003857,C,CHEM
D003912,C,CHEM
D004040,C,CHEM
D004041,C,CHEM
D004042,C,CHEM
D004044,C,CHEM
D004095,C,CHEM
D004152,C,CHEM
D004164,C,CHEM
D004168,C,CHEM
D004224,C,CHEM
D004391,C,CHEM
D004527,C,CHEM
D004573,C,CHEM
D004602,C,CHEM
D004603,C,CHEM
D004706,C,CHEM
D004763,C,CHEM
D004786,C,CHEM
D004792,C,CHEM
D004798,C,CHEM
D004872,C,CHEM
D004873,C,CHEM
D004876,C,CHEM
D004879,C,CHEM
D004917,C,CHEM
D004921,C,CHEM
D004950,C,CHEM
D004952,C,CHEM
D004958,C,CHEM
D004962,C,CHEM
D004963,C,CHEM
D004966,C,CHEM
D005021,C,CHEM
D005169,C,CHEM
D005223,C,CHEM
D005227,C,CHEM
D005231,C,CHEM
D005241,C,CHEM
D005346,C,CHEM
D005347,C,CHEM
D005395,C,CHEM
D005492,C,CHEM
D005503,C,CHEM
D005656,C,CHEM
D005663,C,CHEM
D005768,C,CHEM
D005916,C,CHEM
D005936,C,CHEM
D005959,C,CHEM
D005962,C,CHEM
D005990,C,CHEM
D005998,C,CHEM
D006001,C,CHEM
D006020,C,CHEM
D006023,C,CHEM
D006025,C,CHEM
D006026,C,CHEM
D006027,C,CHEM
D006062,C,CHEM
D006146,C,CHEM
D006219,C,CHEM
D006412,C,CHEM
D006493,C,CHEM
D006495,C,CHEM
D006571,C,CHEM
D006573,C,CHEM
D006574,C,CHEM
D006575,C,CHEM
D006576,C,CHEM
D006728,C,CHEM
D006730,C,CHEM
D006838,C,CHEM
D006839,C,CHEM
D006840,C,CHEM
D006841,C,CHEM
D006844,C,CHEM
D006846,C,CHEM
D006867,C,CHEM
D006880,C,CHEM
D007028,C,CHEM
D007093,C,CHEM
D007106,C,CHEM
D007136,C,CHEM
D007162,C,CHEM
D007211,C,CHEM
D007212,C,CHEM
D007252,C,CHEM
D007287,C,CHEM
D007328,C,CHEM
D007370,C,CHEM
D007371,C,CHEM
D007372,C,CHEM
D007376,C,CHEM
D007378,C,CHEM
D007455,C,CHEM
D007477,C,CHEM
D007501,C,CHEM
D007554,C,CHEM
D007769,C,CHEM
D007783,C,CHEM
D007963,C,CHEM
D008055,C,CHEM
D008190,C,CHEM
D008222,C,CHEM
D008458,C,CHEM
D008563,C,CHEM
D008565,C,CHEM
D008666,C,CHEM
D008670,C,CHEM
D008673,C,CHEM
D008894,C,CHEM
D008997,C,CHEM
D009108,C,CHEM
D009150,C,CHEM
D009279,C,CHEM
D009281,C,CHEM
D009285,C,CHEM
D009414,C,CHEM
D009419,C,CHEM
D009479,C,CHEM
D009538,C,CHEM
D009539,C,CHEM
D009566,C,CHEM
D009574,C,CHEM
D009581,C,CHEM
D009588,C,CHEM
D009593,C,CHEM
D009676,C,CHEM
D009696,C,CHEM
D009705,C,CHEM
D009706,C,CHEM
D009711,C,CHEM
D009821,C,CHEM
D009841,C,CHEM
D009842,C,CHEM
D009861,C,CHEM
D009930,C,CHEM
D009942,C,CHEM
D009943,C,CHEM
D010080,C,CHEM
D010088,C,CHEM
D010121,C,CHEM
D010187,C,CHEM
D010281,C,CHEM
D010406,C,CHEM
D010447,C,CHEM
D010450,C,CHEM
D010455,C,CHEM
D010456,C,CHEM
D010567,C,CHEM
D010627,C,CHEM
D010636,C,CHEM
D010640,C,CHEM
D010650,C,CHEM
D010744,C,CHEM
D010750,C,CHEM
D010836,C,CHEM
D010847,C,CHEM
D010860,C,CHEM
D010907,C,CHEM
D010908,C,CHEM
D010909,C,CHEM
