concept_code,concept_name,class_type,concept_class_id,standard_concept,vocabulary_id
1000104,incobotulinumtoxinA,CHEM,Concept,NA,MEDRT
1000104,incobotulinumtoxinA,CHEM,PIN,NA,RxNorm
1000112,medroxyprogesterone acetate,CHEM,Concept,NA,MEDRT
1000112,medroxyprogesterone acetate,CHEM,PIN,NA,RxNorm
1000146,estradiol cypionate,CHEM,Concept,NA,MEDRT
1000146,estradiol cypionate,CHEM,PIN,NA,RxNorm
1000492,resveratrol,CHEM,Concept,NA,MEDRT
1000492,resveratrol,CHEM,IN,NA,RxNorm
1000577,microcrystalline cellulose,CHEM,Concept,NA,MEDRT
1000577,microcrystalline cellulose,CHEM,IN,NA,RxNorm
1000581,trichlorfon,CHEM,Concept,NA,MEDRT
1000581,trichlorfon,CHEM,IN,NA,RxNorm
1001,antipyrine,CHEM,Concept,NA,MEDRT
1001,antipyrine,CHEM,IN,NA,RxNorm
10014,squalene,CHEM,Concept,NA,MEDRT
10014,squalene,CHEM,IN,NA,RxNorm
10030,stannous fluoride,CHEM,Concept,NA,MEDRT
10030,stannous fluoride,CHEM,IN,NA,RxNorm
10032,stanozolol,CHEM,Concept,NA,MEDRT
10032,stanozolol,CHEM,IN,NA,RxNorm
10046,starch,CHEM,Concept,NA,MEDRT
10046,starch,CHEM,IN,NA,RxNorm
1005920,ulipristal acetate,CHEM,Concept,NA,MEDRT
1005920,ulipristal acetate,CHEM,PIN,NA,RxNorm
1005921,ulipristal,CHEM,Concept,NA,MEDRT
1005921,ulipristal,CHEM,IN,NA,RxNorm
1006619,eprinomectin,CHEM,Concept,NA,MEDRT
1006619,eprinomectin,CHEM,IN,NA,RxNorm
1006654,amprolium,CHEM,Concept,NA,MEDRT
1006654,amprolium,CHEM,IN,NA,RxNorm
10079,stigmasterol,CHEM,Concept,NA,MEDRT
10079,stigmasterol,CHEM,IN,NA,RxNorm
1009,antithrombin III,CHEM,Concept,NA,MEDRT
1009,antithrombin III,CHEM,IN,NA,RxNorm
10104,streptodornase,CHEM,Concept,NA,MEDRT
10104,streptodornase,CHEM,IN,NA,RxNorm
10106,streptokinase,CHEM,Concept,NA,MEDRT
10106,streptokinase,CHEM,IN,NA,RxNorm
10109,streptomycin,CHEM,Concept,NA,MEDRT
10109,streptomycin,CHEM,IN,NA,RxNorm
1011,"lymphocyte immune globulin, anti-thymocyte globulin",CHEM,Concept,NA,MEDRT
1011,"lymphocyte immune globulin, anti-thymocyte globulin",CHEM,IN,NA,RxNorm
10110,streptomycin sulfate,CHEM,Concept,NA,MEDRT
10110,streptomycin sulfate,CHEM,PIN,NA,RxNorm
10114,streptozocin,CHEM,Concept,NA,MEDRT
10114,streptozocin,CHEM,IN,NA,RxNorm
1011450,didecyldimethylammonium chloride,CHEM,Concept,NA,MEDRT
1011450,didecyldimethylammonium chloride,CHEM,IN,NA,RxNorm
1011650,pegloticase,CHEM,Concept,NA,MEDRT
1011650,pegloticase,CHEM,IN,NA,RxNorm
10122,strontium,CHEM,Concept,NA,MEDRT
10122,strontium,CHEM,IN,NA,RxNorm
1012533,melarsomine dihydrochloride,CHEM,Concept,NA,MEDRT
1012533,melarsomine dihydrochloride,CHEM,PIN,NA,RxNorm
1012534,melarsomine,CHEM,Concept,NA,MEDRT
1012534,melarsomine,CHEM,IN,NA,RxNorm
1012891,fingolimod hydrochloride,CHEM,Concept,NA,MEDRT
1012891,fingolimod hydrochloride,CHEM,PIN,NA,RxNorm
1012892,fingolimod,CHEM,Concept,NA,MEDRT
1012892,fingolimod,CHEM,IN,NA,RxNorm
101299,amphotericin B colloidal dispersion,CHEM,Concept,NA,MEDRT
101299,amphotericin B colloidal dispersion,CHEM,PIN,NA,RxNorm
10156,sucralfate,CHEM,Concept,NA,MEDRT
10156,sucralfate,CHEM,IN,NA,RxNorm
10159,sucrose,CHEM,Concept,NA,MEDRT
10159,sucrose,CHEM,IN,NA,RxNorm
10167,sulbactam,CHEM,Concept,NA,MEDRT
10167,sulbactam,CHEM,IN,NA,RxNorm
10168,sulbenicillin,CHEM,Concept,NA,MEDRT
10168,sulbenicillin,CHEM,IN,NA,RxNorm
10169,sulfacetamide,CHEM,Concept,NA,MEDRT
10169,sulfacetamide,CHEM,IN,NA,RxNorm
10171,sulfadiazine,CHEM,Concept,NA,MEDRT
10171,sulfadiazine,CHEM,IN,NA,RxNorm
10172,sulfadimethoxine,CHEM,Concept,NA,MEDRT
10172,sulfadimethoxine,CHEM,IN,NA,RxNorm
10173,sulfadoxine,CHEM,Concept,NA,MEDRT
10173,sulfadoxine,CHEM,IN,NA,RxNorm
10174,sulfaguanidine,CHEM,Concept,NA,MEDRT
10174,sulfaguanidine,CHEM,IN,NA,RxNorm
10175,sulfalene,CHEM,Concept,NA,MEDRT
10175,sulfalene,CHEM,IN,NA,RxNorm
10176,sulfamerazine,CHEM,Concept,NA,MEDRT
10176,sulfamerazine,CHEM,IN,NA,RxNorm
10178,sulfamethazine,CHEM,Concept,NA,MEDRT
10178,sulfamethazine,CHEM,IN,NA,RxNorm
10179,sulfamethizole,CHEM,Concept,NA,MEDRT
10179,sulfamethizole,CHEM,IN,NA,RxNorm
10180,sulfamethoxazole,CHEM,Concept,NA,MEDRT
10180,sulfamethoxazole,CHEM,IN,NA,RxNorm
10181,sulfamethoxypyridazine,CHEM,Concept,NA,MEDRT
10181,sulfamethoxypyridazine,CHEM,IN,NA,RxNorm
10183,sulfamoxole,CHEM,Concept,NA,MEDRT
10183,sulfamoxole,CHEM,IN,NA,RxNorm
10184,sulfanilamide,CHEM,Concept,NA,MEDRT
10184,sulfanilamide,CHEM,IN,NA,RxNorm
10188,sulfapyridine,CHEM,Concept,NA,MEDRT
10188,sulfapyridine,CHEM,IN,NA,RxNorm
10193,sulfathiazole,CHEM,Concept,NA,MEDRT
10193,sulfathiazole,CHEM,IN,NA,RxNorm
10205,sulfinpyrazone,CHEM,Concept,NA,MEDRT
10205,sulfinpyrazone,CHEM,IN,NA,RxNorm
10206,sulfisomidine,CHEM,Concept,NA,MEDRT
10206,sulfisomidine,CHEM,IN,NA,RxNorm
10207,sulfisoxazole,CHEM,Concept,NA,MEDRT
10207,sulfisoxazole,CHEM,IN,NA,RxNorm
10208,sulfisoxazole diolamine,CHEM,Concept,NA,MEDRT
10208,sulfisoxazole diolamine,CHEM,PIN,NA,RxNorm
10212,sulfobromophthalein,CHEM,Concept,NA,MEDRT
10212,sulfobromophthalein,CHEM,IN,NA,RxNorm
102170,piperidolate hydrochloride,CHEM,Concept,NA,MEDRT
102170,piperidolate hydrochloride,CHEM,PIN,NA,RxNorm
10223,sulfur,CHEM,Concept,NA,MEDRT
10223,sulfur,CHEM,IN,NA,RxNorm
10231,sulfuric acid,CHEM,Concept,NA,MEDRT
10231,sulfuric acid,CHEM,IN,NA,RxNorm
10239,sulpiride,CHEM,Concept,NA,MEDRT
10239,sulpiride,CHEM,IN,NA,RxNorm
10245,superoxide dismutase,CHEM,Concept,NA,MEDRT
10245,superoxide dismutase,CHEM,IN,NA,RxNorm
1025342,levomefolic acid,CHEM,Concept,NA,MEDRT
1025342,levomefolic acid,CHEM,PIN,NA,RxNorm
10256,suramin,CHEM,Concept,NA,MEDRT
10256,suramin,CHEM,IN,NA,RxNorm
102745,pivmecillinam hydrochloride,CHEM,Concept,NA,MEDRT
102745,pivmecillinam hydrochloride,CHEM,PIN,NA,RxNorm
1028454,levomefolate calcium,CHEM,Concept,NA,MEDRT
1028454,levomefolate calcium,CHEM,PIN,NA,RxNorm
10288,synephrine,CHEM,Concept,NA,MEDRT
10288,synephrine,CHEM,IN,NA,RxNorm
1029,apazone,CHEM,Concept,NA,MEDRT
1029,apazone,CHEM,IN,NA,RxNorm
