concept_code_1,class_type_1,relationship_id,relationship_source,relationship_type,concept_code_2,class_type_2
26744,CHEM,Mapped from,MEDRT,NA,26744,CHEM
1997443,CHEM,Mapped from,MEDRT,NA,1997443,CHEM
22178,CHEM,Mapped from,MEDRT,NA,22178,CHEM
73044,CHEM,Mapped from,MEDRT,NA,73044,CHEM
1425932,CHEM,Mapped from,MEDRT,NA,1425932,CHEM
1425933,CHEM,Mapped from,MEDRT,NA,1425933,CHEM
1673265,CHEM,Mapped from,MEDRT,NA,1673265,CHEM
89013,CHEM,Mapped from,MEDRT,NA,89013,CHEM
486610,CHEM,Mapped from,MEDRT,NA,486610,CHEM
623033,CHEM,Mapped from,MEDRT,NA,623033,CHEM
283838,CHEM,Mapped from,MEDRT,NA,283838,CHEM
2046138,CHEM,Mapped from,MEDRT,NA,2046138,CHEM
253337,CHEM,Mapped from,MEDRT,NA,253337,CHEM
55685,CHEM,Mapped from,MEDRT,NA,55685,CHEM
60334,CHEM,Mapped from,MEDRT,NA,60334,CHEM
73056,CHEM,Mapped from,MEDRT,NA,73056,CHEM
41126,CHEM,Mapped from,MEDRT,NA,41126,CHEM
50121,CHEM,Mapped from,MEDRT,NA,50121,CHEM
36117,CHEM,Mapped from,MEDRT,NA,36117,CHEM
72616,CHEM,Mapped from,MEDRT,NA,72616,CHEM
282443,CHEM,Mapped from,MEDRT,NA,282443,CHEM
68446,CHEM,Mapped from,MEDRT,NA,68446,CHEM
134615,CHEM,Mapped from,MEDRT,NA,134615,CHEM
39171,CHEM,Mapped from,MEDRT,NA,39171,CHEM
228790,CHEM,Mapped from,MEDRT,NA,228790,CHEM
75917,CHEM,Mapped from,MEDRT,NA,75917,CHEM
118463,CHEM,Mapped from,MEDRT,NA,118463,CHEM
72257,CHEM,Mapped from,MEDRT,NA,72257,CHEM
236883,CHEM,Mapped from,MEDRT,NA,236883,CHEM
31555,CHEM,Mapped from,MEDRT,NA,31555,CHEM
140587,CHEM,Mapped from,MEDRT,NA,140587,CHEM
591622,CHEM,Mapped from,MEDRT,NA,591622,CHEM
636674,CHEM,Mapped from,MEDRT,NA,636674,CHEM
709271,CHEM,Mapped from,MEDRT,NA,709271,CHEM
108118,CHEM,Mapped from,MEDRT,NA,108118,CHEM
153374,CHEM,Mapped from,MEDRT,NA,153374,CHEM
30145,CHEM,Mapped from,MEDRT,NA,30145,CHEM
276237,CHEM,Mapped from,MEDRT,NA,276237,CHEM
117466,CHEM,Mapped from,MEDRT,NA,117466,CHEM
300195,CHEM,Mapped from,MEDRT,NA,300195,CHEM
322248,CHEM,Mapped from,MEDRT,NA,322248,CHEM
214582,CHEM,Mapped from,MEDRT,NA,214582,CHEM
84375,CHEM,Mapped from,MEDRT,NA,84375,CHEM
301542,CHEM,Mapped from,MEDRT,NA,301542,CHEM
323828,CHEM,Mapped from,MEDRT,NA,323828,CHEM
476250,CHEM,Mapped from,MEDRT,NA,476250,CHEM
72625,CHEM,Mapped from,MEDRT,NA,72625,CHEM
119565,CHEM,Mapped from,MEDRT,NA,119565,CHEM
221174,CHEM,Mapped from,MEDRT,NA,221174,CHEM
236216,CHEM,Mapped from,MEDRT,NA,236216,CHEM
25255,CHEM,Mapped from,MEDRT,NA,25255,CHEM
304962,CHEM,Mapped from,MEDRT,NA,304962,CHEM
613391,CHEM,Mapped from,MEDRT,NA,613391,CHEM
847020,CHEM,Mapped from,MEDRT,NA,847020,CHEM
2103480,CHEM,Mapped from,MEDRT,NA,2103480,CHEM
214555,CHEM,Mapped from,MEDRT,NA,214555,CHEM
60223,CHEM,Mapped from,MEDRT,NA,60223,CHEM
105694,CHEM,Mapped from,MEDRT,NA,105694,CHEM
318341,CHEM,Mapped from,MEDRT,NA,318341,CHEM
183379,CHEM,Mapped from,MEDRT,NA,183379,CHEM
994808,CHEM,Mapped from,MEDRT,NA,994808,CHEM
1012891,CHEM,Mapped from,MEDRT,NA,1012891,CHEM
1012892,CHEM,Mapped from,MEDRT,NA,1012892,CHEM
282388,CHEM,Mapped from,MEDRT,NA,282388,CHEM
284924,CHEM,Mapped from,MEDRT,NA,284924,CHEM
1371041,CHEM,Mapped from,MEDRT,NA,1371041,CHEM
224905,CHEM,Mapped from,MEDRT,NA,224905,CHEM
2267582,CHEM,Mapped from,MEDRT,NA,2267582,CHEM
2280730,CHEM,Mapped from,MEDRT,NA,2280730,CHEM
2103477,CHEM,Mapped from,MEDRT,NA,2103477,CHEM
2103479,CHEM,Mapped from,MEDRT,NA,2103479,CHEM
327361,CHEM,Mapped from,MEDRT,NA,327361,CHEM
253181,CHEM,Mapped from,MEDRT,NA,253181,CHEM
679314,CHEM,Mapped from,MEDRT,NA,679314,CHEM
858045,CHEM,Mapped from,MEDRT,NA,858045,CHEM
1373458,CHEM,Mapped from,MEDRT,NA,1373458,CHEM
1546031,CHEM,Mapped from,MEDRT,NA,1546031,CHEM
1235585,CHEM,Mapped from,MEDRT,NA,1235585,CHEM
719872,CHEM,Mapped from,MEDRT,NA,719872,CHEM
593411,CHEM,Mapped from,MEDRT,NA,593411,CHEM
621590,CHEM,Mapped from,MEDRT,NA,621590,CHEM
274783,CHEM,Mapped from,MEDRT,NA,274783,CHEM
139825,CHEM,Mapped from,MEDRT,NA,139825,CHEM
121191,CHEM,Mapped from,MEDRT,NA,121191,CHEM
1790539,CHEM,Mapped from,MEDRT,NA,1790539,CHEM
191831,CHEM,Mapped from,MEDRT,NA,191831,CHEM
1927283,CHEM,Mapped from,MEDRT,NA,1927283,CHEM
358258,CHEM,Mapped from,MEDRT,NA,358258,CHEM
194000,CHEM,Mapped from,MEDRT,NA,194000,CHEM
337525,CHEM,Mapped from,MEDRT,NA,337525,CHEM
477320,CHEM,Mapped from,MEDRT,NA,477320,CHEM
221153,CHEM,Mapped from,MEDRT,NA,221153,CHEM
51272,CHEM,Mapped from,MEDRT,NA,51272,CHEM
341248,CHEM,Mapped from,MEDRT,NA,341248,CHEM
475342,CHEM,Mapped from,MEDRT,NA,475342,CHEM
354770,CHEM,Mapped from,MEDRT,NA,354770,CHEM
302379,CHEM,Mapped from,MEDRT,NA,302379,CHEM
353103,CHEM,Mapped from,MEDRT,NA,353103,CHEM
38400,CHEM,Mapped from,MEDRT,NA,38400,CHEM
393575,CHEM,Mapped from,MEDRT,NA,393575,CHEM
69120,CHEM,Mapped from,MEDRT,NA,69120,CHEM
993449,CHEM,Mapped from,MEDRT,NA,993449,CHEM
384379,CHEM,Mapped from,MEDRT,NA,384379,CHEM
407990,CHEM,Mapped from,MEDRT,NA,407990,CHEM
475968,CHEM,Mapped from,MEDRT,NA,475968,CHEM
194279,CHEM,Mapped from,MEDRT,NA,194279,CHEM
1114693,CHEM,Mapped from,MEDRT,NA,1114693,CHEM
134547,CHEM,Mapped from,MEDRT,NA,134547,CHEM
1309250,CHEM,Mapped from,MEDRT,NA,1309250,CHEM
73689,CHEM,Mapped from,MEDRT,NA,73689,CHEM
683693,CHEM,Mapped from,MEDRT,NA,683693,CHEM
734064,CHEM,Mapped from,MEDRT,NA,734064,CHEM
235988,CHEM,Mapped from,MEDRT,NA,235988,CHEM
39786,CHEM,Mapped from,MEDRT,NA,39786,CHEM
141625,CHEM,Mapped from,MEDRT,NA,141625,CHEM
141626,CHEM,Mapped from,MEDRT,NA,141626,CHEM
1484911,CHEM,Mapped from,MEDRT,NA,1484911,CHEM
1100699,CHEM,Mapped from,MEDRT,NA,1100699,CHEM
673579,CHEM,Mapped from,MEDRT,NA,673579,CHEM
700810,CHEM,Mapped from,MEDRT,NA,700810,CHEM
1100071,CHEM,Mapped from,MEDRT,NA,1100071,CHEM
1086768,CHEM,Mapped from,MEDRT,NA,1086768,CHEM
1086769,CHEM,Mapped from,MEDRT,NA,1086769,CHEM
847083,CHEM,Mapped from,MEDRT,NA,847083,CHEM
1114195,CHEM,Mapped from,MEDRT,NA,1114195,CHEM
283809,CHEM,Mapped from,MEDRT,NA,283809,CHEM
237027,CHEM,Mapped from,MEDRT,NA,237027,CHEM
52177,CHEM,Mapped from,MEDRT,NA,52177,CHEM
595060,CHEM,Mapped from,MEDRT,NA,595060,CHEM
283810,CHEM,Mapped from,MEDRT,NA,283810,CHEM
461016,CHEM,Mapped from,MEDRT,NA,461016,CHEM
187832,CHEM,Mapped from,MEDRT,NA,187832,CHEM
1433764,CHEM,Mapped from,MEDRT,NA,1433764,CHEM
1440046,CHEM,Mapped from,MEDRT,NA,1440046,CHEM
1605064,CHEM,Mapped from,MEDRT,NA,1605064,CHEM
338036,CHEM,Mapped from,MEDRT,NA,338036,CHEM
68442,CHEM,Mapped from,MEDRT,NA,68442,CHEM
1112973,CHEM,Mapped from,MEDRT,NA,1112973,CHEM
614391,CHEM,Mapped from,MEDRT,NA,614391,CHEM
214824,CHEM,Mapped from,MEDRT,NA,214824,CHEM
237125,CHEM,Mapped from,MEDRT,NA,237125,CHEM
660890,CHEM,Mapped from,MEDRT,NA,660890,CHEM
1037041,CHEM,Mapped from,MEDRT,NA,1037041,CHEM
1037042,CHEM,Mapped from,MEDRT,NA,1037042,CHEM
1546356,CHEM,Mapped from,MEDRT,NA,1546356,CHEM
135391,CHEM,Mapped from,MEDRT,NA,135391,CHEM
236599,CHEM,Mapped from,MEDRT,NA,236599,CHEM
1482790,CHEM,Mapped from,MEDRT,NA,1482790,CHEM
142130,CHEM,Mapped from,MEDRT,NA,142130,CHEM
149,CHEM,Mapped from,MEDRT,NA,149,CHEM
2120182,CHEM,Mapped from,MEDRT,NA,2120182,CHEM
1310511,CHEM,Mapped from,MEDRT,NA,1310511,CHEM
1363608,CHEM,Mapped from,MEDRT,NA,1363608,CHEM
1309252,CHEM,Mapped from,MEDRT,NA,1309252,CHEM
32809,CHEM,Mapped from,MEDRT,NA,32809,CHEM
1309223,CHEM,Mapped from,MEDRT,NA,1309223,CHEM
10156,CHEM,Mapped from,MEDRT,NA,10156,CHEM
10159,CHEM,Mapped from,MEDRT,NA,10159,CHEM
11378,CHEM,Mapped from,MEDRT,NA,11378,CHEM
1299920,CHEM,Mapped from,MEDRT,NA,1299920,CHEM
1307662,CHEM,Mapped from,MEDRT,NA,1307662,CHEM
1309314,CHEM,Mapped from,MEDRT,NA,1309314,CHEM
1311261,CHEM,Mapped from,MEDRT,NA,1311261,CHEM
