concept_code,standard_concept,class_type
D000006,C,DISEASE
D000008,C,DISEASE
D000027,C,DISEASE
D000030,C,DISEASE
D000033,C,DISEASE
D000067877,C,DISEASE
D000068099,C,DISEASE
D000068105,C,DISEASE
D000068376,C,DISEASE
D000070779,C,DISEASE
D000071057,C,DISEASE
D000072661,C,DISEASE
D000073376,C,DISEASE
D000073397,C,DISEASE
D000073605,C,DISEASE
D000077260,C,DISEASE
D000080344,C,DISEASE
D000082122,C,DISEASE
D000082862,C,DISEASE
D000083083,C,DISEASE
D000086382,C,DISEASE
D000087122,C,DISEASE
D000089183,C,DISEASE
D000090362,C,DISEASE
D000126,C,DISEASE
D000140,C,DISEASE
D000141,C,DISEASE
D000151,C,DISEASE
D000152,C,DISEASE
D000172,C,DISEASE
D000196,C,DISEASE
D000208,C,DISEASE
D000258,C,DISEASE
D000267,C,DISEASE
D000293,C,DISEASE
D000306,C,DISEASE
D000310,C,DISEASE
D000312,C,DISEASE
D000328,C,DISEASE
D000347,C,DISEASE
D000361,C,DISEASE
D000368,C,DISEASE
D000374,C,DISEASE
D000379,C,DISEASE
D000419,C,DISEASE
D000435,C,DISEASE
D000472,C,DISEASE
D000505,C,DISEASE
D000532,C,DISEASE
D000562,C,DISEASE
D000568,C,DISEASE
D000647,C,DISEASE
D000690,C,DISEASE
D000724,C,DISEASE
D000753,C,DISEASE
D000756,C,DISEASE
D000795,C,DISEASE
D000798,C,DISEASE
D000820,C,DISEASE
D000844,C,DISEASE
D000856,C,DISEASE
D001005,C,DISEASE
D001015,C,DISEASE
D001020,C,DISEASE
D001022,C,DISEASE
D001024,C,DISEASE
D001035,C,DISEASE
D001098,C,DISEASE
D001146,C,DISEASE
D001162,C,DISEASE
D001165,C,DISEASE
D001167,C,DISEASE
D001170,C,DISEASE
D001171,C,DISEASE
D001184,C,DISEASE
D001201,C,DISEASE
D001237,C,DISEASE
D001250,C,DISEASE
D001254,C,DISEASE
D001259,C,DISEASE
D001261,C,DISEASE
D001284,C,DISEASE
D001321,C,DISEASE
D001404,C,DISEASE
D001416,C,DISEASE
D001437,C,DISEASE
D001442,C,DISEASE
D001474,C,DISEASE
D001476,C,DISEASE
D001477,C,DISEASE
D001528,C,DISEASE
D001607,C,DISEASE
D001651,C,DISEASE
D001658,C,DISEASE
D001714,C,DISEASE
D001715,C,DISEASE
D001733,C,DISEASE
D001734,C,DISEASE
D001742,C,DISEASE
D001749,C,DISEASE
D001752,C,DISEASE
D001759,C,DISEASE
D001762,C,DISEASE
D001764,C,DISEASE
D001768,C,DISEASE
D001850,C,DISEASE
D001859,C,DISEASE
D001862,C,DISEASE
D001899,C,DISEASE
D001906,C,DISEASE
D001942,C,DISEASE
D001984,C,DISEASE
D001987,C,DISEASE
D001991,C,DISEASE
D001996,C,DISEASE
D001997,C,DISEASE
D002006,C,DISEASE
D002037,C,DISEASE
D002051,C,DISEASE
D002062,C,DISEASE
D002100,C,DISEASE
D002105,C,DISEASE
D002169,C,DISEASE
D002181,C,DISEASE
D002249,C,DISEASE
D002276,C,DISEASE
D002278,C,DISEASE
D002280,C,DISEASE
D002283,C,DISEASE
D002289,C,DISEASE
D002291,C,DISEASE
D002292,C,DISEASE
D002295,C,DISEASE
D002305,C,DISEASE
D002311,C,DISEASE
D002312,C,DISEASE
D002357,C,DISEASE
D002371,C,DISEASE
D002385,C,DISEASE
D002386,C,DISEASE
D002389,C,DISEASE
D002422,C,DISEASE
D002446,C,DISEASE
D002471,C,DISEASE
D002524,C,DISEASE
D002526,C,DISEASE
D002532,C,DISEASE
D002534,C,DISEASE
D002537,C,DISEASE
D002539,C,DISEASE
D002542,C,DISEASE
D002543,C,DISEASE
D002547,C,DISEASE
D002549,C,DISEASE
D002577,C,DISEASE
D002583,C,DISEASE
D002590,C,DISEASE
D002602,C,DISEASE
D002607,C,DISEASE
D002653,C,DISEASE
D002658,C,DISEASE
D002659,C,DISEASE
D002690,C,DISEASE
D002694,C,DISEASE
D002771,C,DISEASE
D002819,C,DISEASE
D002822,C,DISEASE
D002833,C,DISEASE
D002862,C,DISEASE
D002916,C,DISEASE
D002921,C,DISEASE
D003003,C,DISEASE
D003047,C,DISEASE
D003072,C,DISEASE
D003085,C,DISEASE
D003109,C,DISEASE
D003110,C,DISEASE
D003128,C,DISEASE
D003147,C,DISEASE
D003221,C,DISEASE
D003251,C,DISEASE
D003286,C,DISEASE
D003288,C,DISEASE
D003294,C,DISEASE
D003320,C,DISEASE
D003323,C,DISEASE
D003329,C,DISEASE
D003333,C,DISEASE
D003394,C,DISEASE
D003449,C,DISEASE
D003453,C,DISEASE
D003456,C,DISEASE
D003457,C,DISEASE
D003550,C,DISEASE
D003551,C,DISEASE
D003554,C,DISEASE
D003668,C,DISEASE
D003693,C,DISEASE
D003699,C,DISEASE
D003715,C,DISEASE
D003741,C,DISEASE
D003773,C,DISEASE
D003865,C,DISEASE
D003876,C,DISEASE
D003929,C,DISEASE
D004239,C,DISEASE
D004240,C,DISEASE
D004244,C,DISEASE
D004320,C,DISEASE
D004380,C,DISEASE
D004382,C,DISEASE
D004387,C,DISEASE
D004393,C,DISEASE
D004401,C,DISEASE
D004404,C,DISEASE
D004406,C,DISEASE
D004412,C,DISEASE
D004413,C,DISEASE
D004414,C,DISEASE
D004415,C,DISEASE
D004418,C,DISEASE
D004420,C,DISEASE
D004421,C,DISEASE
D004433,C,DISEASE
D004443,C,DISEASE
D004485,C,DISEASE
D004489,C,DISEASE
D004604,C,DISEASE
D004605,C,DISEASE
D004618,C,DISEASE
D004653,C,DISEASE
D004672,C,DISEASE
D004679,C,DISEASE
D004698,C,DISEASE
D004714,C,DISEASE
D004715,C,DISEASE
D004716,C,DISEASE
D004751,C,DISEASE
D004769,C,DISEASE
D004775,C,DISEASE
D004802,C,DISEASE
D004806,C,DISEASE
D004823,C,DISEASE
D004828,C,DISEASE
D004829,C,DISEASE
D004830,C,DISEASE
D004831,C,DISEASE
D004832,C,DISEASE
D004833,C,DISEASE
D004889,C,DISEASE
D004890,C,DISEASE
D004892,C,DISEASE
D004893,C,DISEASE
D004894,C,DISEASE
D004931,C,DISEASE
D004932,C,DISEASE
D004938,C,DISEASE
D004940,C,DISEASE
D004942,C,DISEASE
D004948,C,DISEASE
D005094,C,DISEASE
D005124,C,DISEASE
D005130,C,DISEASE
D005131,C,DISEASE
D005134,C,DISEASE
D005148,C,DISEASE
D005151,C,DISEASE
D005155,C,DISEASE
D005156,C,DISEASE
D005158,C,DISEASE
D005168,C,DISEASE
D005184,C,DISEASE
D005185,C,DISEASE
D005211,C,DISEASE
D005213,C,DISEASE
D005221,C,DISEASE
D005222,C,DISEASE
D005244,C,DISEASE
D005247,C,DISEASE
D005313,C,DISEASE
D005316,C,DISEASE
D005348,C,DISEASE
D005350,C,DISEASE
D005354,C,DISEASE
D005356,C,DISEASE
D005401,C,DISEASE
D005409,C,DISEASE
D005483,C,DISEASE
D005499,C,DISEASE
D005517,C,DISEASE
D005533,C,DISEASE
D005534,C,DISEASE
D005674,C,DISEASE
D005687,C,DISEASE
D005693,C,DISEASE
D005747,C,DISEASE
D005776,C,DISEASE
D005870,C,DISEASE
D005871,C,DISEASE
D005873,C,DISEASE
D005909,C,DISEASE
D005910,C,DISEASE
D005918,C,DISEASE
D005923,C,DISEASE
D005955,C,DISEASE
D006008,C,DISEASE
D006009,C,DISEASE
D006059,C,DISEASE
D006069,C,DISEASE
D006099,C,DISEASE
D006100,C,DISEASE
D006111,C,DISEASE
D006177,C,DISEASE
D006201,C,DISEASE
D006212,C,DISEASE
D006229,C,DISEASE
D006255,C,DISEASE
D006323,C,DISEASE
D006335,C,DISEASE
D006356,C,DISEASE
D006374,C,DISEASE
D006391,C,DISEASE
D006396,C,DISEASE
D006429,C,DISEASE
D006457,C,DISEASE
D006472,C,DISEASE
D006482,C,DISEASE
D006484,C,DISEASE
D006504,C,DISEASE
D006506,C,DISEASE
D006526,C,DISEASE
D006527,C,DISEASE
D006548,C,DISEASE
D006551,C,DISEASE
D006556,C,DISEASE
D006560,C,DISEASE
D006563,C,DISEASE
D006606,C,DISEASE
D006623,C,DISEASE
D006628,C,DISEASE
D006646,C,DISEASE
D006677,C,DISEASE
D006689,C,DISEASE
D006712,C,DISEASE
D006725,C,DISEASE
D006816,C,DISEASE
D006819,C,DISEASE
D006828,C,DISEASE
D006925,C,DISEASE
D006938,C,DISEASE
D006940,C,DISEASE
D006942,C,DISEASE
D006948,C,DISEASE
D006950,C,DISEASE
D006951,C,DISEASE
D006955,C,DISEASE
D006959,C,DISEASE
D006962,C,DISEASE
D006964,C,DISEASE
D006966,C,DISEASE
D006968,C,DISEASE
D006972,C,DISEASE
D006975,C,DISEASE
D006977,C,DISEASE
D006978,C,DISEASE
D006983,C,DISEASE
D006985,C,DISEASE
D007006,C,DISEASE
D007011,C,DISEASE
D007014,C,DISEASE
D007015,C,DISEASE
D007019,C,DISEASE
D007024,C,DISEASE
D007039,C,DISEASE
D007040,C,DISEASE
D007046,C,DISEASE
D007078,C,DISEASE
D007105,C,DISEASE
D007169,C,DISEASE
D007177,C,DISEASE
D007222,C,DISEASE
D007228,C,DISEASE
D007247,C,DISEASE
D007248,C,DISEASE
D007299,C,DISEASE
D007340,C,DISEASE
D007383,C,DISEASE
D007411,C,DISEASE
D007416,C,DISEASE
D007418,C,DISEASE
D007443,C,DISEASE
D007516,C,DISEASE
D007565,C,DISEASE
D007567,C,DISEASE
D007571,C,DISEASE
D007637,C,DISEASE
D007638,C,DISEASE
D007639,C,DISEASE
D007680,C,DISEASE
D007683,C,DISEASE
D007710,C,DISEASE
D007724,C,DISEASE
D007752,C,DISEASE
D007774,C,DISEASE
D007775,C,DISEASE
D007787,C,DISEASE
D007806,C,DISEASE
D007815,C,DISEASE
D007827,C,DISEASE
D007868,C,DISEASE
D007871,C,DISEASE
D007876,C,DISEASE
D007877,C,DISEASE
D007889,C,DISEASE
D007890,C,DISEASE
D007896,C,DISEASE
D007898,C,DISEASE
D007905,C,DISEASE
D007911,C,DISEASE
D007918,C,DISEASE
D007926,C,DISEASE
D007943,C,DISEASE
D007945,C,DISEASE
D007951,C,DISEASE
D007964,C,DISEASE
D007968,C,DISEASE
D008047,C,DISEASE
D008059,C,DISEASE
D008060,C,DISEASE
D008080,C,DISEASE
D008088,C,DISEASE
D008108,C,DISEASE
D008109,C,DISEASE
D008118,C,DISEASE
D008133,C,DISEASE
D008151,C,DISEASE
D008177,C,DISEASE
D008178,C,DISEASE
D008179,C,DISEASE
D008181,C,DISEASE
D008193,C,DISEASE
D008209,C,DISEASE
D008219,C,DISEASE
D008224,C,DISEASE
D008228,C,DISEASE
D008230,C,DISEASE
D008258,C,DISEASE
D008289,C,DISEASE
D008303,C,DISEASE
D008336,C,DISEASE
D008368,C,DISEASE
D008415,C,DISEASE
D008457,C,DISEASE
D008467,C,DISEASE
D008527,C,DISEASE
D008531,C,DISEASE
D008532,C,DISEASE
D008548,C,DISEASE
D008551,C,DISEASE
D008577,C,DISEASE
D008583,C,DISEASE
D008586,C,DISEASE
D008590,C,DISEASE
D008595,C,DISEASE
D008599,C,DISEASE
D008630,C,DISEASE
D008641,C,DISEASE
D008654,C,DISEASE
D008679,C,DISEASE
