concept_code_1,class_type_1,relationship_id,relationship_source,relationship_type,concept_code_2,class_type_2
2555,EPC,Mapped from,FDASPL,NA,2555,EPC
32592,EPC,Mapped from,FDASPL,NA,32592,EPC
40048,EPC,Mapped from,FDASPL,NA,40048,EPC
3109,EPC,Mapped from,FDASPL,NA,3109,EPC
3639,EPC,Mapped from,FDASPL,NA,3639,EPC
3995,EPC,Mapped from,FDASPL,NA,3995,EPC
5650,EPC,Mapped from,FDASPL,NA,5650,EPC
28004,EPC,Mapped from,FDASPL,NA,28004,EPC
4917,EPC,Mapped from,FDASPL,NA,4917,EPC
6058,EPC,Mapped from,FDASPL,NA,6058,EPC
343048,EPC,Mapped from,FDASPL,NA,343048,EPC
8814,EPC,Mapped from,FDASPL,NA,8814,EPC
10763,EPC,Mapped from,FDASPL,NA,10763,EPC
644,EPC,Mapped from,FDASPL,NA,644,EPC
1369,EPC,Mapped from,FDASPL,NA,1369,EPC
2396,EPC,Mapped from,FDASPL,NA,2396,EPC
5487,EPC,Mapped from,FDASPL,NA,5487,EPC
5495,EPC,Mapped from,FDASPL,NA,5495,EPC
8565,EPC,Mapped from,FDASPL,NA,8565,EPC
2409,EPC,Mapped from,FDASPL,NA,2409,EPC
5764,EPC,Mapped from,FDASPL,NA,5764,EPC
6916,EPC,Mapped from,FDASPL,NA,6916,EPC
17767,EPC,Mapped from,FDASPL,NA,17767,EPC
233603,EPC,Mapped from,FDASPL,NA,233603,EPC
33910,EPC,Mapped from,FDASPL,NA,33910,EPC
4316,EPC,Mapped from,FDASPL,NA,4316,EPC
7396,EPC,Mapped from,FDASPL,NA,7396,EPC
7417,EPC,Mapped from,FDASPL,NA,7417,EPC
7426,EPC,Mapped from,FDASPL,NA,7426,EPC
7435,EPC,Mapped from,FDASPL,NA,7435,EPC
1422,EPC,Mapped from,FDASPL,NA,1422,EPC
33272,EPC,Mapped from,FDASPL,NA,33272,EPC
3389,EPC,Mapped from,FDASPL,NA,3389,EPC
8152,EPC,Mapped from,FDASPL,NA,8152,EPC
6816,EPC,Mapped from,FDASPL,NA,6816,EPC
233698,EPC,Mapped from,FDASPL,NA,233698,EPC
3541,EPC,Mapped from,FDASPL,NA,3541,EPC
41289,EPC,Mapped from,FDASPL,NA,41289,EPC
4441,EPC,Mapped from,FDASPL,NA,4441,EPC
49247,EPC,Mapped from,FDASPL,NA,49247,EPC
6387,EPC,Mapped from,FDASPL,NA,6387,EPC
6926,EPC,Mapped from,FDASPL,NA,6926,EPC
703,EPC,Mapped from,FDASPL,NA,703,EPC
8700,EPC,Mapped from,FDASPL,NA,8700,EPC
