concept_code,concept_name,class_type,concept_class_id,standard_concept,vocabulary_id
1000082,alcaftadine,MOA,IN,NA,RxNorm
1000082,alcaftadine,MOA,Concept,NA,SPL
1005921,ulipristal,MOA,IN,NA,RxNorm
1005921,ulipristal,MOA,Concept,NA,SPL
10114,streptozocin,MOA,IN,NA,RxNorm
10114,streptozocin,MOA,Concept,NA,SPL
1012892,fingolimod,MOA,IN,NA,RxNorm
1012892,fingolimod,MOA,Concept,NA,SPL
10167,sulbactam,MOA,IN,NA,RxNorm
10167,sulbactam,MOA,Concept,NA,SPL
10180,sulfamethoxazole,MOA,IN,NA,RxNorm
10180,sulfamethoxazole,MOA,Concept,NA,SPL
10237,sulindac,MOA,IN,NA,RxNorm
10237,sulindac,MOA,Concept,NA,SPL
10324,tamoxifen,MOA,IN,NA,RxNorm
10324,tamoxifen,MOA,Concept,NA,SPL
10349,sodium pertechnetate Tc 99m,MOA,PIN,NA,RxNorm
10349,sodium pertechnetate Tc 99m,MOA,Concept,NA,SPL
10379,testosterone,MOA,IN,NA,RxNorm
10379,testosterone,MOA,Concept,NA,SPL
10390,tetrabenazine,MOA,IN,NA,RxNorm
10390,tetrabenazine,MOA,Concept,NA,SPL
1043,apomorphine,MOA,IN,NA,RxNorm
1043,apomorphine,MOA,Concept,NA,SPL
10473,thiotepa,MOA,IN,NA,RxNorm
10473,thiotepa,MOA,Concept,NA,SPL
10636,tolmetin,MOA,IN,NA,RxNorm
10636,tolmetin,MOA,Concept,NA,SPL
10689,tramadol,MOA,IN,NA,RxNorm
10689,tramadol,MOA,Concept,NA,SPL
107044,rabbit anti-human T-lymphocyte globulin,MOA,PIN,NA,RxNorm
107044,rabbit anti-human T-lymphocyte globulin,MOA,Concept,NA,SPL
10734,tranylcypromine,MOA,IN,NA,RxNorm
10734,tranylcypromine,MOA,Concept,NA,SPL
10759,triamcinolone,MOA,IN,NA,RxNorm
10759,triamcinolone,MOA,Concept,NA,SPL
10761,triamcinolone acetonide,MOA,PIN,NA,RxNorm
10761,triamcinolone acetonide,MOA,Concept,NA,SPL
10798,trientine,MOA,IN,NA,RxNorm
10798,trientine,MOA,Concept,NA,SPL
10803,trifluridine,MOA,IN,NA,RxNorm
10803,trifluridine,MOA,Concept,NA,SPL
108088,alclometasone,MOA,IN,NA,RxNorm
108088,alclometasone,MOA,Concept,NA,SPL
108118,mometasone,MOA,IN,NA,RxNorm
108118,mometasone,MOA,Concept,NA,SPL
10829,trimethoprim,MOA,IN,NA,RxNorm
10829,trimethoprim,MOA,Concept,NA,SPL
10869,tropicamide,MOA,IN,NA,RxNorm
10869,tropicamide,MOA,Concept,NA,SPL
1091643,azilsartan,MOA,IN,NA,RxNorm
1091643,azilsartan,MOA,Concept,NA,SPL
1091836,roflumilast,MOA,IN,NA,RxNorm
1091836,roflumilast,MOA,Concept,NA,SPL
1092437,belimumab,MOA,IN,NA,RxNorm
1092437,belimumab,MOA,Concept,NA,SPL
1094833,ipilimumab,MOA,IN,NA,RxNorm
1094833,ipilimumab,MOA,Concept,NA,SPL
1098413,vandetanib,MOA,IN,NA,RxNorm
1098413,vandetanib,MOA,Concept,NA,SPL
1100072,abiraterone,MOA,IN,NA,RxNorm
1100072,abiraterone,MOA,Concept,NA,SPL
1100699,linagliptin,MOA,IN,NA,RxNorm
1100699,linagliptin,MOA,Concept,NA,SPL
1102270,rilpivirine,MOA,IN,NA,RxNorm
1102270,rilpivirine,MOA,Concept,NA,SPL
1112973,belatacept,MOA,IN,NA,RxNorm
1112973,belatacept,MOA,Concept,NA,SPL
1114195,rivaroxaban,MOA,IN,NA,RxNorm
1114195,rivaroxaban,MOA,Concept,NA,SPL
1116632,ticagrelor,MOA,IN,NA,RxNorm
1116632,ticagrelor,MOA,Concept,NA,SPL
11170,verapamil,MOA,IN,NA,RxNorm
11170,verapamil,MOA,Concept,NA,SPL
11196,viloxazine,MOA,IN,NA,RxNorm
11196,viloxazine,MOA,Concept,NA,SPL
1119986,Centruroides (scorpion) immune F(ab')2 (equine),MOA,IN,NA,RxNorm
1119986,Centruroides (scorpion) immune F(ab')2 (equine),MOA,Concept,NA,SPL
11289,warfarin,MOA,IN,NA,RxNorm
11289,warfarin,MOA,Concept,NA,SPL
11413,zidovudine,MOA,IN,NA,RxNorm
11413,zidovudine,MOA,Concept,NA,SPL
1147220,vemurafenib,MOA,IN,NA,RxNorm
1147220,vemurafenib,MOA,Concept,NA,SPL
1147320,brentuximab vedotin,MOA,IN,NA,RxNorm
1147320,brentuximab vedotin,MOA,Concept,NA,SPL
1148138,icatibant,MOA,IN,NA,RxNorm
1148138,icatibant,MOA,Concept,NA,SPL
1148495,crizotinib,MOA,IN,NA,RxNorm
1148495,crizotinib,MOA,Concept,NA,SPL
114934,desirudin,MOA,IN,NA,RxNorm
114934,desirudin,MOA,Concept,NA,SPL
114970,zafirlukast,MOA,IN,NA,RxNorm
114970,zafirlukast,MOA,Concept,NA,SPL
114979,rabeprazole,MOA,IN,NA,RxNorm
114979,rabeprazole,MOA,Concept,NA,SPL
11645,deferiprone,MOA,IN,NA,RxNorm
11645,deferiprone,MOA,Concept,NA,SPL
117055,alemtuzumab,MOA,IN,NA,RxNorm
117055,alemtuzumab,MOA,Concept,NA,SPL
118886,verteporfin,MOA,IN,NA,RxNorm
118886,verteporfin,MOA,Concept,NA,SPL
1193326,ruxolitinib,MOA,IN,NA,RxNorm
1193326,ruxolitinib,MOA,Concept,NA,SPL
119565,tolterodine,MOA,IN,NA,RxNorm
119565,tolterodine,MOA,Concept,NA,SPL
1202,atenolol,MOA,IN,NA,RxNorm
1202,atenolol,MOA,Concept,NA,SPL
121191,rituximab,MOA,IN,NA,RxNorm
121191,rituximab,MOA,Concept,NA,SPL
121243,voriconazole,MOA,IN,NA,RxNorm
121243,voriconazole,MOA,Concept,NA,SPL
1223,atropine,MOA,IN,NA,RxNorm
1223,atropine,MOA,Concept,NA,SPL
1232150,aflibercept,MOA,IN,NA,RxNorm
1232150,aflibercept,MOA,Concept,NA,SPL
1242987,vismodegib,MOA,IN,NA,RxNorm
1242987,vismodegib,MOA,Concept,NA,SPL
1242999,axitinib,MOA,IN,NA,RxNorm
1242999,axitinib,MOA,Concept,NA,SPL
1243041,ivacaftor,MOA,IN,NA,RxNorm
1243041,ivacaftor,MOA,Concept,NA,SPL
1244607,tafluprost,MOA,IN,NA,RxNorm
1244607,tafluprost,MOA,Concept,NA,SPL
1251,azacitidine,MOA,IN,NA,RxNorm
1251,azacitidine,MOA,Concept,NA,SPL
1256,azathioprine,MOA,IN,NA,RxNorm
1256,azathioprine,MOA,Concept,NA,SPL
12574,gemcitabine,MOA,IN,NA,RxNorm
12574,gemcitabine,MOA,Concept,NA,SPL
1291301,avanafil,MOA,IN,NA,RxNorm
1291301,avanafil,MOA,Concept,NA,SPL
1292,baclofen,MOA,IN,NA,RxNorm
1292,baclofen,MOA,Concept,NA,SPL
1294580,gemtuzumab ozogamicin,MOA,IN,NA,RxNorm
1294580,gemtuzumab ozogamicin,MOA,Concept,NA,SPL
1298944,pertuzumab,MOA,IN,NA,RxNorm
1298944,pertuzumab,MOA,Concept,NA,SPL
1300701,lorcaserin,MOA,IN,NA,RxNorm
1300701,lorcaserin,MOA,Concept,NA,SPL
1300786,mirabegron,MOA,IN,NA,RxNorm
1300786,mirabegron,MOA,Concept,NA,SPL
1302966,carfilzomib,MOA,IN,NA,RxNorm
1302966,carfilzomib,MOA,Concept,NA,SPL
1303098,aclidinium,MOA,IN,NA,RxNorm
1303098,aclidinium,MOA,Concept,NA,SPL
1305558,ammonia N-13,MOA,PIN,NA,RxNorm
1305558,ammonia N-13,MOA,Concept,NA,SPL
1306284,cobicistat,MOA,IN,NA,RxNorm
1306284,cobicistat,MOA,Concept,NA,SPL
1306286,elvitegravir,MOA,IN,NA,RxNorm
1306286,elvitegravir,MOA,Concept,NA,SPL
1307298,enzalutamide,MOA,IN,NA,RxNorm
1307298,enzalutamide,MOA,Concept,NA,SPL
1307404,linaclotide,MOA,IN,NA,RxNorm
1307404,linaclotide,MOA,Concept,NA,SPL
1307619,bosutinib,MOA,IN,NA,RxNorm
1307619,bosutinib,MOA,Concept,NA,SPL
1310520,teriflunomide,MOA,IN,NA,RxNorm
1310520,teriflunomide,MOA,Concept,NA,SPL
1312397,regorafenib,MOA,IN,NA,RxNorm
1312397,regorafenib,MOA,Concept,NA,SPL
1314372,indium In-111 oxyquinoline,MOA,PIN,NA,RxNorm
1314372,indium In-111 oxyquinoline,MOA,Concept,NA,SPL
1318915,potassium ion,MOA,IN,NA,RxNorm
1318915,potassium ion,MOA,Concept,NA,SPL
1331,barium sulfate,MOA,IN,NA,RxNorm
1331,barium sulfate,MOA,Concept,NA,SPL
134527,nelfinavir,MOA,IN,NA,RxNorm
134527,nelfinavir,MOA,Concept,NA,SPL
134547,bendamustine,MOA,IN,NA,RxNorm
134547,bendamustine,MOA,Concept,NA,SPL
