concept_code_1,class_type_1,relationship_id,relationship_source,relationship_type,concept_code_2,class_type_2
1298944,MOA,Mapped from,MEDRT,NA,1298944,MOA
1371041,MOA,Mapped from,MEDRT,NA,1371041,MOA
1723738,MOA,Mapped from,MEDRT,NA,1723738,MOA
2103478,MOA,Mapped from,MEDRT,NA,2103478,MOA
2107051,MOA,Mapped from,MEDRT,NA,2107051,MOA
2174802,MOA,Mapped from,MEDRT,NA,2174802,MOA
224905,MOA,Mapped from,MEDRT,NA,224905,MOA
2267574,MOA,Mapped from,MEDRT,NA,2267574,MOA
2267582,MOA,Mapped from,MEDRT,NA,2267582,MOA
2280730,MOA,Mapped from,MEDRT,NA,2280730,MOA
2289225,MOA,Mapped from,MEDRT,NA,2289225,MOA
2375543,MOA,Mapped from,MEDRT,NA,2375543,MOA
2382597,MOA,Mapped from,MEDRT,NA,2382597,MOA
2382599,MOA,Mapped from,MEDRT,NA,2382599,MOA
2473850,MOA,Mapped from,MEDRT,NA,2473850,MOA
2473851,MOA,Mapped from,MEDRT,NA,2473851,MOA
263034,MOA,Mapped from,MEDRT,NA,263034,MOA
318341,MOA,Mapped from,MEDRT,NA,318341,MOA
328134,MOA,Mapped from,MEDRT,NA,328134,MOA
337525,MOA,Mapped from,MEDRT,NA,337525,MOA
477320,MOA,Mapped from,MEDRT,NA,477320,MOA
480167,MOA,Mapped from,MEDRT,NA,480167,MOA
481474,MOA,Mapped from,MEDRT,NA,481474,MOA
1921069,MOA,Mapped from,MEDRT,NA,1921069,MOA
1091642,MOA,Mapped from,MEDRT,NA,1091642,MOA
1091643,MOA,Mapped from,MEDRT,NA,1091643,MOA
118463,MOA,Mapped from,MEDRT,NA,118463,MOA
1294597,MOA,Mapped from,MEDRT,NA,1294597,MOA
135481,MOA,Mapped from,MEDRT,NA,135481,MOA
203160,MOA,Mapped from,MEDRT,NA,203160,MOA
214354,MOA,Mapped from,MEDRT,NA,214354,MOA
236878,MOA,Mapped from,MEDRT,NA,236878,MOA
321064,MOA,Mapped from,MEDRT,NA,321064,MOA
52175,MOA,Mapped from,MEDRT,NA,52175,MOA
69749,MOA,Mapped from,MEDRT,NA,69749,MOA
73494,MOA,Mapped from,MEDRT,NA,73494,MOA
83515,MOA,Mapped from,MEDRT,NA,83515,MOA
83818,MOA,Mapped from,MEDRT,NA,83818,MOA
27340,MOA,Mapped from,MEDRT,NA,27340,MOA
36453,MOA,Mapped from,MEDRT,NA,36453,MOA
3920,MOA,Mapped from,MEDRT,NA,3920,MOA
6026,MOA,Mapped from,MEDRT,NA,6026,MOA
1294588,MOA,Mapped from,MEDRT,NA,1294588,MOA
1999574,MOA,Mapped from,MEDRT,NA,1999574,MOA
4457,MOA,Mapped from,MEDRT,NA,4457,MOA
61381,MOA,Mapped from,MEDRT,NA,61381,MOA
8015,MOA,Mapped from,MEDRT,NA,8015,MOA
885604,MOA,Mapped from,MEDRT,NA,885604,MOA
11454,MOA,Mapped from,MEDRT,NA,11454,MOA
1297402,MOA,Mapped from,MEDRT,NA,1297402,MOA
1310583,MOA,Mapped from,MEDRT,NA,1310583,MOA
20063,MOA,Mapped from,MEDRT,NA,20063,MOA
314809,MOA,Mapped from,MEDRT,NA,314809,MOA
314812,MOA,Mapped from,MEDRT,NA,314812,MOA
4910,MOA,Mapped from,MEDRT,NA,4910,MOA
52356,MOA,Mapped from,MEDRT,NA,52356,MOA
6873,MOA,Mapped from,MEDRT,NA,6873,MOA
8928,MOA,Mapped from,MEDRT,NA,8928,MOA
91264,MOA,Mapped from,MEDRT,NA,91264,MOA
2569562,MOA,Mapped from,MEDRT,NA,2569562,MOA
2569592,MOA,Mapped from,MEDRT,NA,2569592,MOA
107784,MOA,Mapped from,MEDRT,NA,107784,MOA
1299921,MOA,Mapped from,MEDRT,NA,1299921,MOA
1309363,MOA,Mapped from,MEDRT,NA,1309363,MOA
1310569,MOA,Mapped from,MEDRT,NA,1310569,MOA
1314411,MOA,Mapped from,MEDRT,NA,1314411,MOA
1314849,MOA,Mapped from,MEDRT,NA,1314849,MOA
1363613,MOA,Mapped from,MEDRT,NA,1363613,MOA
1363615,MOA,Mapped from,MEDRT,NA,1363615,MOA
1363617,MOA,Mapped from,MEDRT,NA,1363617,MOA
1363619,MOA,Mapped from,MEDRT,NA,1363619,MOA
1363621,MOA,Mapped from,MEDRT,NA,1363621,MOA
1367120,MOA,Mapped from,MEDRT,NA,1367120,MOA
1427008,MOA,Mapped from,MEDRT,NA,1427008,MOA
1534779,MOA,Mapped from,MEDRT,NA,1534779,MOA
1663407,MOA,Mapped from,MEDRT,NA,1663407,MOA
1947500,MOA,Mapped from,MEDRT,NA,1947500,MOA
1947503,MOA,Mapped from,MEDRT,NA,1947503,MOA
1947505,MOA,Mapped from,MEDRT,NA,1947505,MOA
221136,MOA,Mapped from,MEDRT,NA,221136,MOA
232539,MOA,Mapped from,MEDRT,NA,232539,MOA
236381,MOA,Mapped from,MEDRT,NA,236381,MOA
32680,MOA,Mapped from,MEDRT,NA,32680,MOA
34693,MOA,Mapped from,MEDRT,NA,34693,MOA
38624,MOA,Mapped from,MEDRT,NA,38624,MOA
38625,MOA,Mapped from,MEDRT,NA,38625,MOA
46967,MOA,Mapped from,MEDRT,NA,46967,MOA
53750,MOA,Mapped from,MEDRT,NA,53750,MOA
54034,MOA,Mapped from,MEDRT,NA,54034,MOA
69782,MOA,Mapped from,MEDRT,NA,69782,MOA
71722,MOA,Mapped from,MEDRT,NA,71722,MOA
82001,MOA,Mapped from,MEDRT,NA,82001,MOA
82002,MOA,Mapped from,MEDRT,NA,82002,MOA
82003,MOA,Mapped from,MEDRT,NA,82003,MOA
9796,MOA,Mapped from,MEDRT,NA,9796,MOA
9871,MOA,Mapped from,MEDRT,NA,9871,MOA
1546365,MOA,Mapped from,MEDRT,NA,1546365,MOA
34345,MOA,Mapped from,MEDRT,NA,34345,MOA
55052,MOA,Mapped from,MEDRT,NA,55052,MOA
55053,MOA,Mapped from,MEDRT,NA,55053,MOA
55322,MOA,Mapped from,MEDRT,NA,55322,MOA
114970,MOA,Mapped from,MEDRT,NA,114970,MOA
115713,MOA,Mapped from,MEDRT,NA,115713,MOA
88249,MOA,Mapped from,MEDRT,NA,88249,MOA
1307298,MOA,Mapped from,MEDRT,NA,1307298,MOA
2180325,MOA,Mapped from,MEDRT,NA,2180325,MOA
22968,MOA,Mapped from,MEDRT,NA,22968,MOA
282357,MOA,Mapped from,MEDRT,NA,282357,MOA
29451,MOA,Mapped from,MEDRT,NA,29451,MOA
31805,MOA,Mapped from,MEDRT,NA,31805,MOA
4508,MOA,Mapped from,MEDRT,NA,4508,MOA
6703,MOA,Mapped from,MEDRT,NA,6703,MOA
6964,MOA,Mapped from,MEDRT,NA,6964,MOA
83008,MOA,Mapped from,MEDRT,NA,83008,MOA
105745,MOA,Mapped from,MEDRT,NA,105745,MOA
10798,MOA,Mapped from,MEDRT,NA,10798,MOA
110,MOA,Mapped from,MEDRT,NA,110,MOA
11645,MOA,Mapped from,MEDRT,NA,11645,MOA
1294534,MOA,Mapped from,MEDRT,NA,1294534,MOA
1298846,MOA,Mapped from,MEDRT,NA,1298846,MOA
1299924,MOA,Mapped from,MEDRT,NA,1299924,MOA
132879,MOA,Mapped from,MEDRT,NA,132879,MOA
1368950,MOA,Mapped from,MEDRT,NA,1368950,MOA
1371967,MOA,Mapped from,MEDRT,NA,1371967,MOA
1422486,MOA,Mapped from,MEDRT,NA,1422486,MOA
1484283,MOA,Mapped from,MEDRT,NA,1484283,MOA
1667640,MOA,Mapped from,MEDRT,NA,1667640,MOA
1807514,MOA,Mapped from,MEDRT,NA,1807514,MOA
1903,MOA,Mapped from,MEDRT,NA,1903,MOA
2001422,MOA,Mapped from,MEDRT,NA,2001422,MOA
2106283,MOA,Mapped from,MEDRT,NA,2106283,MOA
214824,MOA,Mapped from,MEDRT,NA,214824,MOA
221068,MOA,Mapped from,MEDRT,NA,221068,MOA
2296,MOA,Mapped from,MEDRT,NA,2296,MOA
235370,MOA,Mapped from,MEDRT,NA,235370,MOA
237125,MOA,Mapped from,MEDRT,NA,237125,MOA
259268,MOA,Mapped from,MEDRT,NA,259268,MOA
272,MOA,Mapped from,MEDRT,NA,272,MOA
3131,MOA,Mapped from,MEDRT,NA,3131,MOA
3132,MOA,Mapped from,MEDRT,NA,3132,MOA
314774,MOA,Mapped from,MEDRT,NA,314774,MOA
