concept_code,standard_concept,class_type
N0000008290,C,PE
N0000008293,C,PE
N0000008294,C,PE
N0000008299,C,PE
N0000008307,C,PE
N0000008327,C,PE
N0000008330,C,PE
N0000008331,C,PE
N0000008334,C,PE
N0000008336,C,PE
N0000008337,C,PE
N0000008339,C,PE
N0000008340,C,PE
N0000008341,C,PE
N0000008342,C,PE
N0000008346,C,PE
N0000008347,C,PE
N0000008358,C,PE
N0000008360,C,PE
N0000008362,C,PE
N0000008363,C,PE
N0000008364,C,PE
N0000008379,C,PE
N0000008380,C,PE
N0000008383,C,PE
N0000008390,C,PE
N0000008394,C,PE
N0000008476,C,PE
N0000008478,C,PE
N0000008479,C,PE
N0000008486,C,PE
N0000008501,C,PE
N0000008553,C,PE
N0000008556,C,PE
N0000008571,C,PE
N0000008576,C,PE
N0000008577,C,PE
N0000008578,C,PE
N0000008592,C,PE
N0000008595,C,PE
N0000008635,C,PE
N0000008636,C,PE
N0000008638,C,PE
N0000008652,C,PE
N0000008656,C,PE
N0000008663,C,PE
N0000008665,C,PE
N0000008683,C,PE
N0000008686,C,PE
N0000008732,C,PE
N0000008768,C,PE
N0000008779,C,PE
N0000008802,C,PE
N0000008832,C,PE
N0000008836,C,PE
N0000008841,C,PE
N0000008852,C,PE
N0000008853,C,PE
N0000008858,C,PE
N0000008859,C,PE
N0000008867,C,PE
N0000008924,C,PE
N0000008953,C,PE
N0000009010,C,PE
N0000009020,C,PE
N0000009022,C,PE
N0000009024,C,PE
N0000009025,C,PE
N0000009027,C,PE
N0000009028,C,PE
N0000009032,C,PE
N0000009034,C,PE
N0000009036,C,PE
N0000009044,C,PE
N0000009045,C,PE
N0000009046,C,PE
N0000009048,C,PE
N0000009049,C,PE
N0000009051,C,PE
N0000009052,C,PE
N0000009054,C,PE
N0000009057,C,PE
N0000009059,C,PE
N0000009061,C,PE
N0000009064,C,PE
N0000009065,C,PE
N0000009066,C,PE
N0000009067,C,PE
N0000009068,C,PE
N0000009069,C,PE
N0000009070,C,PE
N0000009072,C,PE
N0000009073,C,PE
N0000009074,C,PE
N0000009076,C,PE
N0000009088,C,PE
N0000009176,C,PE
N0000009252,C,PE
N0000009253,C,PE
N0000009267,C,PE
N0000009269,C,PE
N0000009282,C,PE
N0000009284,C,PE
N0000009319,C,PE
N0000009327,C,PE
N0000009329,C,PE
N0000009340,C,PE
N0000009345,C,PE
N0000009349,C,PE
N0000009350,C,PE
N0000009357,C,PE
N0000009359,C,PE
N0000009361,C,PE
N0000009371,C,PE
N0000009376,C,PE
N0000009390,C,PE
N0000009391,C,PE
N0000009393,C,PE
N0000009395,C,PE
N0000009451,C,PE
N0000009456,C,PE
