concept_code,concept_name,class_type,concept_class_id,standard_concept,vocabulary_id
10109,streptomycin,TC,Concept,NA,MEDRT
10109,streptomycin,TC,IN,NA,RxNorm
10110,streptomycin sulfate,TC,Concept,NA,MEDRT
10110,streptomycin sulfate,TC,PIN,NA,RxNorm
101299,amphotericin B colloidal dispersion,TC,Concept,NA,MEDRT
101299,amphotericin B colloidal dispersion,TC,PIN,NA,RxNorm
10169,sulfacetamide,TC,Concept,NA,MEDRT
10169,sulfacetamide,TC,IN,NA,RxNorm
10171,sulfadiazine,TC,Concept,NA,MEDRT
10171,sulfadiazine,TC,IN,NA,RxNorm
10180,sulfamethoxazole,TC,Concept,NA,MEDRT
10180,sulfamethoxazole,TC,IN,NA,RxNorm
10207,sulfisoxazole,TC,Concept,NA,MEDRT
10207,sulfisoxazole,TC,IN,NA,RxNorm
10208,sulfisoxazole diolamine,TC,Concept,NA,MEDRT
10208,sulfisoxazole diolamine,TC,PIN,NA,RxNorm
10349,sodium pertechnetate Tc 99m,TC,Concept,NA,MEDRT
10349,sodium pertechnetate Tc 99m,TC,PIN,NA,RxNorm
10395,tetracycline,TC,Concept,NA,MEDRT
10395,tetracycline,TC,IN,NA,RxNorm
1040005,ceftaroline,TC,Concept,NA,MEDRT
1040005,ceftaroline,TC,IN,NA,RxNorm
1040028,lurasidone,TC,Concept,NA,MEDRT
1040028,lurasidone,TC,IN,NA,RxNorm
10450,thiabendazole,TC,Concept,NA,MEDRT
10450,thiabendazole,TC,IN,NA,RxNorm
10510,thiothixene,TC,Concept,NA,MEDRT
10510,thiothixene,TC,IN,NA,RxNorm
10591,ticarcillin,TC,Concept,NA,MEDRT
10591,ticarcillin,TC,IN,NA,RxNorm
10612,tinidazole,TC,Concept,NA,MEDRT
10612,tinidazole,TC,IN,NA,RxNorm
10627,tobramycin,TC,Concept,NA,MEDRT
10627,tobramycin,TC,IN,NA,RxNorm
10803,trifluridine,TC,Concept,NA,MEDRT
10803,trifluridine,TC,IN,NA,RxNorm
10827,trimethadione,TC,Concept,NA,MEDRT
10827,trimethadione,TC,IN,NA,RxNorm
10829,trimethoprim,TC,Concept,NA,MEDRT
10829,trimethoprim,TC,IN,NA,RxNorm
10834,trimipramine,TC,Concept,NA,MEDRT
10834,trimipramine,TC,IN,NA,RxNorm
1101333,gabapentin enacarbil,TC,Concept,NA,MEDRT
1101333,gabapentin enacarbil,TC,PIN,NA,RxNorm
1111103,fidaxomicin,TC,Concept,NA,MEDRT
1111103,fidaxomicin,TC,IN,NA,RxNorm
11118,valproic acid,TC,Concept,NA,MEDRT
11118,valproic acid,TC,PIN,NA,RxNorm
11124,vancomycin,TC,Concept,NA,MEDRT
11124,vancomycin,TC,IN,NA,RxNorm
114477,levetiracetam,TC,Concept,NA,MEDRT
114477,levetiracetam,TC,IN,NA,RxNorm
115698,ziprasidone,TC,Concept,NA,MEDRT
115698,ziprasidone,TC,IN,NA,RxNorm
119771,doripenem,TC,Concept,NA,MEDRT
119771,doripenem,TC,IN,NA,RxNorm
121243,voriconazole,TC,Concept,NA,MEDRT
121243,voriconazole,TC,IN,NA,RxNorm
1272,aztreonam,TC,Concept,NA,MEDRT
1272,aztreonam,TC,IN,NA,RxNorm
1294533,ziprasidone hydrochloride,TC,Concept,NA,MEDRT
