concept_code_1,class_type_1,relationship_id,relationship_source,relationship_type,concept_code_2,class_type_2
10109,TC,Mapped from,FMTSME,NA,10109,TC
10110,TC,Mapped from,FMTSME,NA,10110,TC
101299,TC,Mapped from,FMTSME,NA,101299,TC
10169,TC,Mapped from,FMTSME,NA,10169,TC
10171,TC,Mapped from,FMTSME,NA,10171,TC
10180,TC,Mapped from,FMTSME,NA,10180,TC
10207,TC,Mapped from,FMTSME,NA,10207,TC
10208,TC,Mapped from,FMTSME,NA,10208,TC
10349,TC,Mapped from,FMTSME,NA,10349,TC
10395,TC,Mapped from,FMTSME,NA,10395,TC
1040005,TC,Mapped from,FMTSME,NA,1040005,TC
1040028,TC,Mapped from,FMTSME,NA,1040028,TC
10450,TC,Mapped from,FMTSME,NA,10450,TC
10510,TC,Mapped from,FMTSME,NA,10510,TC
10591,TC,Mapped from,FMTSME,NA,10591,TC
10612,TC,Mapped from,FMTSME,NA,10612,TC
10627,TC,Mapped from,FMTSME,NA,10627,TC
10803,TC,Mapped from,FMTSME,NA,10803,TC
10827,TC,Mapped from,FMTSME,NA,10827,TC
10829,TC,Mapped from,FMTSME,NA,10829,TC
10834,TC,Mapped from,FMTSME,NA,10834,TC
1101333,TC,Mapped from,FMTSME,NA,1101333,TC
1111103,TC,Mapped from,FMTSME,NA,1111103,TC
11118,TC,Mapped from,FMTSME,NA,11118,TC
11124,TC,Mapped from,FMTSME,NA,11124,TC
114477,TC,Mapped from,FMTSME,NA,114477,TC
115698,TC,Mapped from,FMTSME,NA,115698,TC
119771,TC,Mapped from,FMTSME,NA,119771,TC
121243,TC,Mapped from,FMTSME,NA,121243,TC
1272,TC,Mapped from,FMTSME,NA,1272,TC
1294533,TC,Mapped from,FMTSME,NA,1294533,TC
1297879,TC,Mapped from,FMTSME,NA,1297879,TC
133008,TC,Mapped from,FMTSME,NA,133008,TC
1362737,TC,Mapped from,FMTSME,NA,1362737,TC
1364449,TC,Mapped from,FMTSME,NA,1364449,TC
1364504,TC,Mapped from,FMTSME,NA,1364504,TC
138099,TC,Mapped from,FMTSME,NA,138099,TC
139462,TC,Mapped from,FMTSME,NA,139462,TC
140108,TC,Mapped from,FMTSME,NA,140108,TC
142138,TC,Mapped from,FMTSME,NA,142138,TC
142434,TC,Mapped from,FMTSME,NA,142434,TC
142435,TC,Mapped from,FMTSME,NA,142435,TC
142440,TC,Mapped from,FMTSME,NA,142440,TC
142446,TC,Mapped from,FMTSME,NA,142446,TC
142447,TC,Mapped from,FMTSME,NA,142447,TC
1426,TC,Mapped from,FMTSME,NA,1426,TC
1426874,TC,Mapped from,FMTSME,NA,1426874,TC
1427224,TC,Mapped from,FMTSME,NA,1427224,TC
1482680,TC,Mapped from,FMTSME,NA,1482680,TC
1482913,TC,Mapped from,FMTSME,NA,1482913,TC
1484911,TC,Mapped from,FMTSME,NA,1484911,TC
14851,TC,Mapped from,FMTSME,NA,14851,TC
1494066,TC,Mapped from,FMTSME,NA,1494066,TC
150816,TC,Mapped from,FMTSME,NA,150816,TC
15226,TC,Mapped from,FMTSME,NA,15226,TC
1539239,TC,Mapped from,FMTSME,NA,1539239,TC
153972,TC,Mapped from,FMTSME,NA,153972,TC
1539753,TC,Mapped from,FMTSME,NA,1539753,TC
1540824,TC,Mapped from,FMTSME,NA,1540824,TC
1540825,TC,Mapped from,FMTSME,NA,1540825,TC
1543173,TC,Mapped from,FMTSME,NA,1543173,TC
1547611,TC,Mapped from,FMTSME,NA,1547611,TC
1549827,TC,Mapped from,FMTSME,NA,1549827,TC
155056,TC,Mapped from,FMTSME,NA,155056,TC
1591922,TC,Mapped from,FMTSME,NA,1591922,TC
1596450,TC,Mapped from,FMTSME,NA,1596450,TC
1597371,TC,Mapped from,FMTSME,NA,1597371,TC
1597381,TC,Mapped from,FMTSME,NA,1597381,TC
1597608,TC,Mapped from,FMTSME,NA,1597608,TC
1597609,TC,Mapped from,FMTSME,NA,1597609,TC
1606218,TC,Mapped from,FMTSME,NA,1606218,TC
1658314,TC,Mapped from,FMTSME,NA,1658314,TC
1667655,TC,Mapped from,FMTSME,NA,1667655,TC
1673265,TC,Mapped from,FMTSME,NA,1673265,TC
1734628,TC,Mapped from,FMTSME,NA,1734628,TC
1791685,TC,Mapped from,FMTSME,NA,1791685,TC
1799206,TC,Mapped from,FMTSME,NA,1799206,TC
18343,TC,Mapped from,FMTSME,NA,18343,TC
18631,TC,Mapped from,FMTSME,NA,18631,TC
1870193,TC,Mapped from,FMTSME,NA,1870193,TC
18993,TC,Mapped from,FMTSME,NA,18993,TC
190376,TC,Mapped from,FMTSME,NA,190376,TC
1927663,TC,Mapped from,FMTSME,NA,1927663,TC
1940636,TC,Mapped from,FMTSME,NA,1940636,TC
19552,TC,Mapped from,FMTSME,NA,19552,TC
197,TC,Mapped from,FMTSME,NA,197,TC
1987,TC,Mapped from,FMTSME,NA,1987,TC
19884,TC,Mapped from,FMTSME,NA,19884,TC
2002,TC,Mapped from,FMTSME,NA,2002,TC
2015,TC,Mapped from,FMTSME,NA,2015,TC
203114,TC,Mapped from,FMTSME,NA,203114,TC
203115,TC,Mapped from,FMTSME,NA,203115,TC
203117,TC,Mapped from,FMTSME,NA,203117,TC
203118,TC,Mapped from,FMTSME,NA,203118,TC
203130,TC,Mapped from,FMTSME,NA,203130,TC
203133,TC,Mapped from,FMTSME,NA,203133,TC
203134,TC,Mapped from,FMTSME,NA,203134,TC
203135,TC,Mapped from,FMTSME,NA,203135,TC
203141,TC,Mapped from,FMTSME,NA,203141,TC
203168,TC,Mapped from,FMTSME,NA,203168,TC
203171,TC,Mapped from,FMTSME,NA,203171,TC
203172,TC,Mapped from,FMTSME,NA,203172,TC
203174,TC,Mapped from,FMTSME,NA,203174,TC
203178,TC,Mapped from,FMTSME,NA,203178,TC
203179,TC,Mapped from,FMTSME,NA,203179,TC
203183,TC,Mapped from,FMTSME,NA,203183,TC
203193,TC,Mapped from,FMTSME,NA,203193,TC
203195,TC,Mapped from,FMTSME,NA,203195,TC
203199,TC,Mapped from,FMTSME,NA,203199,TC
204144,TC,Mapped from,FMTSME,NA,204144,TC
204175,TC,Mapped from,FMTSME,NA,204175,TC
20481,TC,Mapped from,FMTSME,NA,20481,TC
20492,TC,Mapped from,FMTSME,NA,20492,TC
20493,TC,Mapped from,FMTSME,NA,20493,TC
20767,TC,Mapped from,FMTSME,NA,20767,TC
20863,TC,Mapped from,FMTSME,NA,20863,TC
21212,TC,Mapped from,FMTSME,NA,21212,TC
215948,TC,Mapped from,FMTSME,NA,215948,TC
217483,TC,Mapped from,FMTSME,NA,217483,TC
2176,TC,Mapped from,FMTSME,NA,2176,TC
2177,TC,Mapped from,FMTSME,NA,2177,TC
2180,TC,Mapped from,FMTSME,NA,2180,TC
2184,TC,Mapped from,FMTSME,NA,2184,TC
2186,TC,Mapped from,FMTSME,NA,2186,TC
2187,TC,Mapped from,FMTSME,NA,2187,TC
2189,TC,Mapped from,FMTSME,NA,2189,TC
2191,TC,Mapped from,FMTSME,NA,2191,TC
2192,TC,Mapped from,FMTSME,NA,2192,TC
2193,TC,Mapped from,FMTSME,NA,2193,TC
2194,TC,Mapped from,FMTSME,NA,2194,TC
221126,TC,Mapped from,FMTSME,NA,221126,TC
221128,TC,Mapped from,FMTSME,NA,221128,TC
221153,TC,Mapped from,FMTSME,NA,221153,TC
221176,TC,Mapped from,FMTSME,NA,221176,TC
22299,TC,Mapped from,FMTSME,NA,22299,TC
2231,TC,Mapped from,FMTSME,NA,2231,TC
2239,TC,Mapped from,FMTSME,NA,2239,TC
227214,TC,Mapped from,FMTSME,NA,227214,TC
228476,TC,Mapped from,FMTSME,NA,228476,TC
228750,TC,Mapped from,FMTSME,NA,228750,TC
229367,TC,Mapped from,FMTSME,NA,229367,TC
229369,TC,Mapped from,FMTSME,NA,229369,TC
23024,TC,Mapped from,FMTSME,NA,23024,TC
233698,TC,Mapped from,FMTSME,NA,233698,TC
23370,TC,Mapped from,FMTSME,NA,23370,TC
2348,TC,Mapped from,FMTSME,NA,2348,TC
235373,TC,Mapped from,FMTSME,NA,235373,TC
235559,TC,Mapped from,FMTSME,NA,235559,TC
235838,TC,Mapped from,FMTSME,NA,235838,TC
236058,TC,Mapped from,FMTSME,NA,236058,TC
236302,TC,Mapped from,FMTSME,NA,236302,TC
236558,TC,Mapped from,FMTSME,NA,236558,TC
236594,TC,Mapped from,FMTSME,NA,236594,TC
236875,TC,Mapped from,FMTSME,NA,236875,TC
2382,TC,Mapped from,FMTSME,NA,2382,TC
2393,TC,Mapped from,FMTSME,NA,2393,TC
24346,TC,Mapped from,FMTSME,NA,24346,TC
24347,TC,Mapped from,FMTSME,NA,24347,TC
24351,TC,Mapped from,FMTSME,NA,24351,TC
24812,TC,Mapped from,FMTSME,NA,24812,TC
25033,TC,Mapped from,FMTSME,NA,25033,TC
25037,TC,Mapped from,FMTSME,NA,25037,TC
25138,TC,Mapped from,FMTSME,NA,25138,TC
253155,TC,Mapped from,FMTSME,NA,253155,TC
25480,TC,Mapped from,FMTSME,NA,25480,TC
2551,TC,Mapped from,FMTSME,NA,2551,TC
2582,TC,Mapped from,FMTSME,NA,2582,TC
258332,TC,Mapped from,FMTSME,NA,258332,TC
2592,TC,Mapped from,FMTSME,NA,2592,TC
259268,TC,Mapped from,FMTSME,NA,259268,TC
259282,TC,Mapped from,FMTSME,NA,259282,TC
2597,TC,Mapped from,FMTSME,NA,2597,TC
2623,TC,Mapped from,FMTSME,NA,2623,TC
2626,TC,Mapped from,FMTSME,NA,2626,TC
26420,TC,Mapped from,FMTSME,NA,26420,TC
266856,TC,Mapped from,FMTSME,NA,266856,TC
267257,TC,Mapped from,FMTSME,NA,267257,TC
2708,TC,Mapped from,FMTSME,NA,2708,TC
27169,TC,Mapped from,FMTSME,NA,27169,TC
272758,TC,Mapped from,FMTSME,NA,272758,TC
274786,TC,Mapped from,FMTSME,NA,274786,TC
28031,TC,Mapped from,FMTSME,NA,28031,TC
281942,TC,Mapped from,FMTSME,NA,281942,TC
282363,TC,Mapped from,FMTSME,NA,282363,TC
282446,TC,Mapped from,FMTSME,NA,282446,TC
28439,TC,Mapped from,FMTSME,NA,28439,TC
28981,TC,Mapped from,FMTSME,NA,28981,TC
29561,TC,Mapped from,FMTSME,NA,29561,TC
299081,TC,Mapped from,FMTSME,NA,299081,TC
314299,TC,Mapped from,FMTSME,NA,314299,TC
31476,TC,Mapped from,FMTSME,NA,31476,TC
3154,TC,Mapped from,FMTSME,NA,3154,TC
317177,TC,Mapped from,FMTSME,NA,317177,TC
31819,TC,Mapped from,FMTSME,NA,31819,TC
31914,TC,Mapped from,FMTSME,NA,31914,TC
3247,TC,Mapped from,FMTSME,NA,3247,TC
325642,TC,Mapped from,FMTSME,NA,325642,TC
325887,TC,Mapped from,FMTSME,NA,325887,TC
32624,TC,Mapped from,FMTSME,NA,32624,TC
32638,TC,Mapped from,FMTSME,NA,32638,TC
3356,TC,Mapped from,FMTSME,NA,3356,TC
341018,TC,Mapped from,FMTSME,NA,341018,TC
3500,TC,Mapped from,FMTSME,NA,3500,TC
35220,TC,Mapped from,FMTSME,NA,35220,TC
353116,TC,Mapped from,FMTSME,NA,353116,TC
3541,TC,Mapped from,FMTSME,NA,3541,TC
35617,TC,Mapped from,FMTSME,NA,35617,TC
35619,TC,Mapped from,FMTSME,NA,35619,TC
35636,TC,Mapped from,FMTSME,NA,35636,TC
35829,TC,Mapped from,FMTSME,NA,35829,TC
3638,TC,Mapped from,FMTSME,NA,3638,TC
36435,TC,Mapped from,FMTSME,NA,36435,TC
37319,TC,Mapped from,FMTSME,NA,37319,TC
3743,TC,Mapped from,FMTSME,NA,3743,TC
37665,TC,Mapped from,FMTSME,NA,37665,TC
37801,TC,Mapped from,FMTSME,NA,37801,TC
37806,TC,Mapped from,FMTSME,NA,37806,TC
38298,TC,Mapped from,FMTSME,NA,38298,TC
38404,TC,Mapped from,FMTSME,NA,38404,TC
384455,TC,Mapped from,FMTSME,NA,384455,TC
38685,TC,Mapped from,FMTSME,NA,38685,TC
388,TC,Mapped from,FMTSME,NA,388,TC
39998,TC,Mapped from,FMTSME,NA,39998,TC
40169,TC,Mapped from,FMTSME,NA,40169,TC
402429,TC,Mapped from,FMTSME,NA,402429,TC
4053,TC,Mapped from,FMTSME,NA,4053,TC
4055,TC,Mapped from,FMTSME,NA,4055,TC
4056,TC,Mapped from,FMTSME,NA,4056,TC
40595,TC,Mapped from,FMTSME,NA,40595,TC
4110,TC,Mapped from,FMTSME,NA,4110,TC
4127,TC,Mapped from,FMTSME,NA,4127,TC
41289,TC,Mapped from,FMTSME,NA,41289,TC
4135,TC,Mapped from,FMTSME,NA,4135,TC
4136,TC,Mapped from,FMTSME,NA,4136,TC
41875,TC,Mapped from,FMTSME,NA,41875,TC
42372,TC,Mapped from,FMTSME,NA,42372,TC
42686,TC,Mapped from,FMTSME,NA,42686,TC
42790,TC,Mapped from,FMTSME,NA,42790,TC
430,TC,Mapped from,FMTSME,NA,430,TC
4441,TC,Mapped from,FMTSME,NA,4441,TC
4450,TC,Mapped from,FMTSME,NA,4450,TC
4451,TC,Mapped from,FMTSME,NA,4451,TC
451796,TC,Mapped from,FMTSME,NA,451796,TC
4678,TC,Mapped from,FMTSME,NA,4678,TC
473837,TC,Mapped from,FMTSME,NA,473837,TC
47461,TC,Mapped from,FMTSME,NA,47461,TC
47464,TC,Mapped from,FMTSME,NA,47464,TC
4780,TC,Mapped from,FMTSME,NA,4780,TC
47858,TC,Mapped from,FMTSME,NA,47858,TC
47877,TC,Mapped from,FMTSME,NA,47877,TC
47998,TC,Mapped from,FMTSME,NA,47998,TC
48305,TC,Mapped from,FMTSME,NA,48305,TC
485026,TC,Mapped from,FMTSME,NA,485026,TC
49247,TC,Mapped from,FMTSME,NA,49247,TC
50749,TC,Mapped from,FMTSME,NA,50749,TC
5093,TC,Mapped from,FMTSME,NA,5093,TC
51256,TC,Mapped from,FMTSME,NA,51256,TC
51272,TC,Mapped from,FMTSME,NA,51272,TC
5293,TC,Mapped from,FMTSME,NA,5293,TC
5514,TC,Mapped from,FMTSME,NA,5514,TC
5521,TC,Mapped from,FMTSME,NA,5521,TC
55672,TC,Mapped from,FMTSME,NA,55672,TC
56461,TC,Mapped from,FMTSME,NA,56461,TC
5653,TC,Mapped from,FMTSME,NA,5653,TC
56798,TC,Mapped from,FMTSME,NA,56798,TC
569,TC,Mapped from,FMTSME,NA,569,TC
5690,TC,Mapped from,FMTSME,NA,5690,TC
5691,TC,Mapped from,FMTSME,NA,5691,TC
57227,TC,Mapped from,FMTSME,NA,57227,TC
5775,TC,Mapped from,FMTSME,NA,5775,TC
57789,TC,Mapped from,FMTSME,NA,57789,TC
58130,TC,Mapped from,FMTSME,NA,58130,TC
60212,TC,Mapped from,FMTSME,NA,60212,TC
6038,TC,Mapped from,FMTSME,NA,6038,TC
6069,TC,Mapped from,FMTSME,NA,6069,TC
6099,TC,Mapped from,FMTSME,NA,6099,TC
6135,TC,Mapped from,FMTSME,NA,6135,TC
61381,TC,Mapped from,FMTSME,NA,61381,TC
623400,TC,Mapped from,FMTSME,NA,623400,TC
6387,TC,Mapped from,FMTSME,NA,6387,TC
641,TC,Mapped from,FMTSME,NA,641,TC
642274,TC,Mapped from,FMTSME,NA,642274,TC
643,TC,Mapped from,FMTSME,NA,643,TC
6572,TC,Mapped from,FMTSME,NA,6572,TC
6573,TC,Mapped from,FMTSME,NA,6573,TC
6672,TC,Mapped from,FMTSME,NA,6672,TC
6676,TC,Mapped from,FMTSME,NA,6676,TC
66912,TC,Mapped from,FMTSME,NA,66912,TC
6694,TC,Mapped from,FMTSME,NA,6694,TC
66955,TC,Mapped from,FMTSME,NA,66955,TC
6757,TC,Mapped from,FMTSME,NA,6757,TC
679314,TC,Mapped from,FMTSME,NA,679314,TC
6922,TC,Mapped from,FMTSME,NA,6922,TC
6926,TC,Mapped from,FMTSME,NA,6926,TC
6932,TC,Mapped from,FMTSME,NA,6932,TC
7008,TC,Mapped from,FMTSME,NA,7008,TC
7019,TC,Mapped from,FMTSME,NA,7019,TC
703,TC,Mapped from,FMTSME,NA,703,TC
704,TC,Mapped from,FMTSME,NA,704,TC
71227,TC,Mapped from,FMTSME,NA,71227,TC
71532,TC,Mapped from,FMTSME,NA,71532,TC
722,TC,Mapped from,FMTSME,NA,722,TC
72236,TC,Mapped from,FMTSME,NA,72236,TC
723,TC,Mapped from,FMTSME,NA,723,TC
7233,TC,Mapped from,FMTSME,NA,7233,TC
72611,TC,Mapped from,FMTSME,NA,72611,TC
7268,TC,Mapped from,FMTSME,NA,7268,TC
7276,TC,Mapped from,FMTSME,NA,7276,TC
7299,TC,Mapped from,FMTSME,NA,7299,TC
7300,TC,Mapped from,FMTSME,NA,7300,TC
73178,TC,Mapped from,FMTSME,NA,73178,TC
732,TC,Mapped from,FMTSME,NA,732,TC
733,TC,Mapped from,FMTSME,NA,733,TC
