rxcui,name,tty,SourceId,SourceName,Relation,classId
1298944,pertuzumab,IN,1298944,pertuzumab,INDIRECT,N0000000067
1371041,ado-trastuzumab emtansine,PIN,1371041,ado-trastuzumab emtansine,INDIRECT,N0000000067
1723738,necitumumab,IN,1723738,necitumumab,INDIRECT,N0000000067
2103478,trastuzumab-dkst,PIN,2103478,trastuzumab-dkst,INDIRECT,N0000000067
2107051,trastuzumab-pkrb,PIN,2107051,trastuzumab-pkrb,INDIRECT,N0000000067
2174802,trastuzumab-anns,PIN,2174802,trastuzumab-anns,INDIRECT,N0000000067
224905,trastuzumab,IN,224905,trastuzumab,INDIRECT,N0000000067
2267574,fam-trastuzumab deruxtecan-nxki,PIN,2267574,fam-trastuzumab deruxtecan-nxki,INDIRECT,N0000000067
2267582,trastuzumab deruxtecan,PIN,2267582,trastuzumab deruxtecan,INDIRECT,N0000000067
2280730,trastuzumab-qyyp,PIN,2280730,trastuzumab-qyyp,INDIRECT,N0000000067
2289225,trastuzumab-dttb,PIN,2289225,trastuzumab-dttb,INDIRECT,N0000000067
2375543,trastuzumab-oysk,PIN,2375543,trastuzumab-oysk,INDIRECT,N0000000067
2382597,pertuzumab-zzxf,PIN,2382597,pertuzumab-zzxf,INDIRECT,N0000000067
2382599,trastuzumab-zzxf,PIN,2382599,trastuzumab-zzxf,INDIRECT,N0000000067
2473850,margetuximab-cmkb,PIN,2473850,margetuximab-cmkb,INDIRECT,N0000000067
2473851,margetuximab,IN,2473851,margetuximab,INDIRECT,N0000000067
263034,panitumumab,IN,263034,panitumumab,INDIRECT,N0000000067
318341,cetuximab,IN,318341,cetuximab,INDIRECT,N0000000067
328134,gefitinib,IN,328134,gefitinib,INDIRECT,N0000000067
337525,erlotinib,IN,337525,erlotinib,INDIRECT,N0000000067
477320,erlotinib hydrochloride,PIN,477320,erlotinib hydrochloride,INDIRECT,N0000000067
480167,lapatinib,IN,480167,lapatinib,INDIRECT,N0000000067
481474,lapatinib ditosylate,PIN,481474,lapatinib ditosylate,INDIRECT,N0000000067
1921069,abaloparatide,IN,1921069,abaloparatide,INDIRECT,N0000000068
1091642,azilsartan medoxomil,PIN,1091642,azilsartan medoxomil,DIRECT,N0000000070
1091643,azilsartan,IN,1091643,azilsartan,DIRECT,N0000000070
