concept_code_1,relationship_id,relationship_source,relationship_type,concept_code_2
1002243003,Subsumes,SNOMEDCT,INDIRECT,10561
1002243003,Subsumes,SNOMEDCT,INDIRECT,10600
1002243003,Subsumes,SNOMEDCT,INDIRECT,10634
1002243003,Subsumes,SNOMEDCT,INDIRECT,10824
1002243003,Subsumes,SNOMEDCT,INDIRECT,114176
1002243003,Subsumes,SNOMEDCT,INDIRECT,1202
1002243003,Subsumes,SNOMEDCT,INDIRECT,149
1002243003,Subsumes,SNOMEDCT,INDIRECT,1520
1002243003,Subsumes,SNOMEDCT,INDIRECT,15996
1002243003,Subsumes,SNOMEDCT,INDIRECT,17300
1002243003,Subsumes,SNOMEDCT,INDIRECT,1813
1002243003,Subsumes,SNOMEDCT,INDIRECT,19484
1002243003,Subsumes,SNOMEDCT,INDIRECT,20352
1002243003,Subsumes,SNOMEDCT,INDIRECT,20498
1002243003,Subsumes,SNOMEDCT,INDIRECT,2116
1002243003,Subsumes,SNOMEDCT,INDIRECT,220982
1002243003,Subsumes,SNOMEDCT,INDIRECT,22298
1002243003,Subsumes,SNOMEDCT,INDIRECT,31555
1002243003,Subsumes,SNOMEDCT,INDIRECT,353497
1002243003,Subsumes,SNOMEDCT,INDIRECT,37798
1002243003,Subsumes,SNOMEDCT,DIRECT,4024
1002243003,Subsumes,SNOMEDCT,INDIRECT,4495
1002243003,Subsumes,SNOMEDCT,INDIRECT,49276
1002243003,Subsumes,SNOMEDCT,INDIRECT,49737
1002243003,Subsumes,SNOMEDCT,INDIRECT,5784
1002243003,Subsumes,SNOMEDCT,INDIRECT,6185
1002243003,Subsumes,SNOMEDCT,INDIRECT,62174
1002243003,Subsumes,SNOMEDCT,INDIRECT,6918
1002243003,Subsumes,SNOMEDCT,INDIRECT,6929
1002243003,Subsumes,SNOMEDCT,INDIRECT,720825
1002243003,Subsumes,SNOMEDCT,INDIRECT,7226
1002243003,Subsumes,SNOMEDCT,INDIRECT,77492
1002243003,Subsumes,SNOMEDCT,INDIRECT,7801
1002243003,Subsumes,SNOMEDCT,INDIRECT,7973
1002243003,Subsumes,SNOMEDCT,INDIRECT,8149
1002243003,Subsumes,SNOMEDCT,INDIRECT,8153
