vocabulary_id,concept_code,concept_name,concept_class
EPC,N0000175413,Platinum-based Drug,Class
EPC,N0000175414,Anthracycline Topoisomerase Inhibitor,Class
EPC,N0000175415,Nitrate Vasodilator,Class
EPC,N0000175416,Prostacycline Vasodilator,Class
EPC,N0000175418,Potassium-sparing Diuretic,Class
EPC,N0000175419,Thiazide Diuretic,Class
EPC,N0000175420,Thiazide-like Diuretic,Class
EPC,N0000175421,Dihydropyridine Calcium Channel Blocker,Class
EPC,N0000175423,Sympathomimetic Amine Anorectic,Class
EPC,N0000175425,Amphetamine Anorectic,Class
EPC,N0000175426,Antiarrhythmic,Class
EPC,N0000175427,Anti-anginal,Class
EPC,N0000175428,Glinide,Class
EPC,N0000175429,Antidote,Class
EPC,N0000175430,Atypical Antipsychotic,Class
EPC,N0000175431,Macrolide Antibacterial,Class
EPC,N0000175432,Quinolone Antibacterial,Class
EPC,N0000175434,Pleuromutilin Antibacterial,Class
EPC,N0000175435,Nitroimidazole Antimicrobial,Class
EPC,N0000175443,Lincosamide Antibacterial,Class
EPC,N0000175453,Insulin Analog,Class
EPC,N0000175454,Prostaglandin Analog,Class
EPC,N0000175457,Calcineurin Inhibitor Immunosuppressant,Class
EPC,N0000175461,Cytomegalovirus Nucleoside Analog DNA Polymerase Inhibitor,Class
EPC,N0000175462,Human Immunodeficiency Virus Nucleoside Analog Reverse Transcriptase Inhibitor,Class
EPC,N0000175463,Human Immunodeficiency Virus 1 Non-Nucleoside Analog Reverse Transcriptase Inhibitor,Class
EPC,N0000175466,Nucleoside Analog Antiviral,Class
EPC,N0000175467,Nucleoside Analog Antifungal,Class
EPC,N0000175468,Herpesvirus Nucleoside Analog DNA Polymerase Inhibitor,Class
EPC,N0000175470,Pyrophosphate Analog DNA Polymerase Inhibitor,Class
EPC,N0000175473,Metal Chelator,Class
EPC,N0000175474,Unfractionated Heparin,Class
EPC,N0000175476,Vitamin K Antagonist,Class
EPC,N0000175477,Aminoglycoside Antibacterial,Class
EPC,N0000175480,Amphenicol-class Antibacterial,Class
EPC,N0000175481,Anthelmintic,Class
EPC,N0000175482,Antimalarial,Class
EPC,N0000175483,Antimycobacterial,Class
EPC,N0000175484,Antiparasitic,Class
EPC,N0000175485,Antiprotozoal,Class
EPC,N0000175486,Antiseptic,Class
EPC,N0000175487,Azole Antifungal,Class
EPC,N0000175488,Cephalosporin Antibacterial,Class
EPC,N0000175489,Dihydrofolate Reductase Inhibitor Antibacterial,Class
EPC,N0000175491,Glycopeptide Antibacterial,Class
EPC,N0000175492,Ketolide Antibacterial,Class
EPC,N0000175493,Monobactam Antibacterial,Class
EPC,N0000175494,Nitrofuran Antibacterial,Class
EPC,N0000175495,Oxazolidinone Antibacterial,Class
EPC,N0000175496,Penem Antibacterial,Class
EPC,N0000175497,Penicillin-class Antibacterial,Class
EPC,N0000175498,Polyene Antifungal,Class
EPC,N0000175499,Polymyxin-class Antibacterial,Class
EPC,N0000175500,Rifamycin Antibacterial,Class
EPC,N0000175501,Rifamycin Antimycobacterial,Class
EPC,N0000175502,Streptogramin Antibacterial,Class
EPC,N0000175503,Sulfonamide Antibacterial,Class
EPC,N0000175504,Sulfonamide Antimicrobial,Class
EPC,N0000175505,Tetracycline-class Antimicrobial,Class
EPC,N0000175507,Echinocandin Antifungal,Class
EPC,N0000175509,Lipopeptide Antibacterial,Class
EPC,N0000175510,Lipid-based Polyene Antifungal,Class
EPC,N0000175511,Methylated Sulfonamide Antibacterial,Class
EPC,N0000175514,Renal Dehydropeptidase Inhibitor,Class
EPC,N0000175515,RNA Synthetase Inhibitor Antibacterial,Class
EPC,N0000175517,Carbonic Anhydrase Inhibitor,Class
EPC,N0000175518,Direct Thrombin Inhibitor,Class
EPC,N0000175519,Histamine-1 Receptor Inhibitor,Class
EPC,N0000175521,Interferon alpha,Class
EPC,N0000175522,Iron Chelator,Class
EPC,N0000175524,Neuraminidase Inhibitor,Class
EPC,N0000175525,Proton Pump Inhibitor,Class
EPC,N0000175526,Thrombolytic Agent,Class
EPC,N0000175530,Copper Absorption Inhibitor,Class
EPC,N0000175531,Endoglycosidase,Class
EPC,N0000175535,Demulcent,Class
EPC,N0000175536,Diagnostic Dye,Class
EPC,N0000175539,Local Anesthetic,Class
EPC,N0000175540,Photoenhancer,Class
EPC,N0000175541,Interferon gamma,Class
