concept_code_1,relationship_id,relationship_source,relationship_type,concept_code_2
N0000175413,Subsumes,DAILYMED,DIRECT,2555
N0000175413,Subsumes,DAILYMED,DIRECT,32592
N0000175413,Subsumes,DAILYMED,DIRECT,40048
N0000175414,Subsumes,DAILYMED,DIRECT,3109
N0000175414,Subsumes,DAILYMED,DIRECT,3639
N0000175414,Subsumes,DAILYMED,DIRECT,3995
N0000175414,Subsumes,DAILYMED,DIRECT,5650
N0000175415,Subsumes,DAILYMED,DIRECT,28004
N0000175415,Subsumes,DAILYMED,DIRECT,4917
N0000175415,Subsumes,DAILYMED,DIRECT,6058
N0000175416,Subsumes,DAILYMED,DIRECT,343048
N0000175416,Subsumes,DAILYMED,DIRECT,8814
N0000175418,Subsumes,DAILYMED,DIRECT,10763
N0000175418,Subsumes,DAILYMED,DIRECT,644
N0000175419,Subsumes,DAILYMED,DIRECT,1369
N0000175419,Subsumes,DAILYMED,DIRECT,2396
N0000175419,Subsumes,DAILYMED,DIRECT,5487
N0000175419,Subsumes,DAILYMED,DIRECT,5495
N0000175419,Subsumes,DAILYMED,DIRECT,8565
N0000175420,Subsumes,DAILYMED,DIRECT,2409
N0000175420,Subsumes,DAILYMED,DIRECT,5764
N0000175420,Subsumes,DAILYMED,DIRECT,6916
N0000175421,Subsumes,DAILYMED,DIRECT,17767
N0000175421,Subsumes,DAILYMED,DIRECT,233603
N0000175421,Subsumes,DAILYMED,DIRECT,33910
N0000175421,Subsumes,DAILYMED,DIRECT,4316
N0000175421,Subsumes,DAILYMED,DIRECT,7396
N0000175421,Subsumes,DAILYMED,DIRECT,7417
N0000175421,Subsumes,DAILYMED,DIRECT,7426
N0000175421,Subsumes,DAILYMED,DIRECT,7435
N0000175423,Subsumes,DAILYMED,DIRECT,1422
N0000175423,Subsumes,DAILYMED,DIRECT,33272
N0000175423,Subsumes,DAILYMED,DIRECT,3389
N0000175423,Subsumes,DAILYMED,DIRECT,8152
N0000175425,Subsumes,DAILYMED,DIRECT,6816
N0000175426,Subsumes,DAILYMED,DIRECT,233698
N0000175426,Subsumes,DAILYMED,DIRECT,3541
N0000175426,Subsumes,DAILYMED,DIRECT,41289
N0000175426,Subsumes,DAILYMED,DIRECT,4441
N0000175426,Subsumes,DAILYMED,DIRECT,49247
N0000175426,Subsumes,DAILYMED,DIRECT,6387
N0000175426,Subsumes,DAILYMED,DIRECT,6926
N0000175426,Subsumes,DAILYMED,DIRECT,703
N0000175426,Subsumes,DAILYMED,DIRECT,8700
N0000175426,Subsumes,DAILYMED,DIRECT,8754
N0000175426,Subsumes,DAILYMED,DIRECT,9068
N0000175426,Subsumes,DAILYMED,DIRECT,9947
N0000175427,Subsumes,DAILYMED,DIRECT,35829
N0000175428,Subsumes,DAILYMED,DIRECT,274332
N0000175428,Subsumes,DAILYMED,DIRECT,73044
N0000175429,Subsumes,DAILYMED,INDIRECT,1119986
N0000175429,Subsumes,DAILYMED,INDIRECT,139825
N0000175429,Subsumes,DAILYMED,DIRECT,15226
N0000175429,Subsumes,DAILYMED,INDIRECT,1670007
N0000175429,Subsumes,DAILYMED,DIRECT,197
N0000175429,Subsumes,DAILYMED,INDIRECT,24902
N0000175429,Subsumes,DAILYMED,INDIRECT,253182
N0000175429,Subsumes,DAILYMED,INDIRECT,274783
N0000175429,Subsumes,DAILYMED,INDIRECT,34345
N0000175429,Subsumes,DAILYMED,INDIRECT,400008
N0000175429,Subsumes,DAILYMED,INDIRECT,42955
N0000175429,Subsumes,DAILYMED,INDIRECT,51428
N0000175429,Subsumes,DAILYMED,DIRECT,5514
N0000175429,Subsumes,DAILYMED,INDIRECT,6313
N0000175429,Subsumes,DAILYMED,INDIRECT,684879
N0000175429,Subsumes,DAILYMED,INDIRECT,8308
N0000175429,Subsumes,DAILYMED,INDIRECT,86009
N0000175429,Subsumes,DAILYMED,INDIRECT,877015
N0000175429,Subsumes,DAILYMED,INDIRECT,885183
N0000175429,Subsumes,DAILYMED,INDIRECT,885185
N0000175429,Subsumes,DAILYMED,INDIRECT,885187
N0000175429,Subsumes,DAILYMED,INDIRECT,885189
N0000175429,Subsumes,DAILYMED,INDIRECT,89887
N0000175430,Subsumes,DAILYMED,DIRECT,1040028
N0000175430,Subsumes,DAILYMED,DIRECT,115698
N0000175430,Subsumes,DAILYMED,DIRECT,1658314
N0000175430,Subsumes,DAILYMED,DIRECT,1667655
N0000175430,Subsumes,DAILYMED,DIRECT,1791685
N0000175430,Subsumes,DAILYMED,DIRECT,2626
N0000175430,Subsumes,DAILYMED,DIRECT,35636
N0000175430,Subsumes,DAILYMED,DIRECT,51272
N0000175430,Subsumes,DAILYMED,DIRECT,61381
N0000175430,Subsumes,DAILYMED,DIRECT,679314
N0000175430,Subsumes,DAILYMED,DIRECT,73178
N0000175430,Subsumes,DAILYMED,DIRECT,784649
N0000175430,Subsumes,DAILYMED,DIRECT,89013
N0000175431,Subsumes,DAILYMED,DIRECT,1111103
N0000175432,Subsumes,DAILYMED,INDIRECT,1927663
N0000175434,Subsumes,DAILYMED,DIRECT,642274
N0000175435,Subsumes,DAILYMED,DIRECT,10612
N0000175435,Subsumes,DAILYMED,DIRECT,36314
N0000175435,Subsumes,DAILYMED,DIRECT,6922
N0000175443,Subsumes,DAILYMED,DIRECT,2582
N0000175453,Subsumes,DAILYMED,DIRECT,139825
N0000175453,Subsumes,DAILYMED,DIRECT,1670007
N0000175453,Subsumes,DAILYMED,DIRECT,274783
N0000175453,Subsumes,DAILYMED,DIRECT,400008
N0000175453,Subsumes,DAILYMED,DIRECT,51428
N0000175453,Subsumes,DAILYMED,DIRECT,86009
N0000175454,Subsumes,DAILYMED,DIRECT,1244607
N0000175454,Subsumes,DAILYMED,DIRECT,2051
N0000175454,Subsumes,DAILYMED,DIRECT,283809
N0000175454,Subsumes,DAILYMED,DIRECT,283810
N0000175454,Subsumes,DAILYMED,DIRECT,3478
N0000175454,Subsumes,DAILYMED,DIRECT,43611
N0000175454,Subsumes,DAILYMED,DIRECT,598
N0000175457,Subsumes,DAILYMED,DIRECT,235991
N0000175457,Subsumes,DAILYMED,DIRECT,3008
N0000175457,Subsumes,DAILYMED,DIRECT,321952
N0000175461,Subsumes,DAILYMED,DIRECT,1546007
N0000175461,Subsumes,DAILYMED,DIRECT,275891
N0000175461,Subsumes,DAILYMED,DIRECT,4678
N0000175462,Subsumes,DAILYMED,DIRECT,11413
N0000175462,Subsumes,DAILYMED,DIRECT,1546017
N0000175462,Subsumes,DAILYMED,DIRECT,190521
N0000175462,Subsumes,DAILYMED,DIRECT,276237
N0000175462,Subsumes,DAILYMED,DIRECT,3364
N0000175462,Subsumes,DAILYMED,DIRECT,59763
N0000175462,Subsumes,DAILYMED,DIRECT,68244
N0000175463,Subsumes,DAILYMED,DIRECT,1102270
N0000175463,Subsumes,DAILYMED,DIRECT,195085
N0000175463,Subsumes,DAILYMED,DIRECT,2055755
N0000175463,Subsumes,DAILYMED,DIRECT,475969
N0000175463,Subsumes,DAILYMED,DIRECT,53654
N0000175466,Subsumes,DAILYMED,DIRECT,10803
N0000175466,Subsumes,DAILYMED,INDIRECT,11413
N0000175466,Subsumes,DAILYMED,INDIRECT,1546007
N0000175466,Subsumes,DAILYMED,INDIRECT,1546017
N0000175466,Subsumes,DAILYMED,INDIRECT,1546027
N0000175466,Subsumes,DAILYMED,INDIRECT,16521
N0000175466,Subsumes,DAILYMED,INDIRECT,190521
N0000175466,Subsumes,DAILYMED,INDIRECT,275891
N0000175466,Subsumes,DAILYMED,INDIRECT,276237
N0000175466,Subsumes,DAILYMED,INDIRECT,281
N0000175466,Subsumes,DAILYMED,INDIRECT,3364
N0000175466,Subsumes,DAILYMED,DIRECT,4678
N0000175466,Subsumes,DAILYMED,DIRECT,5653
N0000175466,Subsumes,DAILYMED,INDIRECT,59763
N0000175466,Subsumes,DAILYMED,INDIRECT,59839
N0000175466,Subsumes,DAILYMED,INDIRECT,68099
N0000175466,Subsumes,DAILYMED,INDIRECT,68244
N0000175466,Subsumes,DAILYMED,INDIRECT,73645
N0000175466,Subsumes,DAILYMED,DIRECT,9344
N0000175467,Subsumes,DAILYMED,DIRECT,4451
N0000175468,Subsumes,DAILYMED,DIRECT,281
N0000175468,Subsumes,DAILYMED,DIRECT,59839
N0000175468,Subsumes,DAILYMED,DIRECT,73645
N0000175470,Subsumes,DAILYMED,DIRECT,33562
N0000175473,Subsumes,DAILYMED,DIRECT,10798
N0000175473,Subsumes,DAILYMED,INDIRECT,11645
N0000175473,Subsumes,DAILYMED,INDIRECT,3131
N0000175473,Subsumes,DAILYMED,DIRECT,3445
N0000175473,Subsumes,DAILYMED,INDIRECT,3446
N0000175473,Subsumes,DAILYMED,INDIRECT,3690
N0000175473,Subsumes,DAILYMED,INDIRECT,3755
N0000175473,Subsumes,DAILYMED,INDIRECT,614373
N0000175474,Subsumes,DAILYMED,DIRECT,235473
N0000175476,Subsumes,DAILYMED,DIRECT,11289
N0000175477,Subsumes,DAILYMED,DIRECT,10109
N0000175477,Subsumes,DAILYMED,DIRECT,10627
N0000175477,Subsumes,DAILYMED,DIRECT,1596450
N0000175477,Subsumes,DAILYMED,DIRECT,6099
N0000175477,Subsumes,DAILYMED,DIRECT,641
N0000175477,Subsumes,DAILYMED,DIRECT,7299
N0000175480,Subsumes,DAILYMED,DIRECT,2348
N0000175481,Subsumes,DAILYMED,DIRECT,10450
N0000175481,Subsumes,DAILYMED,DIRECT,430
N0000175481,Subsumes,DAILYMED,DIRECT,6672
N0000175481,Subsumes,DAILYMED,DIRECT,8628
N0000175482,Subsumes,DAILYMED,DIRECT,18343
N0000175482,Subsumes,DAILYMED,DIRECT,2382
N0000175482,Subsumes,DAILYMED,DIRECT,2393
N0000175482,Subsumes,DAILYMED,DIRECT,5521
N0000175482,Subsumes,DAILYMED,DIRECT,60212
N0000175482,Subsumes,DAILYMED,DIRECT,6694
N0000175482,Subsumes,DAILYMED,DIRECT,847728
N0000175482,Subsumes,DAILYMED,DIRECT,8687
N0000175482,Subsumes,DAILYMED,INDIRECT,9010
N0000175482,Subsumes,DAILYMED,DIRECT,9071
N0000175483,Subsumes,DAILYMED,DIRECT,10109
N0000175483,Subsumes,DAILYMED,INDIRECT,1364504
N0000175483,Subsumes,DAILYMED,INDIRECT,35617
N0000175483,Subsumes,DAILYMED,DIRECT,4110
N0000175483,Subsumes,DAILYMED,DIRECT,4127
N0000175483,Subsumes,DAILYMED,INDIRECT,55672
N0000175483,Subsumes,DAILYMED,DIRECT,6038
N0000175483,Subsumes,DAILYMED,DIRECT,78903
N0000175483,Subsumes,DAILYMED,DIRECT,8987
N0000175484,Subsumes,DAILYMED,INDIRECT,10450
N0000175484,Subsumes,DAILYMED,INDIRECT,1426
N0000175484,Subsumes,DAILYMED,INDIRECT,1494066
N0000175484,Subsumes,DAILYMED,INDIRECT,299081
N0000175484,Subsumes,DAILYMED,INDIRECT,430
N0000175484,Subsumes,DAILYMED,DIRECT,6069
N0000175484,Subsumes,DAILYMED,INDIRECT,6672
N0000175484,Subsumes,DAILYMED,INDIRECT,8628
N0000175485,Subsumes,DAILYMED,INDIRECT,18343
N0000175485,Subsumes,DAILYMED,INDIRECT,2382
N0000175485,Subsumes,DAILYMED,INDIRECT,2393
N0000175485,Subsumes,DAILYMED,DIRECT,31819
N0000175485,Subsumes,DAILYMED,INDIRECT,5521
N0000175485,Subsumes,DAILYMED,DIRECT,569
N0000175485,Subsumes,DAILYMED,DIRECT,60212
N0000175485,Subsumes,DAILYMED,INDIRECT,6694
N0000175485,Subsumes,DAILYMED,DIRECT,7934
N0000175485,Subsumes,DAILYMED,DIRECT,7994
N0000175485,Subsumes,DAILYMED,INDIRECT,847728
N0000175485,Subsumes,DAILYMED,INDIRECT,8687
N0000175485,Subsumes,DAILYMED,INDIRECT,9010
N0000175485,Subsumes,DAILYMED,INDIRECT,9071
N0000175486,Subsumes,DAILYMED,DIRECT,8611
N0000175487,Subsumes,DAILYMED,DIRECT,121243
N0000175487,Subsumes,DAILYMED,DIRECT,1482680
N0000175487,Subsumes,DAILYMED,DIRECT,1539753
N0000175487,Subsumes,DAILYMED,DIRECT,1720882
N0000175487,Subsumes,DAILYMED,DIRECT,19884
N0000175487,Subsumes,DAILYMED,DIRECT,2623
N0000175487,Subsumes,DAILYMED,DIRECT,28031
N0000175487,Subsumes,DAILYMED,DIRECT,282446
N0000175487,Subsumes,DAILYMED,DIRECT,32638
N0000175487,Subsumes,DAILYMED,DIRECT,36435
N0000175487,Subsumes,DAILYMED,DIRECT,37319
N0000175487,Subsumes,DAILYMED,DIRECT,3743
N0000175487,Subsumes,DAILYMED,DIRECT,37806
N0000175487,Subsumes,DAILYMED,DIRECT,38298
N0000175487,Subsumes,DAILYMED,DIRECT,4450
N0000175487,Subsumes,DAILYMED,DIRECT,6135
N0000175487,Subsumes,DAILYMED,DIRECT,6932
N0000175488,Subsumes,DAILYMED,DIRECT,1040005
N0000175488,Subsumes,DAILYMED,DIRECT,1299782
N0000175488,Subsumes,DAILYMED,DIRECT,1450910
N0000175488,Subsumes,DAILYMED,DIRECT,1545975
N0000175488,Subsumes,DAILYMED,DIRECT,1545984
N0000175488,Subsumes,DAILYMED,DIRECT,1546021
