vocabulary_id,concept_code,concept_name,concept_class
MESHPA,D000019,Abortifacient Agents,Class
MESHPA,D000020,"Abortifacient Agents, Nonsteroidal",Class
MESHPA,D000021,"Abortifacient Agents, Steroidal",Class
MESHPA,D000067856,Poly(ADP-ribose) Polymerase Inhibitors,Class
MESHPA,D000068760,Serotonin and Noradrenaline Reuptake Inhibitors,Class
MESHPA,D000068776,"Sleep Aids, Pharmaceutical",Class
MESHPA,D000068796,Orexin Receptor Antagonists,Class
MESHPA,D000072664,Provitamins,Class
MESHPA,D000074268,Guanylyl Cyclase C Agonists,Class
MESHPA,D000074322,"Antineoplastic Agents, Immunological",Class
MESHPA,D000075162,Abuse-Deterrent Formulations,Class
MESHPA,D000075242,Janus Kinase Inhibitors,Class
MESHPA,D000075528,Aversive Agents,Class
MESHPA,D000077203,Sodium-Glucose Transporter 2 Inhibitors,Class
MESHPA,D000077221,Calcitonin Gene-Related Peptide Receptor Antagonists,Class
MESHPA,D000077264,Calcium-Regulating Hormones and Agents,Class
MESHPA,D000077444,Smoking Cessation Agents,Class
MESHPA,D000079424,Tumor Necrosis Factor Inhibitors,Class
MESHPA,D000080066,"Contraceptive Agents, Hormonal",Class
MESHPA,D000081227,Neurosteroids,Class
MESHPA,D000081243,Sphingosine 1 Phosphate Receptor Modulators,Class
MESHPA,D000082082,Immune Checkpoint Inhibitors,Class
MESHPA,D000082142,Mast Cell Stabilizers,Class
MESHPA,D000084762,Viral Protease Inhibitors,Class
MESHPA,D000089162,Genitourinary Agents,Class
MESHPA,D000276,"Adjuvants, Immunologic",Class
MESHPA,D000316,Adrenergic alpha-Agonists,Class
MESHPA,D000317,Adrenergic alpha-Antagonists,Class
MESHPA,D000318,Adrenergic beta-Agonists,Class
MESHPA,D000319,Adrenergic beta-Antagonists,Class
MESHPA,D000322,Adrenergic Agonists,Class
MESHPA,D000427,Alcohol Deterrents,Class
MESHPA,D000451,Mineralocorticoid Receptor Antagonists,Class
MESHPA,D000477,Alkylating Agents,Class
MESHPA,D000563,Amebicides,Class
MESHPA,D000697,Central Nervous System Stimulants,Class
MESHPA,D000700,Analgesics,Class
MESHPA,D000701,"Analgesics, Opioid",Class
MESHPA,D000726,Androgen Antagonists,Class
MESHPA,D000728,Androgens,Class
MESHPA,D000759,"Adjuvants, Anesthesia",Class
MESHPA,D000777,Anesthetics,Class
MESHPA,D000778,"Anesthetics, Dissociative",Class
MESHPA,D000779,"Anesthetics, Local",Class
MESHPA,D000806,Angiotensin-Converting Enzyme Inhibitors,Class
MESHPA,D000863,Antacids,Class
MESHPA,D000871,Anthelmintics,Class
MESHPA,D000889,Anti-Arrhythmia Agents,Class
MESHPA,D000890,Anti-Infective Agents,Class
MESHPA,D000891,"Anti-Infective Agents, Local",Class
MESHPA,D000892,"Anti-Infective Agents, Urinary",Class
MESHPA,D000893,Anti-Inflammatory Agents,Class
MESHPA,D000894,"Anti-Inflammatory Agents, Non-Steroidal",Class
MESHPA,D000897,Anti-Ulcer Agents,Class
MESHPA,D000900,Anti-Bacterial Agents,Class
MESHPA,D000903,"Antibiotics, Antineoplastic",Class
MESHPA,D000904,"Antibiotics, Antitubercular",Class
MESHPA,D000922,Immunotoxins,Class
MESHPA,D000923,Anticestodal Agents,Class
MESHPA,D000924,Anticholesteremic Agents,Class
MESHPA,D000925,Anticoagulants,Class
MESHPA,D000927,Anticonvulsants,Class
MESHPA,D000928,Antidepressive Agents,Class
MESHPA,D000929,"Antidepressive Agents, Tricyclic",Class
MESHPA,D000930,Antidiarrheals,Class
MESHPA,D000931,Antidotes,Class
MESHPA,D000932,Antiemetics,Class
MESHPA,D000933,Antifibrinolytic Agents,Class
MESHPA,D000934,Antifoaming Agents,Class
MESHPA,D000935,Antifungal Agents,Class
MESHPA,D000959,Antihypertensive Agents,Class
MESHPA,D000960,Hypolipidemic Agents,Class
MESHPA,D000962,Antimalarials,Class
MESHPA,D000963,Antimetabolites,Class
MESHPA,D000964,"Antimetabolites, Antineoplastic",Class
MESHPA,D000969,Antinematodal Agents,Class
MESHPA,D000970,Antineoplastic Agents,Class
MESHPA,D000972,"Antineoplastic Agents, Phytogenic",Class
MESHPA,D000975,Antioxidants,Class
MESHPA,D000977,Antiparasitic Agents,Class
MESHPA,D000978,Antiparkinson Agents,Class
MESHPA,D000980,Antiplatyhelmintic Agents,Class
MESHPA,D000981,Antiprotozoal Agents,Class
MESHPA,D000982,Antipruritics,Class
MESHPA,D000986,Antisickling Agents,Class
MESHPA,D000988,Antispermatogenic Agents,Class
MESHPA,D000991,Antithrombins,Class
MESHPA,D000994,Antitrichomonal Agents,Class
MESHPA,D000995,Antitubercular Agents,Class
MESHPA,D000996,Antitussive Agents,Class
MESHPA,D000998,Antiviral Agents,Class
MESHPA,D001067,Appetite Depressants,Class
MESHPA,D001252,Astringents,Class
MESHPA,D001337,Autonomic Agents,Class
MESHPA,D001802,Blood Substitutes,Class
MESHPA,D001993,Bronchodilator Agents,Class
MESHPA,D002120,Calcium Channel Agonists,Class
MESHPA,D002121,Calcium Channel Blockers,Class
MESHPA,D002257,Carbonic Anhydrase Inhibitors,Class
MESHPA,D002316,Cardiotonic Agents,Class
MESHPA,D002317,Cardiovascular Agents,Class
MESHPA,D002327,Cariostatic Agents,Class
MESHPA,D002400,Cathartics,Class
MESHPA,D002491,Central Nervous System Agents,Class
MESHPA,D002492,Central Nervous System Depressants,Class
MESHPA,D002614,Chelating Agents,Class
