concept_code_1,relationship_id,relationship_source,relationship_type,concept_code_2
D000019,Subsumes,MESH,INDIRECT,12449
D000019,Subsumes,MESH,INDIRECT,2051
D000019,Subsumes,MESH,INDIRECT,23321
D000019,Subsumes,MESH,INDIRECT,287734
D000019,Subsumes,MESH,INDIRECT,3477
D000019,Subsumes,MESH,INDIRECT,38668
D000019,Subsumes,MESH,INDIRECT,42331
D000019,Subsumes,MESH,INDIRECT,6851
D000019,Subsumes,MESH,INDIRECT,6964
D000020,Subsumes,MESH,DIRECT,12449
D000020,Subsumes,MESH,DIRECT,2051
D000020,Subsumes,MESH,DIRECT,23321
D000020,Subsumes,MESH,DIRECT,287734
D000020,Subsumes,MESH,DIRECT,3477
D000020,Subsumes,MESH,DIRECT,42331
D000020,Subsumes,MESH,DIRECT,6851
D000021,Subsumes,MESH,DIRECT,38668
D000021,Subsumes,MESH,DIRECT,6964
D000067856,Subsumes,MESH,DIRECT,1597582
D000067856,Subsumes,MESH,DIRECT,1862579
D000067856,Subsumes,MESH,DIRECT,1918231
D000067856,Subsumes,MESH,DIRECT,1988648
D000067856,Subsumes,MESH,DIRECT,2099704
D000068760,Subsumes,MESH,DIRECT,1433211
D000068760,Subsumes,MESH,DIRECT,1433212
D000068760,Subsumes,MESH,DIRECT,235988
D000068760,Subsumes,MESH,DIRECT,236082
D000068760,Subsumes,MESH,DIRECT,30003
D000068760,Subsumes,MESH,DIRECT,31565
D000068760,Subsumes,MESH,DIRECT,39786
D000068760,Subsumes,MESH,DIRECT,476250
D000068760,Subsumes,MESH,DIRECT,588250
D000068760,Subsumes,MESH,DIRECT,683693
D000068760,Subsumes,MESH,DIRECT,72625
D000068760,Subsumes,MESH,DIRECT,734064
D000068776,Subsumes,MESH,DIRECT,1362
D000068776,Subsumes,MESH,DIRECT,1547099
D000068776,Subsumes,MESH,DIRECT,203179
D000068776,Subsumes,MESH,DIRECT,221183
D000068776,Subsumes,MESH,INDIRECT,2272403
D000068776,Subsumes,MESH,DIRECT,3498
D000068776,Subsumes,MESH,DIRECT,3638
D000068776,Subsumes,MESH,DIRECT,39993
D000068776,Subsumes,MESH,DIRECT,82004
D000068776,Subsumes,MESH,DIRECT,82091
D000068776,Subsumes,MESH,DIRECT,9009
D000068796,Subsumes,MESH,DIRECT,1547099
D000068796,Subsumes,MESH,DIRECT,2272403
D000072664,Subsumes,MESH,DIRECT,1362616
D000072664,Subsumes,MESH,DIRECT,19143
D000074268,Subsumes,MESH,DIRECT,1307404
D000074268,Subsumes,MESH,DIRECT,1873752
D000074322,Subsumes,MESH,DIRECT,1094833
D000074322,Subsumes,MESH,INDIRECT,1112973
D000074322,Subsumes,MESH,DIRECT,1147320
D000074322,Subsumes,MESH,DIRECT,117055
D000074322,Subsumes,MESH,DIRECT,121191
D000074322,Subsumes,MESH,DIRECT,1294580
D000074322,Subsumes,MESH,DIRECT,1298944
D000074322,Subsumes,MESH,DIRECT,1371041
D000074322,Subsumes,MESH,DIRECT,1547545
D000074322,Subsumes,MESH,DIRECT,1597876
D000074322,Subsumes,MESH,DIRECT,1721264
D000074322,Subsumes,MESH,DIRECT,1723738
D000074322,Subsumes,MESH,DIRECT,1875534
D000074322,Subsumes,MESH,DIRECT,1919503
D000074322,Subsumes,MESH,DIRECT,1942950
D000074322,Subsumes,MESH,DIRECT,2046138
D000074322,Subsumes,MESH,DIRECT,2058826
D000074322,Subsumes,MESH,DIRECT,224905
D000074322,Subsumes,MESH,DIRECT,2280730
D000074322,Subsumes,MESH,DIRECT,253337
D000074322,Subsumes,MESH,DIRECT,2549198
D000074322,Subsumes,MESH,DIRECT,2549199
D000074322,Subsumes,MESH,DIRECT,263034
D000074322,Subsumes,MESH,DIRECT,318341
D000074322,Subsumes,MESH,INDIRECT,614391
D000074322,Subsumes,MESH,DIRECT,974779
D000075162,Subsumes,MESH,INDIRECT,1313232
D000075162,Subsumes,MESH,INDIRECT,1546417
D000075242,Subsumes,MESH,DIRECT,2196092
D000075528,Subsumes,MESH,DIRECT,1313232
D000075528,Subsumes,MESH,DIRECT,1546417
D000077203,Subsumes,MESH,DIRECT,1373458
D000077203,Subsumes,MESH,DIRECT,1488564
D000077203,Subsumes,MESH,DIRECT,1545653
D000077203,Subsumes,MESH,DIRECT,1546031
D000077203,Subsumes,MESH,DIRECT,1992672
D000077221,Subsumes,MESH,DIRECT,2045613
D000077221,Subsumes,MESH,DIRECT,2045614
D000077221,Subsumes,MESH,DIRECT,2056690
D000077221,Subsumes,MESH,DIRECT,2058868
D000077264,Subsumes,MESH,INDIRECT,104416
D000077264,Subsumes,MESH,INDIRECT,11170
D000077264,Subsumes,MESH,DIRECT,114260
D000077264,Subsumes,MESH,DIRECT,1311287
D000077264,Subsumes,MESH,INDIRECT,135056
D000077264,Subsumes,MESH,INDIRECT,1367
D000077264,Subsumes,MESH,DIRECT,1427222
D000077264,Subsumes,MESH,INDIRECT,1436
D000077264,Subsumes,MESH,INDIRECT,153679
D000077264,Subsumes,MESH,INDIRECT,1547630
D000077264,Subsumes,MESH,INDIRECT,17767
D000077264,Subsumes,MESH,INDIRECT,187832
D000077264,Subsumes,MESH,DIRECT,1894
D000077264,Subsumes,MESH,DIRECT,1895
D000077264,Subsumes,MESH,INDIRECT,203138
D000077264,Subsumes,MESH,INDIRECT,203211
D000077264,Subsumes,MESH,INDIRECT,20352
D000077264,Subsumes,MESH,INDIRECT,233603
D000077264,Subsumes,MESH,INDIRECT,235230
D000077264,Subsumes,MESH,INDIRECT,235839
D000077264,Subsumes,MESH,INDIRECT,236741
D000077264,Subsumes,MESH,INDIRECT,236767
D000077264,Subsumes,MESH,DIRECT,2418
D000077264,Subsumes,MESH,INDIRECT,2549
D000077264,Subsumes,MESH,DIRECT,25544
D000077264,Subsumes,MESH,INDIRECT,258328
D000077264,Subsumes,MESH,INDIRECT,259487
D000077264,Subsumes,MESH,INDIRECT,28382
D000077264,Subsumes,MESH,INDIRECT,28439
D000077264,Subsumes,MESH,INDIRECT,29275
D000077264,Subsumes,MESH,INDIRECT,32311
D000077264,Subsumes,MESH,DIRECT,32915
D000077264,Subsumes,MESH,INDIRECT,33724
D000077264,Subsumes,MESH,INDIRECT,33910
D000077264,Subsumes,MESH,INDIRECT,3443
D000077264,Subsumes,MESH,DIRECT,36118
D000077264,Subsumes,MESH,INDIRECT,37815
D000077264,Subsumes,MESH,INDIRECT,38377
D000077264,Subsumes,MESH,DIRECT,384379
D000077264,Subsumes,MESH,INDIRECT,39879
D000077264,Subsumes,MESH,INDIRECT,39998
D000077264,Subsumes,MESH,DIRECT,4018
D000077264,Subsumes,MESH,INDIRECT,404773
D000077264,Subsumes,MESH,DIRECT,407990
D000077264,Subsumes,MESH,INDIRECT,4316
D000077264,Subsumes,MESH,INDIRECT,4327
D000077264,Subsumes,MESH,INDIRECT,439837
D000077264,Subsumes,MESH,INDIRECT,4459
D000077264,Subsumes,MESH,INDIRECT,4648
D000077264,Subsumes,MESH,INDIRECT,53692
D000077264,Subsumes,MESH,INDIRECT,54216
D000077264,Subsumes,MESH,INDIRECT,54743
D000077264,Subsumes,MESH,INDIRECT,55685
D000077264,Subsumes,MESH,INDIRECT,57330
D000077264,Subsumes,MESH,INDIRECT,60334
D000077264,Subsumes,MESH,INDIRECT,6390
D000077264,Subsumes,MESH,INDIRECT,6585
D000077264,Subsumes,MESH,INDIRECT,68503
D000077264,Subsumes,MESH,DIRECT,6995
D000077264,Subsumes,MESH,INDIRECT,73056
D000077264,Subsumes,MESH,DIRECT,73409
D000077264,Subsumes,MESH,INDIRECT,738
D000077264,Subsumes,MESH,INDIRECT,7396
D000077264,Subsumes,MESH,INDIRECT,7417
D000077264,Subsumes,MESH,INDIRECT,7426
D000077264,Subsumes,MESH,INDIRECT,7435
D000077264,Subsumes,MESH,INDIRECT,7441
D000077264,Subsumes,MESH,INDIRECT,8050
D000077264,Subsumes,MESH,INDIRECT,81999
D000077264,Subsumes,MESH,INDIRECT,82019
D000077264,Subsumes,MESH,INDIRECT,83213
