concept_code_1,relationship_id,relationship_source,relationship_type,concept_code_2
N0000000065,Subsumes,DAILYMED,INDIRECT,10114
N0000000065,Subsumes,DAILYMED,INDIRECT,10473
N0000000065,Subsumes,DAILYMED,INDIRECT,10798
N0000000065,Subsumes,DAILYMED,INDIRECT,11645
N0000000065,Subsumes,DAILYMED,INDIRECT,118886
N0000000065,Subsumes,DAILYMED,INDIRECT,1305558
N0000000065,Subsumes,DAILYMED,INDIRECT,1314372
N0000000065,Subsumes,DAILYMED,INDIRECT,1318915
N0000000065,Subsumes,DAILYMED,INDIRECT,1331
N0000000065,Subsumes,DAILYMED,INDIRECT,134547
N0000000065,Subsumes,DAILYMED,INDIRECT,1361657
N0000000065,Subsumes,DAILYMED,INDIRECT,1362737
N0000000065,Subsumes,DAILYMED,INDIRECT,1363352
N0000000065,Subsumes,DAILYMED,INDIRECT,1364290
N0000000065,Subsumes,DAILYMED,INDIRECT,1364429
N0000000065,Subsumes,DAILYMED,INDIRECT,1370439
N0000000065,Subsumes,DAILYMED,INDIRECT,1373391
N0000000065,Subsumes,DAILYMED,INDIRECT,141626
N0000000065,Subsumes,DAILYMED,INDIRECT,1423270
N0000000065,Subsumes,DAILYMED,INDIRECT,1425419
N0000000065,Subsumes,DAILYMED,INDIRECT,1426598
N0000000065,Subsumes,DAILYMED,INDIRECT,1426853
N0000000065,Subsumes,DAILYMED,INDIRECT,1426874
N0000000065,Subsumes,DAILYMED,INDIRECT,1427224
N0000000065,Subsumes,DAILYMED,INDIRECT,1431726
N0000000065,Subsumes,DAILYMED,INDIRECT,1482913
N0000000065,Subsumes,DAILYMED,INDIRECT,1486025
N0000000065,Subsumes,DAILYMED,INDIRECT,1488368
N0000000065,Subsumes,DAILYMED,INDIRECT,1488818
N0000000065,Subsumes,DAILYMED,INDIRECT,1492940
N0000000065,Subsumes,DAILYMED,INDIRECT,1512
N0000000065,Subsumes,DAILYMED,INDIRECT,1545987
N0000000065,Subsumes,DAILYMED,INDIRECT,1545988
N0000000065,Subsumes,DAILYMED,INDIRECT,1546223
N0000000065,Subsumes,DAILYMED,INDIRECT,1546272
N0000000065,Subsumes,DAILYMED,INDIRECT,1546273
N0000000065,Subsumes,DAILYMED,INDIRECT,1546357
N0000000065,Subsumes,DAILYMED,INDIRECT,1546370
N0000000065,Subsumes,DAILYMED,INDIRECT,1546414
N0000000065,Subsumes,DAILYMED,INDIRECT,1546415
N0000000065,Subsumes,DAILYMED,INDIRECT,1546429
N0000000065,Subsumes,DAILYMED,INDIRECT,1546434
N0000000065,Subsumes,DAILYMED,INDIRECT,1546443
N0000000065,Subsumes,DAILYMED,INDIRECT,1546447
N0000000065,Subsumes,DAILYMED,INDIRECT,1546451
N0000000065,Subsumes,DAILYMED,INDIRECT,1546452
N0000000065,Subsumes,DAILYMED,INDIRECT,1599276
N0000000065,Subsumes,DAILYMED,INDIRECT,1716203
N0000000065,Subsumes,DAILYMED,INDIRECT,1716278
N0000000065,Subsumes,DAILYMED,INDIRECT,1724429
N0000000065,Subsumes,DAILYMED,INDIRECT,1726081
N0000000065,Subsumes,DAILYMED,INDIRECT,1745075
N0000000065,Subsumes,DAILYMED,INDIRECT,1796118
N0000000065,Subsumes,DAILYMED,INDIRECT,1811461
N0000000065,Subsumes,DAILYMED,INDIRECT,1828
N0000000065,Subsumes,DAILYMED,INDIRECT,1895
N0000000065,Subsumes,DAILYMED,INDIRECT,18989
N0000000065,Subsumes,DAILYMED,INDIRECT,197
N0000000065,Subsumes,DAILYMED,INDIRECT,2034
N0000000065,Subsumes,DAILYMED,INDIRECT,2048727
N0000000065,Subsumes,DAILYMED,INDIRECT,2053281
N0000000065,Subsumes,DAILYMED,INDIRECT,2105
N0000000065,Subsumes,DAILYMED,INDIRECT,214824
N0000000065,Subsumes,DAILYMED,INDIRECT,2197842
N0000000065,Subsumes,DAILYMED,INDIRECT,221147
N0000000065,Subsumes,DAILYMED,INDIRECT,221946
N0000000065,Subsumes,DAILYMED,INDIRECT,2280602
N0000000065,Subsumes,DAILYMED,INDIRECT,23066
N0000000065,Subsumes,DAILYMED,INDIRECT,232539
N0000000065,Subsumes,DAILYMED,INDIRECT,2346
N0000000065,Subsumes,DAILYMED,INDIRECT,236381
N0000000065,Subsumes,DAILYMED,INDIRECT,24457
N0000000065,Subsumes,DAILYMED,INDIRECT,2447
N0000000065,Subsumes,DAILYMED,INDIRECT,24902
N0000000065,Subsumes,DAILYMED,INDIRECT,25138
N0000000065,Subsumes,DAILYMED,INDIRECT,25483
N0000000065,Subsumes,DAILYMED,INDIRECT,25842
N0000000065,Subsumes,DAILYMED,INDIRECT,259282
N0000000065,Subsumes,DAILYMED,INDIRECT,262323
N0000000065,Subsumes,DAILYMED,INDIRECT,2685
N0000000065,Subsumes,DAILYMED,INDIRECT,27291
N0000000065,Subsumes,DAILYMED,INDIRECT,27729
N0000000065,Subsumes,DAILYMED,INDIRECT,27781
N0000000065,Subsumes,DAILYMED,INDIRECT,27792
N0000000065,Subsumes,DAILYMED,INDIRECT,283753
N0000000065,Subsumes,DAILYMED,INDIRECT,3022
N0000000065,Subsumes,DAILYMED,INDIRECT,3098
N0000000065,Subsumes,DAILYMED,INDIRECT,3131
N0000000065,Subsumes,DAILYMED,INDIRECT,314301
N0000000065,Subsumes,DAILYMED,INDIRECT,317177
N0000000065,Subsumes,DAILYMED,INDIRECT,3272
N0000000065,Subsumes,DAILYMED,INDIRECT,3274
N0000000065,Subsumes,DAILYMED,INDIRECT,3275
N0000000065,Subsumes,DAILYMED,INDIRECT,33332
N0000000065,Subsumes,DAILYMED,INDIRECT,33562
