vocabulary_id,concept_code,concept_name,concept_class
PE,N0000008290,Acetylcholine Activity Alteration,Class
PE,N0000008293,Alveolar Surface Tension Alteration,Class
PE,N0000008294,Alveolar Surface Tension Reduction,Class
PE,N0000008299,Arterial Vasodilation,Class
PE,N0000008307,Blood & Lymphatic Fluid Function Alteration,Class
PE,N0000008327,Carbohydrate Metabolism Alteration,Class
PE,N0000008330,Cardiac Rhythm Alteration,Class
PE,N0000008331,Cardiovascular Activity Alteration,Class
PE,N0000008334,Cell Membrane Alteration,Class
PE,N0000008336,Cell Wall Alteration,Class
PE,N0000008337,Cellular Activity Alteration,Class
PE,N0000008339,Cellular Cycle Alteration,Class
PE,N0000008340,Cellular Death Alteration,Class
PE,N0000008341,Cellular Degradation/Digestion Alteration,Class
PE,N0000008342,Cellular Division Phase Alteration,Class
PE,N0000008346,Cellular Structure Alteration,Class
PE,N0000008347,Cellular Synthetic Activity Alteration,Class
PE,N0000008358,Cholesterol Absorption Alteration,Class
PE,N0000008360,Cholesterol Metabolism Alteration,Class
PE,N0000008362,Coagulation Factor Activity Alteration,Class
PE,N0000008363,Coagulation Factor Alteration,Class
PE,N0000008364,Coagulation Factor Concentration Alteration,Class
PE,N0000008379,DNA Integrity Alteration,Class
PE,N0000008380,DNA Replication Alteration,Class
PE,N0000008383,Decreased Acetylcholine Activity,Class
PE,N0000008390,Decreased Antibody Activity,Class
PE,N0000008394,Decreased Autonomic Nervous System Acetylcholine Activity,Class
PE,N0000008476,Decreased Cell Membrane Integrity,Class
PE,N0000008478,Decreased Cell Wall Integrity,Class
PE,N0000008479,Decreased Cell Wall Synthesis & Repair,Class
PE,N0000008486,Decreased Central Nervous System Disorganized Electrical Activity,Class
PE,N0000008501,Decreased Central Nervous System Organized Electrical Activity,Class
PE,N0000008553,Decreased Cholesterol Absorption,Class
PE,N0000008556,Decreased Coagulation Factor Activity,Class
PE,N0000008571,Decreased Cytokine Activity,Class
PE,N0000008576,Decreased DNA Integrity,Class
PE,N0000008577,Decreased DNA Replication,Class
PE,N0000008578,Decreased Disorganized Electrical Activity,Class
PE,N0000008592,Decreased Eicosanoid Production,Class
PE,N0000008595,Decreased Embryonic Implantation,Class
PE,N0000008635,Decreased GI Motility,Class
PE,N0000008636,Decreased GI Smooth Muscle Tone,Class
PE,N0000008638,Decreased GnRH Secretion,Class
PE,N0000008652,Decreased Glycolysis,Class
PE,N0000008656,Decreased Hematopoiesis,Class
PE,N0000008663,Decreased Immunologically Active Molecule Activity,Class
PE,N0000008665,Decreased Immunologically Active Molecule Production,Class
PE,N0000008683,Decreased Leukotriene Production,Class
PE,N0000008686,Decreased Lipid Derived Immunologically Active Molecule Production,Class
PE,N0000008732,Decreased Mitosis,Class
PE,N0000008768,Decreased Organized Electrical Activity,Class
PE,N0000008779,Decreased Parasympathetic Acetylcholine Activity,Class
PE,N0000008802,Decreased Peripheral Nervous System Acetylcholine Activity,Class
PE,N0000008832,Decreased Platelet Aggregation,Class
PE,N0000008836,Decreased Prostaglandin Production,Class
PE,N0000008841,Decreased Protein Synthesis,Class
PE,N0000008852,Decreased RNA Integrity,Class
PE,N0000008853,Decreased RNA Replication,Class
PE,N0000008858,Decreased Renal Ion Excretion,Class
PE,N0000008859,Decreased Renal K+ Excretion,Class
PE,N0000008867,Decreased Respiratory Secretion Viscosity,Class
PE,N0000008924,Decreased Sperm Motility,Class
PE,N0000008953,Decreased Striated Muscle Contraction,Class
PE,N0000009010,Decreased Tracheobronchial Stretch Receptor Activity,Class
PE,N0000009020,Dermatologic Activity Alteration,Class
PE,N0000009022,Digestive/GI System Activity Alteration,Class
PE,N0000009024,Disorganized Electrical Activity Alteration,Class
PE,N0000009025,Dopamine Activity Alteration,Class
PE,N0000009027,Electrical Activity Alteration,Class
PE,N0000009028,Embryonic & Fetal Alteration,Class
PE,N0000009032,Embryonic Implantation Alteration,Class
PE,N0000009034,Emesis Suppression,Class
PE,N0000009036,Endocrine Activity Alteration,Class
PE,N0000009044,Female Reproductive System Activity Alteration,Class
PE,N0000009045,GHRH Activity Alteration,Class
PE,N0000009046,Growth Hormone Releasing Hormone Alteration,Class
PE,N0000009048,GI Motility Alteration,Class
PE,N0000009049,GI Smooth Muscle Tone Alteration,Class
PE,N0000009051,Gonadotropin Releasing Hormone Alteration,Class
PE,N0000009052,GnRH Secretion Alteration,Class
PE,N0000009054,Gastric Acid Alteration,Class
PE,N0000009057,Generalized Systemic Effects,Class
PE,N0000009059,Genitourinary Arterial Vasodilation,Class
PE,N0000009061,Glucose Metabolism Alteration,Class
PE,N0000009064,Glycogen Metabolism Alteration,Class
PE,N0000009065,Hematologic Activity Alteration,Class
PE,N0000009066,Hematological Cell Destruction Alteration,Class
PE,N0000009067,Hematological Cell Quantity Alteration,Class
PE,N0000009068,Hematopoiesis Alteration,Class
PE,N0000009069,Hemic/Lymphatic Activity Alteration,Class
PE,N0000009070,Hemostasis Alteration,Class
PE,N0000009072,Hypothalamic Endocrine Activity Alteration,Class
PE,N0000009073,Immunologic Activity Alteration,Class
PE,N0000009074,Immunologically Active Molecule Activity Alteration,Class
PE,N0000009076,Immunologically Active Molecule Production Alteration,Class
PE,N0000009088,Increased Antibody Production,Class
PE,N0000009176,Increased Cellular Death,Class
PE,N0000009252,Increased Coagulation Factor Activity,Class
PE,N0000009253,Increased Coagulation Factor Concentration,Class
PE,N0000009267,Increased Cytokine Activity,Class
PE,N0000009269,Increased Cytokine Production,Class
PE,N0000009282,Increased Dopamine Activity,Class
PE,N0000009284,Increased Eicosanoid Activity,Class
PE,N0000009319,Increased Erythroid Cell Production,Class
PE,N0000009327,Increased GHRH Activity,Class
PE,N0000009329,Increased GI Motility,Class
PE,N0000009340,Increased Gluconeogenesis,Class
PE,N0000009345,Increased Glycogenolysis,Class
PE,N0000009349,Increased Hematological Cell Destruction,Class
PE,N0000009350,Increased Hematopoiesis,Class
PE,N0000009357,Increased Immunologically Active Molecule Activity,Class
PE,N0000009359,Increased Immunologically Active Molecule Production,Class
PE,N0000009361,Increased Intravascular Volume,Class
PE,N0000009371,Increased Large Intestinal Motility,Class
PE,N0000009376,Increased Lipid Derived Immunologically Active Molecule Activity,Class
PE,N0000009390,Increased Lymphocyte Cell Destruction,Class
PE,N0000009391,Increased Lymphocyte Cell Production,Class
PE,N0000009393,Increased Medullary Respiratory Drive,Class
PE,N0000009395,Increased Megakaryocte Cell Production,Class
PE,N0000009451,Increased Myeloid Cell Production,Class
PE,N0000009456,Increased Norepinephrine Activity,Class
PE,N0000009457,Increased Oncotic Pressure,Class
PE,N0000009524,Increased Platelet Aggregation,Class
PE,N0000009526,Increased Prostaglandin Activity,Class
PE,N0000009531,Increased Protein Breakdown,Class
PE,N0000009533,Increased Protein Synthesis,Class
PE,N0000009689,Increased T Lymphocyte Destruction,Class
PE,N0000009695,Increased Thrombolysis,Class
PE,N0000009705,Increased Uterine Smooth Muscle Contraction or Tone,Class
PE,N0000009724,Inhibition Gastric Acid Secretion,Class
PE,N0000009726,Inhibition Large Intestine Fluid/Electrolyte Absorption,Class
PE,N0000009730,Inhibition Small Intestine Fluid/Electrolyte Absorption,Class
PE,N0000009732,Intravascular Volume Alteration,Class
PE,N0000009736,Large Intestine Fluid/Electrolyte Absorption Alteration,Class
PE,N0000009737,Large Intestine Fluid/Electrolyte Alteration,Class
PE,N0000009738,Large Intestine Fluid/Electrolyte Secretion Alteration,Class
PE,N0000009739,Lipid Metabolism Alteration,Class
PE,N0000009742,Male Reproductive System Activity Alteration,Class
PE,N0000009743,Medullary Respiratory Center Activity Alteration,Class
PE,N0000009748,Metabolic Activity Alteration,Class
PE,N0000009750,Mitosis Alteration,Class
PE,N0000009752,Mucosal Arterial Vasodilation,Class
PE,N0000009755,Musculoskeletal Activity Alteration,Class
PE,N0000009759,Nervous System Activity Alteration,Class
PE,N0000009761,Neurotransmitter & Neuromuscular Transmitter Activity Alteration,Class
PE,N0000009765,Norepinephrine Activity Alteration,Class
PE,N0000009766,Nucleic Acid Replication Alteration,Class
PE,N0000009769,Oncotic Pressure Alteration,Class
PE,N0000009770,Organ System Specific Effects,Class
PE,N0000009774,Organized Electrical Activity Alteration,Class
PE,N0000009801,Photosensitizing Activity,Class
PE,N0000009802,Physiologic Effect (PE),Class
PE,N0000009807,Platelet Aggregation Alteration,Class
PE,N0000009814,Protein Degradation Alteration,Class
PE,N0000009821,RNA Integrity Alteration,Class
PE,N0000009822,RNA Replication Alteration,Class
PE,N0000009830,Renal Ion Transport Alteration,Class
PE,N0000009832,Renal/Urological Activity Alteration,Class
PE,N0000009833,Reproductive System Activity Alteration,Class
PE,N0000009836,Respiratory Secretion Alteration,Class
PE,N0000009837,Respiratory Secretion Viscosity Alteration,Class
PE,N0000009839,Respiratory/Pulmonary Activity Alteration,Class
PE,N0000009845,Small Intestine Fluid/Electrolyte Absorption Alteration,Class
PE,N0000009846,Small Intestine Fluid/Electrolyte Alteration,Class
PE,N0000009852,Sperm Alteration,Class
PE,N0000009853,Sperm Motility Alteration,Class
PE,N0000009871,Stimulation Large Intestine Fluid/Electrolyte Secretion,Class
PE,N0000009876,Striated Muscle Metabolic Alteration,Class
PE,N0000009877,Striated Muscle Anabolism Alteration,Class
PE,N0000009878,Striated Muscle Catabolism Alteration,Class
PE,N0000009879,Striated Muscle Contraction Alteration,Class
PE,N0000009892,Tracheobronchial Stretch Receptor Alteration,Class
PE,N0000009894,Translation Alteration,Class
PE,N0000009897,Uterine Function Alteration,Class
PE,N0000009901,Uterine Smooth Muscle Contraction or Tone,Class
PE,N0000009905,Vascular Sclerosing Activity,Class
PE,N0000009906,Vascular Tone Alteration,Class
PE,N0000009908,Vasoconstriction,Class
PE,N0000009909,Vasodilation,Class
PE,N0000009911,Venous Vasodilation,Class
PE,N0000009978,Sebaceous Gland Alteration,Class
PE,N0000009982,Decreased Sebaceous Gland Activity,Class
PE,N0000010222,Sterol Metabolism Alteration,Class
PE,N0000010250,Vascular Permeability Alteration,Class
PE,N0000010252,Decreased Vascular Permeability,Class
PE,N0000010268,Smooth Muscle Tone Alteration,Class
PE,N0000010282,Skin Barrier Activity,Class
PE,N0000020002,Vascular Alterations,Class
PE,N0000020040,Polysaccharide Metabolism Alteration,Class
PE,N0000175085,Microtubule Inhibition,Class
PE,N0000175358,Diuresis Alteration,Class
PE,N0000175359,Increased Diuresis,Class
PE,N0000175366,Increased Diuresis at Loop of Henle,Class
PE,N0000175371,Appetite Alteration,Class
PE,N0000175372,Appetite Suppression,Class
PE,N0000175379,Arteriolar Vasodilation,Class
PE,N0000175527,Inorganic Ion Absorption Alteration,Class
PE,N0000175528,Decreased Inorganic Ion Absorption,Class
PE,N0000175529,Decreased Copper Ion Absorption,Class
PE,N0000175550,Decreased Immunologic Activity,Class
PE,N0000175551,Increased Immunologic Activity,Class
PE,N0000175626,Hematological Cell Function Alteration,Class
PE,N0000175627,Mast Cell Function Alteration,Class
PE,N0000175628,Decreased Histamine Release,Class
PE,N0000175629,Increased Histamine Release,Class
PE,N0000175631,Fibrinolysis Alteration,Class
PE,N0000175632,Decreased Fibrinolysis,Class
PE,N0000175633,Increased Fibrinolysis,Class
PE,N0000175642,Autonomic Nervous System Activity Alteration,Class
PE,N0000175643,Autonomic Ganglionic Activity Alteration,Class
PE,N0000175644,Decreased Autonomic Ganglionic Activity,Class
PE,N0000175646,Parasympathetic Activity Alteration,Class
PE,N0000175647,Sympathetic Activity Alteration,Class
PE,N0000175648,Decreased Parasympathetic Activity,Class
PE,N0000175650,Decreased Sympathetic Activity,Class
PE,N0000175651,Increased Sympathetic Activity,Class
PE,N0000175672,Cellular Proliferation Alteration,Class
PE,N0000175673,Epithelial Proliferation Alteration,Class
PE,N0000175675,Increased Epithelial Proliferation,Class
PE,N0000175724,Central Nervous System Activity Alteration,Class
PE,N0000175725,Peripheral Nervous System Activity Alteration,Class
PE,N0000175726,Neuromuscular Activity Alteration,Class
PE,N0000175727,Sensory System Activity Alteration,Class
PE,N0000175728,Central Nervous System Depression,Class
PE,N0000175729,Central Nervous System Stimulation,Class
PE,N0000175730,Centrally-mediated Muscle Relaxation,Class
PE,N0000175731,Neuromuscular Blockade,Class
PE,N0000175732,Neuromuscular Nondepolarizing Blockade,Class
PE,N0000175733,Neuromuscular Depolarizing Blockade,Class
PE,N0000175734,Striated Muscle Tone Alteration,Class
PE,N0000175735,Decreased Striated Muscle Tone,Class
PE,N0000175793,Decreased IgE Activity,Class
PE,N0000175829,Ovum Fertilization Alteration,Class
PE,N0000175830,Inhibit Ovum Fertilization,Class
PE,N0000175851,Depigmenting Activity,Class
PE,N0000175914,Increased Coagulation Factor VIII Activity,Class
PE,N0000175915,Increased Coagulation Factor VIII Concentration,Class
PE,N0000175959,Peptide Metabolism Alteration,Class
PE,N0000175960,Increased Glutathione Concentration,Class
PE,N0000175965,Increased Prothrombin Activity,Class
PE,N0000175969,Increased Megakaryocyte Maturation,Class
PE,N0000175970,Increased Platelet Production,Class
PE,N0000175972,Decreased Platelet Production,Class
PE,N0000175975,General Anesthesia,Class
PE,N0000175976,Local Anesthesia,Class
PE,N0000175977,Coagulation Activity Alteration,Class
PE,N0000175978,Decreased Coagulation Activity,Class
PE,N0000175979,Increased Coagulation Activity,Class
PE,N0000175982,Reversed Anticoagulation Activity,Class
PE,N0000178323,Hematopoietic Stem Cell Function Alteration,Class
PE,N0000178324,Increased Hematopoietic Stem Cell Mobilization,Class
PE,N0000178327,Lymphocyte Function Alteration,Class
PE,N0000178328,Increased Lymphocyte Activation,Class
PE,N0000178329,Decreased Lymphocyte Activation,Class
PE,N0000178476,Blood Pressure Alteration,Class
PE,N0000178477,Decreased Blood Pressure,Class
PE,N0000178478,Increased Blood Pressure,Class
PE,N0000182152,Lymphocyte Activity Modulation,Class
PE,N0000182153,T Lymphocyte Activity Modulation,Class
PE,N0000182154,T Lymphocyte Costimulation Activity Modulation,Class
PE,N0000182155,Decreased T Lymphocyte Activation,Class
PE,N0000182156,Decreased B Lymphocyte Activation,Class
PE,N0000182157,Increased T Lymphocyte Activation,Class
PE,N0000182829,T Lymphocyte Costimulation Activity Blockade,Class
PE,N0000183363,Acquired Immunity,Class
PE,N0000183364,Actively Acquired Immunity,Class
PE,N0000183365,Passively Acquired Immunity,Class
PE,N0000183882,Monocyte Function Alteration,Class
PE,N0000183883,Increased Monocyte Activation,Class
PE,N0000183884,Increased Macrophage Proliferation,Class
PE,N0000184153,Increased Coagulation Factor IX Activity,Class
PE,N0000184154,Increased Coagulation Factor X Activity,Class
PE,N0000184155,Increased Fibrin Polymerization Activity,Class
