concept_code_1,relationship_id,relationship_source,relationship_type,concept_code_2
N0000000025,Subsumes,MEDRT,DIRECT,103
N0000000025,Subsumes,MEDRT,DIRECT,3407
N0000000027,Subsumes,MEDRT,DIRECT,203212
N0000000030,Subsumes,MEDRT,INDIRECT,4124
N0000000041,Subsumes,MEDRT,INDIRECT,1000112
N0000000041,Subsumes,MEDRT,INDIRECT,1191
N0000000041,Subsumes,MEDRT,INDIRECT,1202
N0000000041,Subsumes,MEDRT,INDIRECT,133008
N0000000041,Subsumes,MEDRT,INDIRECT,1347
N0000000041,Subsumes,MEDRT,INDIRECT,1348
N0000000041,Subsumes,MEDRT,INDIRECT,140587
N0000000041,Subsumes,MEDRT,INDIRECT,142153
N0000000041,Subsumes,MEDRT,INDIRECT,142442
N0000000041,Subsumes,MEDRT,INDIRECT,161
N0000000041,Subsumes,MEDRT,INDIRECT,17128
N0000000041,Subsumes,MEDRT,INDIRECT,18631
N0000000041,Subsumes,MEDRT,INDIRECT,203136
N0000000041,Subsumes,MEDRT,INDIRECT,203212
N0000000041,Subsumes,MEDRT,INDIRECT,235412
N0000000041,Subsumes,MEDRT,INDIRECT,235743
N0000000041,Subsumes,MEDRT,INDIRECT,253155
N0000000041,Subsumes,MEDRT,INDIRECT,2541
N0000000041,Subsumes,MEDRT,INDIRECT,2670
N0000000041,Subsumes,MEDRT,INDIRECT,2672
N0000000041,Subsumes,MEDRT,INDIRECT,314293
N0000000041,Subsumes,MEDRT,INDIRECT,3407
N0000000041,Subsumes,MEDRT,INDIRECT,36761
N0000000041,Subsumes,MEDRT,INDIRECT,38413
N0000000041,Subsumes,MEDRT,INDIRECT,4099
N0000000041,Subsumes,MEDRT,INDIRECT,4124
N0000000041,Subsumes,MEDRT,INDIRECT,435
N0000000041,Subsumes,MEDRT,INDIRECT,4603
N0000000041,Subsumes,MEDRT,INDIRECT,4719
N0000000041,Subsumes,MEDRT,INDIRECT,48203
N0000000041,Subsumes,MEDRT,INDIRECT,5487
N0000000041,Subsumes,MEDRT,INDIRECT,55471
N0000000041,Subsumes,MEDRT,INDIRECT,5640
N0000000041,Subsumes,MEDRT,INDIRECT,596
N0000000041,Subsumes,MEDRT,INDIRECT,6691
N0000000041,Subsumes,MEDRT,INDIRECT,6809
N0000000041,Subsumes,MEDRT,INDIRECT,723
N0000000041,Subsumes,MEDRT,INDIRECT,7258
N0000000041,Subsumes,MEDRT,INDIRECT,831418
N0000000041,Subsumes,MEDRT,INDIRECT,91104
N0000000041,Subsumes,MEDRT,INDIRECT,91251
N0000000041,Subsumes,MEDRT,INDIRECT,9143
N0000000042,Subsumes,MEDRT,DIRECT,1000112
N0000000042,Subsumes,MEDRT,DIRECT,1191
N0000000042,Subsumes,MEDRT,DIRECT,1202
N0000000042,Subsumes,MEDRT,DIRECT,133008
N0000000042,Subsumes,MEDRT,DIRECT,1347
N0000000042,Subsumes,MEDRT,DIRECT,1348
N0000000042,Subsumes,MEDRT,DIRECT,140587
N0000000042,Subsumes,MEDRT,DIRECT,142153
N0000000042,Subsumes,MEDRT,DIRECT,142442
N0000000042,Subsumes,MEDRT,DIRECT,161
N0000000042,Subsumes,MEDRT,DIRECT,17128
N0000000042,Subsumes,MEDRT,DIRECT,203136
N0000000042,Subsumes,MEDRT,DIRECT,203212
N0000000042,Subsumes,MEDRT,DIRECT,235412
N0000000042,Subsumes,MEDRT,DIRECT,235743
N0000000042,Subsumes,MEDRT,DIRECT,2541
N0000000042,Subsumes,MEDRT,DIRECT,2670
N0000000042,Subsumes,MEDRT,DIRECT,2672
N0000000042,Subsumes,MEDRT,DIRECT,314293
N0000000042,Subsumes,MEDRT,DIRECT,3407
N0000000042,Subsumes,MEDRT,DIRECT,36761
N0000000042,Subsumes,MEDRT,DIRECT,38413
N0000000042,Subsumes,MEDRT,DIRECT,4099
N0000000042,Subsumes,MEDRT,DIRECT,4124
N0000000042,Subsumes,MEDRT,DIRECT,435
N0000000042,Subsumes,MEDRT,DIRECT,4603
N0000000042,Subsumes,MEDRT,DIRECT,4719
N0000000042,Subsumes,MEDRT,DIRECT,48203
N0000000042,Subsumes,MEDRT,DIRECT,5487
N0000000042,Subsumes,MEDRT,DIRECT,55471
N0000000042,Subsumes,MEDRT,DIRECT,5640
N0000000042,Subsumes,MEDRT,DIRECT,596
N0000000042,Subsumes,MEDRT,DIRECT,6691
N0000000042,Subsumes,MEDRT,DIRECT,6809
N0000000042,Subsumes,MEDRT,DIRECT,723
N0000000042,Subsumes,MEDRT,DIRECT,7258
N0000000042,Subsumes,MEDRT,DIRECT,831418
N0000000042,Subsumes,MEDRT,DIRECT,91104
N0000000042,Subsumes,MEDRT,DIRECT,91251
N0000000042,Subsumes,MEDRT,DIRECT,9143
N0000000043,Subsumes,MEDRT,DIRECT,1000112
N0000000043,Subsumes,MEDRT,DIRECT,17128
N0000000043,Subsumes,MEDRT,DIRECT,18631
N0000000043,Subsumes,MEDRT,DIRECT,253155
N0000000043,Subsumes,MEDRT,DIRECT,6691
N0000000045,Subsumes,MEDRT,DIRECT,1347
N0000000045,Subsumes,MEDRT,DIRECT,1348
N0000000045,Subsumes,MEDRT,DIRECT,140587
N0000000045,Subsumes,MEDRT,DIRECT,203212
N0000000045,Subsumes,MEDRT,DIRECT,4124
N0000000046,Subsumes,MEDRT,DIRECT,596
N0000008289,Subsumes,MEDRT,DIRECT,4124
103,Mapped from,MEDRT,DIRECT,103
3407,Mapped from,MEDRT,DIRECT,3407
203212,Mapped from,MEDRT,DIRECT,203212
4124,Mapped from,MEDRT,DIRECT,4124
1000112,Mapped from,MEDRT,DIRECT,1000112
1191,Mapped from,MEDRT,DIRECT,1191
1202,Mapped from,MEDRT,DIRECT,1202
133008,Mapped from,MEDRT,DIRECT,133008
1347,Mapped from,MEDRT,DIRECT,1347
1348,Mapped from,MEDRT,DIRECT,1348
140587,Mapped from,MEDRT,DIRECT,140587
142153,Mapped from,MEDRT,DIRECT,142153
142442,Mapped from,MEDRT,DIRECT,142442
