concept_code_1,relationship_id,relationship_source,relationship_type,concept_code_2
N0000178293,Subsumes,FMTSME,INDIRECT,10109
N0000178293,Subsumes,FMTSME,INDIRECT,10110
N0000178293,Subsumes,FMTSME,INDIRECT,101299
N0000178293,Subsumes,FMTSME,INDIRECT,10169
N0000178293,Subsumes,FMTSME,INDIRECT,10171
N0000178293,Subsumes,FMTSME,INDIRECT,10180
N0000178293,Subsumes,FMTSME,INDIRECT,10207
N0000178293,Subsumes,FMTSME,INDIRECT,10208
N0000178293,Subsumes,FMTSME,INDIRECT,10349
N0000178293,Subsumes,FMTSME,INDIRECT,10395
N0000178293,Subsumes,FMTSME,INDIRECT,1040005
N0000178293,Subsumes,FMTSME,INDIRECT,1040028
N0000178293,Subsumes,FMTSME,INDIRECT,10450
N0000178293,Subsumes,FMTSME,INDIRECT,10510
N0000178293,Subsumes,FMTSME,INDIRECT,10591
N0000178293,Subsumes,FMTSME,INDIRECT,10612
N0000178293,Subsumes,FMTSME,INDIRECT,10627
N0000178293,Subsumes,FMTSME,INDIRECT,10803
N0000178293,Subsumes,FMTSME,INDIRECT,10827
N0000178293,Subsumes,FMTSME,INDIRECT,10829
N0000178293,Subsumes,FMTSME,INDIRECT,10834
N0000178293,Subsumes,FMTSME,INDIRECT,1101333
N0000178293,Subsumes,FMTSME,INDIRECT,1111103
N0000178293,Subsumes,FMTSME,INDIRECT,11118
N0000178293,Subsumes,FMTSME,INDIRECT,11124
N0000178293,Subsumes,FMTSME,INDIRECT,114477
N0000178293,Subsumes,FMTSME,INDIRECT,115698
N0000178293,Subsumes,FMTSME,INDIRECT,119771
N0000178293,Subsumes,FMTSME,INDIRECT,121243
N0000178293,Subsumes,FMTSME,INDIRECT,1272
N0000178293,Subsumes,FMTSME,INDIRECT,1294533
N0000178293,Subsumes,FMTSME,INDIRECT,1297879
N0000178293,Subsumes,FMTSME,INDIRECT,133008
N0000178293,Subsumes,FMTSME,INDIRECT,1362737
N0000178293,Subsumes,FMTSME,INDIRECT,1364449
N0000178293,Subsumes,FMTSME,INDIRECT,1364504
N0000178293,Subsumes,FMTSME,INDIRECT,138099
N0000178293,Subsumes,FMTSME,INDIRECT,139462
N0000178293,Subsumes,FMTSME,INDIRECT,140108
N0000178293,Subsumes,FMTSME,INDIRECT,142138
N0000178293,Subsumes,FMTSME,INDIRECT,142434
N0000178293,Subsumes,FMTSME,INDIRECT,142435
N0000178293,Subsumes,FMTSME,INDIRECT,142440
N0000178293,Subsumes,FMTSME,INDIRECT,142446
N0000178293,Subsumes,FMTSME,INDIRECT,142447
