ancestor_concept_code,descendant_concept_code,min_levels_of_separation,max_levels_of_separation
AA000,AA000,0,0
AD000,AD000,0,0
AD000,AD100,1,1
AD000,AD200,1,1
AD000,AD300,1,1
AD000,AD400,1,1
AD000,AD900,1,1
AD100,AD100,0,0
AD200,AD200,0,0
AD300,AD300,0,0
AD400,AD400,0,0
AD900,AD900,0,0
AH000,AH000,0,0
AH000,AH100,1,1
AH000,AH102,1,1
AH000,AH103,1,1
AH000,AH104,1,1
AH000,AH105,1,1
AH000,AH106,1,1
AH000,AH107,1,1
AH000,AH109,1,1
AH100,AH100,0,0
AH102,AH102,0,0
AH103,AH103,0,0
AH104,AH104,0,0
AH105,AH105,0,0
AH106,AH106,0,0
AH107,AH107,0,0
AH109,AH109,0,0
AM000,AM000,0,0
AM000,AM110,2,2
AM000,AM111,2,2
AM000,AM112,2,2
AM000,AM113,2,2
AM000,AM114,1,1
AM000,AM115,2,2
AM000,AM116,2,2
AM000,AM117,2,2
AM000,AM118,2,2
AM000,AM119,2,2
AM000,AM150,1,1
AM000,AM200,1,1
AM000,AM250,1,1
AM000,AM300,1,1
AM000,AM350,1,1
AM000,AM400,1,1
AM000,AM500,1,1
AM000,AM550,1,1
AM000,AM600,1,1
AM000,AM650,1,1
AM000,AM700,1,1
AM000,AM800,1,1
AM000,AM900,1,1
AM114,AM110,1,1
AM114,AM111,1,1
AM114,AM112,1,1
AM114,AM113,1,1
AM114,AM114,0,0
AM114,AM115,1,1
AM114,AM116,1,1
AM114,AM117,1,1
AM114,AM118,1,1
AM114,AM119,1,1
AM150,AM150,0,0
AM200,AM200,0,0
AM250,AM250,0,0
AM300,AM300,0,0
AM350,AM350,0,0
AM400,AM400,0,0
AM500,AM500,0,0
AM550,AM550,0,0
AM600,AM600,0,0
AM650,AM650,0,0
AM700,AM700,0,0
AM800,AM800,0,0
AM900,AM900,0,0
AN000,AN000,0,0
AN000,AN100,1,1
AN000,AN200,1,1
AN000,AN300,1,1
AN000,AN400,1,1
AN000,AN500,1,1
AN000,AN600,1,1
AN000,AN700,1,1
AN000,AN900,1,1
AN100,AN100,0,0
AN200,AN200,0,0
AN300,AN300,0,0
AN400,AN400,0,0
AN500,AN500,0,0
AN600,AN600,0,0
AN700,AN700,0,0
AN900,AN900,0,0
AP000,AP000,0,0
