vocabulary_id,concept_code,concept_name,concept_class
CHEM,D000072471,"Heterocyclic Compounds, Fused-Ring",Class
CHEM,D000072473,Fused-Ring Compounds,Class
CHEM,D000073999,Triose Sugar Alcohols,Class
CHEM,D000074385,Food Ingredients,Class
CHEM,D000076203,Animal Fur,Class
CHEM,D000080224,"Animal Proteins, Dietary",Class
CHEM,D000081004,Cyclopentane Monoterpenes,Class
CHEM,D000089882,Antimicrobial Peptides,Class
CHEM,D000144,"Acids, Acyclic",Class
CHEM,D000146,"Acids, Carbocyclic",Class
CHEM,D000147,"Acids, Heterocyclic",Class
CHEM,D000217,Acyltransferases,Class
CHEM,D000324,Adrenocorticotropic Hormone,Class
CHEM,D000418,Albumins,Class
CHEM,D000438,Alcohols,Class
CHEM,D000469,Alkaline Phosphatase,Class
CHEM,D000470,Alkaloids,Class
CHEM,D000475,Alkenes,Class
CHEM,D000485,Allergens,Class
CHEM,D000498,Allyl Compounds,Class
CHEM,D000499,Allylamine,Class
CHEM,D000520,alpha-Glucosidases,Class
CHEM,D000577,Amides,Class
CHEM,D000578,Amidines,Class
CHEM,D000581,Amidohydrolases,Class
CHEM,D000588,Amines,Class
CHEM,D000596,Amino Acids,Class
CHEM,D000598,"Amino Acids, Cyclic",Class
CHEM,D000602,"Amino Acids, Peptides, and Proteins",Class
CHEM,D000617,Aminoglycosides,Class
CHEM,D000636,Aminosalicylic Acids,Class
CHEM,D000642,Ammonia-Lyases,Class
CHEM,D000644,Quaternary Ammonium Compounds,Class
CHEM,D000662,Amphetamines,Class
CHEM,D000731,Androstanes,Class
CHEM,D000838,Anions,Class
CHEM,D000862,Ant Venoms,Class
CHEM,D000906,Antibodies,Class
CHEM,D000911,"Antibodies, Monoclonal",Class
CHEM,D000941,Antigens,Class
CHEM,D000942,"Antigens, Bacterial",Class
CHEM,D000946,"Antigens, Fungal",Class
CHEM,D000992,Antitoxins,Class
CHEM,D000997,Antivenins,Class
CHEM,D001180,Arthropod Venoms,Class
CHEM,D001205,Ascorbic Acid,Class
CHEM,D001215,Asparaginase,Class
CHEM,D001393,Azoles,Class
CHEM,D001426,Bacterial Proteins,Class
CHEM,D001428,Bacterial Vaccines,Class
CHEM,D001463,Barbiturates,Class
CHEM,D001500,BCG Vaccine,Class
CHEM,D001514,Bee Venoms,Class
CHEM,D001552,Benzazepines,Class
CHEM,D001555,Benzene Derivatives,Class
CHEM,D001565,Benzoates,Class
CHEM,D001569,Benzodiazepines,Class
CHEM,D001578,Benzopyrans,Class
CHEM,D001593,Benzyl Compounds,Class
CHEM,D001596,Benzylamines,Class
CHEM,D001645,Biguanides,Class
CHEM,D001647,Bile Acids and Salts,Class
CHEM,D001685,Biological Factors,Class
CHEM,D001688,Biological Products,Class
CHEM,D001704,Biopolymers,Class
CHEM,D001729,Bismuth,Class
CHEM,D001779,Blood Coagulation Factors,Class
CHEM,D001798,Blood Proteins,Class
CHEM,D001896,Boron Compounds,Class
CHEM,D002116,Calcitonin,Class
CHEM,D002118,Calcium,Class
CHEM,D002186,Cannabinoids,Class
CHEM,D002241,Carbohydrates,Class
CHEM,D002244,Carbon,Class
CHEM,D002247,Carbon Isotopes,Class
CHEM,D002250,Carbon Radioisotopes,Class
CHEM,D002264,Carboxylic Acids,Class
CHEM,D002265,Carboxylic Ester Hydrolases,Class
CHEM,D002268,Carboxypeptidases,Class
CHEM,D002297,Cardanolides,Class
CHEM,D002301,Cardiac Glycosides,Class
CHEM,D002331,Carnitine,Class
CHEM,D002338,Carotenoids,Class
CHEM,D002364,Caseins,Class
CHEM,D002395,Catecholamines,Class
CHEM,D002396,Catechols,Class
CHEM,D002412,Cations,Class
CHEM,D002413,"Cations, Divalent",Class
CHEM,D002511,Cephalosporins,Class
CHEM,D002762,Cholecalciferol,Class
CHEM,D002766,Cholecystokinin,Class
CHEM,D002776,Cholestanes,Class
CHEM,D002782,Cholestenes,Class
CHEM,D002787,Sterol Esterase,Class
CHEM,D003094,Collagen,Class
CHEM,D003115,Colony-Stimulating Factors,Class
CHEM,D003300,Copper,Class
CHEM,D003339,Corpus Luteum Hormones,Class
CHEM,D003374,Coumarins,Class
CHEM,D003505,Cyclodextrins,Class
CHEM,D003510,Cyclohexanes,Class
CHEM,D003516,Cycloparaffins,Class
CHEM,D003603,Cytotoxins,Class
CHEM,D003850,Deoxyribonuclease I,Class
CHEM,D003851,Deoxyribonucleases,Class
CHEM,D003853,Deoxyribonucleosides,Class
CHEM,D003857,Deoxyuridine,Class
CHEM,D003912,Dextrins,Class
CHEM,D004040,Dietary Carbohydrates,Class
CHEM,D004041,Dietary Fats,Class
CHEM,D004042,"Dietary Fats, Unsaturated",Class
CHEM,D004044,Dietary Proteins,Class
CHEM,D004095,Dihydropyridines,Class
CHEM,D004152,Dipeptidyl-Peptidases and Tripeptidyl-Peptidases,Class
CHEM,D004164,Diphosphonates,Class
CHEM,D004168,Diphtheria Toxoid,Class
CHEM,D004224,Diterpenes,Class
CHEM,D004391,Dust,Class
CHEM,D004527,Egg Proteins,Class
CHEM,D004573,Electrolytes,Class
CHEM,D004602,Elements,Class
CHEM,D004603,"Elements, Radioactive",Class
CHEM,D004706,Endodeoxyribonucleases,Class
CHEM,D004763,Glucagon-Like Peptides,Class
CHEM,D004786,Toxic Actions,Class
CHEM,D004792,Enzyme Precursors,Class
CHEM,D004798,Enzymes,Class
CHEM,D004872,Ergocalciferols,Class
CHEM,D004873,Ergolines,Class
CHEM,D004876,Ergot Alkaloids,Class
CHEM,D004879,Ergotamines,Class
CHEM,D004917,Erythromycin,Class
CHEM,D004921,Erythropoietin,Class
CHEM,D004950,Esterases,Class
CHEM,D004952,Esters,Class
CHEM,D004958,Estradiol,Class
CHEM,D004962,Estranes,Class
CHEM,D004963,Estrenes,Class
CHEM,D004966,"Estrogens, Conjugated (USP)",Class
CHEM,D005021,Ethylamines,Class
CHEM,D005169,Factor VIII,Class
CHEM,D005223,Fats,Class
CHEM,D005227,Fatty Acids,Class
CHEM,D005231,"Fatty Acids, Unsaturated",Class
CHEM,D005241,Feathers,Class
CHEM,D005346,Fibroblast Growth Factors,Class
CHEM,D005347,Fibroblasts,Class
CHEM,D005395,Fish Oils,Class
CHEM,D005492,Folic Acid,Class
CHEM,D005503,Food Additives,Class
CHEM,D005656,Fungal Proteins,Class
CHEM,D005663,Furans,Class
CHEM,D005768,Gastrointestinal Hormones,Class
CHEM,D005916,Globulins,Class
CHEM,D005936,Glucans,Class
CHEM,D005959,Glucosidases,Class
CHEM,D005962,Glucosylceramidase,Class
CHEM,D005990,Glycerol,Class
CHEM,D005998,Glycine,Class
CHEM,D006001,Glycoconjugates,Class
CHEM,D006020,Glycopeptides,Class
CHEM,D006023,Glycoproteins,Class
CHEM,D006025,Glycosaminoglycans,Class
