concept_code_1,relationship_id,relationship_source,relationship_type,concept_code_2
D000072471,Subsumes,DAILYMED,INDIRECT,10355
D000072471,Subsumes,DAILYMED,INDIRECT,1040005
D000072471,Subsumes,DAILYMED,INDIRECT,10502
D000072471,Subsumes,DAILYMED,INDIRECT,10767
D000072471,Subsumes,DAILYMED,INDIRECT,10800
D000072471,Subsumes,DAILYMED,INDIRECT,11198
D000072471,Subsumes,DAILYMED,INDIRECT,11202
D000072471,Subsumes,DAILYMED,INDIRECT,11248
D000072471,Subsumes,DAILYMED,INDIRECT,1256
D000072471,Subsumes,DAILYMED,INDIRECT,1272
D000072471,Subsumes,DAILYMED,INDIRECT,1297882
D000072471,Subsumes,DAILYMED,INDIRECT,1299782
D000072471,Subsumes,DAILYMED,INDIRECT,1364504
D000072471,Subsumes,DAILYMED,INDIRECT,138099
D000072471,Subsumes,DAILYMED,INDIRECT,139462
D000072471,Subsumes,DAILYMED,INDIRECT,1450910
D000072471,Subsumes,DAILYMED,INDIRECT,1545975
D000072471,Subsumes,DAILYMED,INDIRECT,1545984
D000072471,Subsumes,DAILYMED,INDIRECT,1545986
D000072471,Subsumes,DAILYMED,INDIRECT,1546000
D000072471,Subsumes,DAILYMED,INDIRECT,1546021
D000072471,Subsumes,DAILYMED,INDIRECT,1546025
D000072471,Subsumes,DAILYMED,INDIRECT,1546029
D000072471,Subsumes,DAILYMED,INDIRECT,1597609
D000072471,Subsumes,DAILYMED,INDIRECT,1760
D000072471,Subsumes,DAILYMED,INDIRECT,1886
D000072471,Subsumes,DAILYMED,INDIRECT,1927663
D000072471,Subsumes,DAILYMED,INDIRECT,19552
D000072471,Subsumes,DAILYMED,INDIRECT,1994739
D000072471,Subsumes,DAILYMED,INDIRECT,20481
D000072471,Subsumes,DAILYMED,INDIRECT,20489
D000072471,Subsumes,DAILYMED,INDIRECT,20492
D000072471,Subsumes,DAILYMED,INDIRECT,21241
D000072471,Subsumes,DAILYMED,INDIRECT,2180
D000072471,Subsumes,DAILYMED,INDIRECT,2186
D000072471,Subsumes,DAILYMED,INDIRECT,2187
D000072471,Subsumes,DAILYMED,INDIRECT,2189
D000072471,Subsumes,DAILYMED,INDIRECT,2192
D000072471,Subsumes,DAILYMED,INDIRECT,2193
D000072471,Subsumes,DAILYMED,INDIRECT,2194
D000072471,Subsumes,DAILYMED,INDIRECT,235408
D000072471,Subsumes,DAILYMED,INDIRECT,2356
D000072471,Subsumes,DAILYMED,INDIRECT,2403
D000072471,Subsumes,DAILYMED,INDIRECT,25037
D000072471,Subsumes,DAILYMED,INDIRECT,2551
D000072471,Subsumes,DAILYMED,INDIRECT,2598
D000072471,Subsumes,DAILYMED,INDIRECT,325642
D000072471,Subsumes,DAILYMED,INDIRECT,3322
D000072471,Subsumes,DAILYMED,INDIRECT,3356
D000072471,Subsumes,DAILYMED,INDIRECT,337068
D000072471,Subsumes,DAILYMED,INDIRECT,3418
D000072471,Subsumes,DAILYMED,INDIRECT,35185
D000072471,Subsumes,DAILYMED,INDIRECT,35616
D000072471,Subsumes,DAILYMED,INDIRECT,35617
D000072471,Subsumes,DAILYMED,INDIRECT,35619
D000072471,Subsumes,DAILYMED,INDIRECT,35623
D000072471,Subsumes,DAILYMED,INDIRECT,39541
D000072471,Subsumes,DAILYMED,INDIRECT,4025
D000072471,Subsumes,DAILYMED,INDIRECT,4077
D000072471,Subsumes,DAILYMED,INDIRECT,4496
D000072471,Subsumes,DAILYMED,INDIRECT,4501
D000072471,Subsumes,DAILYMED,INDIRECT,47579
D000072471,Subsumes,DAILYMED,INDIRECT,55672
D000072471,Subsumes,DAILYMED,INDIRECT,596
