vocabulary_id,concept_code,concept_name,concept_class
DISEASE,D000006,"Abdomen, Acute",Class
DISEASE,D000008,Abdominal Neoplasms,Class
DISEASE,D000027,"Abortion, Incomplete",Class
DISEASE,D000030,"Abortion, Missed",Class
DISEASE,D000033,"Abortion, Threatened",Class
DISEASE,D000067877,Autism Spectrum Disorder,Class
DISEASE,D000068099,Trauma and Stressor Related Disorders,Class
DISEASE,D000068105,Bipolar and Related Disorders,Class
DISEASE,D000068376,Compassion Fatigue,Class
DISEASE,D000070779,Giant Cell Tumor of Tendon Sheath,Class
DISEASE,D000071057,Tardive Dyskinesia,Class
DISEASE,D000072661,Ciliopathies,Class
DISEASE,D000073376,Epileptic Syndromes,Class
DISEASE,D000073397,Occupational Stress,Class
DISEASE,D000073605,Spotted Fever Group Rickettsiosis,Class
DISEASE,D000077260,Sleepiness,Class
DISEASE,D000080344,Optic Nerve Hypoplasia,Class
DISEASE,D000082122,Internal Hernia,Class
DISEASE,D000082862,Aortic Valve Disease,Class
DISEASE,D000083083,Laminopathies,Class
DISEASE,D000086382,COVID-19,Class
DISEASE,D000087122,Mania,Class
DISEASE,D000089183,Axial Spondyloarthritis,Class
DISEASE,D000090362,Mast Cell Activation Disorders,Class
DISEASE,D000126,Achlorhydria,Class
DISEASE,D000140,"Acidosis, Lactic",Class
DISEASE,D000141,"Acidosis, Renal Tubular",Class
DISEASE,D000151,Acinetobacter Infections,Class
DISEASE,D000152,Acne Vulgaris,Class
DISEASE,D000172,Acromegaly,Class
DISEASE,D000196,Actinomycosis,Class
DISEASE,D000208,Acute Disease,Class
DISEASE,D000258,"Adenovirus Infections, Human",Class
DISEASE,D000267,Tissue Adhesions,Class
DISEASE,D000293,Adolescent,Class
DISEASE,D000306,Adrenal Cortex Neoplasms,Class
DISEASE,D000310,Adrenal Gland Neoplasms,Class
DISEASE,D000312,"Adrenal Hyperplasia, Congenital",Class
DISEASE,D000328,Adult,Class
DISEASE,D000347,Afibrinogenemia,Class
DISEASE,D000361,Agammaglobulinemia,Class
DISEASE,D000368,Aged,Class
DISEASE,D000374,Aggression,Class
DISEASE,D000379,Agoraphobia,Class
DISEASE,D000419,Albuminuria,Class
DISEASE,D000435,Alcoholic Intoxication,Class
DISEASE,D000472,"Alkalosis, Respiratory",Class
DISEASE,D000505,Alopecia,Class
DISEASE,D000532,Altitude Sickness,Class
DISEASE,D000562,Amebiasis,Class
DISEASE,D000568,Amenorrhea,Class
DISEASE,D000647,Amnesia,Class
DISEASE,D000690,Amyotrophic Lateral Sclerosis,Class
DISEASE,D000724,Ancylostomiasis,Class
DISEASE,D000753,"Anemia, Refractory",Class
DISEASE,D000756,"Anemia, Sideroblastic",Class
DISEASE,D000795,Fabry Disease,Class
DISEASE,D000798,Angiomatosis,Class
DISEASE,D000820,Animal Diseases,Class
DISEASE,D000844,Ankylosis,Class
DISEASE,D000856,Anorexia Nervosa,Class
DISEASE,D001005,Anus Neoplasms,Class
DISEASE,D001015,Aortic Arch Syndromes,Class
DISEASE,D001020,"Aortic Stenosis, Subvalvular",Class
DISEASE,D001022,Aortic Valve Insufficiency,Class
DISEASE,D001024,Aortic Valve Stenosis,Class
DISEASE,D001035,Aphakia,Class
DISEASE,D001098,Spider Bites,Class
DISEASE,D001146,"Arrhythmia, Sinus",Class
DISEASE,D001162,Arteriosclerosis Obliterans,Class
DISEASE,D001165,Arteriovenous Malformations,Class
DISEASE,D001167,Arteritis,Class
DISEASE,D001170,"Arthritis, Infectious",Class
DISEASE,D001171,"Arthritis, Juvenile",Class
DISEASE,D001184,Articulation Disorders,Class
DISEASE,D001201,Ascites,Class
DISEASE,D001237,Asphyxia,Class
DISEASE,D001250,"Asthma, Exercise-Induced",Class
DISEASE,D001254,Astrocytoma,Class
DISEASE,D001259,Ataxia,Class
DISEASE,D001261,Pulmonary Atelectasis,Class
DISEASE,D001284,Atrophy,Class
DISEASE,D001321,Autistic Disorder,Class
DISEASE,D001404,Babesiosis,Class
DISEASE,D001416,Back Pain,Class
DISEASE,D001437,Bacteriuria,Class
DISEASE,D001442,Bacteroides Infections,Class
DISEASE,D001474,Bartonella Infections,Class
DISEASE,D001476,Bartonellaceae Infections,Class
DISEASE,D001477,Bartter Syndrome,Class
DISEASE,D001528,Behcet Syndrome,Class
DISEASE,D001607,Berylliosis,Class
DISEASE,D001651,"Cholestasis, Extrahepatic",Class
DISEASE,D001658,Biliary Fistula,Class
DISEASE,D001714,Bipolar Disorder,Class
DISEASE,D001715,Bird Diseases,Class
DISEASE,D001733,Bites and Stings,Class
DISEASE,D001734,"Bites, Human",Class
DISEASE,D001742,Blackwater Fever,Class
DISEASE,D001749,Urinary Bladder Neoplasms,Class
DISEASE,D001752,Blast Crisis,Class
DISEASE,D001759,Blastomycosis,Class
DISEASE,D001762,Blepharitis,Class
