concept_code_1,relationship_id,relationship_source,relationship_type,concept_code_2
D000006,Subsumes,MEDRT,DIRECT,1596
D000006,Subsumes,MEDRT,DIRECT,318340
D000006,Subsumes,MEDRT,DIRECT,66870
D000006,Subsumes,MEDRT,DIRECT,91263
D000008,Subsumes,MEDRT,INDIRECT,1918231
D000008,Subsumes,MEDRT,INDIRECT,2046138
D000008,Subsumes,MEDRT,INDIRECT,2268037
D000008,Subsumes,MEDRT,INDIRECT,253337
D000027,Subsumes,MEDRT,DIRECT,20259
D000027,Subsumes,MEDRT,DIRECT,2051
D000030,Subsumes,MEDRT,DIRECT,1101886
D000030,Subsumes,MEDRT,DIRECT,12488
D000030,Subsumes,MEDRT,DIRECT,259409
D000030,Subsumes,MEDRT,DIRECT,5542
D000030,Subsumes,MEDRT,DIRECT,8727
D000033,Subsumes,MEDRT,DIRECT,11289
D000033,Subsumes,MEDRT,DIRECT,114194
D000033,Subsumes,MEDRT,DIRECT,1598
D000033,Subsumes,MEDRT,DIRECT,17941
D000033,Subsumes,MEDRT,DIRECT,203176
D000033,Subsumes,MEDRT,DIRECT,236680
D000033,Subsumes,MEDRT,DIRECT,24313
D000033,Subsumes,MEDRT,DIRECT,3415
D000033,Subsumes,MEDRT,DIRECT,3416
D000033,Subsumes,MEDRT,DIRECT,3417
D000033,Subsumes,MEDRT,DIRECT,3418
D000033,Subsumes,MEDRT,DIRECT,3419
D000033,Subsumes,MEDRT,DIRECT,4021
D000033,Subsumes,MEDRT,DIRECT,42644
D000033,Subsumes,MEDRT,DIRECT,42645
D000033,Subsumes,MEDRT,DIRECT,42646
D000033,Subsumes,MEDRT,DIRECT,42676
D000033,Subsumes,MEDRT,DIRECT,8150
D000033,Subsumes,MEDRT,DIRECT,82118
D000033,Subsumes,MEDRT,DIRECT,91405
D000067877,Subsumes,MEDRT,INDIRECT,221153
D000067877,Subsumes,MEDRT,INDIRECT,235988
D000067877,Subsumes,MEDRT,INDIRECT,35636
D000067877,Subsumes,MEDRT,INDIRECT,39786
D000067877,Subsumes,MEDRT,INDIRECT,4328
D000067877,Subsumes,MEDRT,INDIRECT,51272
D000067877,Subsumes,MEDRT,INDIRECT,82018
D000068099,Subsumes,MEDRT,INDIRECT,10734
D000068099,Subsumes,MEDRT,INDIRECT,1298832
D000068099,Subsumes,MEDRT,INDIRECT,1298842
D000068099,Subsumes,MEDRT,INDIRECT,1311626
D000068099,Subsumes,MEDRT,INDIRECT,155137
D000068099,Subsumes,MEDRT,INDIRECT,2002
D000068099,Subsumes,MEDRT,INDIRECT,235830
D000068099,Subsumes,MEDRT,INDIRECT,236082
D000068099,Subsumes,MEDRT,INDIRECT,28815
D000068099,Subsumes,MEDRT,INDIRECT,31565
D000068099,Subsumes,MEDRT,INDIRECT,32937
D000068099,Subsumes,MEDRT,INDIRECT,36437
D000068099,Subsumes,MEDRT,INDIRECT,42351
D000068099,Subsumes,MEDRT,INDIRECT,436212
D000068099,Subsumes,MEDRT,INDIRECT,52105
D000068099,Subsumes,MEDRT,INDIRECT,6448
D000068099,Subsumes,MEDRT,INDIRECT,746070
D000068099,Subsumes,MEDRT,INDIRECT,91119
D000068105,Subsumes,MEDRT,INDIRECT,1040027
D000068105,Subsumes,MEDRT,INDIRECT,1040028
D000068105,Subsumes,MEDRT,INDIRECT,1101333
D000068105,Subsumes,MEDRT,INDIRECT,11118
D000068105,Subsumes,MEDRT,INDIRECT,1294588
D000068105,Subsumes,MEDRT,INDIRECT,1298832
D000068105,Subsumes,MEDRT,INDIRECT,160372
D000068105,Subsumes,MEDRT,INDIRECT,1667655
D000068105,Subsumes,MEDRT,INDIRECT,1721073
D000068105,Subsumes,MEDRT,INDIRECT,2002
D000068105,Subsumes,MEDRT,INDIRECT,203126
D000068105,Subsumes,MEDRT,INDIRECT,221153
D000068105,Subsumes,MEDRT,INDIRECT,236328
D000068105,Subsumes,MEDRT,INDIRECT,236875
D000068105,Subsumes,MEDRT,INDIRECT,25480
D000068105,Subsumes,MEDRT,INDIRECT,2559612
D000068105,Subsumes,MEDRT,INDIRECT,2570387
D000068105,Subsumes,MEDRT,INDIRECT,2598
D000068105,Subsumes,MEDRT,INDIRECT,2626
D000068105,Subsumes,MEDRT,INDIRECT,266856
D000068105,Subsumes,MEDRT,INDIRECT,28439
D000068105,Subsumes,MEDRT,INDIRECT,28815
D000068105,Subsumes,MEDRT,INDIRECT,31914
D000068105,Subsumes,MEDRT,INDIRECT,35636
D000068105,Subsumes,MEDRT,INDIRECT,38404
D000068105,Subsumes,MEDRT,INDIRECT,42351
D000068105,Subsumes,MEDRT,INDIRECT,51272
D000068105,Subsumes,MEDRT,INDIRECT,52105
D000068105,Subsumes,MEDRT,INDIRECT,61381
D000068105,Subsumes,MEDRT,INDIRECT,6448
D000068105,Subsumes,MEDRT,INDIRECT,6646
D000068105,Subsumes,MEDRT,INDIRECT,679314
D000068105,Subsumes,MEDRT,INDIRECT,6852
D000068105,Subsumes,MEDRT,INDIRECT,746070
D000068105,Subsumes,MEDRT,INDIRECT,784649
D000068105,Subsumes,MEDRT,INDIRECT,858045
D000068105,Subsumes,MEDRT,INDIRECT,860647
D000068105,Subsumes,MEDRT,INDIRECT,885604
D000068105,Subsumes,MEDRT,INDIRECT,91124
D000068105,Subsumes,MEDRT,INDIRECT,9919
D000068376,Subsumes,MEDRT,DIRECT,194
D000068376,Subsumes,MEDRT,DIRECT,20814
D000070779,Subsumes,MEDRT,DIRECT,2183102
D000070779,Subsumes,MEDRT,DIRECT,2183103
D000071057,Subsumes,MEDRT,DIRECT,1876905
D000071057,Subsumes,MEDRT,DIRECT,1918219
D000071057,Subsumes,MEDRT,DIRECT,1923002
D000072661,Subsumes,MEDRT,INDIRECT,2567226
D000073376,Subsumes,MEDRT,INDIRECT,10827
D000073376,Subsumes,MEDRT,INDIRECT,11118
D000073376,Subsumes,MEDRT,INDIRECT,114477
D000073376,Subsumes,MEDRT,INDIRECT,14851
D000073376,Subsumes,MEDRT,INDIRECT,1535213
D000073376,Subsumes,MEDRT,INDIRECT,2045371
D000073376,Subsumes,MEDRT,INDIRECT,21241
D000073376,Subsumes,MEDRT,INDIRECT,24812
D000073376,Subsumes,MEDRT,INDIRECT,2598
D000073376,Subsumes,MEDRT,INDIRECT,266856
D000073376,Subsumes,MEDRT,INDIRECT,28439
D000073376,Subsumes,MEDRT,INDIRECT,33309
D000073376,Subsumes,MEDRT,INDIRECT,376
D000073376,Subsumes,MEDRT,INDIRECT,38404
D000073376,Subsumes,MEDRT,INDIRECT,4135
D000073376,Subsumes,MEDRT,INDIRECT,47858
D000073376,Subsumes,MEDRT,INDIRECT,623400
D000073376,Subsumes,MEDRT,INDIRECT,6757
D000073376,Subsumes,MEDRT,INDIRECT,6758
D000073376,Subsumes,MEDRT,INDIRECT,71227
D000073376,Subsumes,MEDRT,INDIRECT,8183
D000073376,Subsumes,MEDRT,INDIRECT,9919
D000073397,Subsumes,MEDRT,INDIRECT,194
D000073397,Subsumes,MEDRT,INDIRECT,20814
D000073605,Subsumes,MEDRT,INDIRECT,1545992
D000073605,Subsumes,MEDRT,INDIRECT,203122
D000073605,Subsumes,MEDRT,INDIRECT,23663
D000073605,Subsumes,MEDRT,INDIRECT,236647
D000073605,Subsumes,MEDRT,INDIRECT,3154
D000073605,Subsumes,MEDRT,INDIRECT,3640
D000073605,Subsumes,MEDRT,INDIRECT,6979
D000073605,Subsumes,MEDRT,INDIRECT,6980
D000073605,Subsumes,MEDRT,INDIRECT,81993
D000073605,Subsumes,MEDRT,INDIRECT,82012
D000077260,Subsumes,MEDRT,DIRECT,2121750
D000077260,Subsumes,MEDRT,DIRECT,2121751
D000080344,Subsumes,MEDRT,INDIRECT,2569562
D000080344,Subsumes,MEDRT,INDIRECT,2569592
D000082122,Subsumes,MEDRT,INDIRECT,29151
D000082862,Subsumes,MEDRT,INDIRECT,1737
D000082862,Subsumes,MEDRT,INDIRECT,19685
D000082862,Subsumes,MEDRT,INDIRECT,203121
D000082862,Subsumes,MEDRT,INDIRECT,233603
D000082862,Subsumes,MEDRT,INDIRECT,235230
D000082862,Subsumes,MEDRT,INDIRECT,3248
D000082862,Subsumes,MEDRT,INDIRECT,3403
D000082862,Subsumes,MEDRT,INDIRECT,3407
D000082862,Subsumes,MEDRT,INDIRECT,3616
D000082862,Subsumes,MEDRT,INDIRECT,738
D000082862,Subsumes,MEDRT,INDIRECT,7396
D000082862,Subsumes,MEDRT,INDIRECT,91235
D000082862,Subsumes,MEDRT,INDIRECT,91236
D000082862,Subsumes,MEDRT,INDIRECT,977863
D000083083,Subsumes,MEDRT,INDIRECT,738
D000083083,Subsumes,MEDRT,INDIRECT,91236
D000086382,Subsumes,MEDRT,DIRECT,2463114
D000086382,Subsumes,MEDRT,DIRECT,2465242
D000086382,Subsumes,MEDRT,DIRECT,2465249
D000087122,Subsumes,MEDRT,DIRECT,2559612
D000087122,Subsumes,MEDRT,DIRECT,2570387
D000089183,Subsumes,MEDRT,INDIRECT,10237
D000089183,Subsumes,MEDRT,INDIRECT,10759
D000089183,Subsumes,MEDRT,INDIRECT,10761
D000089183,Subsumes,MEDRT,INDIRECT,10762
D000089183,Subsumes,MEDRT,INDIRECT,1294612
D000089183,Subsumes,MEDRT,INDIRECT,140587
D000089183,Subsumes,MEDRT,INDIRECT,142442
D000089183,Subsumes,MEDRT,INDIRECT,1429044
D000089183,Subsumes,MEDRT,INDIRECT,155323
D000089183,Subsumes,MEDRT,INDIRECT,1599788
D000089183,Subsumes,MEDRT,INDIRECT,16689
D000089183,Subsumes,MEDRT,INDIRECT,1790539
D000089183,Subsumes,MEDRT,INDIRECT,191831
D000089183,Subsumes,MEDRT,INDIRECT,1927283
D000089183,Subsumes,MEDRT,INDIRECT,203189
D000089183,Subsumes,MEDRT,INDIRECT,203214
D000089183,Subsumes,MEDRT,INDIRECT,2103476
D000089183,Subsumes,MEDRT,INDIRECT,2103477
D000089183,Subsumes,MEDRT,INDIRECT,2103479
D000089183,Subsumes,MEDRT,INDIRECT,2103480
D000089183,Subsumes,MEDRT,INDIRECT,214555
D000089183,Subsumes,MEDRT,INDIRECT,21655
D000089183,Subsumes,MEDRT,INDIRECT,2266523
D000089183,Subsumes,MEDRT,INDIRECT,22690
D000089183,Subsumes,MEDRT,INDIRECT,22694
D000089183,Subsumes,MEDRT,INDIRECT,235486
D000089183,Subsumes,MEDRT,INDIRECT,2378841
D000089183,Subsumes,MEDRT,INDIRECT,258329
D000089183,Subsumes,MEDRT,INDIRECT,268872
D000089183,Subsumes,MEDRT,INDIRECT,2878
D000089183,Subsumes,MEDRT,INDIRECT,29917
D000089183,Subsumes,MEDRT,INDIRECT,3264
D000089183,Subsumes,MEDRT,INDIRECT,3265
D000089183,Subsumes,MEDRT,INDIRECT,327361
D000089183,Subsumes,MEDRT,INDIRECT,3355
D000089183,Subsumes,MEDRT,INDIRECT,33787
D000089183,Subsumes,MEDRT,INDIRECT,34372
D000089183,Subsumes,MEDRT,INDIRECT,34374
D000089183,Subsumes,MEDRT,INDIRECT,34376
D000089183,Subsumes,MEDRT,INDIRECT,36761
D000089183,Subsumes,MEDRT,INDIRECT,38546
D000089183,Subsumes,MEDRT,INDIRECT,48933
D000089183,Subsumes,MEDRT,INDIRECT,55062
D000089183,Subsumes,MEDRT,INDIRECT,55063
D000089183,Subsumes,MEDRT,INDIRECT,5640
D000089183,Subsumes,MEDRT,INDIRECT,5781
D000089183,Subsumes,MEDRT,INDIRECT,62136
D000089183,Subsumes,MEDRT,INDIRECT,68115
D000089183,Subsumes,MEDRT,INDIRECT,6902
D000089183,Subsumes,MEDRT,INDIRECT,709271
D000089183,Subsumes,MEDRT,INDIRECT,7258
D000089183,Subsumes,MEDRT,INDIRECT,81997
D000089183,Subsumes,MEDRT,INDIRECT,8356
D000089183,Subsumes,MEDRT,INDIRECT,8638
D000089183,Subsumes,MEDRT,INDIRECT,8640
D000090362,Subsumes,MEDRT,INDIRECT,1919083
D000090362,Subsumes,MEDRT,INDIRECT,282388
D000090362,Subsumes,MEDRT,INDIRECT,284924
D000090362,Subsumes,MEDRT,INDIRECT,3538
D000090362,Subsumes,MEDRT,INDIRECT,42612
D000126,Subsumes,MEDRT,DIRECT,7993
D000140,Subsumes,MEDRT,DIRECT,140480
D000140,Subsumes,MEDRT,DIRECT,5531
D000141,Subsumes,MEDRT,DIRECT,1435636
D000141,Subsumes,MEDRT,DIRECT,2049608
D000141,Subsumes,MEDRT,DIRECT,21183
D000141,Subsumes,MEDRT,DIRECT,221079
D000141,Subsumes,MEDRT,DIRECT,221149
D000141,Subsumes,MEDRT,DIRECT,221163
D000141,Subsumes,MEDRT,DIRECT,221946
D000141,Subsumes,MEDRT,DIRECT,36676
D000141,Subsumes,MEDRT,DIRECT,54993
D000151,Subsumes,MEDRT,DIRECT,10167
D000151,Subsumes,MEDRT,DIRECT,1300476
