vocabulary_id,concept_code,concept_name,concept_class
MOA,N0000000065,Physiochemical Activity,Class
MOA,N0000000067,HER Receptor Family Interactions,Class
MOA,N0000000068,Parathormone Receptor Interactions,Class
MOA,N0000000069,Calcium Channel Antagonists,Class
MOA,N0000000070,Angiotensin 2 Receptor Antagonists,Class
MOA,N0000000073,Glycine Agonists,Class
MOA,N0000000074,GABA A Antagonists,Class
MOA,N0000000075,Stool Bulking Activity,Class
MOA,N0000000076,Protease Inhibitors,Class
MOA,N0000000077,Somatotropin Receptor Interactions,Class
MOA,N0000000079,Surfactant Activity,Class
MOA,N0000000080,Cholinesterase Reactivators,Class
MOA,N0000000082,Immunologic Factor Interactions,Class
MOA,N0000000083,Leukotriene Receptor Antagonists,Class
MOA,N0000000084,Sex Hormone Receptor Antagonists,Class
MOA,N0000000085,Receptor Interactions,Class
MOA,N0000000087,Chelating Activity,Class
MOA,N0000000089,Plasminogen Activators,Class
MOA,N0000000090,Serotonin 5HT-3 Antagonists,Class
MOA,N0000000092,Adrenergic Antagonists,Class
MOA,N0000000093,Platelet-derived Growth Factor alpha Receptor Interactions,Class
MOA,N0000000094,Mineralocorticoid Receptor Agonists,Class
MOA,N0000000095,Serotonin 5HT-3 Receptor Interactions,Class
MOA,N0000000097,Cholinergic Muscarinic Receptor Interactions,Class
MOA,N0000000098,Thymidylate Synthetase Inhibitors,Class
MOA,N0000000099,Adrenergic alpha-Antagonists,Class
MOA,N0000000100,Estrogen Receptor Agonists,Class
MOA,N0000000102,Norepinephrine Uptake Inhibitors,Class
MOA,N0000000103,Reverse Transcriptase Inhibitors,Class
MOA,N0000000104,Cholinergic Muscarinic Agonists,Class
MOA,N0000000105,Neurotransmitter Transporter Interactions,Class
MOA,N0000000106,Prostaglandin Receptor Agonists,Class
MOA,N0000000107,Antithrombins,Class
MOA,N0000000108,Prostaglandin Receptor Antagonists,Class
MOA,N0000000109,Serotonin Uptake Inhibitors,Class
MOA,N0000000110,Glucocorticoid Receptor Antagonists,Class
MOA,N0000000111,Folic Acid Metabolism Inhibitors,Class
MOA,N0000000112,Histamine Agonists,Class
MOA,N0000000114,Dopamine Uptake Inhibitors,Class
MOA,N0000000115,Progestational Hormone Receptor Antagonists,Class
MOA,N0000000116,GABA B Agonists,Class
MOA,N0000000117,Dopamine Agonists,Class
MOA,N0000000118,GABA A Modulators,Class
MOA,N0000000120,Nitric Oxide Donors,Class
MOA,N0000000121,Hydroxymethylglutaryl-CoA Reductase Inhibitors,Class
MOA,N0000000122,Adrenergic Agonists,Class
MOA,N0000000123,Melatonin Receptor Interactions,Class
MOA,N0000000124,Leukotriene Receptor Interactions,Class
MOA,N0000000125,Cholinergic Muscarinic Antagonists,Class
MOA,N0000000126,5-alpha Reductase Inhibitors,Class
MOA,N0000000127,HIV Integrase Inhibitors,Class
MOA,N0000000128,Phosphodiesterase Inhibitors,Class
MOA,N0000000130,Serotonin Antagonists,Class
MOA,N0000000131,Prostaglandin Receptor Interactions,Class
MOA,N0000000132,Organic Anion Transporter Interactions,Class
MOA,N0000000133,Enzyme Inhibitors,Class
MOA,N0000000134,Lipoxygenase Inhibitors,Class
MOA,N0000000137,Insulin-like Growth Factor-1 Receptor Interactions,Class
MOA,N0000000138,GABA A Receptor Interactions,Class
MOA,N0000000139,Mineralocorticoid Receptor Antagonists,Class
MOA,N0000000140,Calcium Channel Interactions,Class
MOA,N0000000141,Pituitary Hormones Receptor Interactions,Class
MOA,N0000000142,Biological Macromolecular Activity,Class
MOA,N0000000143,Cholinergic Nicotinic Agonists,Class
MOA,N0000000144,Iron Chelating Activity,Class
MOA,N0000000145,Estrogen Receptor Antagonists,Class
MOA,N0000000146,Androgen Receptor Agonists,Class
MOA,N0000000147,Proton Pump Inhibitors,Class
MOA,N0000000149,Hormone Receptor Agonists,Class
MOA,N0000000150,Protein Synthesis Inhibitors,Class
MOA,N0000000151,Histamine H2 Receptor Antagonists,Class
MOA,N0000000152,G-Protein-linked Receptor Interactions,Class
MOA,N0000000153,Adrenergic Receptor Interactions,Class
MOA,N0000000154,Opioid Antagonists,Class
MOA,N0000000155,Uncouplers,Class
MOA,N0000000156,Chloride Channel Interactions,Class
MOA,N0000000157,Interferon Inducers,Class
MOA,N0000000158,Parathormone Receptor Agonists,Class
MOA,N0000000159,Glucocorticoid Receptor Agonists,Class
MOA,N0000000160,Cyclooxygenase Inhibitors,Class
MOA,N0000000161,Adrenergic beta-Antagonists,Class
MOA,N0000000162,Steroid Receptor Antagonists,Class
MOA,N0000000163,Enzyme Interactions,Class
MOA,N0000000164,Vitamin K Epoxide Reductase Inhibitors,Class
MOA,N0000000165,Pituitary Hormone Receptor Agonists,Class
MOA,N0000000166,alpha Glucosidase Inhibitors,Class
MOA,N0000000167,Serotonin Transporter Interactions,Class
MOA,N0000000168,Selective Estrogen Receptor Modulators,Class
MOA,N0000000169,Serine Proteinase Inhibitors,Class
MOA,N0000000170,Free Radical Scavenging Activity,Class
MOA,N0000000172,Steroid Receptor Modulators,Class
MOA,N0000000174,Opioid Agonists,Class
MOA,N0000000175,Cytokine Receptor Superfamily Interactions,Class
MOA,N0000000176,Topoisomerase Inhibitors,Class
MOA,N0000000177,Cholinesterase Inhibitors,Class
MOA,N0000000178,Enzymatic Activity,Class
MOA,N0000000179,Alcohol Dehydrogenase Inhibitors,Class
MOA,N0000000180,Sodium Channel Interactions,Class
MOA,N0000000181,Angiotensin-converting Enzyme Inhibitors,Class
MOA,N0000000182,Steroid Hormone Receptor Agonists,Class
MOA,N0000000183,Acetyl Aldehyde Dehydrogenase Inhibitors,Class
MOA,N0000000184,Monoamine Oxidase Inhibitors,Class
MOA,N0000000187,Adenosine Deaminase Inhibitors,Class
MOA,N0000000189,Platelet-derived Growth Factor beta Receptor Interactions,Class
MOA,N0000000190,Histamine H1 Receptor Antagonists,Class
MOA,N0000000191,Dihydrofolate Reductase Inhibitors,Class
MOA,N0000000192,Complement Inactivators,Class
MOA,N0000000193,Ion Channel Interactions,Class
MOA,N0000000194,Somatostatin Receptor Agonists,Class
MOA,N0000000196,GABA A Agonists,Class
MOA,N0000000197,Trypsin Inhibitors,Class
MOA,N0000000198,Serotonin Receptor Interactions,Class
MOA,N0000000199,Cholinergic Nicotinic Receptor Interactions,Class
MOA,N0000000200,Opioid Receptor Interactions,Class
MOA,N0000000202,beta Lactamase Inhibitors,Class
MOA,N0000000203,Dopamine Receptor Interactions,Class
MOA,N0000000204,GABA B Receptor Interactions,Class
MOA,N0000000205,Radiopharmaceutical Activity,Class
MOA,N0000000206,Xanthine Oxidase Inhibitors,Class
MOA,N0000000207,Histamine Receptor Antagonists,Class
MOA,N0000000208,Enzyme Reactivators,Class
MOA,N0000000209,Adrenergic alpha-Agonists,Class
MOA,N0000000211,Potassium Channel Interactions,Class
MOA,N0000000212,Ribonucleotide Reductase Inhibitors,Class
MOA,N0000000213,Receptor Protein Kinase Interactions,Class
MOA,N0000000214,Sex Hormone Receptor Agonists,Class
MOA,N0000000215,ATP-Binding Cassette (ABC) Transporter Interactions,Class
MOA,N0000000216,Histamine Receptor Interactions,Class
MOA,N0000000217,Somatotropin Receptor Agonists,Class
MOA,N0000000218,Somatostatin Receptor Interactions,Class
MOA,N0000000219,Dopamine Transporter Interactions,Class
MOA,N0000000220,Electrolyte Activity,Class
MOA,N0000000221,Hormone Receptor Antagonists,Class
MOA,N0000000223,Mechanism of Action (MoA),Class
MOA,N0000000224,Chloride Channel Antagonists,Class
MOA,N0000000225,Insulin Receptor Agonists,Class
MOA,N0000000226,Acid-Base Activity,Class
MOA,N0000000228,Structural Macromolecules,Class
MOA,N0000000229,GABA B Antagonists,Class
MOA,N0000000230,Dopamine Antagonists,Class
MOA,N0000000231,Enzyme Activators,Class
MOA,N0000000233,Nucleic Acid Synthesis Inhibitors,Class
MOA,N0000000234,Norepinephrine Transporter Interactions,Class
MOA,N0000000235,Carbonic Anhydrase Inhibitors,Class
MOA,N0000000236,Alkylating Activity,Class
MOA,N0000000237,Thyroid Hormone Receptor Agonists,Class
MOA,N0000000238,Sodium-Potassium Exchanging ATPase Interactions,Class
MOA,N0000000239,P-Glycoprotein Interactions,Class
MOA,N0000000240,Insulin Receptor Interactions,Class
MOA,N0000000241,Tissue Plasminogen Activators,Class
MOA,N0000000242,Transcription Factor Activity,Class
MOA,N0000000243,Androgen Receptor Antagonists,Class
MOA,N0000000244,Glycine Receptor Interactions,Class
MOA,N0000000245,Adrenergic beta-Agonists,Class
MOA,N0000000246,HIV Protease Inhibitors,Class
MOA,N0000000247,Biological Response Modifiers,Class
MOA,N0000000249,Pituitary Hormone Receptor Antagonists,Class
MOA,N0000000250,Melatonin Receptor Agonists,Class
MOA,N0000000251,GABA B Modulators,Class
MOA,N0000000254,Immunologic and Biological Factor Interactions,Class
MOA,N0000000255,Hormone Receptor Modulators,Class
MOA,N0000000256,Serotonin Agonists,Class
MOA,N0000000257,Hormone Receptor Interactions,Class
MOA,N0000000258,Integrase Inhibitors,Class
MOA,N0000008288,Cyclooxygenase 2 Inhibitors,Class
MOA,N0000009915,Unknown Cellular or Molecular Interaction,Class
MOA,N0000009916,Lipase Inhibitors,Class
MOA,N0000009917,Adrenergic alpha1-Agonists,Class
MOA,N0000009918,Adrenergic alpha2-Agonists,Class
MOA,N0000009920,Adrenergic alpha2-Antagonists,Class
MOA,N0000009921,Adrenergic beta1-Agonists,Class
MOA,N0000009922,Adrenergic beta2-Agonists,Class
MOA,N0000009923,Adrenergic beta1-Antagonists,Class
MOA,N0000009924,Adrenergic beta2-Antagonists,Class
MOA,N0000009946,Para-Aminobenzoic Acid Inhibitors,Class
MOA,N0000009947,Nucleoside Reverse Transcriptase Inhibitors,Class
MOA,N0000009948,Non-Nucleoside Reverse Transcriptase Inhibitors,Class
MOA,N0000009949,Antibody-Receptor Interactions,Class
MOA,N0000009950,Tumor Necrosis Factor Receptor Interactions,Class
MOA,N0000009953,Synaptic Fusion Complex Interactions,Class
MOA,N0000009954,Cell Membrane Fusion Complex Interactions,Class
MOA,N0000009955,Acetylcholine Transporter Interactions,Class
MOA,N0000009956,Sterol Synthesis Inhibitors,Class
MOA,N0000009957,Ergosterol Synthesis Inhibitors,Class
MOA,N0000009958,Bone Surface Interactions,Class
MOA,N0000009960,Antithrombin Activators,Class
MOA,N0000009963,Thrombin Inhibitors,Class
MOA,N0000009986,Alkalinizing Activity,Class
MOA,N0000010215,Transpeptidase Inhibitors,Class
MOA,N0000010217,Photoabsorption,Class
MOA,N0000010218,Ultraviolet A Radiation Absorption,Class
MOA,N0000010219,Ultraviolet B Radiation Absorption,Class
MOA,N0000010226,Antibody Interactions,Class
MOA,N0000010255,Cellular Structure Molecule Interactions,Class
MOA,N0000010256,Tubulin Interactions,Class
MOA,N0000010257,Imaging Contrast Activity,Class
MOA,N0000010258,X-Ray Contrast Activity,Class
MOA,N0000010259,Ultrasound Contrast Activity,Class
MOA,N0000010260,beta Tubulin Interactions,Class
MOA,N0000010261,Neurokinin 1 Receptor Interactions,Class
MOA,N0000010262,Neurokinin 1 Antagonists,Class
MOA,N0000010263,Tissue Plasminogen Activator Inhibitors,Class
MOA,N0000010264,Plasmin Inhibitors,Class
MOA,N0000010265,Squalene Monooxygenase Inhibitors,Class
MOA,N0000010266,Growth Hormone Receptor Agonists,Class
MOA,N0000010267,Growth Hormone Receptor Antagonists,Class
MOA,N0000010274,Amylase Inhibitors,Class
MOA,N0000010275,Glucagon Receptor Interactions,Class
MOA,N0000010278,Interleukin 2 Receptor Interactions,Class
MOA,N0000010279,Interleukin 2 Receptor Antagonists,Class
MOA,N0000010280,Interleukin 2 Receptor Agonists,Class
MOA,N0000010281,CD3 Receptor Interactions,Class
MOA,N0000010288,Osmotic Activity,Class
MOA,N0000011310,Aldosterone Antagonists,Class
MOA,N0000019992,Hypothalmic Hormone Interactions,Class
MOA,N0000019993,Hypothalamic Hormone Receptor Agonists,Class
MOA,N0000019994,Hypothalamic Hormone Receptor Antagonists,Class
MOA,N0000019995,DNA Methyltransferase Inhibitors,Class
MOA,N0000020000,Receptor Tyrosine Kinase Inhibitors,Class
MOA,N0000020001,Tyrosine Kinase Inhibitors,Class
MOA,N0000020006,HER Receptor Family Antagonists,Class
MOA,N0000020007,Vascular Endothelial Growth Factor Receptor Inhibitors,Class
MOA,N0000020008,HER2/Neu/cerbB2 Antagonists,Class
MOA,N0000020009,Bcr-Abl Tyrosine Kinase Inhibitors,Class
MOA,N0000020010,HER1 Antagonists,Class
MOA,N0000020014,Ionotropic Glutamate Receptor Antagonists,Class
MOA,N0000020015,NMDA Receptor Antagonists,Class
MOA,N0000020016,AMPA Receptor Antagonists,Class
MOA,N0000020018,Glucosyl Transferase Inhibitors,Class
MOA,N0000020019,Glucosylceramide Synthase Inhibitors,Class
MOA,N0000020023,Antibody-Surface Protein Interactions,Class
MOA,N0000020024,Sclerosing Activity,Class
MOA,N0000020025,14-alpha Demethylase Inhibitors,Class
MOA,N0000020026,Phosphodiesterase 5 Inhibitors,Class
MOA,N0000020027,Glucan Synthase Inhibitors,Class
MOA,N0000020028,Platelet-derived Growth Factor alpha Receptor Inhibitors,Class
MOA,N0000020029,Platelet-derived Growth Factor beta Receptor Inhibitors,Class
MOA,N0000020030,Platelet-derived Growth Factor Receptor Inhibitors,Class
MOA,N0000020034,Stem Cell Factor (KIT) Receptor Inhibitors,Class
MOA,N0000020044,Vasopressin Receptor Antagonists,Class
MOA,N0000020057,Glucagon-like Peptide-1 (GLP-1) Receptor Interactions,Class
MOA,N0000020058,Glucagon-like Peptide-1 (GLP-1) Agonists,Class
MOA,N0000020060,DNA Polymerase Inhibitors,Class
MOA,N0000020061,Receptor Activity Modifying Proteins,Class
MOA,N0000020062,Receptor Activity Modifying Protein Agonists,Class
MOA,N0000020064,Amylin Agonists,Class
MOA,N0000020065,L-Calcium Channel Receptor Antagonists,Class
MOA,N0000020066,T-Calcium Channel Receptor Antagonists,Class
MOA,N0000020068,Prostacyclin Receptor Agonists,Class
MOA,N0000020069,N-Calcium Channel Receptor Antagonists,Class
MOA,N0000020070,Keratinocyte Growth Factor Receptor Interactions,Class
MOA,N0000020071,Keratinocyte Growth Factor Receptor Agonists,Class
MOA,N0000020074,Phosphate Chelating Activity,Class
MOA,N0000020076,Plutonium Chelating Activity,Class
MOA,N0000020077,Secretin Receptor Interactions,Class
MOA,N0000020078,Secretin Receptor Agonists,Class
MOA,N0000020080,Calcium-Sensing Receptor Interactions,Class
MOA,N0000020081,Increased Calcium-sensing Receptor Sensitivity,Class
MOA,N0000020084,Ubiquitin Ligase Inhibitors,Class
MOA,N0000020085,E3 Ubiquitin Ligase Inhibitors,Class
MOA,N0000020086,DNA Gyrase Inhibitors,Class
MOA,N0000020087,Topoisomerase 4 Inhibitors,Class
MOA,N0000020088,Topoisomerase 2 Inhibitors,Class
MOA,N0000020089,Viral Envelope Interactions,Class
MOA,N0000175071,Histone Deacetylase Inhibitors,Class
MOA,N0000175074,Nucleoside Synthesis Inhibitors,Class
MOA,N0000175075,Proteasome Inhibitors,Class
MOA,N0000175076,Protein Kinase Inhibitors,Class
MOA,N0000175077,CD33-directed Antibody Interactions,Class
MOA,N0000175078,CD20-directed Antibody Interactions,Class
MOA,N0000175079,CD52-directed Antibody Interactions,Class
MOA,N0000175080,Aromatase Inhibitors,Class
MOA,N0000175082,Kinase Inhibitors,Class
MOA,N0000175084,Gonadotropin Releasing Hormone Receptor Antagonists,Class
MOA,N0000175086,Phosphodiesterase 3 Inhibitors,Class
MOA,N0000175087,Urease Inhibitors,Class
MOA,N0000175089,Calcium Chelating Activity,Class
MOA,N0000175355,Binding Activity,Class
MOA,N0000175356,Ion Exchange Activity,Class
MOA,N0000175357,Potassium Ion Exchange Activity,Class
MOA,N0000175361,Catecholamine Synthesis Inhibitors,Class
MOA,N0000175362,Endothelin Receptor Interactions,Class
MOA,N0000175364,Endothelin Receptor Antagonists,Class
MOA,N0000175365,Bile-acid Binding Activity,Class
