concept_code_1,relationship_id,relationship_source,relationship_type,concept_code_2
N0000008290,Subsumes,DAILYMED,INDIRECT,21232
N0000008293,Subsumes,DAILYMED,INDIRECT,232539
N0000008293,Subsumes,DAILYMED,INDIRECT,236381
N0000008294,Subsumes,DAILYMED,DIRECT,232539
N0000008294,Subsumes,DAILYMED,DIRECT,236381
N0000008299,Subsumes,DAILYMED,INDIRECT,5470
N0000008299,Subsumes,DAILYMED,INDIRECT,598
N0000008299,Subsumes,DAILYMED,INDIRECT,6984
N0000008307,Subsumes,DAILYMED,INDIRECT,1363352
N0000008307,Subsumes,DAILYMED,INDIRECT,3272
N0000008307,Subsumes,DAILYMED,INDIRECT,3274
N0000008307,Subsumes,DAILYMED,INDIRECT,3275
N0000008307,Subsumes,DAILYMED,INDIRECT,5531
N0000008307,Subsumes,DAILYMED,INDIRECT,828529
N0000008327,Subsumes,DAILYMED,INDIRECT,4832
N0000008330,Subsumes,DAILYMED,DIRECT,9947
N0000008331,Subsumes,DAILYMED,INDIRECT,1091643
N0000008331,Subsumes,DAILYMED,INDIRECT,1489913
N0000008331,Subsumes,DAILYMED,INDIRECT,1545989
N0000008331,Subsumes,DAILYMED,INDIRECT,1546196
N0000008331,Subsumes,DAILYMED,INDIRECT,18867
N0000008331,Subsumes,DAILYMED,INDIRECT,1999003
N0000008331,Subsumes,DAILYMED,INDIRECT,24457
N0000008331,Subsumes,DAILYMED,INDIRECT,28004
N0000008331,Subsumes,DAILYMED,INDIRECT,343048
N0000008331,Subsumes,DAILYMED,INDIRECT,3827
N0000008331,Subsumes,DAILYMED,INDIRECT,4917
N0000008331,Subsumes,DAILYMED,INDIRECT,5470
N0000008331,Subsumes,DAILYMED,INDIRECT,598
N0000008331,Subsumes,DAILYMED,INDIRECT,6058
N0000008331,Subsumes,DAILYMED,INDIRECT,6984
N0000008331,Subsumes,DAILYMED,INDIRECT,7435
N0000008331,Subsumes,DAILYMED,INDIRECT,7442
N0000008331,Subsumes,DAILYMED,INDIRECT,7476
N0000008331,Subsumes,DAILYMED,INDIRECT,7812
N0000008331,Subsumes,DAILYMED,INDIRECT,809864
N0000008331,Subsumes,DAILYMED,INDIRECT,8814
N0000008331,Subsumes,DAILYMED,INDIRECT,968170
N0000008331,Subsumes,DAILYMED,INDIRECT,9947
N0000008334,Subsumes,DAILYMED,INDIRECT,3194
N0000008336,Subsumes,DAILYMED,INDIRECT,1291
N0000008336,Subsumes,DAILYMED,INDIRECT,2358
N0000008337,Subsumes,DAILYMED,INDIRECT,1045453
N0000008337,Subsumes,DAILYMED,INDIRECT,1147320
N0000008337,Subsumes,DAILYMED,INDIRECT,1242806
N0000008337,Subsumes,DAILYMED,INDIRECT,1291
N0000008337,Subsumes,DAILYMED,INDIRECT,1299922
N0000008337,Subsumes,DAILYMED,INDIRECT,1367839
N0000008337,Subsumes,DAILYMED,INDIRECT,1747556
N0000008337,Subsumes,DAILYMED,INDIRECT,18602
N0000008337,Subsumes,DAILYMED,INDIRECT,1863556
N0000008337,Subsumes,DAILYMED,INDIRECT,1942950
N0000008337,Subsumes,DAILYMED,INDIRECT,196319
N0000008337,Subsumes,DAILYMED,INDIRECT,2099289
N0000008337,Subsumes,DAILYMED,INDIRECT,21090
N0000008337,Subsumes,DAILYMED,INDIRECT,2358
N0000008337,Subsumes,DAILYMED,INDIRECT,3194
N0000008337,Subsumes,DAILYMED,INDIRECT,337523
N0000008337,Subsumes,DAILYMED,INDIRECT,5021
N0000008337,Subsumes,DAILYMED,INDIRECT,56946
N0000008337,Subsumes,DAILYMED,INDIRECT,8463
N0000008337,Subsumes,DAILYMED,INDIRECT,996051
N0000008339,Subsumes,DAILYMED,INDIRECT,1242806
N0000008339,Subsumes,DAILYMED,INDIRECT,1367839
N0000008339,Subsumes,DAILYMED,INDIRECT,1747556
N0000008339,Subsumes,DAILYMED,INDIRECT,18602
N0000008339,Subsumes,DAILYMED,INDIRECT,1863556
N0000008339,Subsumes,DAILYMED,INDIRECT,1942950
N0000008339,Subsumes,DAILYMED,INDIRECT,2099289
N0000008339,Subsumes,DAILYMED,INDIRECT,21090
N0000008339,Subsumes,DAILYMED,INDIRECT,5021
N0000008339,Subsumes,DAILYMED,INDIRECT,8463
N0000008340,Subsumes,DAILYMED,INDIRECT,1242806
N0000008340,Subsumes,DAILYMED,INDIRECT,1747556
N0000008340,Subsumes,DAILYMED,INDIRECT,1942950
N0000008341,Subsumes,DAILYMED,INDIRECT,2099289
N0000008342,Subsumes,DAILYMED,INDIRECT,5021
N0000008342,Subsumes,DAILYMED,INDIRECT,8463
N0000008346,Subsumes,DAILYMED,INDIRECT,1045453
N0000008346,Subsumes,DAILYMED,INDIRECT,1147320
N0000008346,Subsumes,DAILYMED,INDIRECT,1291
N0000008346,Subsumes,DAILYMED,INDIRECT,1299922
N0000008346,Subsumes,DAILYMED,INDIRECT,2358
N0000008346,Subsumes,DAILYMED,INDIRECT,3194
N0000008346,Subsumes,DAILYMED,INDIRECT,337523
N0000008346,Subsumes,DAILYMED,INDIRECT,5021
N0000008346,Subsumes,DAILYMED,INDIRECT,56946
N0000008346,Subsumes,DAILYMED,INDIRECT,996051
N0000008347,Subsumes,DAILYMED,INDIRECT,1367839
N0000008347,Subsumes,DAILYMED,INDIRECT,18602
N0000008347,Subsumes,DAILYMED,INDIRECT,1863556
N0000008347,Subsumes,DAILYMED,INDIRECT,1942950
N0000008347,Subsumes,DAILYMED,INDIRECT,2099289
N0000008347,Subsumes,DAILYMED,INDIRECT,21090
N0000008358,Subsumes,DAILYMED,INDIRECT,341248
N0000008360,Subsumes,DAILYMED,INDIRECT,341248
N0000008362,Subsumes,DAILYMED,INDIRECT,10528
N0000008362,Subsumes,DAILYMED,INDIRECT,1091605
N0000008362,Subsumes,DAILYMED,INDIRECT,1316581
N0000008362,Subsumes,DAILYMED,INDIRECT,1367075
N0000008362,Subsumes,DAILYMED,INDIRECT,1427179
N0000008362,Subsumes,DAILYMED,INDIRECT,221946
N0000008362,Subsumes,DAILYMED,INDIRECT,253149
N0000008362,Subsumes,DAILYMED,INDIRECT,3251
N0000008362,Subsumes,DAILYMED,INDIRECT,3755
N0000008362,Subsumes,DAILYMED,INDIRECT,723868
N0000008362,Subsumes,DAILYMED,INDIRECT,825006
N0000008362,Subsumes,DAILYMED,INDIRECT,8308
N0000008363,Subsumes,DAILYMED,INDIRECT,10528
N0000008363,Subsumes,DAILYMED,INDIRECT,1091605
N0000008363,Subsumes,DAILYMED,INDIRECT,1316581
N0000008363,Subsumes,DAILYMED,INDIRECT,1367075
N0000008363,Subsumes,DAILYMED,INDIRECT,1427179
N0000008363,Subsumes,DAILYMED,INDIRECT,221946
N0000008363,Subsumes,DAILYMED,INDIRECT,253149
N0000008363,Subsumes,DAILYMED,INDIRECT,3251
N0000008363,Subsumes,DAILYMED,INDIRECT,3755
N0000008363,Subsumes,DAILYMED,INDIRECT,723868
N0000008363,Subsumes,DAILYMED,INDIRECT,825006
N0000008363,Subsumes,DAILYMED,INDIRECT,8308
N0000008364,Subsumes,DAILYMED,INDIRECT,3251
N0000008379,Subsumes,DAILYMED,INDIRECT,1942950
N0000008380,Subsumes,DAILYMED,INDIRECT,21090
N0000008383,Subsumes,DAILYMED,INDIRECT,21232
N0000008390,Subsumes,DAILYMED,INDIRECT,302379
N0000008394,Subsumes,DAILYMED,INDIRECT,21232
N0000008476,Subsumes,DAILYMED,DIRECT,3194
N0000008478,Subsumes,DAILYMED,DIRECT,2358
N0000008479,Subsumes,DAILYMED,DIRECT,1291
N0000008486,Subsumes,DAILYMED,DIRECT,11118
N0000008486,Subsumes,DAILYMED,DIRECT,114477
N0000008486,Subsumes,DAILYMED,DIRECT,1482502
N0000008486,Subsumes,DAILYMED,DIRECT,2002
N0000008486,Subsumes,DAILYMED,DIRECT,24812
N0000008486,Subsumes,DAILYMED,DIRECT,25480
N0000008486,Subsumes,DAILYMED,DIRECT,28439
N0000008486,Subsumes,DAILYMED,DIRECT,31914
N0000008486,Subsumes,DAILYMED,DIRECT,32624
N0000008486,Subsumes,DAILYMED,DIRECT,38404
N0000008486,Subsumes,DAILYMED,DIRECT,39998
N0000008486,Subsumes,DAILYMED,DIRECT,4135
N0000008486,Subsumes,DAILYMED,DIRECT,4136
N0000008486,Subsumes,DAILYMED,DIRECT,47858
N0000008486,Subsumes,DAILYMED,DIRECT,623400
N0000008486,Subsumes,DAILYMED,DIRECT,8183
N0000008486,Subsumes,DAILYMED,DIRECT,8691
N0000008501,Subsumes,DAILYMED,DIRECT,1546380
N0000008553,Subsumes,DAILYMED,DIRECT,341248
N0000008556,Subsumes,DAILYMED,DIRECT,1427179
N0000008556,Subsumes,DAILYMED,DIRECT,221946
N0000008556,Subsumes,DAILYMED,DIRECT,3755
N0000008556,Subsumes,DAILYMED,DIRECT,723868
N0000008571,Subsumes,DAILYMED,DIRECT,614391
N0000008576,Subsumes,DAILYMED,DIRECT,1942950
N0000008577,Subsumes,DAILYMED,DIRECT,21090
N0000008578,Subsumes,DAILYMED,INDIRECT,11118
N0000008578,Subsumes,DAILYMED,INDIRECT,114477
N0000008578,Subsumes,DAILYMED,INDIRECT,1482502
N0000008578,Subsumes,DAILYMED,INDIRECT,2002
N0000008578,Subsumes,DAILYMED,INDIRECT,24812
N0000008578,Subsumes,DAILYMED,INDIRECT,25480
N0000008578,Subsumes,DAILYMED,INDIRECT,28439
N0000008578,Subsumes,DAILYMED,INDIRECT,31914
N0000008578,Subsumes,DAILYMED,INDIRECT,32624
N0000008578,Subsumes,DAILYMED,INDIRECT,38404
N0000008578,Subsumes,DAILYMED,INDIRECT,39998
N0000008578,Subsumes,DAILYMED,INDIRECT,4135
N0000008578,Subsumes,DAILYMED,INDIRECT,4136
N0000008578,Subsumes,DAILYMED,INDIRECT,47858
N0000008578,Subsumes,DAILYMED,INDIRECT,623400
N0000008578,Subsumes,DAILYMED,INDIRECT,8183
N0000008578,Subsumes,DAILYMED,INDIRECT,8691
N0000008592,Subsumes,DAILYMED,INDIRECT,1191
N0000008592,Subsumes,DAILYMED,INDIRECT,3355
N0000008592,Subsumes,DAILYMED,INDIRECT,40575
N0000008595,Subsumes,DAILYMED,DIRECT,2837
N0000008635,Subsumes,DAILYMED,INDIRECT,38685
N0000008635,Subsumes,DAILYMED,DIRECT,4832
N0000008635,Subsumes,DAILYMED,INDIRECT,6676
N0000008636,Subsumes,DAILYMED,DIRECT,4832
N0000008638,Subsumes,DAILYMED,DIRECT,35825
N0000008638,Subsumes,DAILYMED,DIRECT,68147
N0000008652,Subsumes,DAILYMED,DIRECT,4832
N0000008656,Subsumes,DAILYMED,INDIRECT,596724
N0000008663,Subsumes,DAILYMED,DIRECT,10432
N0000008663,Subsumes,DAILYMED,INDIRECT,302379
N0000008663,Subsumes,DAILYMED,INDIRECT,614391
N0000008665,Subsumes,DAILYMED,INDIRECT,1191
N0000008665,Subsumes,DAILYMED,INDIRECT,3355
N0000008665,Subsumes,DAILYMED,INDIRECT,40575
N0000008683,Subsumes,DAILYMED,DIRECT,40575
N0000008686,Subsumes,DAILYMED,INDIRECT,1191
N0000008686,Subsumes,DAILYMED,INDIRECT,3355
N0000008686,Subsumes,DAILYMED,INDIRECT,40575
N0000008732,Subsumes,DAILYMED,DIRECT,5021
N0000008732,Subsumes,DAILYMED,DIRECT,8463
N0000008768,Subsumes,DAILYMED,INDIRECT,1546380
N0000008779,Subsumes,DAILYMED,DIRECT,21232
N0000008802,Subsumes,DAILYMED,INDIRECT,21232
N0000008832,Subsumes,DAILYMED,DIRECT,10594
N0000008832,Subsumes,DAILYMED,DIRECT,1116632
N0000008832,Subsumes,DAILYMED,DIRECT,1191
N0000008832,Subsumes,DAILYMED,DIRECT,1656052
N0000008832,Subsumes,DAILYMED,DIRECT,32968
N0000008832,Subsumes,DAILYMED,DIRECT,3521
N0000008832,Subsumes,DAILYMED,DIRECT,613391
N0000008832,Subsumes,DAILYMED,DIRECT,73137
N0000008832,Subsumes,DAILYMED,DIRECT,75635
N0000008836,Subsumes,DAILYMED,DIRECT,1191
N0000008836,Subsumes,DAILYMED,DIRECT,3355
N0000008841,Subsumes,DAILYMED,DIRECT,1367839
N0000008841,Subsumes,DAILYMED,DIRECT,18602
N0000008841,Subsumes,DAILYMED,DIRECT,21090
N0000008852,Subsumes,DAILYMED,DIRECT,2099289
N0000008853,Subsumes,DAILYMED,DIRECT,21090
N0000008858,Subsumes,DAILYMED,INDIRECT,10763
N0000008858,Subsumes,DAILYMED,INDIRECT,644
N0000008859,Subsumes,DAILYMED,DIRECT,10763
N0000008859,Subsumes,DAILYMED,DIRECT,644
N0000008867,Subsumes,DAILYMED,DIRECT,197
N0000008867,Subsumes,DAILYMED,DIRECT,337623
N0000008924,Subsumes,DAILYMED,DIRECT,2837
N0000008953,Subsumes,DAILYMED,DIRECT,3105
N0000009010,Subsumes,DAILYMED,DIRECT,18993
N0000009020,Subsumes,DAILYMED,INDIRECT,118886
N0000009020,Subsumes,DAILYMED,INDIRECT,18602
N0000009020,Subsumes,DAILYMED,INDIRECT,23066
N0000009020,Subsumes,DAILYMED,INDIRECT,2582
N0000009020,Subsumes,DAILYMED,INDIRECT,324072
N0000009020,Subsumes,DAILYMED,INDIRECT,4053
N0000009020,Subsumes,DAILYMED,INDIRECT,5509
N0000009020,Subsumes,DAILYMED,INDIRECT,6854
N0000009022,Subsumes,DAILYMED,INDIRECT,1318915
N0000009022,Subsumes,DAILYMED,INDIRECT,1364429
N0000009022,Subsumes,DAILYMED,INDIRECT,1426598
N0000009022,Subsumes,DAILYMED,INDIRECT,1426853
N0000009022,Subsumes,DAILYMED,INDIRECT,1596
N0000009022,Subsumes,DAILYMED,INDIRECT,17128
N0000009022,Subsumes,DAILYMED,INDIRECT,1872905
N0000009022,Subsumes,DAILYMED,DIRECT,21232
N0000009022,Subsumes,DAILYMED,INDIRECT,221147
N0000009022,Subsumes,DAILYMED,INDIRECT,38685
N0000009022,Subsumes,DAILYMED,INDIRECT,4832
N0000009022,Subsumes,DAILYMED,INDIRECT,6218
N0000009022,Subsumes,DAILYMED,INDIRECT,6676
N0000009024,Subsumes,DAILYMED,INDIRECT,11118
N0000009024,Subsumes,DAILYMED,INDIRECT,114477
N0000009024,Subsumes,DAILYMED,INDIRECT,1482502
N0000009024,Subsumes,DAILYMED,INDIRECT,2002
N0000009024,Subsumes,DAILYMED,INDIRECT,24812
N0000009024,Subsumes,DAILYMED,INDIRECT,25480
N0000009024,Subsumes,DAILYMED,INDIRECT,28439
N0000009024,Subsumes,DAILYMED,INDIRECT,31914
N0000009024,Subsumes,DAILYMED,INDIRECT,32624
N0000009024,Subsumes,DAILYMED,INDIRECT,38404
N0000009024,Subsumes,DAILYMED,INDIRECT,39998
N0000009024,Subsumes,DAILYMED,INDIRECT,4135
N0000009024,Subsumes,DAILYMED,INDIRECT,4136
N0000009024,Subsumes,DAILYMED,INDIRECT,47858
N0000009024,Subsumes,DAILYMED,INDIRECT,623400
N0000009024,Subsumes,DAILYMED,INDIRECT,8183
N0000009024,Subsumes,DAILYMED,INDIRECT,8691
N0000009025,Subsumes,DAILYMED,INDIRECT,42347
N0000009027,Subsumes,DAILYMED,INDIRECT,11118
N0000009027,Subsumes,DAILYMED,INDIRECT,114477
N0000009027,Subsumes,DAILYMED,INDIRECT,1482502
N0000009027,Subsumes,DAILYMED,INDIRECT,1546380
N0000009027,Subsumes,DAILYMED,INDIRECT,2002
N0000009027,Subsumes,DAILYMED,INDIRECT,24812
N0000009027,Subsumes,DAILYMED,INDIRECT,25480
N0000009027,Subsumes,DAILYMED,INDIRECT,28439
N0000009027,Subsumes,DAILYMED,INDIRECT,31914
N0000009027,Subsumes,DAILYMED,INDIRECT,32624
N0000009027,Subsumes,DAILYMED,INDIRECT,38404
N0000009027,Subsumes,DAILYMED,INDIRECT,39998
N0000009027,Subsumes,DAILYMED,INDIRECT,4135
N0000009027,Subsumes,DAILYMED,INDIRECT,4136
