concept_code_1,relationship_id,relationship_source,relationship_type,concept_code_2
1002241001,Subsumes,SNOMEDCT,DIRECT,10223
1002241001,Subsumes,SNOMEDCT,DIRECT,11416
1002241001,Subsumes,SNOMEDCT,DIRECT,1310123
1002241001,Subsumes,SNOMEDCT,DIRECT,1310300
1002241001,Subsumes,SNOMEDCT,DIRECT,1895
1002241001,Subsumes,SNOMEDCT,DIRECT,2837
1002241001,Subsumes,SNOMEDCT,DIRECT,5933
1002241001,Subsumes,SNOMEDCT,DIRECT,6574
1002241001,Subsumes,SNOMEDCT,DIRECT,6623
1002241001,Subsumes,SNOMEDCT,DIRECT,8263
1002241001,Subsumes,SNOMEDCT,DIRECT,8588
1002241001,Subsumes,SNOMEDCT,DIRECT,90176
1002241001,Subsumes,SNOMEDCT,DIRECT,9641
1002249004,Subsumes,SNOMEDCT,DIRECT,2479831
1003715001,Subsumes,SNOMEDCT,DIRECT,10528
1003715001,Subsumes,SNOMEDCT,DIRECT,11274
1003715001,Subsumes,SNOMEDCT,DIRECT,1300485
1003715001,Subsumes,SNOMEDCT,DIRECT,1300488
1003715001,Subsumes,SNOMEDCT,DIRECT,1543095
1003715001,Subsumes,SNOMEDCT,DIRECT,2045114
1003715001,Subsumes,SNOMEDCT,DIRECT,2264108
1003715001,Subsumes,SNOMEDCT,DIRECT,253149
1003715001,Subsumes,SNOMEDCT,DIRECT,352374
1003715001,Subsumes,SNOMEDCT,DIRECT,4249
1003715001,Subsumes,SNOMEDCT,DIRECT,4254
1003715001,Subsumes,SNOMEDCT,DIRECT,4257
1003715001,Subsumes,SNOMEDCT,DIRECT,4271
1003715001,Subsumes,SNOMEDCT,DIRECT,8834
1003720001,Subsumes,SNOMEDCT,DIRECT,1009
1003720001,Subsumes,SNOMEDCT,INDIRECT,10528
1003720001,Subsumes,SNOMEDCT,INDIRECT,11274
1003720001,Subsumes,SNOMEDCT,INDIRECT,1300485
1003720001,Subsumes,SNOMEDCT,INDIRECT,1300488
1003720001,Subsumes,SNOMEDCT,DIRECT,1426381
1003720001,Subsumes,SNOMEDCT,INDIRECT,1426680
1003720001,Subsumes,SNOMEDCT,DIRECT,1427179
1003720001,Subsumes,SNOMEDCT,INDIRECT,1543095
1003720001,Subsumes,SNOMEDCT,INDIRECT,1855048
1003720001,Subsumes,SNOMEDCT,INDIRECT,2043855
1003720001,Subsumes,SNOMEDCT,INDIRECT,2045114
1003720001,Subsumes,SNOMEDCT,INDIRECT,2262279
1003720001,Subsumes,SNOMEDCT,INDIRECT,2264108
1003720001,Subsumes,SNOMEDCT,INDIRECT,2463114
1003720001,Subsumes,SNOMEDCT,INDIRECT,253149
1003720001,Subsumes,SNOMEDCT,INDIRECT,352374
1003720001,Subsumes,SNOMEDCT,INDIRECT,4249
1003720001,Subsumes,SNOMEDCT,INDIRECT,4254
1003720001,Subsumes,SNOMEDCT,INDIRECT,4257
1003720001,Subsumes,SNOMEDCT,INDIRECT,4271
1003720001,Subsumes,SNOMEDCT,DIRECT,828529
1003720001,Subsumes,SNOMEDCT,INDIRECT,8834
1003720001,Subsumes,SNOMEDCT,DIRECT,991743
1055289009,Subsumes,SNOMEDCT,INDIRECT,10362
1055289009,Subsumes,SNOMEDCT,INDIRECT,4179
1055289009,Subsumes,SNOMEDCT,DIRECT,8462
1055289009,Subsumes,SNOMEDCT,DIRECT,8463
1055292008,Subsumes,SNOMEDCT,DIRECT,110
1055292008,Subsumes,SNOMEDCT,DIRECT,235776
1055292008,Subsumes,SNOMEDCT,DIRECT,2407
1055292008,Subsumes,SNOMEDCT,DIRECT,3435
1055292008,Subsumes,SNOMEDCT,DIRECT,5942
105908007,Subsumes,SNOMEDCT,DIRECT,10864
105908007,Subsumes,SNOMEDCT,DIRECT,1111103
105908007,Subsumes,SNOMEDCT,INDIRECT,11232
105908007,Subsumes,SNOMEDCT,DIRECT,18631
105908007,Subsumes,SNOMEDCT,DIRECT,21212
105908007,Subsumes,SNOMEDCT,INDIRECT,229367
105908007,Subsumes,SNOMEDCT,INDIRECT,229369
105908007,Subsumes,SNOMEDCT,DIRECT,23437
105908007,Subsumes,SNOMEDCT,DIRECT,274786
105908007,Subsumes,SNOMEDCT,DIRECT,30005
105908007,Subsumes,SNOMEDCT,DIRECT,4053
105908007,Subsumes,SNOMEDCT,DIRECT,9478
105908007,Subsumes,SNOMEDCT,DIRECT,995505
105908007,Subsumes,SNOMEDCT,DIRECT,9991
108649005,Subsumes,SNOMEDCT,DIRECT,10432
108649005,Subsumes,SNOMEDCT,DIRECT,10811
108649005,Subsumes,SNOMEDCT,DIRECT,1098413
108649005,Subsumes,SNOMEDCT,DIRECT,135447
108649005,Subsumes,SNOMEDCT,DIRECT,1369713
108649005,Subsumes,SNOMEDCT,DIRECT,1791685
108649005,Subsumes,SNOMEDCT,DIRECT,2054252
108649005,Subsumes,SNOMEDCT,DIRECT,236749
108649005,Subsumes,SNOMEDCT,DIRECT,28627
108649005,Subsumes,SNOMEDCT,DIRECT,28889
108649005,Subsumes,SNOMEDCT,DIRECT,342369
108649005,Subsumes,SNOMEDCT,DIRECT,35780
108649005,Subsumes,SNOMEDCT,DIRECT,402316
108649005,Subsumes,SNOMEDCT,INDIRECT,4337
108649005,Subsumes,SNOMEDCT,INDIRECT,480
108649005,Subsumes,SNOMEDCT,DIRECT,480639
108649005,Subsumes,SNOMEDCT,DIRECT,6131
108649005,Subsumes,SNOMEDCT,DIRECT,6146
108649005,Subsumes,SNOMEDCT,INDIRECT,6754
108649005,Subsumes,SNOMEDCT,DIRECT,6910
108649005,Subsumes,SNOMEDCT,DIRECT,6984
108649005,Subsumes,SNOMEDCT,INDIRECT,8143
108649005,Subsumes,SNOMEDCT,DIRECT,87636
108807002,Subsumes,SNOMEDCT,DIRECT,1092437
108807002,Subsumes,SNOMEDCT,INDIRECT,1094833
108807002,Subsumes,SNOMEDCT,INDIRECT,1147320
108807002,Subsumes,SNOMEDCT,INDIRECT,117055
108807002,Subsumes,SNOMEDCT,INDIRECT,121191
108807002,Subsumes,SNOMEDCT,INDIRECT,1294580
108807002,Subsumes,SNOMEDCT,INDIRECT,1298944
108807002,Subsumes,SNOMEDCT,INDIRECT,1371041
108807002,Subsumes,SNOMEDCT,DIRECT,1535218
108807002,Subsumes,SNOMEDCT,INDIRECT,1535922
108807002,Subsumes,SNOMEDCT,DIRECT,1538097
108807002,Subsumes,SNOMEDCT,INDIRECT,1547545
108807002,Subsumes,SNOMEDCT,INDIRECT,1597258
