vocabulary_id,concept_code,concept_name,concept_class
VA,CN000,CENTRAL NERVOUS SYSTEM MEDICATIONS,Class
VA,CN200,ANESTHETICS,Class
VA,DE000,DERMATOLOGICAL AGENTS,Class
VA,DE800,ANTIPSORIATIC,Class
VA,DE900,"DERMATOLOGICALS,TOPICAL OTHER",Class
VA,GA000,GASTROINTESTINAL MEDICATIONS,Class
VA,GA200,LAXATIVES,Class
VA,GA208,ANTIDIARRHEAL AGENTS,Class
VA,HA000,HERBS/ALTERNATIVE THERAPIES,Class
VA,PH000,PHARMACEUTICAL AIDS/REAGENTS,Class
VA,VA000,VA CLASSES,Class
VA,VT000,VITAMINS,Class
VA,VT800,"VITAMINS,COMBINATIONS",Class
VA,CN201,"ANESTHETICS,INHALATION",Class
VA,DE820,"ANTIPSORIATICS,TOPICAL",Class
VA,GA203,LUBRICANT LAXATIVES,Class
VA,GA204,STIMULANT LAXATIVES,Class
VA,VT801,MULTIVITAMINS,Class
VA,4009769,ETHER,Concept
VA,4009123,"MINERAL OIL,LIGHT",Concept
VA,4005590,COAL TAR DISTILLATE,Concept
VA,4008463,CASTOR OIL,Concept
VA,4009127,"MINERAL OIL,HEAVY",Concept
VA,4001272,PAREGORIC,Concept
VA,4017099,CHONDROITIN/GLUCOSAMINE/METHYLSULFONYLMETHAMANE,Concept
VA,4017007,FENNEL OIL,Concept
VA,4016017,WORMWOOD OIL,Concept
VA,4015995,SAGE OIL,Concept
VA,4025385,MYRRH OIL,Concept
VA,4025357,PENNYROYAL OIL,Concept
VA,4016014,PARSLEY SEED OIL,Concept
VA,4025352,JUNIPER BERRY OIL,Concept
VA,4025365,CARUM (CARAWAY) OIL,Concept
VA,4017225,CRANBERRY JUICE,Concept
VA,4025356,MUSTARD OIL,Concept
VA,4017224,GRAPEFRUIT JUICE,Concept
VA,4025364,DILLWEED OIL,Concept
VA,4009759,CHAMOMILE FLOWERS,Concept
VA,4025354,LAVENDER OIL,Concept
VA,4025382,POKEWEED EXTRACT,Concept
VA,4025376,MISTLETOE EXTRACT,Concept
VA,4017300,BETA SITOSTEROL/ZINC CITRATE,Concept
VA,4026003,OREGANO OIL,Concept
VA,4017003,ROSEMARY OIL,Concept
VA,4025347,THYME OIL,Concept
VA,4010525,CORN STARCH,Concept
VA,4003007,"WATER,STERILE",Concept
VA,4009800,ALMOND OIL,Concept
VA,4032020,BERGAMOT OIL,Concept
VA,4009803,CINNAMON OIL,Concept
VA,4009766,COTTONSEED OIL,Concept
VA,4010025,OLIVE OIL,Concept
VA,4009804,CITRONELLA OIL,Concept
VA,4009746,"BEESWAX,YELLOW",Concept
VA,4009545,PHENOL LIQUID,Concept
VA,4017009,PEPPERMINT OIL,Concept
VA,4010220,GLYCOLIC ACID,Concept
VA,4008142,EUCALYPTUS OIL,Concept
VA,4009793,LINSEED OIL,Concept
VA,4009805,CLOVE OIL,Concept
VA,4025048,PARAFFIN WAX,Concept
VA,4010510,POLYETHYLENE GLYCOL 400,Concept
VA,4009801,ANISE OIL,Concept
VA,4026083,SAFFLOWER OIL,Concept
VA,4009442,COD LIVER OIL,Concept
RxNorm,1363043,ethyl ether,Concept
RxNorm,577312,"mineral oil, light",Concept
RxNorm,90732,coal tar pitch volatiles,Concept
RxNorm,2129,castor oil,Concept
RxNorm,258439,heavy mineral oil,Concept
RxNorm,32926,paregoric,Concept
RxNorm,1007537,chondroitin sulfates / glucosamine / methylsulfonylmethane,Concept
RxNorm,1305608,fennel oil,Concept
RxNorm,1305653,wormwood oil,Concept
RxNorm,1305661,sage oil,Concept
RxNorm,1309206,myrrh oil,Concept
RxNorm,1309213,pennyroyal oil,Concept
RxNorm,1309236,parsley seed oil,Concept
RxNorm,1309245,juniper berry oil,Concept
RxNorm,1309373,caraway oil,Concept
RxNorm,1358977,cranberry juice,Concept
RxNorm,1360631,mustard oil,Concept
RxNorm,1431224,grapefruit juice,Concept
RxNorm,2118124,dillweed oil,Concept
RxNorm,221916,chamomile flowers,Concept
RxNorm,28486,lavender oil,Concept
RxNorm,285160,pokeweed preparation,Concept
RxNorm,350489,Viscum album preparation,Concept
RxNorm,485876,beta sitosterol / zinc citrate,Concept
RxNorm,705279,oregano oil,Concept
RxNorm,90945,rosemary oil,Concept
RxNorm,90950,thyme oil,Concept
RxNorm,1039062,corn starch,Concept
RxNorm,107129,sterile water,Concept
RxNorm,1305638,almond oil,Concept
RxNorm,1305651,bergamot oil,Concept
RxNorm,1309229,cinnamon oil,Concept
RxNorm,1309243,cottonseed oil,Concept
RxNorm,1309250,olive oil,Concept
RxNorm,1309376,citronella oil,Concept
RxNorm,1356,beeswax,Concept
RxNorm,239351,liquefied phenol,Concept
RxNorm,33094,peppermint oil,Concept
RxNorm,587318,glycolic acid,Concept
RxNorm,59087,Eucalyptus oil,Concept
RxNorm,6404,linseed oil,Concept
RxNorm,7624,clove oil,Concept
RxNorm,7906,paraffin,Concept
RxNorm,8514,polyethylene glycol 400,Concept
RxNorm,90926,anise oil,Concept
RxNorm,9515,safflower oil,Concept
RxNorm,2669,cod liver oil,Concept
