concept_code_1,relationship_id,relationship_source,relationship_type,concept_code_2
CN000,Subsumes,VA,INDIRECT,1363043
CN200,Subsumes,VA,INDIRECT,1363043
CN201,Subsumes,VA,DIRECT,1363043
DE000,Subsumes,VA,INDIRECT,577312
DE000,Subsumes,VA,INDIRECT,90732
DE800,Subsumes,VA,INDIRECT,90732
DE820,Subsumes,VA,DIRECT,90732
DE900,Subsumes,VA,DIRECT,577312
GA000,Subsumes,VA,INDIRECT,2129
GA000,Subsumes,VA,INDIRECT,258439
GA000,Subsumes,VA,INDIRECT,32926
GA200,Subsumes,VA,INDIRECT,2129
GA200,Subsumes,VA,INDIRECT,258439
GA203,Subsumes,VA,DIRECT,258439
GA204,Subsumes,VA,DIRECT,2129
GA208,Subsumes,VA,DIRECT,32926
HA000,Subsumes,VA,DIRECT,1007537
HA000,Subsumes,VA,DIRECT,1305608
HA000,Subsumes,VA,DIRECT,1305653
HA000,Subsumes,VA,DIRECT,1305661
HA000,Subsumes,VA,DIRECT,1309206
HA000,Subsumes,VA,DIRECT,1309213
HA000,Subsumes,VA,DIRECT,1309236
HA000,Subsumes,VA,DIRECT,1309245
HA000,Subsumes,VA,DIRECT,1309373
HA000,Subsumes,VA,DIRECT,1358977
HA000,Subsumes,VA,DIRECT,1360631
HA000,Subsumes,VA,DIRECT,1431224
HA000,Subsumes,VA,DIRECT,2118124
HA000,Subsumes,VA,DIRECT,221916
HA000,Subsumes,VA,DIRECT,28486
HA000,Subsumes,VA,DIRECT,285160
HA000,Subsumes,VA,DIRECT,350489
HA000,Subsumes,VA,DIRECT,485876
HA000,Subsumes,VA,DIRECT,705279
HA000,Subsumes,VA,DIRECT,90945
HA000,Subsumes,VA,DIRECT,90950
PH000,Subsumes,VA,DIRECT,1039062
PH000,Subsumes,VA,DIRECT,107129
PH000,Subsumes,VA,DIRECT,1305638
PH000,Subsumes,VA,DIRECT,1305651
PH000,Subsumes,VA,DIRECT,1309229
PH000,Subsumes,VA,DIRECT,1309243
PH000,Subsumes,VA,DIRECT,1309250
PH000,Subsumes,VA,DIRECT,1309376
PH000,Subsumes,VA,DIRECT,1356
PH000,Subsumes,VA,DIRECT,239351
PH000,Subsumes,VA,DIRECT,33094
PH000,Subsumes,VA,DIRECT,587318
PH000,Subsumes,VA,DIRECT,59087
PH000,Subsumes,VA,DIRECT,6404
PH000,Subsumes,VA,DIRECT,7624
PH000,Subsumes,VA,DIRECT,7906
PH000,Subsumes,VA,DIRECT,8514
PH000,Subsumes,VA,DIRECT,90926
PH000,Subsumes,VA,DIRECT,9515
VA000,Subsumes,VA,INDIRECT,1007537
VA000,Subsumes,VA,INDIRECT,1039062
VA000,Subsumes,VA,INDIRECT,107129
VA000,Subsumes,VA,INDIRECT,1305608
VA000,Subsumes,VA,INDIRECT,1305638
VA000,Subsumes,VA,INDIRECT,1305651
VA000,Subsumes,VA,INDIRECT,1305653
VA000,Subsumes,VA,INDIRECT,1305661
VA000,Subsumes,VA,INDIRECT,1309206
VA000,Subsumes,VA,INDIRECT,1309213
VA000,Subsumes,VA,INDIRECT,1309229
VA000,Subsumes,VA,INDIRECT,1309236
VA000,Subsumes,VA,INDIRECT,1309243
VA000,Subsumes,VA,INDIRECT,1309245
VA000,Subsumes,VA,INDIRECT,1309250
VA000,Subsumes,VA,INDIRECT,1309373
VA000,Subsumes,VA,INDIRECT,1309376
VA000,Subsumes,VA,INDIRECT,1356
VA000,Subsumes,VA,INDIRECT,1358977
