rxcui,name,tty,SourceId,SourceName,Relation,SourceUrl,classId
10561,moxisylyte,IN,319442006,Moxisylyte-containing product,INDIRECT,http://snomed.info/id/319442006,1002243003
10600,timolol,IN,85591001,Timolol-containing product,INDIRECT,http://snomed.info/id/85591001,1002243003
10634,tolazoline,IN,4220008,Tolazoline-containing product,INDIRECT,http://snomed.info/id/4220008,1002243003
10824,metipranolol,IN,108831007,Metipranolol-containing product,INDIRECT,http://snomed.info/id/108831007,1002243003
114176,zuclopenthixol,IN,429346008,Zuclopenthixol-containing product,INDIRECT,http://snomed.info/id/429346008,1002243003
1202,atenolol,IN,87652004,Atenolol-containing product,INDIRECT,http://snomed.info/id/87652004,1002243003
149,acebutolol,IN,68088000,Acebutolol-containing product,INDIRECT,http://snomed.info/id/68088000,1002243003
1520,betaxolol,IN,349900007,Betaxolol-containing product,INDIRECT,http://snomed.info/id/349900007,1002243003
15996,mirtazapine,IN,108430001,Mirtazapine-containing product,INDIRECT,http://snomed.info/id/108430001,1002243003
17300,alfuzosin,IN,349912006,Alfuzosin-containing product,INDIRECT,http://snomed.info/id/349912006,1002243003
1813,levobunolol,IN,349903009,Levobunolol-containing product,INDIRECT,http://snomed.info/id/349903009,1002243003
19484,bisoprolol,IN,108547003,Bisoprolol-containing product,INDIRECT,http://snomed.info/id/108547003,1002243003
20352,carvedilol,IN,108551001,Carvedilol-containing product,INDIRECT,http://snomed.info/id/108551001,1002243003
20498,celiprolol,IN,349901006,Celiprolol-containing product,INDIRECT,http://snomed.info/id/349901006,1002243003
2116,carteolol,IN,108544005,Carteolol-containing product,INDIRECT,http://snomed.info/id/108544005,1002243003
220982,yohimbine,IN,398674007,Yohimbine-containing product,INDIRECT,http://snomed.info/id/398674007,1002243003
22298,dapiprazole,IN,108840006,Dapiprazole-containing product,INDIRECT,http://snomed.info/id/108840006,1002243003
31555,nebivolol,IN,318638009,Nebivolol-containing product,INDIRECT,http://snomed.info/id/318638009,1002243003
353497,levobetaxolol,IN,409278007,Levobetaxolol-containing product,INDIRECT,http://snomed.info/id/409278007,1002243003
37798,terazosin,IN,129484001,Terazosin-containing product,INDIRECT,http://snomed.info/id/129484001,1002243003
4024,"ergoloid mesylates, USP",IN,350622001,Dihydroergocornine- and dihydroergocristine- and dihydroergocryptine-containing product,DIRECT,http://snomed.info/id/350622001,1002243003
