ancestor_concept_code,descendant_concept_code,min_levels_of_separation,max_levels_of_separation
N0000175429,N0000175429,0,0
N0000175713,N0000175713,0,0
N0000175737,N0000175737,0,0
N0000184015,N0000184015,0,0
N0000184318,N0000184318,0,0
N0000184319,N0000184319,0,0
N0000189939,N0000175429,1,1
N0000189939,N0000175713,1,1
N0000189939,N0000175737,1,1
N0000189939,N0000184015,1,1
N0000189939,N0000184318,1,1
N0000189939,N0000184319,1,1
N0000189939,N0000189939,0,0
N0000189939,N0000191261,1,1
N0000189939,N0000191548,1,1
N0000189939,N0000192341,1,1
N0000189939,N0000193862,1,1
N0000189939,N0000193872,1,1
N0000189939,N0000193873,1,1
N0000189939,N0000193874,1,1
N0000189939,N0000193875,1,1
N0000189939,N0000193877,1,1
N0000189939,N0000193878,1,1
N0000189939,N0000193879,1,1
N0000189939,N0000193884,1,1
N0000189939,N0000193885,1,1
N0000189939,N0000193888,1,1
N0000189939,N0000193889,1,1
N0000189939,N0000193891,1,1
N0000189939,N0000193893,1,1
N0000189939,N0000193894,1,1
N0000189939,N0000193895,1,1
N0000189939,N0000193898,1,1
N0000189939,N0000193900,1,1
N0000189939,N0000193901,1,1
N0000189939,N0000193902,1,1
N0000189939,N0000193904,1,1
N0000189939,N0000193905,1,1
N0000189939,N0000193906,1,1
N0000189939,N0000193908,1,1
N0000189939,N0000193909,1,1
N0000189939,N0000193912,1,1
N0000189939,N0000193971,1,1
N0000191261,N0000191261,0,0
N0000191548,N0000191548,0,0
N0000192341,N0000192341,0,0
N0000193862,N0000193862,0,0
N0000193872,N0000193872,0,0
N0000193873,N0000193873,0,0
N0000193874,N0000193874,0,0
N0000193875,N0000193875,0,0
N0000193877,N0000193877,0,0
N0000193878,N0000193878,0,0
N0000193879,N0000193879,0,0
N0000193884,N0000193884,0,0
N0000193885,N0000193885,0,0
N0000193888,N0000193888,0,0
N0000193889,N0000193889,0,0
N0000193891,N0000193891,0,0
N0000193893,N0000193893,0,0
N0000193894,N0000193894,0,0
N0000193895,N0000193895,0,0
N0000193898,N0000193898,0,0
N0000193900,N0000193900,0,0
N0000193901,N0000193901,0,0
N0000193902,N0000193902,0,0
N0000193904,N0000193904,0,0
N0000193905,N0000193905,0,0
N0000193906,N0000193906,0,0
N0000193908,N0000193908,0,0
N0000193909,N0000193909,0,0
N0000193912,N0000193912,0,0
N0000193971,N0000193971,0,0
