ancestor_concept_code,descendant_concept_code,min_levels_of_separation,max_levels_of_separation
N0000000065,N0000000065,0,0
N0000000085,N0000000085,0,0
N0000000142,N0000000142,0,0
N0000000163,N0000000163,0,0
N0000000223,N0000000065,1,1
N0000000223,N0000000085,1,1
N0000000223,N0000000142,1,1
N0000000223,N0000000163,1,1
N0000000223,N0000000223,0,0
N0000000223,N0000000254,1,1
N0000000223,N0000009915,1,1
N0000000223,N0000188367,1,1
N0000000223,N0000193793,1,1
N0000000254,N0000000254,0,0
N0000009915,N0000009915,0,0
N0000188367,N0000188367,0,0
N0000193793,N0000193793,0,0
